the_geom,GRIDS_INDE,TILE_NAME,DELIVERY_A,SHAPE_AREA,SHAPE_LEN
"MULTIPOLYGON (((-97.82998358113484 30.48775192441058, -97.8141131866425 30.487441585949014, -97.81447260395278 30.473697024774584, -97.83034073574846 30.47400731895095, -97.82998358113484 30.48775192441058)))",180,085150,0,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.79824289575944 30.487129286626274, -97.79860457572235 30.473384770016978, -97.81447260395278 30.473697024774584, -97.8141131866425 30.487441585949014, -97.79824289575944 30.487129286626274)))",181,090150,4,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.78237270808927 30.486815026441132, -97.78273665066067 30.47307055467693, -97.79860457572235 30.473384770016978, -97.79824289575944 30.487129286626274, -97.78237270808927 30.486815026441132)))",182,095150,4,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.76650262323574 30.486498805391992, -97.76686882837133 30.4727543787528, -97.78273665066067 30.47307055467693, -97.78237270808927 30.486815026441132, -97.76650262323574 30.486498805391992)))",183,100150,4,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.75063264392641 30.48618062353966, -97.75100111158135 30.472436242305417, -97.76686882837133 30.4727543787528, -97.76650262323574 30.486498805391992, -97.75063264392641 30.48618062353966)))",184,105150,4,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.73476276872368 30.485860480861817, -97.73513349885313 30.472116145312476, -97.75100111158135 30.472436242305417, -97.75063264392641 30.48618062353966, -97.73476276872368 30.485860480861817)))",185,110150,4,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.718893000355 30.485538377420088, -97.71926599291356 30.471794087835526, -97.73513349885313 30.472116145312476, -97.73476276872368 30.485860480861817, -97.718893000355 30.485538377420088)))",186,115150,4,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.70302333738277 30.485214313191804, -97.70339859232509 30.471470069852025, -97.71926599291356 30.471794087835526, -97.718893000355 30.485538377420088, -97.70302333738277 30.485214313191804)))",187,120150,4,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.70302333738277 30.485214313191804, -97.6871537825344 30.484888288239357, -97.68753129981445 30.471144091424247, -97.70339859232509 30.471470069852025, -97.70302333738277 30.485214313191804)))",188,125150,4,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.6871537825344 30.484888288239357, -97.67128433437217 30.48456030253987, -97.67166411394408 30.470816152529355, -97.68753129981445 30.471144091424247, -97.6871537825344 30.484888288239357)))",189,130150,3,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.67128433437217 30.48456030253987, -97.65541499562346 30.48423035615638, -97.65579703744069 30.47048625323043, -97.67166411394408 30.470816152529355, -97.67128433437217 30.48456030253987)))",190,135150,0,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.65541499562346 30.48423035615638, -97.63954576485057 30.4838984490658, -97.63993006886663 30.47015439350434, -97.65579703744069 30.47048625323043, -97.65541499562346 30.48423035615638)))",191,140150,0,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.6236766447807 30.483564581331954, -97.62406321094858 30.4698205734149, -97.63993006886663 30.47015439350434, -97.63954576485057 30.4838984490658, -97.6236766447807 30.483564581331954)))",192,145150,0,25000000.0654,20000.0000262
