Community School District,# of Graduates,# of Graduates that Met Instructional Requirements in Arts,% of Graduates that Met Instructional Requirements in Arts,# of 8th Grade Students,# of 8th Grade Students that Received 2 Half-units of Instruction in Arts,% of 8th Grade Students that Received 2 Half-units of Instruction in Arts,# of 8th Grade Students that Received 2 Half-units of Instruction in Arts in Two Different Disciplines,% of 8th Grade Students that Received 2 Half-units of Instruction in Arts in Two Different Disciplines,# of Schools Serving Grades 1-5,"# of Schools Serving Grades 1-5 that Provided Arts Instruction in All Four Disciplines (Music, Dance, Theater, Visual Arts)","% of Schools Serving Grades 1-5 that Provided Arts Instruction in All Four Disciplines (Music, Dance, Theater, Visual Arts)",# of Schools Serving Grade 6,"# of Schools Serving Grade 6 that Provided Arts Instruction in All Four Disciplines (Dance, Music, Theater, Visual Arts)","% of Schools Serving Grade 6 that Provided Arts Instruction in All Four Disciplines (Dance, Music, Theater, Visual Arts)",Number of Full-Time Teachers Certified in Dance,Number of Full-Time Teachers Certified in Music,Number of Full-Time Teachers Certified in Theater,Number of Full-Time Teachers Certified in Visual Arts,Number of Part-Time Teachers Certified in Dance,Number of Part-Time Teachers Certified in Music,Number of Part-Time Teachers Certified in Theater,Number of Part-Time Teachers Certified in Visual Arts
1,801,800,0.999,804,668,0.831,456,0.567,17,3,0.176,10,2,0.2,4,9,0,13,2,3,1,6
2,7393,7327,0.991,2345,2256,0.962,1258,0.536,37,16,0.432,23,1,0.043,8,39,12,110,7,11,9,31
3,1975,1974,0.999,1236,1025,0.829,500,0.405,22,12,0.545,20,0,0,9,30,10,40,5,6,5,12
4,856,856,1,986,866,0.878,512,0.519,20,6,0.3,16,1,0.063,3,13,2,15,5,8,5,7
5,735,734,0.999,717,577,0.805,306,0.427,16,9,0.563,11,1,0.091,2,10,5,9,3,1,2,5
6,960,959,0.999,1683,1469,0.873,648,0.385,27,5,0.185,20,0,0,4,11,1,20,1,5,3,6
7,1295,1295,1,1181,1082,0.916,744,0.63,17,10,0.588,13,0,0,6,10,1,21,2,4,1,8
8,1354,1354,1,1954,1824,0.933,772,0.395,22,7,0.318,17,1,0.059,4,14,2,38,4,9,7,11
9,1603,1602,0.999,2553,1578,0.618,563,0.221,30,8,0.267,26,0,0,2,10,5,23,2,7,4,9
10,3108,3108,1,3513,2610,0.743,1153,0.328,42,21,0.5,28,2,0.071,7,26,8,40,8,21,7,23
11,1755,1755,1,2807,2156,0.768,780,0.278,31,6,0.194,21,2,0.095,4,17,1,31,2,5,0,7
12,1152,1150,0.998,1585,1269,0.801,783,0.494,22,9,0.409,18,1,0.056,2,12,1,24,0,8,2,7
13,2510,2509,1,649,647,0.997,426,0.656,19,9,0.474,11,2,0.182,6,12,9,22,4,6,4,4
14,1366,1366,1,1221,1126,0.922,475,0.389,20,10,0.5,10,2,0.2,2,12,2,25,2,6,2,6
15,1147,1147,1,1669,1449,0.868,571,0.342,25,11,0.44,11,3,0.273,9,13,4,29,3,4,5,5
16,345,345,1,342,279,0.816,186,0.544,14,10,0.714,7,1,0.143,1,2,3,4,6,3,1,5
17,1582,1579,0.998,1600,1462,0.914,1074,0.671,22,6,0.273,18,0,0,5,17,5,23,3,9,6,30
18,963,963,1,1112,960,0.863,527,0.474,13,4,0.308,10,0,0,2,9,0,16,2,1,0,8
19,945,944,0.999,1583,1450,0.916,817,0.516,22,12,0.545,17,0,0,4,11,8,11,3,5,6,5
20,2608,2607,1,3726,3497,0.939,2752,0.739,31,8,0.258,15,1,0.067,4,39,4,40,1,11,3,10
21,2287,2287,1,2805,2368,0.844,1620,0.578,22,7,0.318,16,3,0.188,6,29,6,35,2,7,1,5
22,2104,2104,1,2036,2009,0.987,1388,0.682,27,14,0.519,9,2,0.222,2,28,2,21,0,1,0,3
23,437,437,1,803,634,0.79,432,0.538,15,1,0.067,17,1,0.059,3,3,1,8,1,2,5,3
24,3018,3016,0.999,4080,3913,0.959,2015,0.494,33,20,0.606,16,6,0.375,7,34,5,46,1,3,2,6
25,2037,2036,1,2479,2403,0.969,1750,0.706,26,19,0.731,14,2,0.143,3,27,4,33,0,6,3,2
26,3114,3114,1,1848,1655,0.896,814,0.44,21,16,0.762,7,1,0.143,8,23,4,25,3,10,2,9
27,1986,1984,0.999,3497,3236,0.925,2111,0.604,38,28,0.737,24,2,0.083,2,32,2,36,5,8,4,20
28,3213,3209,0.999,2321,2175,0.937,904,0.389,27,21,0.778,15,3,0.2,2,28,4,25,0,7,0,3
29,871,871,1,2152,1773,0.824,862,0.401,28,14,0.5,17,0,0,7,10,4,27,2,4,2,6
30,2061,2061,1,3185,3032,0.952,2188,0.687,30,15,0.5,17,2,0.118,6,38,11,43,0,2,1,3
31,3921,3913,0.998,4231,3583,0.847,2157,0.51,49,15,0.306,15,2,0.133,4,44,6,39,1,2,1,1
32,499,498,0.998,1014,759,0.749,466,0.46,14,3,0.214,10,1,0.1,3,8,0,10,1,5,5,7
Citywide,60001,59904,0.998,63717,55790,0.876,32010,0.502,799,355,0.444,499,45,0.09,141,620,132,902,81,190,99,273
