PRE DIR,PRE TYPE,STREET NAME,STREET TYPE,STATUS
W,,WELLS BRANCH,PKWY,ACTIVE
W,,WELLS BRANCH,PKWY,ACTIVE
W,,CARRIE MANOR,ST,ACTIVE
W,,CESAR CHAVEZ,ST,ACTIVE
W,,CROSLIN,ST,ACTIVE
W,,ELLIOTT,ST,ACTIVE
W,,FIRST,ST,ACTIVE
W,,GIBSON,ST,ACTIVE
W,,GUADALUPE,ST,ACTIVE
W,,HALL,ST,ACTIVE
W,,JAMES,ST,ACTIVE
W,,JOHANNA,ST,ACTIVE
W,,LOGAN,ST,ACTIVE
W,,MAIN,ST,ACTIVE
W,,CADDO,ST,ACTIVE
,,SUNNINGDALE,ST,ACTIVE
,,SUNNY VALE,ST,ACTIVE
,,SUSIE,ST,ACTIVE
,,SWISHER,ST,ACTIVE
,,SYCAMORE,ST,ACTIVE
,,SYCAMORE,ST,ACTIVE
,,TAMIL,ST,ACTIVE
,,TANGLEWOOD,ST,ACTIVE
,,TANNEY,ST,ACTIVE
,,TASSEY,ST,ACTIVE
,,TAYLOR,ST,ACTIVE
,,TAYLOR,ST,ACTIVE
,,TAYLOR GAINES,ST,ACTIVE
,,TEDFORD,ST,ACTIVE
,,TENTH,ST,ACTIVE
,,TERRA,ST,ACTIVE
,,LIBERTY,ST,ACTIVE
,,LIBERTY,ST,ACTIVE
,,LEYTON,ST,ACTIVE
,,LEVERING,ST,ACTIVE
,,LERALYNN,ST,ACTIVE
,,LEONARD,ST,ACTIVE
,,LEONA,ST,ACTIVE
,,LEON,ST,ACTIVE
,,LEO,ST,ACTIVE
,,CAMERON,LOOP,ACTIVE
,,CANDACE,LOOP,ACTIVE
,,CIRCLETREE,LOOP,ACTIVE
,,DOUBLE SPUR,LOOP,ACTIVE
,,CIRCLE J,LOOP,ACTIVE
,,DOUBLE SPUR,LOOP,ACTIVE
,,DONNA JANE,LOOP,ACTIVE
,,CURRY,LOOP,ACTIVE
,,CLEAR VIEW,LOOP,ACTIVE
,,SUNDEW,PASS,ACTIVE
,,SUMMIT,PASS,ACTIVE
,,WELLS POINT,PASS,ACTIVE
,,WALTON HILL,PASS,ACTIVE
,,TULAROSA,PASS,ACTIVE
,,TROPHY,PASS,ACTIVE
,,LITTLE ELM,PARK,ACTIVE
,,GOLDEN GATE,PARK,ACTIVE
,,HEMPHILL,PARK,ACTIVE
,,CORNER BROOK,PASS,ACTIVE
,,COTTAGE GROVE,PASS,ACTIVE
,,COURI,PASS,ACTIVE
,,COVERED WAGON,PASS,ACTIVE
,,BROKEN BOW,PASS,ACTIVE
,,BROOKSIDE,PASS,ACTIVE
,,BUCKSKIN,PASS,ACTIVE
,,CONESTOGA,PASS,ACTIVE
,,CONTINENTAL,PASS,ACTIVE
,,BUCKWHEAT,PASS,ACTIVE
,,BUFFALO,PASS,ACTIVE
