FacilityName,FacilityAddress,ViolationDate,Violation,Disposition,DispositionDate
EL AGUILA,"7926 GEORGIA AVENUE , SILVER SPRING, MD 20910",11/03/2017,SALE TO MINOR,SETTLED; $1000+ALERT,05/02/2018
BACCHUS OF LEBANON,"7945 NORFOLK AVE. , BETHESDA, MD 20814",11/03/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,12/01/2017
BAR LOUIE,"150 GIBBS STREET , ROCKVILLE, MD 20850",11/06/2018,SALE TO MINOR,SETTLED; $2500+ALERT,12/10/2018
NOODLES & COMPANY,"177 KENTLANDS BLVD. SUITE 100, GAITHERSBURG, MD 20878",04/07/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,07/01/2016
PASHA LAND,"644 CENTER POINT WAY , GAITHERSBURG, MD 20878",05/26/2016,SALE TO MINOR,SETTLED: $1000.00 + ALERT,06/22/2016
TGI FRIDAYS,"12281 TECH ROAD , SILVER SPRING, MD 20904",08/08/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,09/04/2018
FUSION BAR & GRILL,"15535 NEW HAMPSHIRE AVENUE , SILVER SPRING, MD 20905",03/27/2016,DISPENSING LIQUOR BY BOTTLE FOR CONSUMPTION ONSITE,HEARING; LICENSE REVOKED,10/05/2016
SPICE XING,"100 GIBBS STREET B, ROCKVILL, MD 20850",01/15/2019,SALE TO MINOR,SETTLED; $2500+ALERT,03/25/2019
NANDO'S PERI PERI,"4839 BETHESDA AVENUE , BETHESDA, MD 20814",07/31/2018,LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100+ALERT,09/10/2018
SUMMER HOUSE SANTA MONICA/STELLA BARRA PIZZERIA,"11825 GRANDPARK AVENUE , ROCKVILLE, MD 20852",10/10/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,10/30/2017
EGGSPECTATION,"923 ELLSWORTH DRIVE , SILVER SPRING, MD 20910",11/08/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,11/29/2017
MONTGOMERY VILLAGE BEER & WINE,"18286 CONTOUR RD , GAITHERSBURG, MD 20879",08/09/2018,SALE TO MINOR,SETTLED;$1000+ALERT,09/04/2018
JAVA NATION,"10516 CONNECTICUT , KENSINGTON, MD 20895",06/22/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500.00 + ALERT,09/06/2016
RIVERSIDE HOTPOT CUISINE,"820 MUDDY BRANCH ROAD , GAITHERSBURG, MD 20878",07/13/2018,SALE TO MINOR,SEETLED; $1000+ALERT,08/13/2018
VIET PHO & GRILL,"1640 ELTON ROAD , SILVER SPRING, MD 20903",08/23/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,09/22/2016
GODAVARI,"9011 GAITHER ROAD , GAITHERSBURG, MD 20877",04/02/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,04/26/2018
ERTA ALE RESTAURANT & CAFE,"2310 PRICE AVENUE , WHEATON, MD 20902",04/03/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500.00 + ALERT,06/15/2017
LIMARIA POLLO A LA BRASA,"74 BUREAU DRIVE , GAITHERSBURG, MD 20878",08/06/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,08/13/2018
POCKET BAR & GRILL,"15535 NEW HAMPSHIRE AVENUE , SILVER SPRING, MD 20905",09/16/2017,ACTS CONTRARY TO LAW,SETTLED; $500 + ALERT,02/15/2018
LUCY ETHIOPIAN RESTAURANT,"8301 GEORGIA AVENUE , SILVER SPRING, MD 20910",03/08/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500 + ALERT,04/11/2018
TOKYO SUSHI,"18301 LEAMAN RD , GERMANTOWN, MD 20874",07/16/2018,SALE TO MINOR,SETTLED;$1000+ALERT,08/15/2018
BRIGGS CHANEY DELI,"13832 OUTLET DRIVE , SILVER SPRING, MD 20904",10/06/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,11/06/2017
DON JORGE'S RESTAURANT BAR & GRILL,"108 EAST DIAMOND AVE , GAITHERSBURG, MD 20877",08/14/2018,SALE TO MINOR,SETTLED;$1000+ALERT,11/21/2018
THE HILTON AT GAITHERSBURG,"620 PERRY PKWY. , GAITHERSBURG, MD 20877",10/04/2018,SALE TO MINOR,SETTLED;$1000+ALERT,10/18/2018
RATTLEWOOD GOLF COURSE,"13501 PENN SHOP ROAD , DAMASCUS, MD 20872",11/05/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,11/08/2017
6/12 CONVENIENT MART,"14100 DARNESTOWN ROAD C, DARNESTOWN, MD 20874",12/02/2016,SALE TO MINOR,SETTLED; $2500.00 + ALERT,12/21/2016
ROSSMOOR LEISURE WORLD,"3700 ROSSMOOR BLVD. , SILVER SPRING, MD 20906",05/10/2017,APPLICATION - FAILURE TO UPDATE,SETTLED; $2000.00 + ALERT,06/07/2017
CITY TASTE ASIAN CUISINE,"930 WAYNE AVE , SILVER SPRING, MD 20910",07/31/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,08/09/2018
GREGORIO'S TRATTORIA,"7745 TUCKERMAN LANE , POTOMAC, MD 20854",01/11/2017,SALE TO MINOR,SETTLED: $1000.00 + ALERT,02/01/2017
