Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Location 1
ELEC,TRICOR-PLAT1-2N,30-34 Plattekill Ave,NEW PALTZ; Tricor and Plattekill avenues,New Paltz,NY,12561,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.745952,-74.084069,05/10/2020,92366,2020-05-10 09:19:27,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,"(41.7459524, -74.0840691)"
BD,Metro Fuel Oil,801 Scott Ave,,Calverton,NY,11933,,631-208-9000,E,,Public,24 hours daily,A Cash D Debit M V,B20,,,,,,,,,200-9,40.913803,-72.800416,05/09/2019,121471,2020-02-26 19:32:09,P,,,04/15/2019,,,,,,US,,,,Public,,public,,,COOP,,,,,,,,,,,,,,,,,"(40.913803, -72.800416)"
ELEC,STONY BROOK UNV,Circle Rd,LIFE SCIENCES; -,Stony Brook,NY,11790,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.910667,-73.119738,05/10/2020,145199,2020-05-10 09:19:27,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,"Pricing is based on an hourly rate. $1 per hour, minimum payment of $1",,,,,,,,,,"(40.9106669, -73.1197384)"
ELEC,45 RESEARCH WAY,45 Research Way,45 RESEARCH #1,Setauket- East Setauket,NY,11733,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.904465,-73.087780,05/10/2020,147496,2020-05-10 09:19:27,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,"Pricing is based on length of time and kWh used. $0 per hour, and $1.5 per additional hour from 12:00 AM to 9:00 AM, $0.2 per kWh",,,,,,,,,,"(40.904465, -73.08778000000001)"
ELEC,SPOTCOWORK,21 Goodway Drive,HENRIETTA; Located at SPOT cowork,Rochester,NY,14623,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.091965,-77.580734,05/10/2020,150809,2020-05-10 09:19:27,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,"(43.091965, -77.58073399999999)"
ELEC,MARKET 32 EV,501 COLUMBIA PLAZA,MARKET 32 EG CH; In front of building,Rensselaer,NY,12144,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.607573,-73.719919,05/10/2020,152319,2020-05-10 09:19:27,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,"(42.607572999999995, -73.71991899999999)"
ELEC,Stewart's Shops - Tesla Supercharger,6151 NY-8,,Chestertown,NY,12817,,877-798-3752,E,,Public,24 hours daily; Tesla use only,,,,,,,6,,Tesla,http://www.teslamotors.com/supercharger,GPS,43.665842,-73.784335,04/08/2020,154440,2020-04-08 12:29:55,P,,,03/06/2020,,,,,TESLA,US,,,,Public,,public,,,GAS_STATION,,,,,,,,,,,,,,,,,"(43.665842, -73.784335)"
ELEC,Greenlots - 92052,250 Vesey St,,New York,NY,10281,,855-900-7584,E,,Public,24 hours daily,,,,,,2,,,Greenlots,http://greenlots.com/,200-9,40.713828,-74.015909,05/10/2020,99159,2020-05-10 10:01:44,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,"Level 2: $20.00 per hour, maximum payment of $60.00",,,,,,,,,,"(40.713828, -74.015909)"
ELEC,Icon Parking 100 Riverside Blvd. - Tesla Destination,100 Riverside Blvd,,New York,NY,10024,,212-724-0107  877-798-3752,E,,Public,24 hours daily; see valet for access,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.775704,-73.989483,09/30/2019,114989,2020-03-02 20:14:21,P,,,01/01/2016,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,"(40.775704, -73.98948299999999)"
ELEC,EVPASS,9090 Carousel Center Drive,CCT N-1; 3 units in north underground garage off Harborside DrCCT N-2; 3 units in north underground garage off Harborside Dr,Syracuse,NY,13290,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,200-8,43.067538,-76.170394,05/10/2020,41864,2020-05-10 09:19:27,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,"$0.49 per kWh, minimum payment of $1",,,,,,,,,,"(43.067538, -76.17039399999999)"
ELEC,Yeshiva University,385 Audubon Ave,,New York,NY,10033,,866-816-7584,E,,Public,24 hours daily,,,,,,1,,,EV Connect,http://evconnect.com/,GPS,40.850664,-73.930638,06/06/2019,123105,2020-03-30 21:22:28,P,,,04/01/2019,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,,,,,,,,,,,"(40.850664200000004, -73.93063790000001)"
ELEC,City Parking E 61st Street - Tesla Destination,425 E 61st St,,New York,NY,10065,,212-219-3413  877-798-3752,E,,Public,24 hours daily; see valet for access,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.760522,-73.959278,09/30/2019,115135,2020-03-02 20:14:21,P,,,09/01/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,"(40.760521999999995, -73.959278)"
ELEC,WARRENCOUNTY,1380 U.S. 9,DPW 5,Lake George,NY,12845,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.359247,-73.701335,05/10/2020,150255,2020-05-10 09:19:27,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,$0.16 per kWh,,,,,,,,,,"(43.3592466, -73.7013347)"
ELEC,HONEST WEIGHT,81 Watervliet Ave,HONEST WEIGHT 1,Albany,NY,12206,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.678158,-73.781550,05/10/2020,146797,2020-05-10 09:19:27,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,"(42.678158, -73.78155)"
ELEC,GMC 388 Bridge Street - Tesla Destination,388 Bridge St,,Brooklyn,NY,11201,,718-855-1061  877-798-3752,E,,Public,24 hours daily; pay lot; see valet for access,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.691652,-73.985733,09/30/2019,114903,2020-03-02 20:14:21,P,,,11/01/2018,,,,,TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,"(40.691652000000005, -73.985733)"
ELEC,AutoZone Auto Parts,57 Route 6,,Baldwin Place,NY,10505,,866-816-7584,E,,Public,24 hours daily,,,,,,1,,,EV Connect,http://evconnect.com/,GPS,41.346093,-73.756731,04/08/2020,123121,2020-04-08 12:29:55,P,,,04/01/2019,,,,,J1772,US,,,,Public,,public,,,AUTO_REPAIR,,,,,,,,,,,,,,,,,"(41.346093100000004, -73.7567311)"
