credentialid,name,type,businessname,dba,fullcredentialcode,credentialtype,credentialnumber,credentialsubcategory,credential,status,statusreason,active,issuedate,effectivedate,expirationdate,address,city,state,zip,recordrefreshedon,New Georeferenced Column,Planning Regions,Counties,Zip Code,Town Index
1388588,MASONICARE HOME HEALTH AND HOSPICE,CORPORATION,MASONICARE HOME HEALTH AND HOSPICE,MASONICARE HOME HEALTH AND HOSPICE,ALSA.0000185,ALSA,185,,Assisted Living Service Agency,ACTIVE,CURRENT,1,11/09/2016 12:00:00 AM,10/01/2018 12:00:00 AM,09/30/2020 12:00:00 AM,104 SOUTH TURNPIKE ROAD,WALLINGFORD,CT,06492,06/04/2019 12:00:00 AM,POINT (-72.845175 41.446386),7,1044,195,148
1003789,ATRIA GREENRIDGE PLACE,LIMITED LIABILITY COMPANY,ATRIA GREENRIDGE PLACE,ATRIA GREENRIDGE PLACE,ALSA.0000159,ALSA,159,,Assisted Living Service Agency,ACTIVE,CURRENT,1,06/22/2011 12:00:00 AM,04/01/2019 12:00:00 AM,03/31/2021 12:00:00 AM,1 ELIZABETH CT,ROCKY HILL,CT,060671187,04/23/2019 12:00:00 AM,POINT (-72.674737 41.667831),1,1041,189,119
929168,THE SAYBROOK AT HADDAM,LIMITED LIABILITY COMPANY,THE SAYBROOK AT HADDAM,THE SAYBROOK AT HADDAM,ALSA.0000148,ALSA,148,,Assisted Living Service Agency,ACTIVE,CURRENT,1,09/25/2009 12:00:00 AM,07/01/2019 12:00:00 AM,06/30/2021 12:00:00 AM,1556 SAYBROOK RD ROUTE 154,HADDAM,CT,064381370,07/05/2019 12:00:00 AM,,,,,
930102,CEDAR LLC,BUSINESS,CEDAR LLC,LAUREL GARDENS OF TRUMBULL,ALSA.0AL0037,ALSA,AL0037,,Assisted Living Service Agency,INACTIVE,,0,10/01/2004 12:00:00 AM,10/01/2004 12:00:00 AM,09/30/2006 12:00:00 AM,2750 RESERVOIR AVENUE,TRUMBULL,CT,06611,05/18/2010 12:00:00 AM,POINT (-73.196145 41.237926),2,1040,76,144
1468423,FAIRFIELD COUNTY HOUSE,CORPORATION,FAIRFIELD COUNTY HOUSE,FAIRFIELD COUNTY HOUSE,ALSA.0000191,ALSA,191,,Assisted Living Service Agency,ACTIVE,CURRENT,1,01/10/2018 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2021 12:00:00 AM,1 DEN RD,STAMFORD,CT,069021113,05/01/2020 12:00:00 AM,POINT (-73.575065 41.096419),9,1040,7,135
929131,BAL TRUMBULL LLC,LIMITED LIABILITY COMPANY,BAL TRUMBULL LLC,BAL TRUMBULL,ALSA.0000143,ALSA,143,,Assisted Living Service Agency,ACTIVE,CURRENT,1,12/02/2008 12:00:00 AM,10/01/2018 12:00:00 AM,09/30/2020 12:00:00 AM,2750 RESERVOIR AVE,TRUMBULL,CT,066115715,10/19/2018 12:00:00 AM,POINT (-73.196145 41.237926),2,1040,76,144
929994,ROSEDALE OF GLASTONBURY LIMITED PARTNERSHIP,BUSINESS,ROSEDALE OF GLASTONBURY LIMITED PARTNERSHIP,LAUREL GARDENS OF GLASTONBURY,ALSA.0000069,ALSA,69,,Assisted Living Service Agency,INACTIVE,,0,07/01/2007 12:00:00 AM,07/01/2007 12:00:00 AM,06/30/2009 12:00:00 AM,1177 Hebron Avenue,Glastonbury,CT,06033,05/18/2010 12:00:00 AM,POINT (-72.565688 41.718233),1,1041,90,54
930210,HEBREW COMMUNITY SERVICES INC.,CORPORATION,HEBREW COMMUNITY SERVICES INC.,HEBREW HEALTH CARE ASSISTED LIVING SERVICE AGENCY,ALSA.0AL0052,ALSA,AL0052,,Assisted Living Service Agency,ACTIVE IN RENEWAL,CURRENT,1,04/01/2008 12:00:00 AM,04/01/2018 12:00:00 AM,03/31/2020 12:00:00 AM,1 ABRAHMS BLVD,WEST HARTFORD,CT,061171508,04/14/2020 12:00:00 AM,POINT (-72.728931 41.802774),1,1041,181,155
928953,AHC CAPITAL INC.,BUSINESS,AHC CAPITAL INC.,ALTERRA CLARE BRIDGE OF GLASTONBURY,ALSA.0000062,ALSA,62,,Assisted Living Service Agency,INACTIVE,,0,03/16/2001 12:00:00 AM,03/16/2001 12:00:00 AM,12/31/2002 12:00:00 AM,1824 Manchester Road,Glastonbury,CT,06033,05/18/2010 12:00:00 AM,POINT (-72.52021 41.730072),1,1041,90,54
1361714,WATERMARK AT HOME,LIMITED LIABILITY COMPANY,WATERMARK AT HOME,WATERMARK AT HOME,ALSA.0000180,ALSA,180,,Assisted Living Service Agency,ACTIVE IN RENEWAL,CURRENT,1,06/20/2016 12:00:00 AM,04/01/2018 12:00:00 AM,03/31/2020 12:00:00 AM,3030 PARK AVE,BRIDGEPORT,CT,066041138,03/12/2020 12:00:00 AM,POINT (-73.219717 41.198599),2,1040,172,15
1125452,MAPLEWOOD AT ORANGE,LIMITED LIABILITY COMPANY,MAPLEWOOD AT ORANGE,MAPLEWOOD AT ORANGE,ALSA.0000167,ALSA,167,,Assisted Living Service Agency,ACTIVE,CURRENT,1,09/28/2012 12:00:00 AM,07/01/2018 12:00:00 AM,06/30/2020 12:00:00 AM,245 INDIAN RIVER RD,ORANGE,CT,064773668,07/20/2018 12:00:00 AM,POINT (-73.000132 41.263913),7,1044,196,107
929524,PARAMOUNT SENIOR LIVING AT LITCHFIELD LLC,BUSINESS,PARAMOUNT SENIOR LIVING AT LITCHFIELD LLC,SARAH PIERCE ASSISTED LIVING,ALSA.0000108,ALSA,108,,Assisted Living Service Agency,INACTIVE,,0,08/01/2005 12:00:00 AM,08/01/2005 12:00:00 AM,06/30/2007 12:00:00 AM,19 Constitution Way,Litchfield,CT,06759,05/18/2010 12:00:00 AM,POINT (-73.2049 41.743708),6,1042,264,74
929713,MCLEAN FUND,BUSINESS,MCLEAN FUND,MCLEAN ASSISTED LIVING SERVICES,ALSA.0AL0013,ALSA,AL0013,,Assisted Living Service Agency,INACTIVE,,0,07/01/2001 12:00:00 AM,07/01/2001 12:00:00 AM,06/30/2003 12:00:00 AM,75 Great Pond Road,SIMSBURY,CT,06070,05/18/2010 12:00:00 AM,POINT (-72.824809 41.885251),1,1041,18,128
930028,MASONICARE AT NEWTOWN/LOCKWOOD LODGE,CORPORATION,MASONICARE AT NEWTOWN/LOCKWOOD LODGE,MASONICARE AT NEWTOWN/LOCKWOOD LODGE,ALSA.0000086,ALSA,86,,Assisted Living Service Agency,CLOSED,CLOSED,0,10/01/2008 12:00:00 AM,10/01/2016 12:00:00 AM,09/30/2018 12:00:00 AM,139 TODDY HILL RD,SANDY HOOK,CT,064821362,06/11/2018 12:00:00 AM,POINT (-73.258862 41.38261),9,1040,152,97
930721,ONE MACDONOUGH PLACE,CORPORATION,ONE MACDONOUGH PLACE,ONE MACDONOUGH PLACE,ALSA.0AL0029,ALSA,AL0029,,Assisted Living Service Agency,ACTIVE,CURRENT,1,10/01/2008 12:00:00 AM,10/01/2018 12:00:00 AM,09/30/2020 12:00:00 AM,1 MACDONOUGH PL,MIDDLETOWN,CT,064573607,01/14/2019 12:00:00 AM,POINT (-72.646473 41.555899),3,1043,236,83
930301,WAVENY CARE CENTER HEALTH SERVICES INC.,CORPORATION,WAVENY CARE CENTER HEALTH SERVICES INC.,ASSISTED LIVING SERVICE AGENCY OF NEW CANAAN,ALSA.0000071,ALSA,71,,Assisted Living Service Agency,ACTIVE,CURRENT,1,10/01/2009 12:00:00 AM,10/01/2019 12:00:00 AM,09/30/2021 12:00:00 AM,3 FARM RD,NEW CANAAN,CT,068406626,11/18/2019 12:00:00 AM,POINT (-73.493667 41.128529),9,1040,180,90
1518503,ATRIA LITCHFIELD HILLS,LIMITED LIABILITY COMPANY,ATRIA LITCHFIELD HILLS,ATRIA LITCHFIELD HILLS,ALSA.0000194,ALSA,194,,Assisted Living Service Agency,ACTIVE IN RENEWAL,CURRENT,1,05/29/2018 12:00:00 AM,05/22/2018 12:00:00 AM,03/31/2020 12:00:00 AM,376 GOSHEN ROAD,TORRINGTON,CT,06790,01/16/2020 12:00:00 AM,POINT (-73.15464 41.820838),6,1042,122,143
930717,AVERY HEIGHTS ASSISTED LIVING SERVICES AGENCY,CORPORATION,AVERY HEIGHTS ASSISTED LIVING SERVICES AGENCY,AVERY HEIGHTS ASSISTED LIVING SERVICES AGENCY,ALSA.0AL0016,ALSA,AL0016,,Assisted Living Service Agency,ACTIVE,CURRENT,1,04/01/2009 12:00:00 AM,04/01/2019 12:00:00 AM,03/31/2021 12:00:00 AM,705 NEW BRITAIN AVENUE,HARTFORD,CT,061064263,12/13/2019 12:00:00 AM,POINT (-72.705383 41.733277),1,1041,182,64
1518501,ATRIA LITCHFIELD HILLS,LIMITED LIABILITY COMPANY,ATRIA LITCHFIELD HILLS,ATRIA LITCHFIELD HILLS,ALSA.0000192,ALSA,192,,Assisted Living Service Agency,INACTIVE,,0,,,,376 GOSHEN ROAD,TORRINGTON,CT,06790,05/29/2018 12:00:00 AM,POINT (-73.15464 41.820838),6,1042,122,143
930726,SUFFIELD BY THE RIVER,LIMITED LIABILITY COMPANY,SUFFIELD BY THE RIVER,SUFFIELD BY THE RIVER,ALSA.0AL0036,ALSA,AL0036,,Assisted Living Service Agency,CLOSED,CLOSED,0,01/01/2009 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2020 12:00:00 AM,7 CANAL RD,SUFFIELD,CT,060781970,09/26/2019 12:00:00 AM,POINT (-72.613305 41.985924),1,1041,115,139
2001797,CHURCH HILL  VILLAGE,LIMITED LIABILITY COMPANY,CHURCH HILL  VILLAGE,CHURCH HILL  VILLAGE,ALSA.0000219,ALSA,219,,Assisted Living Service Agency,ACTIVE,CURRENT,1,01/23/2020 12:00:00 AM,01/23/2020 12:00:00 AM,12/31/2021 12:00:00 AM,2 BOULEVARD,NEWTOWN,CT,064701602,02/19/2020 12:00:00 AM,POINT (-73.30058 41.41495),9,1040,153,97
