Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A817076,"6515 GREENSBORO DRIVE
AUSTIN 78723
(30.306574, -97.66427)",Yes (come to the shelter),05/07/2020,Cat,Domestic Shorthair,Gray Tabby,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817076
A817202,"8712 IPSWICH BAY DRIVE
AUSTIN 78747
(30.152488, -97.748739)",No (contact for more info),05/10/2020,Cat,Domestic Shorthair Mix,Orange Tabby/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A817202
A817201,"1711 WHELESS LANE
AUSTIN 78723
(30.315307, -97.690835)",No (contact for more info),05/10/2020,Dog,Chihuahua Shorthair Mix,White/Brown Brindle,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817201
A817203,"1800 EAST STASSNEY LANE
AUSTIN 78745",No (contact for more info),05/10/2020,Dog,Chihuahua Shorthair Mix,Yellow,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817203
A817200,"1711 WHELESS LANE
AUSTIN 78723
(30.315307, -97.690835)",No (contact for more info),05/10/2020,Dog,Chihuahua Shorthair Mix,Black/Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817200
A817091,"3004 LONG DAY DRIVE
AUSTIN 78754
(30.363061, -97.644698)",Yes (come to the shelter),05/07/2020,Dog,Border Terrier,Black/Gray,Intact Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817091
A817032,"6123 GINITA LANE
AUSTIN 78739
(30.190813, -97.889336)",No (contact for more info),05/06/2020,Cat,Domestic Shorthair,Black,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A817032
A817081,"7205 PROVIDENCE AVENUE
AUSTIN 78752
(30.329944, -97.697062)",Yes (come to the shelter),05/07/2020,Dog,Siberian Husky,White,Intact Female,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817081
A817031,"6904 COLONY PARK DRIVE
AUSTIN 78724
(30.30114, -97.643877)",No (contact for more info),05/06/2020,Dog,Pit Bull,Chocolate,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A817031
A817208,"11711 MELSTONE DRIVE MANOR78653
(30.317401, -97.537101)",No (contact for more info),05/10/2020,Cat,Domestic Shorthair Mix,Black,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A817208
A817083,"4807 SARA DRIVE
AUSTIN 78721
(30.270206, -97.689403)",Yes (come to the shelter),05/07/2020,Cat,Domestic Shorthair,Tortie,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A817083
A817074,"1528 EAST PARMER LANE
AUSTIN 78753
(30.389239, -97.651582)",Yes (come to the shelter),05/07/2020,Dog,Pit Bull Mix,White/Brown,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817074
A817075,"2509 W PECAN ST
AUSTIN 78660
(30.447859, -97.654051)",Yes (come to the shelter),05/07/2020,Dog,Labrador Retriever/Pointer,White/Brown,Neutered Male,10 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A817075
A817084,"9323 MENCHACA RD
AUSTIN 78748
(30.179202, -97.820563)",Yes (come to the shelter),05/07/2020,Cat,Domestic Shorthair,Brown Tabby,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A817084
A816856,"12337 TOMANET TRL
AUSTIN 78758
(30.416139, -97.702536)",Yes (come to the shelter),05/08/2020,Cat,Domestic Shorthair,Brown Tabby/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A816856
A816143,"19605 WT GALLAWAY STREET MANOR78653
(30.354299, -97.508929)",No (contact for more info),05/06/2020,Dog,Cairn Terrier Mix,Cream/Tan,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A816143
A817051,"216 OLD BASTROP RD78612
(30.175831, -97.531083)",Yes (come to the shelter),05/06/2020,Dog,Boxer,Brown/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817051
A766965,"2013 PEOPLES STREET
AUSTIN 78702
(30.267619, -97.717395)",Yes (come to the shelter),05/08/2020,Dog,Australian Cattle Dog Mix,White/Red,Neutered Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A766965
A817145,"103 WEST APPLEGATE DRIVE
AUSTIN 78753
(30.37146, -97.686674)",No (contact for more info),05/08/2020,Dog,Dachshund,Black/White,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A817145
A817043,"1515 WICKERSHAM LANE
AUSTIN 78741
(30.235457, -97.718948)",No (contact for more info),05/06/2020,Dog,Wire Hair Fox Terrier,White/Gray,Intact Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817043
A817049,"900 SHELBY LANE
AUSTIN 78745
(30.211767, -97.758782)",Yes (come to the shelter),05/06/2020,Dog,Australian Shepherd,Tan/White,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A817049
A817142,"8409 ANNALISE DRIVE
AUSTIN 78744
(30.175084, -97.692587)",No (contact for more info),05/08/2020,Dog,German Shepherd,Brown/Black,Intact Female,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817142
A817144,"2000 EAST STASSNEY LANE
AUSTIN 78744
(30.19546, -97.758525)",No (contact for more info),05/08/2020,Dog,Pit Bull,White/Black,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A817144
A817122,"4904 CHINA GARDEN
AUSTIN 78730
(30.374467, -97.841977)",No (contact for more info),05/08/2020,Dog,Boxer Mix,Tricolor,Intact Male,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817122
A817140,"13807 FM
AUSTIN 78617",Yes (come to the shelter),05/08/2020,Dog,Basset Hound,Blue Tick/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817140
A817052,"200 W CARRIE MANOR RD
AUSTIN 78653
(30.339713, -97.559537)",No (contact for more info),05/06/2020,Dog,Miniature Poodle,White,Spayed Female,12 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817052
A817207,"11711 MELSTONE DRIVE MANOR78653
(30.317401, -97.537101)",No (contact for more info),05/10/2020,Cat,Domestic Shorthair Mix,Black,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A817207
A817209,"11711 MELSTONE DRIVE MANOR78653
(30.317401, -97.537101)",No (contact for more info),05/10/2020,Cat,Domestic Medium Hair,Black,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A817209
A817206,"906 EAST BLACK LOCUST DRIVE
PFLUGERVILLE 78660
(30.454768, -97.622655)",No (contact for more info),05/10/2020,Dog,German Shepherd Mix,Brown/Black,Intact Male,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A817206
A817212,"3905 TAMARACK TRAIL
AUSTIN 78727
(30.428094, -97.711824)",No (contact for more info),05/10/2020,Dog,Labrador Retriever/Pit Bull,Brown/White,Intact Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A817212
A817211,"8805 NORTH PLAZA
AUSTIN 78753
(30.350319, -97.688111)",Yes (come to the shelter),05/10/2020,Cat,Domestic Shorthair,Gray/Black,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A817211
A817134,"18025 PRAIRIE VERBENA LANE
AUSTIN 78621
(30.348673, -97.429199)",Yes (come to the shelter),05/08/2020,Dog,Pit Bull,Blue/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817134
A817137,"3500 GRAYSON LN
AUSTIN 78722
(30.287536, -97.709492)",Yes (come to the shelter),05/08/2020,Cat,Domestic Shorthair,Black/White,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A817137
A817129,"4807 SARA DRIVE
AUSTIN 78721
(30.270206, -97.689403)",Yes (come to the shelter),05/08/2020,Cat,Domestic Shorthair Mix,Black,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A817129
A817125,"2101 CANTERBURY STREET
AUSTIN 78702
(30.254381, -97.7228)",No (contact for more info),05/08/2020,Cat,Domestic Shorthair,Brown Tabby,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A817125
A817220,"11512 WIGINTON DRIVE
AUSTIN 78758
(30.388983, -97.695399)",No (contact for more info),05/10/2020,Dog,Pit Bull Mix,Black,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817220
A817035,"7900 RUNNING WATER DRIVE
AUSTIN 78747
(30.159808, -97.740949)",No (contact for more info),05/06/2020,Cat,Domestic Shorthair,Calico,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A817035
A817042,"11612 TIMBER HEIGHTS DRIVE
AUSTIN 78754
(30.377003, -97.651905)",No (contact for more info),05/06/2020,Cat,Domestic Shorthair,Orange Tabby,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A817042
A817036,"1820 WEST STASSNEY LANE
AUSTIN 78745
(30.214831, -97.796329)",No (contact for more info),05/06/2020,Dog,Yorkshire Terrier,White/Gray,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A817036
A817222,"4704 SANTA
ANNA AUSTIN 78721",Yes (come to the shelter),05/10/2020,Cat,Domestic Medium Hair,Brown/Black,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817222
A817130,"2210 BALTUSROL DRIVE
AUSTIN 78747
(30.142797, -97.790289)",No (contact for more info),05/08/2020,Dog,Chihuahua Shorthair,Tan,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817130
A816991,"15405 LONG VISTA DRIVE
AUSTIN 78728
(30.453997, -97.67652)",No (contact for more info),05/05/2020,Dog,Pit Bull,White/Brown,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A816991
A817128,"10217 PETERSON ROAD78617
(30.100359, -97.633946)",No (contact for more info),05/08/2020,Dog,Australian Cattle Dog,Black/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A817128
A816993,"5302 DUVAL STREET
AUSTIN 78751
(30.316665, -97.718344)",No (contact for more info),05/05/2020,Cat,Domestic Shorthair,Gray Tabby/Brown,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A816993
A817133,"5823 AVERY ISLAND AVENUE
AUSTIN 78727
(30.434375, -97.743906)",No (contact for more info),05/08/2020,Cat,Domestic Shorthair,Cream Tabby,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A817133
A814198,"12506 MONAGHAN TRL
AUSTIN 78727
(30.426149, -97.727043)",Yes (come to the shelter),05/05/2020,Cat,Domestic Medium Hair,Black/White,Neutered Male,10 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A814198
A816997,"10208 WILLFIELD DRIVE
AUSTIN 78753
(30.361477, -97.66988)",Yes (come to the shelter),05/05/2020,Dog,German Shepherd Mix,Brown/Black,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A816997
A817002,"2606 SWEENEY LANE
AUSTIN 78723
(30.308001, -97.682078)",No (contact for more info),05/05/2020,Cat,Domestic Shorthair,Brown Tabby,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A817002
A817136,"402 WEST PARSON STREET MANOR78653
(30.341693, -97.561141)",Yes (come to the shelter),05/08/2020,Cat,Domestic Medium Hair,White/Black,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A817136
A816999,"7704 S 97378719
(30.14505, -97.673959)",Yes (come to the shelter),05/05/2020,Dog,Dachshund/Chihuahua Shorthair,Tricolor,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A816999
A817156,"2143 CERVIN
AUSTIN 78728
(30.445214, -97.676482)",Yes (come to the shelter),05/08/2020,Dog,Dachshund,Black/Brown,Intact Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817156
A817038,"5814 ENCINAL COVE
AUSTIN 78744
(30.191212, -97.750393)",No (contact for more info),05/06/2020,Dog,Labrador Retriever,Black,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A817038
A817039,"12800 CHROMITE STREET
AUSTIN 78727
(30.422318, -97.69709)",No (contact for more info),05/06/2020,Dog,Chihuahua Shorthair,Sable,Unknown,10 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817039
