BAVN ID,Department,Status,Category,Type,Open Date,Due Date,Title,BAVN Link
30751,General Services,Amended,Commodity,Request For Bid,08/16/2019 11:36:00 AM,06/30/2037 11:36:00 AM,Online Bidding Practice,https://www.labavn.org/bid.cfm?30751
39626,Airports Los Angeles World,Amended,Commodity,Request For Bid,04/22/2020 05:00:00 AM,05/21/2020 05:00:00 AM,120018 Irrigation Products and Supplies for LAX and Van Nuys Airports,https://www.labavn.org/bid.cfm?39626
38185,Water & Power,Open,Personal Services,Request For Interest,10/31/2019 03:00:00 AM,01/01/2030 03:00:00 AM,RFI  RENEWABLE ANDOR DISTRIBUTED ENERGY RESOURCES  10282019  POWER  JRD,https://www.labavn.org/bid.cfm?38185
34323,Transportation,Amended,Personal Services,Request For Proposal,08/24/2018 04:00:00 AM,08/31/2020 04:00:00 AM,Lease of Retail Suites at Various LADOT Parking Faciliites,https://www.labavn.org/bid.cfm?34323
38588,General Services,Open,Personal Services,Request For Proposal,12/12/2019 11:00:00 AM,06/30/2024 11:00:00 AM,Leasing Retail Space at Braude Retail Mall in Van Nuys,https://www.labavn.org/bid.cfm?38588
35784,Airports Los Angeles World,Open,Personal Services,Request For Proposal,02/01/2019 03:00:00 AM,12/31/2199 03:00:00 AM,Request for Proposals for Lease of Property for Fixed Base Operations at 6201 W Imperial Highway at Los Angeles International Airport,https://www.labavn.org/bid.cfm?35784
39741,General Services,Open,Commodity,Request For Quote,05/08/2020 02:34:00 AM,05/12/2020 02:34:00 AM,Transmitter 2wire Aluminum Mfr Scott Safety,https://www.labavn.org/bid.cfm?39741
39670,General Services,Open,Commodity,Request For Bid,04/29/2020 12:07:00 PM,05/20/2020 12:07:00 PM,ARC for Ambulance,https://www.labavn.org/bid.cfm?39670
39330,Water & Power,Amended,Personal Services,Request For Proposal,03/03/2020 01:59:00 AM,05/15/2020 01:59:00 AM,MEDIA PLANNING AND PLACEMENT SERVICES,https://www.labavn.org/bid.cfm?39330
39740,General Services,Open,Commodity,Request For Quote,05/08/2020 02:34:00 AM,05/12/2020 02:34:00 AM,Kit Analyzer Repair Motors Mfr Wallace  Tiernan,https://www.labavn.org/bid.cfm?39740
39699,General Services,Open,Commodity,Request For Bid,05/05/2020 07:06:00 AM,05/19/2020 07:06:00 AM,VAN PANEL Spec No 1701117,https://www.labavn.org/bid.cfm?39699
39738,General Services,Open,Commodity,Request For Quote,05/08/2020 01:34:00 AM,05/13/2020 01:34:00 AM,Fencing 5Rail Sequoia,https://www.labavn.org/bid.cfm?39738
39710,Water & Power,Amended,Commodity,Request For Bid,05/06/2020 01:33:00 AM,05/27/2020 01:33:00 AM,TISSUE BATH,https://www.labavn.org/bid.cfm?39710
39675,Harbor Department Port of Los Angeles,Open,Commodity,Request For Quote,04/30/2020 08:00:00 AM,05/15/2020 08:00:00 AM,Teak Adirondack Chairs,https://www.labavn.org/bid.cfm?39675
39396,Airports Los Angeles World,Amended,Commodity,Request For Bid,03/11/2020 05:00:00 AM,05/14/2020 05:00:00 AM,120014 Hazardous Waste Material Cleanup and Disposal at Los Angeles International Airport and Van Nuys Airport,https://www.labavn.org/bid.cfm?39396
39543,Water & Power,Amended,Commodity,Request For Bid,04/07/2020 09:57:00 AM,05/12/2020 09:57:00 AM,NITRATE ANALYZERS,https://www.labavn.org/bid.cfm?39543
39183,Library Los Angeles Public,Open,Personal Services,Request For Proposal,02/20/2020 01:00:00 AM,07/14/2020 01:00:00 AM,Special Events Coordinator,https://www.labavn.org/bid.cfm?39183
39234,Airports Los Angeles World,Amended,Personal Services,Request For Proposal,02/25/2020 12:00:00 PM,06/30/2020 12:00:00 PM,Request for Proposals for CCTV Phase 2  System Upgrade and Expansion,https://www.labavn.org/bid.cfm?39234
39669,Housing and Community Investment,Amended,Personal Services,Request For Proposal,05/04/2020 06:00:00 AM,06/29/2020 06:00:00 AM,Lead Outreach Education Enrollment Services and Training,https://www.labavn.org/bid.cfm?39669
38576,General Services,Open,Personal Services,Request For Proposal,12/11/2019 03:00:00 AM,06/30/2024 03:00:00 AM,Leasing Retail Space at Los Angeles Mall in Downtown LA,https://www.labavn.org/bid.cfm?38576
39743,Water & Power,Open,Commodity,Request For Bid,05/08/2020 02:40:00 AM,05/19/2020 02:40:00 AM,IFB 131761  STAINLESS STEEL LADDERS WITH LADDER UPS AND APPURTENANCES,https://www.labavn.org/bid.cfm?39743
39671,Water & Power,Open,Commodity,Request For Bid,04/29/2020 01:25:00 AM,05/13/2020 01:25:00 AM,RELAY LINE CURRENT DIFFERENTIAL,https://www.labavn.org/bid.cfm?39671
39734,Water & Power,Open,Commodity,Request For Bid,05/08/2020 09:00:00 AM,05/27/2020 09:00:00 AM,IFB 130594  EAGLE ROCK RESERVOIR CABINETS AND LIFE RINGS,https://www.labavn.org/bid.cfm?39734
