the_geom,DOCUMENT_I,DOCUMENT_T,FILE_NUMBE,SHAPE_AREA,SHAPE_LEN
"MULTIPOLYGON (((-97.73829249608617 30.167104318102414, -97.73846809931963 30.166856883860106, -97.73865828124094 30.166955322716902, -97.73848289976074 30.167202761711696, -97.73829249608617 30.167104318102414)))",2011188213,TRAVIS COUNTY DOCUMENT,4623.01,7397.28785,351.389079499
"MULTIPOLYGON (((-97.74464565882813 30.160873372325256, -97.74474583973766 30.160707627531277, -97.74510542269103 30.16087166919032, -97.74500516865788 30.16104016137714, -97.74464565882813 30.160873372325256)))",2000011816,TRAVIS COUNTY DOCUMENT,3688.01,8811.92039063,394.224806231
"MULTIPOLYGON (((-97.73867530189904 30.167302235656923, -97.73885189912073 30.16705548112183, -97.73904230253088 30.16715395138691, -97.73886570709126 30.16740065121057, -97.73867530189904 30.167302235656923)))",2011188213,TRAVIS COUNTY DOCUMENT,4623.01,7397.4429,351.378446536
"MULTIPOLYGON (((-97.68274282153422 30.255536745954274, -97.68257260875491 30.255816789584358, -97.68189329118202 30.255344820766382, -97.68121408165393 30.254872688877867, -97.68122709068372 30.25485697850247, -97.68124517066288 30.2548342771326, -97.68126284505013 30.254811347334268, -97.6812801138929 30.25478818738963, -97.68129691452526 30.254764771935868, -97.68131330951917 30.25474112977218, -97.68132926730576 30.254717256807208, -97.68134475546692 30.254693179873872, -97.68135980627976 30.25466887729363, -97.68149400683224 30.254454373877934, -97.68160573405186 30.254423681997224, -97.68303087390417 30.25506339925264, -97.68284798814476 30.255364219680594, -97.68274282153422 30.255536745954274)))",2000006805,TRAVIS COUNTY DOCUMENT,3664.01,136613.708794,1578.93546078
"MULTIPOLYGON (((-97.88096831090499 30.481663541970036, -97.88071074376167 30.483095009488697, -97.88070253506942 30.48309274874618, -97.88026433942971 30.48297205913237, -97.88022425507498 30.48295996053771, -97.88017444314166 30.48294578184819, -97.88012429006817 30.482932530000507, -97.88008645408792 30.482923171312272, -97.88003578239865 30.482911502969145, -97.87998483762493 30.482900738702032, -97.87993364559755 30.48289087728522, -97.87988223859448 30.48288197605965, -97.87983061814575 30.482873974891962, -97.87977881511443 30.4828669087501, -97.87972682967406 30.48286077076142, -97.87967906579317 30.48285595275897, -97.87966663764605 30.48285392761286, -97.87959198213312 30.482846424757778, -97.87954071645167 30.48284195061773, -97.87922882437799 30.48193304590817, -97.87912942961137 30.481626211838964, -97.88078073848953 30.481659712276713, -97.88096831090499 30.481663541970036)))",2001143269,TRAVIS COUNTY DOCUMENT,3773.01,224214.574521,1948.03595933
"MULTIPOLYGON (((-97.74033113278381 30.262762779524273, -97.74020322701905 30.263101233326083, -97.73999491542999 30.263042010298435, -97.74012202820902 30.262703540642974, -97.74033113278381 30.262762779524273)))",11080/1334,TRAVIS COUNTY DOCUMENT,3150.02,8977.9675,397.665558186
"MULTIPOLYGON (((-97.60846137942065 30.20684334803993, -97.60950724663209 30.20636806995021, -97.61030222503445 30.20769215366201, -97.61030151573095 30.207692461751286, -97.61031446164894 30.20771253138514, -97.61044962668706 30.20792208667634, -97.60975246111397 30.208447529570833, -97.60846137942065 30.20684334803993)))",1999087724,TRAVIS COUNTY DOCUMENT,3511.17,221578.82288,2015.36470508
"MULTIPOLYGON (((-97.61236499607907 30.208625499252364, -97.61237903708344 30.2086204824495, -97.61393902047566 30.20806304016239, -97.61468656505492 30.207856644681662, -97.6149557483374 30.20843121352311, -97.61289622173246 30.20920559585261, -97.61288902286225 30.20919858924695, -97.61277793077122 30.209090463933506, -97.61275428932008 30.20906749083698, -97.6127435522295 30.209057443768852, -97.61273494465372 30.209049367227653, -97.6127264019235 30.209041237055455, -97.6127178908426 30.209033107555044, -97.61270941218514 30.20902495123889, -97.6127009667253 30.209016740619347, -97.61269255368893 30.209008503184066, -97.61268420394978 30.20900026709301, -97.61267585576039 30.208991976026237, -97.61266757164225 30.208983658816113, -97.61265931994765 30.208975314790266, -97.61265110067649 30.208966943948692, -97.6126429138288 30.208958546291402, -97.61263479105239 30.20895012249079, -97.61262666905158 30.208941671202084, -97.61261861112206 30.208933193770108, -97.612610585616 30.208924689522433, -97.6126025925334 30.208916158459065, -97.61259463187422 30.208907600580048, -97.61258673528633 30.208899016557776, -97.61257887112185 30.208890405719863, -97.61257103938077 30.208881768066263, -97.61256324006318 30.208873103597035, -97.612555473169 30.208864412312185, -97.61254777034601 30.20885569488408, -97.6125400690729 30.208846922480337, -97.61253243109675 30.208838151421016, -97.61252482554407 30.208829353546083, -97.61251728328833 30.208820557015596, -97.61250977423022 30.208811706181923, -97.61250226594774 30.208802827860175, -97.61249485338422 30.208793924067734, -97.6124874415963 30.208784992787272, -97.61248009387953 30.20877603536368, -97.61247274616417 30.208767077939733, -97.61246549494194 30.208758067557437, -97.61245824372108 30.2087490571748, -97.61245105734562 30.20873999316146, -97.61244390261925 30.20873092982019, -97.61243678031626 30.208721839663365, -97.61242969121088 30.20871269520339, -97.61242266540229 30.208703552087997, -97.61241567201714 30.20869438215707, -97.61240871105527 30.20868518541067, -97.61240181339022 30.208675990008803, -97.61239494892276 30.208666740303826, -97.61238811610437 30.208657491270976, -97.61238131648354 30.20864818793507, -97.61237458015952 30.20863888594373, -97.61236787625879 30.20862955713695, -97.61236499607907 30.208625499252364)))",13304/630,TRAVIS COUNTY DOCUMENT,3511.01H,187450.91312,1989.99539717
"MULTIPOLYGON (((-97.60750061752249 30.207266554170488, -97.60708800949034 30.20691579123883, -97.60590416590209 30.20590926762137, -97.60590462190812 30.205908818359788, -97.60681159420567 30.20537521563762, -97.60815471288454 30.206783221545102, -97.6081375078034 30.206793691988082, -97.60812716374853 30.20680004531636, -97.60811685056393 30.20680642680491, -97.60810653660249 30.206812835780195, -97.60809628515851 30.20681927358932, -97.60808603293765 30.20682573888522, -97.60807584323422 30.206832233014936, -97.60806565197849 30.20683878211896, -97.60805546072132 30.206845331222258, -97.6080453319816 30.206851909159397, -97.60803523333668 30.206858542744413, -97.60802513469038 30.2068651763287, -97.60801506613882 30.206871865560828, -97.60800502845754 30.206878582953344, -97.60799502242202 30.206885301018662, -97.60798504648122 30.20689207473188, -97.60797510141069 30.206898876605486, -97.60796515556326 30.206905705965905, -97.60795527223321 30.206912564160305, -97.60794538890175 30.206919422353902, -97.60793553566506 30.20692633619549, -97.60792571329857 30.206933278197468, -97.60791592180232 30.20694024835986, -97.6079061611763 30.20694724668269, -97.60789639977338 30.206954272492336, -97.60788670088782 30.20696132713597, -97.6078770012253 30.206968409266523, -97.60786733243299 30.20697551955746, -97.60785772538256 30.206982686170058, -97.6078481183307 30.206989852781877, -97.60783854214908 30.2069970475542, -97.60782899683765 30.207004270487, -97.60781948239642 30.20701152158027, -97.60780996717826 30.2070188001604, -97.60780051447743 30.207026107574638, -97.60779109264685 30.207033443149356, -97.60778167003923 30.207040806210973, -97.60776728985235 30.207052161857064, -97.60775565473834 30.207061623141584, -97.607508240844 30.20727168609474, -97.60750142389651 30.207265892328866, -97.60750061752249 30.207266554170488)))",13304/625,TRAVIS COUNTY DOCUMENT,3511.01B,209175.834185,1991.43641348
"MULTIPOLYGON (((-97.61100846441754 30.210594301476938, -97.61270595606467 30.20927464732438, -97.61272079997251 30.209288981175252, -97.61334026609556 30.209887200307044, -97.6133283982805 30.209896428525504, -97.61164910424279 30.211202284004457, -97.61100900026729 30.210594811380002, -97.61100846441754 30.210594301476938)))",13321/1752,TRAVIS COUNTY DOCUMENT,3511.05,215264.513336,2036.02155153
