the_geom,OBJECTID,Placement,Corral,Owner,Landmark,AddressNumber,StreetName,YearInstalled,Month Installed,LocationX,LocationY,created_user,created_date,last_edited_user,last_edited_date,Rack Type,GlobalID,Status,NumberOfRacks,NumberOfSpaces
POINT (-90.091987619273 29.974264418236),104,,,,,,,,,3673854.34877689,538260.23986821994,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{B4BD4B32-32A5-4742-8494-BA650AFACA06},,,
POINT (-90.073652612603 29.953890413971),64,,,,,,,,,3679740.5620700601,530914.83986089996,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{4471A9B9-239C-4C90-8F3C-74EE51B65665},,,
POINT (-90.035517602543 29.961167416965),226,,,,,,,,,3691786.3634377099,533695.78311789001,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{622D6F1D-292A-42D6-8A96-0FBBC25B20DE},,,
POINT (-90.070716611796 29.953083413885),60,,,,,,,,,3680673.5067264698,530631.61765832,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{31647554-0CC1-4BED-AB44-91F369D3EF2E},,,
POINT (-90.043712605031 29.964142417007),288,,,,,,,,,3689179.36405855,534748.30397872999,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{663F2A31-774D-4F84-BD08-DD9C2C9AFD2D},,,
POINT (-90.070889612653 29.954132414497),40,,,,,,,,,3680614.5212801402,531012.46925882006,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{F972ABCA-BB2E-4A7C-8616-FEB5A5958AE7},,,
POINT (-90.050871605084 29.917657406852),259,,,,,,,,,3687101.8317963001,517819.26467414002,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{99DBE4D2-1260-4B14-86CF-8DC3D5548AC7},,,
POINT (-90.07011561152 29.951623413143),54,,,,,,,,,3680869.67332889,530102.80539571994,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{F5898CAC-5770-4C00-BA8C-82CCC4997A46},,,
POINT (-90.052876007604 29.968755817883),383,,,,,,,,,3686259.2481796299,536393.36794580997,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{37762610-BD55-4968-B20E-8BF7C21CDA13},,,
POINT (-90.115744700543 29.921038509254),429,Sidewalk,No,,,,Magazine,,,,,Esri_Anonymous,06/19/2018 06:34:50 PM +0000,AKKUEMMEL,07/03/2018 02:12:52 PM +0000,Post and Loop,{DD4E320C-3DEE-4232-B46E-68F51B3F1670},,1,2
