the_geom,OBJECTID,StreetName,GISID,GlobalID,Route Number,Lane Width,Barrier,Two Way,Contraflow,Neutral Ground,Divided Roadway,Install Year,Install Quarter,Update Year,Road Diet,Notes,created_user,created_date,last_edited_user,last_edited_date,Plan Source,RouteName,FacilityType,Status,Length of Segment(miles),LENGTH_LANE,LENGTH_ROUTE,ComfortLevel,Shape_Length
"MULTILINESTRING ((-90.013850690783 29.924582338453, -90.013856987388 29.924479143335, -90.013859420495 29.924439258204, -90.013863764126 29.924368069286, -90.013867437863 29.924298192719, -90.013871226735 29.924226109532, -90.01386695275 29.923981996295, -90.013870829314 29.923737095951, -90.013878044546 29.923602797303, -90.013883454633 29.923502095181, -90.013895131847 29.923348918673, -90.013949977663 29.92251208565, -90.013973400361 29.922198103051, -90.013978300991 29.922132403493, -90.013987401758 29.922044751331, -90.014019694593 29.921902753663, -90.014035382604 29.921841514687, -90.014066672917 29.921737506465, -90.014180013533 29.92138762155))",44945,HOLIDAY DR,1092,{45C067FD-A1D0-476B-A872-D394CAA53883},,,,0,,True,1,2012,1Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:37:24 PM +0000,2030,,Bike Lane,Completed,0.22176051,0.22176051,0.11088026,,1170.8955318339422
"MULTILINESTRING ((-90.017859481477 29.913775230877, -90.017912647402 29.913781206701, -90.017912839749 29.913781228474, -90.017950220822 29.913786123429, -90.017971708701 29.913789199316, -90.017972250404 29.913789274206, -90.01808623008 29.913808817856, -90.018086449125 29.913808857038, -90.018173853896 29.913827593526, -90.01820753307 29.913834881118, -90.018208971655 29.913835192338, -90.018260805339 29.913848118169, -90.018260917844 29.913848147263, -90.018305543294 29.91386115168, -90.018311896566 29.91386300163, -90.018362151638 29.913879801183, -90.018409492967 29.91389773367, -90.01841147261 29.913898483371, -90.01845976687 29.913919003059, -90.018471475678 29.913924541654, -90.018506941767 29.913941317818, -90.018529742249 29.913953251369, -90.018552905831 29.913965374406, -90.018583149063 29.913984510022, -90.018619034223 29.914007215337, -90.018650944045 29.914028854162, -90.018663673712 29.914037484986, -90.018691330409 29.914058310779, -90.018811837044 29.914149049624, -90.019074580009 29.914354943009, -90.019162050524 29.914423487502, -90.02000827084 29.915119861326, -90.020851620091 29.915798233731, -90.021294632775 29.9161586077, -90.021344555488 29.916188841596, -90.021623234702 29.916411138878, -90.021753223364 29.916518276535, -90.021949196636 29.916679799245, -90.022200117365 29.916878544408, -90.022521707334 29.917137757521, -90.022524170056 29.917139742624, -90.022529819052 29.917144295667, -90.022607741769 29.917207657641, -90.023230872971 29.917714341704, -90.023265826614 29.917744598987, -90.023268844081 29.917747010945, -90.023605269274 29.918015824519, -90.02365582113 29.918055618464, -90.023899079097 29.918247109402, -90.023905765991 29.918252373755, -90.024131791693 29.918433675169, -90.024338395703 29.918606583382, -90.024766451841 29.918952322763, -90.025034333246 29.919175102447, -90.025577847649 29.919612854354, -90.025748795017 29.919742307754, -90.025775804413 29.919765181773, -90.025909381172 29.919871935829, -90.027292076299 29.920993925336, -90.02740659086 29.921083383967, -90.027560165125 29.921203356798, -90.028944406409 29.922318190803, -90.029066262203 29.922418593582, -90.030072527967 29.923233788809, -90.030573480341 29.923632627309, -90.03071301931 29.923747839701, -90.030846014671 29.923857649524, -90.032343939202 29.925072093587, -90.033997620935 29.926400430137, -90.034013200063 29.92641294373, -90.034047861089 29.92644396206, -90.035700717618 29.927771919201))",44973,OLD BEHRMAN HWY,1167,{99041CE2-2603-4777-ACA1-349DC679E24F},,,,1,,False,0,2016,2Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 07:45:41 PM +0000,2030,,Protected Bike Lane,Completed,1.44506968,2.89013936,1.44506968,,7629.9678944594425
"MULTILINESTRING ((-90.10326411053 29.972163968225, -90.103339763142 29.97221800208, -90.104084428298 29.972724207275, -90.104588352389 29.973061051038))",44707,BANKS AVE,1008,{425C1A28-E0A5-4770-B5A3-921C944098A8},,,,0,,1,1,2014,1Q,,1,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:24:01 PM +0000,2030,,Shared Lane,Completed,0.10061781,0.101,0.05030891,,531.26204470498521
"MULTILINESTRING ((-90.106050699592 30.0195981161, -90.106482224243 30.019636927914, -90.106968787845 30.019676645213, -90.107055950079 30.019684912913, -90.107440635675 30.019716900367, -90.107534174105 30.019724994342, -90.107632899119 30.019733537115, -90.10812569283 30.01977617627, -90.108204521695 30.019782762427, -90.108303677145 30.019791046156, -90.108581550807 30.019817425255, -90.108658169254 30.019824357782, -90.110518209953 30.019992646018, -90.110553818724 30.019995759139, -90.110674174066 30.020006763254, -90.110793483476 30.020017671837, -90.110852918258 30.020022630083, -90.110998612525 30.020034783999, -90.110998708833 30.020034793013, -90.111065565998 30.020040919867, -90.11109552792 30.02004366555, -90.111597447306 30.020089660456, -90.111746738729 30.020101862257, -90.111842757158 30.020110429084, -90.112389154792 30.020159177529, -90.112875354953 30.020201946139, -90.113064323079 30.020220205373, -90.113076421279 30.020221373987, -90.113166253213 30.020230053935, -90.113252375908 30.020237185534, -90.113396783411 30.020245838707, -90.11350362398 30.020251258415))",44753,ROBERT E LEE BLVD,1182,{8DD75442-1FF1-4EAD-8754-DAADB085DB46},,,,0,,True,1,2008,1Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:33:39 PM +0000,NOTMP,,Shared Lane,Completed,0.4489816,0.4489816,0.2244908,,2370.6228631437557
"MULTILINESTRING ((-90.0965426363 30.018421858164, -90.096494180559 30.018306705023, -90.096481481725 30.018209812103, -90.096483132042 30.018076762279, -90.096507647651 30.0179681211, -90.09655542648 30.017851633509, -90.096593790916 30.017747155305, -90.096618256323 30.017642545638, -90.096633754331 30.017513659683, -90.096653985996 30.017376751458, -90.096655286044 30.017271925102, -90.096675168649 30.017163240366, -90.096705016436 30.016998197472, -90.096722867875 30.016892781329, -90.096774168433 30.016617473286, -90.096810889947 30.016451883209, -90.096816485436 30.016350112389, -90.096848264898 30.016233502386, -90.096871379348 30.016116810101, -90.096920117632 30.016030528588, -90.096968902573 30.015940477129, -90.097013214191 30.015861697455, -90.097048813044 30.015786606326, -90.097093637723 30.015666347476, -90.09712616563 30.015489404111, -90.097114522404 30.015379927969, -90.097146582722 30.0152406929, -90.09720436018 30.015124326887, -90.097266329209 30.015019312204, -90.097297642394 30.0149404104, -90.097334267907 30.014782361787, -90.097361995833 30.014643085987, -90.097393633904 30.014537788316, -90.097537568058 30.014112986715, -90.097642597404 30.013680278176, -90.097693483134 30.013420539868, -90.097713618045 30.013194453484, -90.097746938323 30.012953405744, -90.097766559085 30.012768798494, -90.09781529391 30.012682517498, -90.097855270582 30.012603695939, -90.097878242851 30.012498316811, -90.097923953678 30.012306411801, -90.097965378223 30.012110695282, -90.097997716575 30.011948834936, -90.098039046369 30.011760660039, -90.098053353698 30.01165519867, -90.098081311222 30.011497068464, -90.098089432825 30.011452185328, -90.098094501231 30.011399031784, -90.098118355631 30.011305082055, -90.098123529132 30.0112372486, -90.098173011232 30.011090633219, -90.098204507208 30.010996647796, -90.098227758956 30.010868643577, -90.098224594805 30.010774332092, -90.09820409756 30.010679858, -90.098174890204 30.010589074364, -90.098154347374 30.010498371105, -90.098130686194 30.010309586406, -90.098128735473 30.01011723411, -90.098126551228 30.009943735981, -90.098168394726 30.009714082717, -90.098223001608 30.009503404632, -90.098277702708 30.009285183956, -90.098319405485 30.009066843126, -90.098338137162 30.008953881546, -90.098357102294 30.008822064885, -90.098371828087 30.008682666808, -90.098402306844 30.00832091226, -90.098428032495 30.007993054567, -90.098461349309 30.007752006452, -90.098508503218 30.007443205173, -90.098581233289 30.007168586108, -90.098632066577 30.00691261711, -90.098737238754 30.006537041673, -90.098815774596 30.006367942664, -90.098840337088 30.00621873127, -90.098830630931 30.00573296684, -90.098820587233 30.005274561702, -90.098779024474 30.00482270159, -90.098722168291 30.004336494886, -90.098747351732 30.004206762787, -90.09881951717 30.004091150695))",45087,MARCONI,0,{680065F3-9C19-4291-AD4B-2FDB25D12451},,,,1,,0,0,2017,4Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 07:56:24 PM +0000,2030,,Shared Use Path,Completed,1.00784168,2.01568336,1.00784168,,5321.4040547702634
"MULTILINESTRING ((-90.072148144938 29.953284562452, -90.072263850496 29.953366770885, -90.072446213245 29.95345207925, -90.073208493236 29.953797997639))",44917,COMMON ST,1029,{E28E3128-C78E-48AA-A16C-D09D2D07FA7F},,,,0,,0,0,2010,4Q,2018,1,Switched from Right to Left side,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:23:49 PM +0000,NOTMP,River Crescent,Bike Lane,Completed,0.0729271,0.073,0.0729271,,385.05507119239144
"MULTILINESTRING ((-90.076080069035 29.988709117578, -90.076012960171 29.988705455028, -90.075569787387 29.988681270253, -90.075450344757 29.988677267936, -90.075390600118 29.988678102652, -90.075365614518 29.988679431031, -90.075330904748 29.988681276374, -90.075147643977 29.98869785256, -90.075005167499 29.988708393647), (-90.082400801382 29.989016924952, -90.082329983101 29.989013560589, -90.080852059647 29.988943331112, -90.080774959323 29.988939658025, -90.080698091554 29.988935706515, -90.080044589504 29.988902143182, -90.079989187083 29.988899297856, -90.079375240561 29.988870238202, -90.079316099839 29.988867301945, -90.078597724336 29.988829896939, -90.078539692217 29.988826830153, -90.077928521867 29.988798856636, -90.077862894904 29.988795366151, -90.077165366555 29.988759008364, -90.077089198289 29.988754837668, -90.076141996288 29.988711089459, -90.076080123267 29.988708021895), (-90.086948343663 29.989188598555, -90.086852135782 29.989233970637, -90.086657442232 29.989221924504, -90.086015046046 29.98919236025, -90.085961594272 29.989189900423, -90.084200724152 29.989104231675, -90.084122469655 29.98910042419, -90.08334358657 29.989062196593, -90.083277868891 29.989058971399, -90.082491151094 29.989020975614, -90.082400770095 29.989016609779))",45081,DESAIX BLVD,,{2100571B-0DA7-4BFB-BBA4-294948F236DD},,,,0,,1,1,2017,1Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:31:06 PM +0000,2030,,Bike Lane,Completed,0.71803601,0.71803601,0.359018,,3791.2300780390287
"MULTILINESTRING ((-89.972766734832 30.032748599231, -89.972678367417 30.032791381028, -89.972636946111 30.032811434478, -89.972498396282 30.032878607188, -89.972385524814 30.032928954261, -89.972298462125 30.032964854476, -89.972239910583 30.032984780376, -89.972194566161 30.032998325079, -89.972063083555 30.033033510674, -89.971916351806 30.033064081493, -89.971876810774 30.033072319641, -89.971785505958 30.033088540511, -89.971710186448 30.033100486747, -89.971614448158 30.033114931188, -89.971542970247 30.033123318072, -89.971468003215 30.033130103472, -89.971394432688 30.033134778529, -89.971320727087 30.03313749973, -89.971245753121 30.033138263474, -89.971171294881 30.033137025957, -89.971099544256 30.033133949701, -89.971026037853 30.033128997559, -89.970936151752 30.033121512987, -89.970838664053 30.03310993209, -89.970691622515 30.033085974998, -89.970541716164 30.033054727879, -89.970270558583 30.032990274161, -89.969854113165 30.03288893576, -89.969765083424 30.032869124011, -89.969672727418 30.032850062695, -89.969495460563 30.032818531048, -89.969377002459 30.032801068604, -89.969288141812 30.032789524482, -89.969146652263 30.032774769035, -89.96900464598 30.032764437111, -89.968837097381 30.032756922384, -89.96863690335 30.032751639582, -89.968475019603 30.032751610229, -89.968354323645 30.032754024082, -89.968233676666 30.032759070128, -89.96806831593 30.032770566267, -89.96799849196 30.032777882095, -89.967873564332 30.03279097099, -89.967809901162 30.032797640546, -89.96760541983 30.032828740928, -89.967343125786 30.032872761187, -89.967073560592 30.032924885075, -89.966831367438 30.032971715788, -89.966102536137 30.033109888426, -89.965888136309 30.033148643228, -89.965749905884 30.033175073955, -89.965377938552 30.033248968068, -89.965254745447 30.033271675808, -89.96512995764 30.033296187559, -89.965073419333 30.033306580232, -89.964328187917 30.033447275765, -89.964239241353 30.033465393469, -89.96388809276 30.03354157315, -89.963806540478 30.033562922544, -89.963693753798 30.033592448721, -89.963344161455 30.033690987698, -89.963218258415 30.033730706614, -89.963033436846 30.033793711434, -89.962920102266 30.033834998998, -89.962807564634 30.033878424015, -89.962615429956 30.033955773339, -89.962494732098 30.034007448829, -89.962379623276 30.034059716512, -89.962302997837 30.034096512776, -89.962152975869 30.034172661419, -89.962079659184 30.034212164403, -89.961936626538 30.034293531883, -89.96182436872 30.034355139757, -89.961615407868 30.034477431867, -89.9612535477 30.034694706867))",44741,LAKE FOREST BLVD,1102,{68E2A4BE-B892-484F-99D1-E8354461CFF8},,,,0,,True,1,2013,2Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:32:55 PM +0000,NOTMP,,Bike Lane,Completed,0.72366487,0.72366487,0.36183244,,3820.9506045697012
"MULTILINESTRING ((-90.114155246041 30.013005830426, -90.114151424475 30.013058175927, -90.114137384764 30.013378257903, -90.113965749598 30.015644590463, -90.11376871202 30.018159181396, -90.113728360083 30.018157307252))",44670,WEST END TRAIL,1222,{65BBBC88-2262-420E-9144-23DE230480CB},,,,1,,False,0,,,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 07:56:24 PM +0000,NOTMP,,Shared Use Path,Completed,0.35812545,0.71625089,0.35812545,,1890.9023103748129
"MULTILINESTRING ((-90.07274320528 29.955799561406, -90.072642059268 29.955916095812, -90.07202668342 29.956607742396, -90.071998070741 29.956639509842, -90.071869269321 29.956782512468, -90.071844040297 29.956810523865, -90.071344526736 29.957369179875, -90.071306003106 29.957412258081, -90.071003706754 29.957750296754, -90.070629118844 29.958172199629, -90.070589934225 29.958216124791, -90.070088279312 29.958778468177, -90.069925637052 29.958961031518, -90.069859569898 29.959035190942, -90.069689788034 29.959223874722, -90.06942383412 29.959512545135, -90.069230493538 29.959737004531, -90.069153893098 29.959823176625, -90.068565096491 29.960483288704, -90.068515323151 29.960539601917, -90.068190045811 29.960907617141, -90.068152795692 29.960949328972, -90.067736078096 29.961415037666, -90.067653609006 29.961507201884, -90.067324871892 29.961874963365, -90.067031482701 29.962206188344, -90.067002252139 29.962238708439, -90.066342501664 29.962977503977, -90.066303187492 29.963021377902, -90.065637871582 29.963763848854, -90.065598085399 29.963808613934, -90.065146347595 29.964316881614, -90.064957165042 29.964528287125, -90.064908968613 29.964582500261, -90.064759280531 29.964750877298, -90.064415791354 29.965134612144, -90.064284384189 29.965279533779, -90.064216691061 29.965355896891, -90.064158424696 29.965421626109, -90.064047653001 29.965549012344, -90.063722647978 29.965903135738, -90.06366823261 29.965962426608, -90.063610413723 29.966025425251, -90.06354030382 29.966101816126, -90.063178306576 29.966506816017, -90.063036387322 29.966665592407, -90.062986366686 29.966721306585, -90.062720083754 29.967017897241, -90.062630182025 29.967119082819, -90.062603362531 29.967148951924, -90.062457029513 29.967311854265))",45040,RAMPART ST,1255,{1907FE51-A521-4D13-85E0-796F83BCB3F0},,,,0,,True,1,2016,4Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 07:41:45 PM +0000,,,Bike Lane,Completed,1.00462877,1.00462877,0.50231439,,5304.4398892319332
