the_geom,OBJECTID,Station Number,Site Type,Sign Type,IssueDate,Length Of Station- Feet,Width Of Station- Feet,Number of Rack Spaces,Station_Name
POINT (-90.069595202605 29.965114434749),5319,273,On-Street,Small,20171129171119.000,64,5.25,25,Treme Center
POINT (-90.078690146649 29.967901491857),5364,271,On-Street,Small,20180103175058.000,51.75,5.25,20,Orleans & Miro
POINT (-90.032704606183 29.96435482116),5346,107,On-Street,Large,20171219153629.000,52,5.5,20,Stallings - St Claude
POINT (-90.0656512026 29.951071123158),5371,547,Off-street/Sidewalk,Small,20171207113017.000,32,5.83,12,CANAL PLACE
POINT (-90.067655728753 29.943140603718),5337,541,Off-street/Sidewalk,Large,20171129171056.000,51.66,6,20,Tchoupitoulas & St Joseph
POINT (-90.057096101756 29.968599266048),5381,118,On-Street,Large,20180326104324.000,32.3,6,12,St Claude & Elysian Fields
POINT (-90.075308679853 29.954372638866),5334,509,On-Street,Large,20171121152215.000,64.08,5.25,25,Main Library
POINT (-90.095058109338 29.985648592141),5366,362,On-Street,Large,20180110100755.000,51.8,6,20,City Park- Casino Building
POINT (-90.076933652183 29.977109188402),5363,291,Off-street/Sidewalk,Small,20180103174915.000,27,5.8,10,Bayou and Broad
POINT (-90.052008115348 29.96885316681),5376,137,On-Street,Small,20171221132552.000,37,5.25,14,St Claude & St Roch
POINT (-90.085056962849 29.980563701542),5383,306,On-Street,Small,20180110164305.000,37,5.25,14,Esplanade & Ponce de Leon
POINT (-90.042692429748 29.962895201069),5347,119,On-Street,Small,20171215134523.000,51.66,5.25,20,Royal & Piety
POINT (-90.065409805607 29.97226615027),5357,253,On-Street,Small,20171222120505.000,34.5,5.5,13,Cricle Food Store
POINT (-90.081309615179 29.938210496864),5338,406,On-Street,Small,20171103144309.000,36.92,5.25,14,OC Haley & St Andrew
POINT (-90.079293429388 29.941027456727),5330,403,Neutral Ground,Large,20171103150440.000,64.08,5.83,25,OC Haley & MLK
POINT (-90.072928648614 29.937557501473),5332,417,On-Street,Small,20171106111734.000,27.08,5.25,10,Coliseum Square
POINT (-90.073216537206 29.932531482768),5323,426,On-Street,Small,20171106173547.000,39.83,5.25,14,Magazine & Richard
POINT (-90.059892030831 29.959838387925),5353,610,On-Street,None,20180718154001.000,46.75,5.25,18,Decatur & Ursulines
POINT (-90.069507246666 29.969858132042),5362,260,On-Street,None,20180104144025.000,37,5.25,14,Esplanade & Derbigny
POINT (-90.072058974701 29.953201508455),5373,510,On-Street,Large,20171207155127.000,70,5.25,25,Baronne & Common
POINT (-90.073298088043 29.972196691936),5358,293,On-Street,Small,20180109093723.000,51.6,5.25,20,GALVEZ & ESPLANADE
POINT (-90.063657468108 29.950079363461),5342,600,Off-street/Sidewalk,Large,20171207164120.000,64.3,12,25,Canal Street Ferry - Aquarium
POINT (-90.073846010524 29.947801221734),5318,528,Off-street/Sidewalk,None,20171207154447.000,51.75,5.5,20,Baronne & Girod
POINT (-90.057808501788 29.964635469048),5348,143,On-Street,Large,20171221132748.000,62,5.5,25,Frenchmen & Royal
POINT (-90.063587520073 29.944028240599),5380,527,Off-street/Sidewalk,Large,20180131104115.000,69.25,5.75,25,Convention Center - Riverwalk
POINT (-90.036923502633 29.964021144845),5374,112,On-Street,Small,20171215134555.000,37,5.33,14,Alvar Library
POINT (-90.069521507178 29.948093923218),5336,523,On-Street,Large,20171205145502.000,64.08,5.25,25,Lafayette Square
POINT (-90.083122689343 29.956822456794),5326,335,On-Street,Large,20171129171015.000,51.83,5.58,20,LSU Health Sciences Center
POINT (-90.0768476739 29.929847142812),5316,429,On-Street,Small,20171106113439.000,51.75,5.25,20,Magazine & Jackson
POINT (-90.077403366793 29.936147127774),5331,412,On-Street,None,20171116103153.000,51.83,5.5,20,St Charles & Felicity
POINT (-90.091868142927 29.972691198832),5352,313,On-Street,Large,20180104144958.000,51.8,6.2,20,Jefferson Davis & Lafitte Greenway
POINT (-90.080378898121 29.973986484629),5360,294,On-Street,Small,20180103175120.000,56.8,5.8,20,Broad & Ursulines
POINT (-90.078316245186 29.952070474744),5317,501,On-Street,Large,20171205145258.000,67.42,5.42,25,City Hall - Superdome
POINT (-90.06855567463 29.977226874057),5351,295,On-Street,Small,20180104145044.000,37,5.8,14,ST BERNARD & GALVEZ
POINT (-90.070278858691 29.926280097141),5322,433,On-Street,Large,20171103144111.000,37.08,5.33,14,River Garden - Walmart
POINT (-90.048413087347 29.964291590211),5344,126,Private Property,Small,20180129171322.000,37.25,6,14,Royal & Press
POINT (-90.042540331552 29.967082771867),5343,123,On-Street,Small,20171222120556.000,37,5.25,14,ST CLAUDE & LOUISA
POINT (-90.071007078119 29.943620686296),5314,532,On-Street,Large,20171103143941.000,51.83,5.42,20,Camp - Museums
POINT (-90.057978075744 29.961900551228),5349,146,On-Street,Small,20171221132414.000,64,5.25,25,ESPLANADE & FRENCHMEN
POINT (-90.055173621414 29.953023829426),5327,700,Off-street/Sidewalk,Small,20171201114802.000,21.1,5.25,10,Algiers Ferry Terminal
POINT (-90.068006829011 29.940762899871),5328,545,On-Street,Small,20171129171213.000,39.3,5.25,14,Tchoupitoulas & JC Chase
POINT (-90.072101764988 29.958073730097),5379,285,Private Property,Small,20180201141339.000,24.7,6.25,9,BASIN & BIENVILLE
POINT (-90.068722961165 29.951790621344),5324,516,On-Street,Large,20171129170914.000,51.83,5.9,20,Camp & Common
POINT (-90.078683400148 29.965891778314),5321,274,On-Street,Large,20171130154754.000,64.1,5.33,25,Sojourner Truth Center
POINT (-90.064989974296 29.953146328159),5370,632,On-Street,Large,20171215134654.000,64.5,6,25,Bienville & N Peters
POINT (-90.071514959549 29.945946137471),5341,548,On-Street,Large,20171207154625.000,53.33,5.25,20,ST CHARLES & JULIA
POINT (-90.067324142892 29.947449979951),5354,546,On-Street,Large,20171207114352.000,51.8,5.5,20,Tchoupitoulas & Lafayette
POINT (-90.062751955371 29.960536800846),5382,641,On-Street,None,20180511104237.000,17.25,6.25,7,Royal & St. Philip
POINT (-90.085255067595 29.967036406573),5359,283,On-Street,Small,20180103175030.000,51.75,5.33,20,BROAD & BIENVILLE
POINT (-90.056953980734 29.974658576193),5377,255,On-Street,Small,20171221132139.000,44.25,5.3,14,Elysian Fields & Derbigny
POINT (-90.078183512119 29.946069542926),5369,530,Private Property,Large,20180201141404.000,35.85,5.8,14,Union Passenger Terminal
POINT (-90.033960513481 29.960842550904),5355,102,On-Street,Small,20171219153335.000,37,5.25,14,Royal & Lesseps
POINT (-90.0827390672 29.962077350197),5325,330,Off-street/Sidewalk,Large,20171207155309.000,27.25,10.33,20,University Medical Center - VA
POINT (-90.063891562185 29.965796239945),5329,151,On-Street,Large,20171207161900.000,39.5,5.5,14,Rampart & Esplanade
POINT (-90.051092426351 29.965653406591),5356,129,On-Street,Small,20171221132705.000,39.5,5.25,15,FRANKLIN & DAUPHINE
POINT (-90.075146800663 29.957502903002),5372,248,Off-street/Sidewalk,Large,20171207154726.000,53,5.75,14,Canal & Marais
POINT (-90.070332802887 29.933799154113),5340,425,Off-street/Sidewalk,Small,20171106173713.000,36.92,5.5,14,Annunciation Square
POINT (-90.063049661293 29.968240118451),5345,243,On-Street,None,20180103174341.000,37,5.25,14,St. Bernard & Henriette Delille
POINT (-90.0974515408 29.977275768772),5367,320,On-Street,Large,20180104144655.000,57.8,5.5,20,CARROLLTON & LAFITTE GREENWAY
POINT (-90.068072498132 29.961390462503),5335,277,Private Property,Large,20180129171411.000,59.25,11.75,23,Louis Armstrong Park
POINT (-90.080517913228 29.933867724401),5339,410,On-Street,Large,20171103144212.000,64.08,5.25,25,St Charles & Jackson
POINT (-90.062986881294 29.956456152618),5378,607,On-Street,Large,20180806093606.000,52,6,20,Decatur & Wilkinson
POINT (-90.074653312997 29.940640440505),5315,413,On-Street,Large,20171103143354.000,64.08,5.25,25,St Charles & Erato
POINT (-90.089523830444 29.962837766671),5368,326,Off-street/Sidewalk,Small,20180110134211.000,37,5.8,14,BROAD & BANKS
POINT (-90.07580260227 29.964588198994),5320,292,On-Street,Small,20171201113303.000,51.66,5.25,20,Lafitte & Roman
