RequestID,IndexNumber,TenantName,TenantFloor,TenantBuildingNumber,TenantStreetName,TenantCity,TenantStateCode,TenantPostcode,TenantBorough,OwnerName,OwnerFloor,OwnerStreetAddress,OwnerCity,OwnerStateCode,OwnerZipCode,FloorSuiteRequested,NoOfBicycleRequested,BBL,BIN,DateofRequest,RequestDateofEntry,ImplementDate,PlanPostDate,PlanSubmitDate,ExceptionRequestDueDate,TenantNotificationExceptionDate,LocationOfEntrances,RouteToElevators,RegularHoursOfOperation,PlandDateReceived,AlternateParkingLocation,AlternateParkingDescription,NoOfBicycleAccomodate,RouteToAlternateParking,ParkingExceptionDateReceived,ParkingExceptionDateofEntry,DOBDeviceNumber,DateOfBuilding,DateOfElevator,MethodOfElevator,SelfServiceOrOperator,IsCarTop,IsCarDoor,ElevatorExceptionDateReceived,ElevatorExceptionHardCopyReceived,ElevatorExceptionDateofEntry,RequestStatus
2103,BIB15000076,Dickstein Shapiro LLP,31,1633,Broadway,New York,NY,10019,Manhattan,Paramount Group Inc.,,1633 Broadway,New York,NY,10019,31,5,1010220043,1024812,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
2681,BIB18000059,Industrious/J Street,Floor 11,215,Park Avenue South,New York,NY,10003,Manhattan,SL Green,,215 Park Avenue South,New York,NY,10003,Floor 11 Suite 26,1,1008730067,1017860,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
2706,BIB18000084,Godiva Chocolatier,6,333,West 34th Street,New York,NY,10001,Manhattan,Brookfield,,333 w 34th Street,New York,NY,10001,6,1,1007580016,1013558,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
2052,BIB15000025,Izaki Group Investments,1610,420,Lexington Avenue,New York,NY,10170,Manhattan,SL Green,,420 Lexington Avenue,New York,NY,10170,16th FloorSuite 1610,1,1012800060,1035385,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
2137,BIB15000110,Douglas Howell,4,7,West 18 street,New York,NY,10011,Manhattan,Glen Hedges,7,7 W 18th St,New York,NY,10011,4,5,1008200033,1015449,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
1638,BIB13000193,Marcum LLP,11,750,3rd Avenue,New York,NY,10017,Manhattan,Paul Sherman,11,750 3rd Avenue,New York,NY,10017,11th and 12th floor,1,1013010033,1036207,,07/02/2013,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
1834,BIB14000083,Peerless Clothing,12,641,Lexington Avenue,New York,NY,10022,Manhattan,Rudin Management Corp,1,641 Lexington ave,New York,NY,10022,12,1,1013090023,1036482,,06/05/2014,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
2134,BIB15000107,Test,55,7,Water St,NY,NY,10041,Manhattan,Test,,Test,NY,NY,10041,sdsdf,23,1000047501,1000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
2659,BIB18000037,Entravision,902,420,Lexington Avenue,New York,NY,10170,Manhattan,SL Green,,420 Lexington Avenue,New York,NY,10170,902,1,1012800060,1035385,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
2295,BIB16000047,Davis & Gilbert LLP,3,1740,Broadway,New York,NY,10019,Manhattan,Equity Office,2,1740 Broadway,New York,NY,10019,"2,3,19-22",5,1010277502,1024877,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
2423,BIB16000175,Griffin Hamersky LLP,400,420,Lexington Avenue,New York,NY,10170,Manhattan,SL Greene,,420 Lexington Avenue,New York,NY,10170,400,2,1012800060,1035385,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
2548,BIB17000076,First Republic Bank,Mezzanine,1230,Avenue of the Americas,New York,NY,10020,Manhattan,Tishman Speyer,1,10 Rockefeller Center,New York,NY,10020,3,1,1012640005,1077287,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
1771,BIB14000020,Media 3 Ltd.,13,535,Fifth Avenue,New York,NY,10017,Manhattan,THE MOINIAN GROUP,2,535 Fifth Avenue,"New York,",NY,10017,FL13,3,1012790001,1035366,,03/24/2014,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
1881,BIB14000130,Leitersdorf Hall Architects,3308,275,PARK AVENUE,New York,NY,10152,Manhattan,RFR Holding LLC,,375 Park Avenue,New York,NY,10152,3308,2,1013027501,1076268,,07/07/2014,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
2370,BIB16000122,MVision Private Equity Advisors,40th,41,Madison Avenue,New York,NY,10010,Manhattan,Rudin Management Company Inc.,,41 Madison Avenue,New York,NY,10001,40,2,1008550037,1016749,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
2622,BIB17000150,Doctors Without Borders,16,40,Rector Street,New York,NY,10006,Manhattan,Phillips,,295 Madison Avenue,New York,NY,10017,16 and 17,15,1000550002,1079029,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
1539,BIB13000094,Michael Kahn,17,79,madison avenue,New York,NY,10016,Manhattan,"Luis Iglesias, Jr.",,79 Madison Avenue,New York,NY,10016,17,5,1008580022,1016900,,04/29/2013,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
605,BIB10000528,Kepos Capital LP,44th Floor,620,8th Avenue,New York,NY,10018,Manhattan,Joseph Cassissa,22nd Floor,1 MetroTech Center,Brooklyn,NY,11201,44th Floor,12,1010127501,1087186,07/20/2010,07/20/2010,01/31/1999,02/05/1999,02/10/1999 12:00:00 AM,01/16/1999,01/31/1999,Entrance/Exit at 40th Street Loading Dock,"Enter at 40th Street Loading Dock, sign in at the Loading Dock Security Office and take the Loading Dock Service Elevator to the Cellar Level. Follow the main corridor to the Tower Service Elevators and take the Tower Service Elevators to tenant premises.","Monday through Friday, 8:00 am to 6:00pm, excluding Building Holidays.",08/13/2010,,,,,,,,,,,,,,,,,Pending
2085,BIB15000058,N.S. Bienstock,Suite 333,250,West 57th Street,New York,NY,10107,Manhattan,Empire State Realty Trust,Suite 626,250 West 57th Street,New York,NY,10107,"3rd Floor, Suite 333",5,1010280056,1024899,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
852,BIB11000125,"NTT America, Inc.",41st Floor,101,Park Avenue,New York,NY,10178,Manhattan,Kalikow,2500,101 Park Avenue,New York,NY,10178,First Floor,1,1012950001,1036144,05/26/2011,05/26/2011,06/26/2012,07/01/2012,07/06/2012 12:00:00 AM,06/11/2012,06/26/2012,,,,,,,,,,,,,,,,,,,,,Pending
1093,BIB12000031,Elizabeth Kurtzman Studio,713,611,Broadway,New York,NY,10013,Manhattan,"Cable Building Partners, LLC",822,611 Broadway,New York,NY,10013,713,2,1005230048,1008240,03/05/2012,03/05/2012,04/18/2012,04/23/2012,04/28/2012 12:00:00 AM,04/03/2012,04/18/2012,,,,,,,,,,,,,,,,,,,,,Pending
1774,BIB14000023,Linden Global Strategies,21,712,5th Avenue,New York,NY,10019,Manhattan,Paramount Group,6,712 5th Avenue,New York,NY,10019,21,1,1012710038,1077363,,04/07/2014,,,,,,Loading dock located on 56th Street near 5th Avenue,Loading dock to freight elevator to Tenant floor,8:00 am - 5:00 pm,04/10/2014,,,,,,,,,,,,,,,,,Hold
1832,BIB14000081,"WeWork 79 Madison, LLC",2,79,Madison Avenue,New York,NY,10016,Manhattan,"79 Madison LLC, c/o Colliers Tristate Mgmt LLC",4th floor,666th 5th avenue,New York,NY,10013,"Basement, 1, 2, 3, 4, 5, 6, 7",50,1008580022,1016900,,06/04/2014,,,,,,Loading dock on 28th street .,using loading dock ramp to building's freight elevator,"this service will only be allowed during business days, M-F, hours of 8am-4:45pm.",07/21/2014,,,,,,,,,,,,,,,,,Hold
2527,BIB17000055,Mariah Media Network LLC,3705,122,East 42nd Street,New York,NY,10168,Manhattan,Chanin Building,518,122 East 42nd Street,New York,NY,10168,3705,3,1012960014,1036152,,,,,,,,125 East 41st Street - Entrance permitted at 41st Street building entrance only.,41st Street freight elevator to basement level.  Interior hi-rise basement freight elevator then used to access all tenant floors.,"Business days ONLY (Mon-Fri), 8 a.m. - 5 p.m.",,,,,,,,,,,,,,,,,,Hold
1449,BIB13000004,"Amplify Education, Inc.",7,1155,Ave of Americas,New York,NY,10036,Manhattan,DOLP 1155 PROPERTIES II LLC,49th Floor,One Bryant Park,New York,NY,10036,7,20,1009970029,1022631,01/08/2013,01/08/2013,01/31/1999,02/05/1999,02/10/1999 12:00:00 AM,01/16/1999,01/31/1999,Cyclist will enter and exit at 102-108 W. 45th Street (between 6th Avenue and 7th Avenues).,"Enter loading dock doors at 102 to108 West 45th Street, between 6th Avenue and 7th Avenues. Go up ramp directly ahead to Security Guard Window to be checked into the building and directed to Freight Car (on the left, past Message Center, through double doors and then to the right).",8:00 am - 5:00 pm on business days.,05/27/2014,,,,,,,,,,,,,,,,,Pending
2346,BIB16000098,America Works of New York,16,228,East 45 Street,New York,NY,10017,Manhattan,Steinberg & Poik,,575 Madison Ave,New York,NY,10022,16th floorbasement,1,1013180033,1037578,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
2542,BIB17000070,GIC,9th Floor,280,Park Avenue,New York,NY,10017,Manhattan,Broadway 280 Park LLC,,280 Park Avenue,New York,NY,10017,2nd Floor,10,1012840033,1035441,,,,,,,,Entrance is located on the 49th street side of the Building at the east freight entrance,From 49th street plaza take pedestrian ramp to double door east freight entrance,7a-6p M-F,,,,,,,,,,,,,,,,,,Hold
20,BIB09000020,ICF Macro,800,116,John Street,New York,NY,10038,Manhattan,Hacienda Intercontinental,1712,1001 Brickell Bay Drive,Miami,FL,33131,800,10,1000690032,1001126,12/11/2009,12/09/2009,04/08/2010,04/13/2010,04/18/2010 12:00:00 AM,03/24/2010,04/08/2010,,,,,,,,,,,N/A,01/01/1932,01/01/2008,Vertical,Self-Service,Yes,Yes,01/04/2010,No,12/06/2010,Pending
1936,BIB14000185,"Steinhardt Management Co., Inc.",34th,712,Fifth Ave,New York,NY,10019,Manhattan,712  5th Ave Associates,,712 Fifth Ave,New York,NY,10019,34th Floor,1,1012710038,1077363,08/25/2014,08/25/2014,01/31/1999,02/05/1999,02/10/1999 12:00:00 AM,01/16/1999,01/31/1999,,,,,,,,,,,,,,,,,,,,,Hold
1275,BIB12000213,Esplanade Capital,3010,551,5th Avenue,New York,NY,10176,Manhattan,Jay Eisenstadt,3010,"551 5th Ave, Suite 3010",New York,NY,10176,3010,1,1012810001,1035389,06/25/2012,06/25/2012,08/02/2012,08/07/2012,08/12/2012 12:00:00 AM,07/18/2012,08/02/2012,45th street freight entrance. Bike owners are to proceed throught the basement to enter interior freight elevator.,Proceed through basement to utilize interior freight elevator.,7am-5pm,07/03/2012,,,,,,,,,,,,,,,,,Pending
2704,BIB18000082,Humanscale,fl 15,1114,avenue of the americas,NY,NY,10036,Manhattan,Brookfield Properties,,1114 avenue of the americas,NY,NY,10036,Fl 15,10,1012580009,1034196,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
