PCIS Permit #,Permit Type,Permit Sub-Type,Address Start,Address Fraction Start,Address End,Address Fraction End,Street Direction,Street Name,Street Suffix,Suffix Direction,Unit Range Start,Unit Range End,Zip Code,Work Description,Event Location,Event Name,Event Start Date,Event End Date,Latitude/Longitude
164109000000021,Temporary Special Event,Commercial,,,,,,,,,,,,1 15x25 5 10x10 tents for event 1/07 5pm-930pm,800 Alameda St - Side Lot,LAFC,01/08/2016,01/08/2016,
114109000002277,Temporary Special Event,Commercial,615,,615,,S,BROADWAY,,,,,90014,change of use inside venue for gala on nov 5th from 730pm-2am for 650,"inside venue,inside venue",FIDF GALA,11/05/2011,11/05/2011,"(34.04634, -118.25255)"
154101000002284,Temporary Special Event,Commercial,,,,,,,,,,,,TCU/BSS reference #20151490-2015.,650 S. Spring St. at 7th St.,HALLOWEENIE,10/30/2015,10/31/2015,
194109000000083,Temporary Special Event,Commercial,,,,,,,,,,,,Tents ' A rental connection  50x120  250 Guest  5pm-10pm,HANGER 7,CLAY LACY,01/17/2019,01/17/2019,
124101000001267,Temporary Special Event,Commercial,2920,,2920,,W,JEFFERSON,BLVD,,,,90018,"HAROLD & BELLE'S BLOCK PARTY ON JUNE 30, 2012.  8 X 12 STAGE",,HAROLD & BELLE'S BLOCK PARTY,06/30/2012,06/30/2012,"(34.02544, -118.32796)"
144109000000796,Temporary Special Event,1 or 2 Family Dwelling,242,,242,,N,CARMELINA,AVE,,,,90049,1 40x40 tent for event for 120 guest 7pm-12am,rear of property,RODRIQUEZ,06/07/2014,06/07/2014,"(34.06164, -118.48455)"
124109000000820,Temporary Special Event,Commercial,,,,,,,,,,,,800 Guests 21+ 8pm-4am,615-17 Imperial and 614 Mateo LA 90021,OPULENT TEMPLE,05/05/2012,05/05/2012,
194101000001309,Temporary Special Event,Commercial,,,,,,,,,,,,Tents S&E per BSS ref #20190460-2019,1605 W Olympic at Union - Los Angeles 90015,La Feria de Los Ninos,07/20/2019,07/20/2019,
174109000002581,Temporary Special Event,Commercial,700,,700,,N,HENRY FORD,AVE,,,,90744,Tents Bright Rentals  40x80 tent for luncheons,on grounds,AIR PRODUCTS,11/02/2017,11/06/2017,"(33.77971, -118.24145)"
164109000000562,Temporary Special Event,Commercial,6838,,6838,,W,HOLLYWOOD,BLVD,,,,90028,1 10X40 AND 40X220 TENTS FOR ARRIVALS,ON STREET,JUNGLE BOOK,04/04/2016,04/04/2016,"(34.10137, -118.33998)"
