DEPT_NO,DEPARTMENT,VEHICLE_COUNT,MAINT_DOLLARS,FUEL_QTY,AVG_MILES_PER_VEHICLE,TOTAL_MILES
8610,PARKS & RECREATION,1,,,0,0
7400,FINANCIAL SERVICES,3,1270.710522,221.2,1667.320292816911822,5001.960878450735466
6200,PUBLIC WORKS DEPT-STREET_BRIDGE,585,3673278.834373,392498.58,4353.317363005524175,2546690.65735823164241
5500,ECONOMIC DEVELOPMENT,1,2308.487131,165.2,8084.331655910149779,8084.331655910149779
2300,WASTEWATER OPERATING,430,2175882.895117,240156.1,4248.745981056889608,1826960.771854462531387
4400,MANAGEMENT SERVICES,11,16096.339586,5156,7782.592568965850481,85608.518258624355293
1100,ELECTRIC OPERATING,863,2151269.832691,353570.3,4721.755908806966483,4074875.34930041207525
8600,PARKS & RECREATION,552,1809405.053504,197990.7,4005.637630508848811,2211111.972040884543566
8100,AVIATION OPERATING,301,546790.414541,198457.2,4839.666595877604555,1456739.64535915897107
7208,HOUSING,2,1180.576672,614.6,5061.906164372429295,10123.812328744858589
7200,HOUSING TRUST AND AGENCY,4,5459.070472,884.9,3958.58734375432545,15834.349375017301798
8180,AVIATION CIP,2,696.19025,,0,0
6000,PUBLIC WORKS & TRANS,9,10806.557113,3208.9,8449.212059639422895,76042.908536754806056
6030,PUBLIC WORKS DEPT-CONST_ENG_PM,51,81726.015062,20651.1,6235.222728331587053,317996.359144910939692
8580,PARD GOLF ENTERPRISE,105,19397.468851,587.8,145.448507084623322,15272.093243885448788
1500,AUSTIN RESOURCE RECOVERY,413,9019401.830795,1159136,11114.579782786404866,4579206.870507998804942
8500,LIBRARY OPERATING,33,73128.941329,14650.3,5504.378935923166365,181644.504885464490029
7500,BUILDING SERVICES,63,147955.16277,25351.1,5524.64400559164562,348052.57235227367408
2200,WATER OPERATING,448,2289100.332812,287782.9,5780.563657935834348,2589692.518755253787799
5300,DEVELOPMENT SERVICES DEPARTMENT,184,320362.393793,110080.8,8860.058989863258561,1630250.854134839575186
6300,WATERSHED PROT. DEV. REV. ENT.,384,1304885.481935,132089,3035.763266166600503,1165733.094207974593242
8300,FIRE DEPARTMENT,373,4274398.582673,346397.6,6811.512480922062273,2540694.155383929227777
9300,EMS OPERATING,189,1852364.285925,284826.55,13561.948077628848368,2563208.186671852341496
5600,COMMUNICATIONS & TECH. MGT.,19,25527.013594,3803.7,3887.404050066270026,73860.6769512591305
5900,PUBLIC INFORMATION OFFICE,3,3179.632425,316.5,1976.156372287598147,5928.469116862794442
7800,FLEET SERVICES,100,216055.862128,32225.3,4805.791927214712722,480579.192721471272208
9200,ANIMAL CONTROL,42,216185.032869,35130,10350.661872782626455,434727.798656870311108
8220,CONVENTION CTR GARAGE,1,1660.295353,,3.99517538485488,3.99517538485488
1600,CODE COMPLIANCE,118,214693.748118,66236.1,6007.550761922755324,708890.989906885128261
9102,HEALTH HS TRAVS COUNT,3,5125.917053,2109.6,10026.362525502620206,30079.087576507860619
8210,CONVENTION CTR PALMER,8,12717.245887,189.8,322.622714396176137,2580.981715169409092
8200,CONVENTION CENTER,51,68570.761234,2944.5,913.403608522180196,46583.584034631190014
2400,TRANSPORTATION,170,567599.043828,85304.8,4521.070710574687059,768582.0207976968001
2401,TRANSPORTATION-PARKING,15,30570.105799,3409.6,5260.711400478907485,78910.671007183612277
5610,CTM,2,668.958638,446.3,2832.957804971624197,5665.915609943248393
9100,HEALTH OPERATING,85,137462.640278,21750.2,5434.635052703203364,461943.979479772285946
6800,PLANNING AND ZONING,8,1771.31058,379.2,1217.588629018164037,9740.709032145312297
7600,SMALL & MINORITY BUSINESS RSRC,1,354.132888,96.6,5215.785814876335521,5215.785814876335521
6400,RADIO COMMUNICATIONS,14,15463.820294,5811.2,6307.102934518153298,88299.441083254146172
4600,MUNICIPAL COURT,20,51803.425371,6128.6,4695.131108660544918,93902.622173210898367
8700,POLICE OPERATING,1272,4703894.346432,1297171,12674.573599292343821,16122057.618299861339792
