MANAGEMENT_CLASS,CLASS_DESC,VEHICLE_COUNT,MAINT_DOLLARS,FUEL_QTY,AVG_MILES_PER_VEHICLE,TOTAL_MILES
K205,ENCLOSED BATHROOM/SHOWER TRL,2,1500.349775,No-DATA,0.296298882691608,0.592597765383216
H537,TUB GRINDER TRAILER MTD,3,8613.114003,4834,893.985502925368632,2681.956508776105895
A500,VAN MINI SIZE GAS,9,16075.744264,1553.9,3834.008947492815633,34506.080527435340698
N653,"VAN, STEP TYPE, 17,500 GV",1,2612.827054,1000,7876.417130812583956,7876.417130812583956
J222,AIR COMP 250 CFM TRL DIES,4,1652.471335,38.8,25.102616679877034,100.410466719508135
J020,GEN NATURAL GAS,2,0,No-DATA,0.059098943283683,0.118197886567367
G711,TRK AER TWR 65' 32K DIE,4,18458.429567,664.4,1956.537106548282351,7826.148426193129403
L030,JET SKIS 4 STROKE DOHC,2,7401.041364,12.2,0,0
C010,SEDAN POLICE PATROL GAS,154,559843.682428,228035,16128.323256622879022,2483761.781519923369359
B043,PICKUP 10000 GVW LEV,46,93997.135235,43532,9657.547611364307089,444247.190122758126096
C534,SUV POLICE PATROL STEALTH,18,52814.156982,22716.2,16311.692996637256188,293610.473939470611387
F430,TRACK BACKHOE,2,41685.893433,468,266.215450839496466,532.430901678992932
B243,PU 9000 GVW 2WD CREW LEV,10,19467.405214,7963,13221.964531534250588,132219.645315342505877
H415,MOWER RTRY 15' NP,8,2838.467971,No-DATA,0,0
V134,"SEGWAY, 3 WHEEL, ELECT",6,327.338,No-DATA,0,0
G255,TRK STK BED WINCH 38K DIESEL,1,22142.817119,358.3,4424.350775299172753,4424.350775299172753
J339,"SLDG PMP 4"" TRL DIES",1,200.706667,No-DATA,55.11621206925863,55.11621206925863
J581,CRCK SLR ASPH TRL MTD,1,5935.349283,No-DATA,2.251059966051042,2.251059966051042
F522,IMPACTOR HYD HVY,42,17602.658614,No-DATA,3.475177778130705,145.957466681489604
K231,"TRAILER, LANDSCAPING",4,1901.691128,No-DATA,0,0
F231,LOADER INTEG MED DIES,14,62998.18754,4080.2,2416.025922909725969,33824.362920736163564
B245,PU 9000 GVW 2WD CREW LPG,10,49917.727735,10736.7,8165.44875512346417,81654.487551234641703
A540,UTIL VEH PASS 4WD GAS,5,21247.912195,2353.5,4954.470073214368364,24772.350366071841819
K600,"SEMI-TRAILER, BULK MATERI",12,38047.687531,No-DATA,0,0
K000,TRLR GEN PURP SGL AXL 1 W,160,105926.955008,14.1,0.506540358092345,81.046457294775169
K516,"SEMI-TRAILER, IMP., FIXED",2,4821.91738,No-DATA,0,0
F010,ROLLER VIB WALK BEH GAS,23,29377.67845,44.5,2445.04427507013282,56236.018326613054859
J251,GEN 80KW TRL MTD DIES,12,11506.504986,312.8,414.604151476607402,4975.249817719288827
P541,"TRUCK, SERVICE, UNDERGROU",1,4167.075436,2303.5,19772.277997392946458,19772.277997392946458
J530,CHIP SPREADER SELF-PROP,3,21004.695492,294.6,228.600667833148957,685.802003499446872
V133,"TRUCK, INDUSTRIAL, PASSEN",5,15392.080468,18.4,70.017347335493195,350.086736677465976
