MAKE,MODEL,VEHICLE_COUNT,MAINT_DOLLARS,FUEL_QTY,AVG_MILES_PER_VEHICLE,TOTAL_MILES
CATERPILLA,320DL,1,817.729625,890,1211.794502487998585,1211.794502487998585
BOBCAT,HB1180,12,7754.429968,No-DATA,12.065736538107162,144.788838457285945
UTILITY EQ,STANDARD,1,3570.902041,No-DATA,0,0
"WEDLAKE, F",STANDARD,1,413.863675,No-DATA,0,0
CUSHMAN,TUG 340,4,520.098001,No-DATA,370.96877538195539,1483.875101527821561
CHAMPION,C80C,2,16221.768974,302.3,146.191774840431033,292.383549680862066
ETNYRE,LWRT6413,1,857.247467,No-DATA,0,0
GENIE,GTH-844,4,2196.097755,110,595.599584129837664,2382.398336519350657
INTERNATIO,HV507,4,1192.836934,1483.8,4195.521846512311624,16782.087386049246496
WACKER,RSS800A,2,2046.374659,No-DATA,967.249612822481152,1934.499225644962305
SOUTHWEST,BU1472207E,5,16405.082316,No-DATA,0,0
ETNYRE,4WDK6702,1,8345.035492,124.9,302.898889184796621,302.898889184796621
HOBART,6T28-600CL,1,,No-DATA,0,0
CHEVROLET,G1500,1,4010.248075,459,8531.951380291823852,8531.951380291823852
IHC,4600 4X4,3,22269.330088,483.7,3723.561240599190025,11170.683721797570074
BIG TEX,12FT-SINGLE,2,629.652867,No-DATA,0,0
YAMAHA,F150XA,1,2039.262044,96.3,3044.44210509706915,3044.44210509706915
BIG TEX,70TV,1,2635.97872,No-DATA,0,0
BOBCAT,"68"" GRAPPLE",2,162.612844,No-DATA,0,0
BMW,G650GSP,4,2751.900047,No-DATA,1038.043176907300983,4152.172707629203932
GILLETTE,Z45 DC,1,,No-DATA,271.617207161177826,271.617207161177826
TORO,74452,2,3732.393958,80.4,2336.224586788598968,4672.449173577197936
JOHN DEERE,85G EXCAV,5,20203.782652,1033.5,1307.933398827835787,6539.666994139178935
BROOKS BRO,2RT122-7KE,1,5881.486632,No-DATA,0,0
JOHN DEERE,410K,2,5345.943479,123.9,805.102057592006615,1610.204115184013231
BIG TEX,K6090,1,3362.602125,No-DATA,18.830708882873925,18.830708882873925
SULLAIR,185DPQJD,1,416.063081,No-DATA,864.467384942830973,864.467384942830973
CARGO CRAF,XP6121,1,1903.845645,No-DATA,0,0
TORO,WORKMAN 3200,2,10147.748872,18.4,648.491108877843213,1296.982217755686426
TSE,DP165,1,2555.859252,45,844.616020494873779,844.616020494873779
YAMAHA,LF200XA,1,580.34095,No-DATA,1.827664889015347,1.827664889015347
JOHN DEERE,160GLC,1,575.894525,278,137.240564416879137,137.240564416879137
ZODIAC,FC420,7,266.04,No-DATA,0.144733758741375,1.013136311189624
AEV,411,4,4431.819023,No-DATA,56.517841115182705,226.071364460730821
WANCO,WLTS-4,2,196.048489,No-DATA,0,0
SPARTAN,GA40M-3164,1,567.138578,No-DATA,3421.525913073331722,3421.525913073331722
BIG TEX,8FT LIL-TEX,1,,No-DATA,0,0
CLARK,TMS153,1,543.877028,No-DATA,37.22048380147258,37.22048380147258
FORD,E250 ECONOLI,1,2656.984311,98.5,5145.022880518768824,5145.022880518768824
FORD,E250,5,9570.017422,2131.5,4142.413076039007875,20712.065380195039377
