License Number,Entity Name,Telephone Number,SHL Endorsed,Building,Street,City,State,Postcode,Type of Base,Latitude,Longitude,Date,Time,Location
B03100,MORELOS CAR SERVICE INC.,6469441309,No,1810,WEST    6 STREET,BROOKLYN,NY,11223,BLACK CAR BASE,,,05/10/2020,18:02:48,
B03107,JD XPRESS INC.,3473560090,No,1439,INWOOD AVENUE,BRONX,NY,10452,BLACK CAR BASE,,,05/10/2020,18:02:48,
B03209,PARAMOUNT TRANSPORT INC.,5167280544,No,93,NORTH FORDHAM RD,HICKSVILLE,NY,11801,BLACK CAR BASE,,,05/10/2020,18:02:48,
B02942,FANNY RADIO DISPATCHER SERVICE INC.,7186414444,No,129 - 02,LIBERTY AVENUE  SUITE #6,RICHMOND HILL,NY,11419,BLACK CAR BASE,,,05/10/2020,18:02:48,
B02934,JUN'S LIMOUSINE AND CAR SERVICE LLC,7184816363,No,145-117,GUY R BREWER BOULEVARD,JAMAICA,NY,11434,LIVERY BASE,,,05/10/2020,18:02:48,
B03158,SPOTON.PET LLC,8334776866,No,81,PROSPECT STREET,BROOKLYN,NY,11201,BLACK CAR BASE,,,05/10/2020,18:02:48,
B02761,D & M EXPRESS INC,7186142249,No,32,4 STREET,STATEN ISLAND,NY,10306,BLACK CAR BASE,40.624117,-73.993096,05/10/2020,18:02:48,"(40.624117, -73.993096)"
B03285,FLUSHING LIMOUSINE TRANSPORTATION SERVICE CORP.,7183581111,No,3609,164 STREET,FLUSHING,NY,11358,BLACK CAR BASE,,,05/10/2020,18:02:48,
B02008,"SCARSDALE TRIP SERVICE, INC.",9146942222,No,307,BOSTON POST ROAD,PORT CHESTER,NY,10573,LUXURY/LIMOUSINE,40.995225,-73.672196,05/10/2020,18:02:48,"(40.995225, -73.672196)"
B90162,NORTH SHORE AMBU & OXY SVC INC,7184589300,No,110-18,CORONA AVENUE,CORONA,NY,11368,PARATRANSIT BASE,40.741034,-73.852125,05/10/2020,18:02:48,"(40.741034, -73.852125)"
B01406,GOTHAM CAR SERVICE INC.,9177281154,No,209,25TH STREET  2ND FLOOR,BROOKLYN,NY,11232,LIVERY BASE,40.681771,-73.98047,05/10/2020,18:02:48,"(40.681771, -73.98047)"
B02866,"ZWEI-NY,LLC",7189715559,No,636,WEST   28 STREET,NEW YORK,NY,10001,BLACK CAR BASE,40.75273,-74.006408,05/10/2020,18:02:48,"(40.75273, -74.006408)"
