Report,Purpose_ID,Committee_Purp_ID,Filer_Name,View_Report,COR_Flag,Committee_Activity,Purpose_Type,Recipient,Office_Held,Office_Sought,Election_Date,Measure_Description
R20160715112612,CP0001,R20160715112612-CP0001,DeRail Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258013),,Oppose,MEASURE,Proposition 1,,,11/04/2014,rail bond
R20160715174520,CP0001,R20160715174520-CP0001,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Oppose,MEASURE,Proposition 1,,,03/01/2016,Fingerprint requirements for TNCs
R20160715174520,CP0002,R20160715174520-CP0002,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Israel, Celia",State Representative,State Representative,03/01/2016,
R20160715174520,CP0003,R20160715174520-CP0003,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Fischer, Huey",,State Representative,03/01/2016,
R20160715174520,CP0004,R20160715174520-CP0004,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Lloyd, Doggett",Congress - CD35,Congress - CD35,03/01/2016,
R20160715174520,CP0005,R20160715174520-CP0005,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Gallaher, Scot",,Congress - CD10,03/01/2016,
R20160715174520,CP0006,R20160715174520-CP0006,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Matta, William",,Congress - CD17,03/01/2016,
R20160715174520,CP0007,R20160715174520-CP0007,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Burnam, Lon",,Railroad Commissioner,03/01/2016,
R20160715174520,CP0008,R20160715174520-CP0008,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Bell-Meterau, Rebecca",,SBOE 5,03/01/2016,
R20160715174520,CP0009,R20160715174520-CP0009,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Jennings, Judy",,SBOE 10,03/01/2016,
R20160715174520,CP0010,R20160715174520-CP0010,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Wahlberg, David",167th District Court,167th District Court,03/01/2016,
R20160715174520,CP0011,R20160715174520-CP0011,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Soifer, Jan",,345th District Court,03/01/2016,
R20160715174520,CP0012,R20160715174520-CP0012,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Coronado, Jim",427th District Court,427th District Court,03/01/2016,
R20160715174520,CP0013,R20160715174520-CP0013,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Needles, Tamara",,427th District Court,03/01/2016,
R20160715174520,CP0014,R20160715174520-CP0014,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Urrutia, Brad",,450th District Court,03/01/2016,
R20160715174520,CP0015,R20160715174520-CP0015,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Cobb, Gary",,District Attorney,03/01/2016,
R20160715174520,CP0016,R20160715174520-CP0016,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Hernandez, Sally",Constable Pct 3,Sheriff,03/01/2016,
R20160715174520,CP0017,R20160715174520-CP0017,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Sisson, John",,Sheriff,03/01/2016,
R20160715174520,CP0018,R20160715174520-CP0018,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Elfant, Bruce",Tax Assessor-Collector,Tax Assessor-Collector,03/01/2016,
R20160715174520,CP0019,R20160715174520-CP0019,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Nortey, James",,Commissioner Pct 1,03/01/2016,
R20160715174520,CP0020,R20160715174520-CP0020,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Travillion, Jeff",,Commissioner Pct 1,03/01/2016,
R20160715174520,CP0021,R20160715174520-CP0021,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Schmacher, Rick",,Constable Pct 1,03/01/2016,
R20160715174520,CP0022,R20160715174520-CP0022,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Serna, Janie",,Constable Pct 1,03/01/2016,
R20160715174520,CP0023,R20160715174520-CP0023,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Johnson, Anthony",,Constable Pct 3,03/01/2016,
R20160715174520,CP0024,R20160715174520-CP0024,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Suits, Stacy",,Constable Pct 3,03/01/2016,
R20160715174520,CP0025,R20160715174520-CP0025,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Jimenez, Manuel",,Constable Pct 4,03/01/2016,
R20160715174520,CP0026,R20160715174520-CP0026,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Morales, George",,Constable Pct 4,03/01/2016,
R20160715174520,CP0027,R20160715174520-CP0027,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),,Support,COH,"Lopez, Carlos",Constable Pct 5,Constable Pct 5,03/01/2016,
R20160718160828,CP0001,R20160718160828-CP0001,Our City Our Safety Our Choice PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=258190),,Oppose,MEASURE,Prop 1,,,05/07/2016,TNC Election
R20160718161156,CP0001,R20160718161156-CP0001,Austin Unites,View Report (http://www.austintexas.gov/edims/document.cfm?id=258188),,Oppose,MEASURE,Prop 1,,,05/07/2016,TNC Election
R20160718161720,CP0001,R20160718161720-CP0001,Austin4All PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=258185),,Support,MEASURE,Recall City Council Member,City Council Member,,05/07/2016,Recall Austin City Council Member
R20160815165610,CP0001,R20160815165610-CP0001,We're for Ann,View Report (http://www.austintexas.gov/edims/document.cfm?id=258016),,Support,COH,"Kitchen, Ann",City Council Member,,,
R20161005124643,CP0001,R20161005124643-CP0001,Texas Vote Environment PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=264035),,Support,MEASURE,Prop 1,,,11/08/2016,Transportation Funding
