Payer,Recipient,Credit_Date,Credit_Amount,Payer_Type,Payer_Address,Payer_City_State_Zip,Credit_Year,Political_Contribution_Return,Transaction_Type,Date_Reported,Report_Filed,In_Kind_Description,Out_of_State_PAC,Correction,View_Report,TRANSACTION_ID
The Camarillo Group,"Garza, Delia",07/07/2016,150.00,Entity,PO Box 9632,"Austin, TX, 78766",2016,X,"Interest, Credits, Gains, Refunds, and Contributions Returned to Filer",10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,contribution from prior report returned (inadvertantly written on closed account,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264498),R20161012171011-K0001
Macho Marketing,Sensible Transportation Solutions for Austin,11/08/2016,6235.00,Entity,6757 Airport Blvd.,"Austin, TX, 78752",2016,,"Interest, Credits, Gains, Refunds, and Contributions Returned to Filer",01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,in-kind refund,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269900),R20170117131413-K0001
Bike Share of Austin,Austin Forward,11/01/2016,6002.62,Entity,1000 Brazos St Ste 100,"Austin, TX, 78701",2016,,"Interest, Credits, Gains, Refunds, and Contributions Returned to Filer",01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-K0001
CBRE,"Casar, Gregorio E. ""Greg""",05/30/2017,2832.07,Entity,4400 W. 78th St. #200,"Minneapolis, MN, 55435",2017,,"Interest, Credits, Gains, Refunds, and Contributions Returned to Filer",12/01/2017,COR-C/OH: Correction Affidavit for Candidate/Officeholder,return of security deposit/other closing reimbursement,,NEW,View Report (http://www.austintexas.gov/edims/document.cfm?id=288985),R20171201165426-K0001
Amazon,"Garza, Delia",08/07/2017,107.17,Entity,PO Box 81226,"Seattle, WA, 98108",2017,,"Interest, Credits, Gains, Refunds, and Contributions Returned to Filer",01/17/2018,C/OH: Candidate/Officeholder Campaign Finance Report,refund for mistaken charge on previous report,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=291285),R20180117171308-K0001
"Dunkerley, Betty","DePalma, Richard ""Rich""",04/09/2018,26.63,Individual,299 Makaha Drive,"Bastrop, TX, 78602",2018,X,"Interest, Credits, Gains, Refunds, and Contributions Returned to Filer",07/16/2018,C/OH: Candidate/Officeholder Campaign Finance Report,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=302139),R20180717172252-K0001
"Dunkerley, Betty","DePalma, Richard ""Rich""",04/09/2018,26.63,Individual,299 Makaha Drive,"Bastrop, TX, 78602",2018,X,"Interest, Credits, Gains, Refunds, and Contributions Returned to Filer",07/16/2018,C/OH: Candidate/Officeholder Campaign Finance Report,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=302139),R20180717172252-K0002
"Palma, Mary Beth","DePalma, Richard ""Rich""",06/30/2018,18.74,Individual,1051 Los Caballitos,"Del Mar, CA, 92014",2018,X,"Interest, Credits, Gains, Refunds, and Contributions Returned to Filer",07/16/2018,C/OH: Candidate/Officeholder Campaign Finance Report,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=302139),R20180717172252-K0003
"Jacobo, Karina","DePalma, Richard ""Rich""",06/30/2018,11.47,Individual,1994 43rd Ave,"San Francisco, CA, 94116",2018,X,"Interest, Credits, Gains, Refunds, and Contributions Returned to Filer",07/16/2018,C/OH: Candidate/Officeholder Campaign Finance Report,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=302139),R20180717172252-K0004
Frost Bank,"Levinski, Robert J. ""Bobby""",03/10/2018,.23,Entity,4301 W William Cannon Dr Bldg I,"Austin, TX, 78749",2018,,"Interest, Credits, Gains, Refunds, and Contributions Returned to Filer",07/16/2018,C/OH: Candidate/Officeholder Campaign Finance Report,Interest,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=302123),R20180717173954-K0001
Frost Bank,"Levinski, Robert J. ""Bobby""",04/11/2018,.37,Entity,4301 W William Cannon Dr Bldg I,"Austin, TX, 78749",2018,,"Interest, Credits, Gains, Refunds, and Contributions Returned to Filer",07/16/2018,C/OH: Candidate/Officeholder Campaign Finance Report,Interest,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=302123),R20180717173954-K0002
