Canal Name,Mile,Name/Location,Phone,Notes,Latitude,Longitude,Location
Hudson River,146.38,Amtrak (Livingston Ave)*,(518) 465-0746,,42.65447,-73.74208,"(42.65447, -73.74208)"
Erie Canal,278.76,Park Avenue [E-181],(585) 637-0460,,43.21536,-77.93537,"(43.21536, -77.93537)"
Erie Canal,293.15,North Main Street [E-200],(585) 589-6255,,43.24907,-78.19367,"(43.24907, -78.19367)"
Erie Canal,308.87,Main Street [E-216],(716) 735-7250,,43.21289,-78.47644,"(43.21289, -78.47644)"
Hudson River,152.74,Green Island*,(518) 724-7586,,42.73547,-73.68967,"(42.73547, -73.68967)"
Erie Canal,278.93,N Main St [E-182],(585) 637-4530,,43.21669,-77.93815,"(43.21669, -77.93815)"
Erie Canal,292.98,Ingersoll Street [E-199],(585) 589-4107,,43.24853,-78.19042,"(43.24853, -78.19042)"
Erie Canal,304.13,Prospect Avenue [E-211],(585) 798-0140,,43.22547,-78.39176,"(43.22547, -78.39176)"
Erie Canal,246.67,Main Street [E-128],(585) 223-9412,,43.1016,-77.44192,"(43.1016, -77.44192)"
Erie Canal,320.12,Exchange Street [E-230],(716) 434-7368,,43.17675,-78.68566,"(43.17675, -78.68566)"
Erie Canal,299.47,Knowlesville Rd [E-206],(585) 798-2050,,43.24264,-78.31063,"(43.24264, -78.31063)"
Erie Canal,283.48,East Avenue [E-187],(585) 638-6456,,43.2286,-78.02166,"(43.2286, -78.02166)"
Erie Canal,271.28,Union Street [E-174],(585) 352-5451,,43.19335,-77.80038,"(43.19335, -77.80038)"
Niagara River,8.61,International Railroad*,(716) 876-5670,,42.93134,-78.90218,"(42.93134, -78.90218)"
Erie Canal,319.92,Adam Street [E-229],"N/A, kept open",,43.17867,-78.68278,"(43.17867, -78.68278)"
Erie Canal,296.41,Eagle Harbor Rd [E-203],(585) 589-0628,,43.25186,-78.25314,"(43.25186, -78.25314)"
Erie Canal,286.58,Hulberton Road [E-191],(585) 638-8183,,43.25438,-78.06624,"(43.25438, -78.06624)"
Niagara River,9.77,Ferry Street*,(716) 851-5689,,42.91519,-78.90225,"(42.91519, -78.90225)"
Erie Canal,274.21,Washington St [E-178],(585) 352-3548,,43.19578,-77.85384,"(43.19578, -77.85384)"
Erie Canal,314.15,Gasport Road [E-222],(716) 772-7700,,43.19961,-78.57584,"(43.19961, -78.57584)"
