the_geom,OBJECTID,TILE_NAME
"MULTIPOLYGON (((-97.97946810818 30.554887019404, -97.979467873857 30.543168276128, -98.000301450882 30.543168681538, -98.000301838843 30.554887381323, -97.97946810818 30.554887019404)))",739,WW46
"MULTIPOLYGON (((-97.750293368771 30.414270789194, -97.7502932395 30.402551519198, -97.771121993911 30.40255108339, -97.771122276233 30.414270305664, -97.750293368771 30.414270789194)))",888,H34
"MULTIPOLYGON (((-98.000301838843 30.554887381323, -98.000301450882 30.543168681538, -98.021135755311 30.543168473968, -98.021135502876 30.554887116336, -98.000301838843 30.554887381323)))",741,WV46
"MULTIPOLYGON (((-97.396118397905 30.648639661217, -97.396118504919 30.636919497079, -97.416951896496 30.636920485899, -97.416952026179 30.648637847108, -97.396118397905 30.648639661217)))",334,EA54
"MULTIPOLYGON (((-97.500282974899 30.191625937388, -97.500283105792 30.179906187464, -97.521111695945 30.179906126928, -97.521111798003 30.191623075844, -97.500282974899 30.191625937388)))",2078,V15
"MULTIPOLYGON (((-97.875299845061 30.660351930963, -97.875300380788 30.64863300559, -97.89613416203 30.648633365483, -97.896133780253 30.660352244657, -97.875299845061 30.660351930963)))",326,B55
"MULTIPOLYGON (((-97.479449042588 30.367398914889, -97.479448453882 30.355681705593, -97.500284964946 30.355681617358, -97.500284914796 30.367398756333, -97.479449042588 30.367398914889)))",960,W30
"MULTIPOLYGON (((-98.125289667991 30.13302607239, -98.125289157685 30.121307873303, -98.146125412326 30.121308249865, -98.146126075794 30.133026408119, -98.125289667991 30.13302607239)))",2064,WP10
"MULTIPOLYGON (((-97.396109161317 30.226779186574, -97.39610918542 30.21506186377, -97.416945054293 30.215062239152, -97.416945183599 30.226779507696, -97.396109161317 30.226779186574)))",1652,EA18
"MULTIPOLYGON (((-97.47944875856 30.379118860546, -97.479449042588 30.367398914889, -97.500284914796 30.367398756333, -97.500284784916 30.379118649316, -97.47944875856 30.379118860546)))",924,W31
"MULTIPOLYGON (((-97.562791321424 30.672074705635, -97.562790989198 30.660354995976, -97.583625467421 30.660356412579, -97.583625237626 30.672073305258, -97.562791321424 30.672074705635)))",281,S56
"MULTIPOLYGON (((-98.041958146235 30.050998581377, -98.041958245925 30.039280334329, -98.062786639026 30.03928070373, -98.06278669045 30.050998908482, -98.041958146235 30.050998581377)))",2315,WT3
"MULTIPOLYGON (((-97.458611428952 30.320526675933, -97.458610993176 30.308809439408, -97.479447843937 30.308807468697, -97.479447559933 30.320527383105, -97.458611428952 30.320526675933)))",1411,X26
