Item Number,Product Name,CityStore Exclusive,Unit Price,Color,Size,Style,Category Name,Description
06091,'We Do' Mug: Women,No,6.00,,,Women in Dresses,Married in New York,Nothing better than waking up to a mug that reminds you of your special day! 8  oz. Dishwasher and microwave safe.
04096,MetroCard MetroCard Holder,No,3.00,,,,NYC Subway,Keep your MetroCard safe and sound with this convenient holder! Includes a Manhattan subway map (below 86th street) on the reverse side. Durable hard plastic for ultimate protection.
04096,MetroCard MetroCard Holder,No,3.00,,,,Accessories,Keep your MetroCard safe and sound with this convenient holder! Includes a Manhattan subway map (below 86th street) on the reverse side. Durable hard plastic for ultimate protection.
23019,100% cotton NYC Dish Towel,No,25.00,,,,Home Accents,"Makes drying dishes fun! New York City silk screened and framed with a hand embroidered border on a 100% cotton dish towel. The original art celebrates Little Italy, the Garment district, Chelsea, Soho, Nolita, Harlem, etc... Three stripes down both sides and hand dyed ric-rac top and bottom add a charming touch. Machine wash and dry.          100% Cotton. 21 x 30 inches."
23019,100% cotton NYC Dish Towel,No,25.00,,,,Reusable,"Makes drying dishes fun! New York City silk screened and framed with a hand embroidered border on a 100% cotton dish towel. The original art celebrates Little Italy, the Garment district, Chelsea, Soho, Nolita, Harlem, etc... Three stripes down both sides and hand dyed ric-rac top and bottom add a charming touch. Machine wash and dry.          100% Cotton. 21 x 30 inches."
16046,Replica Subway Map Poster / Wrap,No,6.00,,,,NYC Subway,Trying to pick out places you know? It  so interesting and pretty you won t know whether to frame it or use it! This vintage Hagstrom subway map has been reproduced on quality thick Cavallini paper and can be used as wrap or wall decoration. It  your choice!    19   x 28 inches.
16046,Replica Subway Map Poster / Wrap,No,6.00,,,,"Posters, Prints and Signs",Trying to pick out places you know? It  so interesting and pretty you won t know whether to frame it or use it! This vintage Hagstrom subway map has been reproduced on quality thick Cavallini paper and can be used as wrap or wall decoration. It  your choice!    19   x 28 inches.
0410,"1938 Building Code, Edited and Amended to December 6, 1968",No,5.00,,,,Rules & Regulations,"Building Laws relating to buildings built before December 6,1968. 182 pages. 11  x 8 1/2 . Soft cover."
10064,1968 Building Code of the City of New York - Update Set #1,Yes,15.00,,,,Rules & Regulations,"This is update set # 1 to the 1968 Building Code of the City of New York with amendments to October 2003.    This update includes amendments through October 2004. Included in the set are instructions on how to add, discard and replace pages.    NOTE: Update set #1 is included in 1968 Building Code of the City of New York with 2 updates (item #10127)"
17006,1999-2000 Taxi Cab Medallion,Yes,20.00,,,,CityStore Exclusives,"Own a genuine Millennium New York City taxi cab medallion! This is a plate from an actual NYC yellow cab that was issued for year 1999-2000. Affixed to the hood of the taxi cab, these medallions have probably seen more of NYC than most! Comes with a certificate of authenticity. 6   x 5   inches."
17006,1999-2000 Taxi Cab Medallion,Yes,20.00,,,,NYC Taxi,"Own a genuine Millennium New York City taxi cab medallion! This is a plate from an actual NYC yellow cab that was issued for year 1999-2000. Affixed to the hood of the taxi cab, these medallions have probably seen more of NYC than most! Comes with a certificate of authenticity. 6   x 5   inches."
17007,2000-2001 Taxi Cab Medallion,Yes,20.00,,,,CityStore Exclusives,"Own a genuine New York City taxi cab medallion! This is a plate from an actual NYC yellow cab that was issued for year 2000-2001. Affixed to the hood of the taxi cab, these medallions have probably seen more of NYC than most! Comes with a certificate of authenticity. 5   x 6   inches."
17007,2000-2001 Taxi Cab Medallion,Yes,20.00,,,,NYC Taxi,"Own a genuine New York City taxi cab medallion! This is a plate from an actual NYC yellow cab that was issued for year 2000-2001. Affixed to the hood of the taxi cab, these medallions have probably seen more of NYC than most! Comes with a certificate of authenticity. 5   x 6   inches."
17008,2001-2002 Taxi Cab Medallion,Yes,20.00,,,,CityStore Exclusives,"Own a genuine New York City taxi cab medallion! This is a plate from an actual NYC yellow cab that was issued for year 2001-2002. Affixed to the hood of the taxi cab, these medallions have probably seen more of NYC than most! Comes with a certificate of authenticity. 6 x 5   inches."
17008,2001-2002 Taxi Cab Medallion,Yes,20.00,,,,NYC Taxi,"Own a genuine New York City taxi cab medallion! This is a plate from an actual NYC yellow cab that was issued for year 2001-2002. Affixed to the hood of the taxi cab, these medallions have probably seen more of NYC than most! Comes with a certificate of authenticity. 6 x 5   inches."
18050,33rd Street Tile,No,34.00,,,,Home Accents,Own a piece of subway history with these authentic reproductions Wonderful high glaze ceramic tiles. Mounting hardware affixed 6  x 6  square.
