Sector,GHG Emissions (Metric Ton CO2e),Calendar Year
Chilled Water Energy,1285,01/01/2010 12:00:00 AM
Chilled Water Energy,1584,01/01/2011 12:00:00 AM
Chilled Water Energy,2120,01/01/2012 12:00:00 AM
Chilled Water Energy,2529,01/01/2013 12:00:00 AM
Chilled Water Energy,2910,01/01/2014 12:00:00 AM
Chilled Water Energy,2180,01/01/2015 12:00:00 AM
Chilled Water Energy,1890,01/01/2016 12:00:00 AM
Chilled Water Energy,1828,01/01/2017 12:00:00 AM
Chilled Water Energy,1754,01/01/2018 12:00:00 AM
Chilled Water Energy,1810,01/01/2019 12:00:00 AM
Diesel Use for Generators,308,01/01/2010 12:00:00 AM
Diesel Use for Generators,330,01/01/2011 12:00:00 AM
Diesel Use for Generators,329,01/01/2012 12:00:00 AM
Diesel Use for Generators,330,01/01/2013 12:00:00 AM
Diesel Use for Generators,329,01/01/2014 12:00:00 AM
Diesel Use for Generators,332,01/01/2015 12:00:00 AM
Diesel Use for Generators,332,01/01/2016 12:00:00 AM
Diesel Use for Generators,331,01/01/2017 12:00:00 AM
Diesel Use for Generators,331,01/01/2018 12:00:00 AM
Diesel Use for Generators,331,01/01/2019 12:00:00 AM
Electricity Use,120903,01/01/2010 12:00:00 AM
Electricity Use,31215,01/01/2011 12:00:00 AM
Electricity Use,0,01/01/2012 12:00:00 AM
Electricity Use,0,01/01/2013 12:00:00 AM
Electricity Use,0,01/01/2014 12:00:00 AM
Electricity Use,0,01/01/2015 12:00:00 AM
Electricity Use,0,01/01/2016 12:00:00 AM
Electricity Use,0,01/01/2017 12:00:00 AM
Electricity Use,0,01/01/2018 12:00:00 AM
Electricity Use,0,01/01/2019 12:00:00 AM
Natural Gas Use,7226,01/01/2010 12:00:00 AM
Natural Gas Use,5422,01/01/2011 12:00:00 AM
Natural Gas Use,5538,01/01/2012 12:00:00 AM
Natural Gas Use,6899,01/01/2013 12:00:00 AM
Natural Gas Use,7539,01/01/2014 12:00:00 AM
Natural Gas Use,5189,01/01/2015 12:00:00 AM
Natural Gas Use,4082,01/01/2016 12:00:00 AM
Natural Gas Use,3734,01/01/2017 12:00:00 AM
Natural Gas Use,4577,01/01/2018 12:00:00 AM
Natural Gas Use,7005,01/01/2019 12:00:00 AM
Refrigerant,1800,01/01/2010 12:00:00 AM
Refrigerant,1847,01/01/2011 12:00:00 AM
Refrigerant,1831,01/01/2012 12:00:00 AM
Refrigerant,1976,01/01/2013 12:00:00 AM
Refrigerant,2033,01/01/2014 12:00:00 AM
Refrigerant,2278,01/01/2015 12:00:00 AM
Refrigerant,2995,01/01/2016 12:00:00 AM
Refrigerant,2847,01/01/2017 12:00:00 AM
Refrigerant,2595,01/01/2018 12:00:00 AM
Refrigerant,2461,01/01/2019 12:00:00 AM
Vehicle Fuel Use,41975,01/01/2010 12:00:00 AM
Vehicle Fuel Use,44006,01/01/2011 12:00:00 AM
Vehicle Fuel Use,43961,01/01/2012 12:00:00 AM
Vehicle Fuel Use,45517,01/01/2013 12:00:00 AM
Vehicle Fuel Use,46490,01/01/2014 12:00:00 AM
Vehicle Fuel Use,47549,01/01/2015 12:00:00 AM
Vehicle Fuel Use,43358,01/01/2016 12:00:00 AM
Vehicle Fuel Use,40177,01/01/2017 12:00:00 AM
Vehicle Fuel Use,41109,01/01/2018 12:00:00 AM
Vehicle Fuel Use,41638,01/01/2019 12:00:00 AM
Purchased Carbon Offsets,-4913,01/01/2014 12:00:00 AM
Purchased Carbon Offsets,-5859,01/01/2015 12:00:00 AM
Purchased Carbon Offsets,-3572,01/01/2016 12:00:00 AM
Purchased Carbon Offsets,-2287,01/01/2017 12:00:00 AM
Purchased Carbon Offsets,-6066,01/01/2018 12:00:00 AM
Purchased Carbon Offsets,-11160,01/01/2019 12:00:00 AM
