FY,DEPARTMENT_NAME,PROGRAM_NAME,ACTIVITY_NAME,PROGRAM_OBJECTIVE,ACTIVITY_OBJECTIVE,ACTIVITY_DESCRIPTION,CORE_SERVICES,SEMICORE_SERVICES,OTHER_SERVICES,CONTACT_INFO,MEASURE_NAME,MEASURE_DESCRIPTION,KEY_PERFORMANCE,DASHBOARD_IND,LEVEL_NAME,MEASURE_TYPE_NAME,CURRENT_YR_PROJECTION,PRIOR_YR1_PROJECTION,PRIOR_YR1_ACTUAL,PRIOR_YR2_ACTUAL,PRIOR_YR3_ACTUAL,PRIOR_YR4_ACTUAL,FREQUENCY_NAME,OCT_CURRENT_YR,NOV_CURRENT_YR,DEC_CURRENT_YR,JAN_CURRENT_YR,FEB_CURRENT_YR,MAR_CURRENT_YR,APR_CURRENT_YR,MAY_CURRENT_YR,JUN_CURRENT_YR,JUL_CURRENT_YR,AUG_CURRENT_YR,SEP_CURRENT_YR,QTR1_CURRENT_YR,QTR2_CURRENT_YR,QTR3_CURRENT_YR,QTR4_CURRENT_YR
2020,EMS,Operations,Emergency Field Operations,"Operations provides emergency ground ambulance response throughout the community, specialized rescues, and standby EMS services. This program also manages the Community Health Paramedic (CHP) and Homeless Outreach Street Team (HOST) activities.","The purpose of Emergency Field Operations is to provide emergency ground ambulance response throughout the community, including the Community Health Paramedic (CHP) program, specialized rescues, training for public safety personnel, and specialized standby EMS services within Travis County in order to preserve life, improve health and promote safety.","This is a core activity. The City Code mandates that EMS must respond to all 911 calls for emergency medical service. This activity provides emergency ambulance response to the citizens of Austin and Travis County. Initiated through the Austin/Travis County 911 Communication Center, all calls are handled by a response fleet consisting of 37 full-time ambulances and 6 Command units. Services presently include comprehensive pre-hospital basic and advanced life support, specialized rescue, mass casualty management and medical oversight and rehabilitation support for other public safety agencies.","Emergency response in Austin / Travis County; Rescue; Bio-terror medical response; Hazardous materials medical support; Multi-casualty and incident management training; Response to ground, high angle, water and other specialized rescues; Bike medics; Tactical paramedics (SWAT team support); Standby support services; CHP.",,,"James Hawley, Assistant Chief, 512-972-7262",Percent of priority 1 through 5 calls responded to on time within the city of Austin,"Percentage of calls responded to within the required timeframe or less:P1  09:59P2  11:59P3  13:59P4  15:59P5  17:59Includes Priority 1-5 incidents that take place within the City of Austin. Incidents that occur outside the City (i.e. mutual aid incidents) are excluded.Stand-by (Priority 6) and other priority levels are excluded.STARFlight incidents, Duplicate and test calls are excluded.",No,No,Operational,Result,No Goal,95,94.39,95.23,95.2,95.72,Quarterly,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2020,PR,Community Services,Museums & Cultural Programs,"The purpose of the Community Services program is to provide safe, life-enhancing experiences to the Austin community in order to increase educational and leisure opportunities.","The purpose of the Museums and Cultural Programs activity is to provide cultural experiences, honor Austin's history, and engage our communities in the arts by providing facilities and programs that celebrate Austin's diverse population, cultivate lifelong learning, and create opportunities for advancing quality of life and economic vitality.","This activity is a core activity. No legal mandate. Museums and Cultural Programs operates ten (10) sites and partners with two (2) additional sites including cultural centers, museums, and theaters.  These facilities house galleries, theaters, multi-purpose rooms, classrooms, library/computer labs, conference rooms, and dance studios. HAND sites provide a wide variety of arts, cultural, and historical programming. Facility access is free and open to the public. HAND sites' missions represent all of Austin's diverse populations. HAND sites are integral places in developing our city's sense of community, preserving our history, and sharing our stories with visitors.","Educational programming for youth, adults, and seniors that focuses on history, the arts, and culturally relevant activities; Exhibitions showcasing art, historical artifacts, and cultural displays; Performances including theatrical dramas, musicals, dance, and concerts; Public and special events that highlight special occasions in the diverse communities we serve; Collaborations with community providers of arts and cultural activities",Community meetings; Community engagement activities; Rentals,Senior meals; Economic development activities; Providing access to City services for diverse communities.,"Laura Esparza, Division Manager, 512-974-4001",Hours of arts and cultural programming provided,"This measure will capture the class hours produced by sites managed by the History, Arts and Nature Division. Sites managed by the Nature Based Programs division (ANSC & ZBG) will not be included in this measure.",No,No,Operational,Output,No Goal,No Goal,No Data,11123,207525,11385.5,Annually,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2020,EMS,Billing Services,Billing Services,Billing Services facilitates patient billing and insurance reimbursement and offers payment plans to extend patient care and reduce the cost of EMS operations.,"The purpose of the Billing Services activity is to facilitate patient billing, insurance reimbursement, and offer payment plans, to extend patient care and reduce the cost of EMS operations.","This is a core activity. Legal mandates regarding the retention and confidentiality of medical records include Chapters 181 and 773 of the Texas Health and Safety Code, Chapter 28B of the Texas Insurance Code, and the federal law known as the Health Insurance Portability and Accountability Act (HIPAA) of 1996.The services provided by this activity include generating statements to patients for ambulance services, filing insurance claims (electronically and paper), filing Medicare claims, responding to customer billing inquiries, managing the retention and release of medical records for insurance and legal requirements, providing statements to Travis County for EMS Services outside the City of Austin, accounting activities on payments to EMS for all revenue and reimbursement sources.",Customer service; Data entry; Research and collections; Billing.,,,"Kerri Lang, Assistant Director, 512-972-7211",Days in Accounts Receivable (formally Days Sales Outstanding),Days in Accounts Receivable measures the average number of days to close the balance on each EMS Billing account.,Yes,No,Performance,Output,90,90,84.05,84.47,87.01,77.04,Monthly,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,MCRT,Court Judiciary,Central Booking,The purpose of the Court Judiciary program is to administer effective and impartial justice of all persons with business before the court.,The purpose of Central Booking is to provide State of Texas Code of Criminal Procedure Article 15.17 warnings and admonitions to arrestees in Travis County.,"This activity is core under Texas Code of Criminal Procedure, Chapter 15 and 17, and is conducted under interlocal agreement with Travis County. Judicial personnel provide magistration and arraignment services. When magistrating higher charge cases - Class A and B Misdemeanors and Felonies - judges apprise arrestees of their rights. When arraigning Class C Misdemeanor cases, judges apprise arrestees of their rights and accept a plea. In some Class C cases where a prior judgment is present, the judge may make payment arrangements or remand defendants to custody.","Perform all magistrate services to include: Consider personal bonds; Evaluate requests for and issue emergency protection orders, arraignment for higher charge cases; Set bonds; Arraignment of class C misdemeanor cases.",,,"Judge Sherry Statman, Presiding Judge, 512-974-4830",Number of class C misdemeanor cases magistrated/arraigned,Number of Class C misdemeanor cases arraigned,No,No,Operational,Output,No Goal,No Goal,13596,20003,23381,22233,Monthly,1069,0,0,0,0,0,0,0,0,0,0,0,,,,
2020,DSD,Building Inspections & Trade Permits,Intake,"Building and Trade Permits and Inspections are a vital part of the built environment.  Conducting building and trade inspections during the various stages of construction safeguards the public?s life, health, safety and welfare.  Keeping track of permits along with a contractor?s license and registration also provides safety to the public.","The purpose of the Intake group is to receive and process all customer applications for residential, volume builder, commercial, and expedited plan review as well as support the processing of site and sub inspection projects and the building inspections group.",This activity is a core activity. This activity is vital for customers to begin moving their projects through the development project and receive necessary guidance to meet the department?s requirements. The program has relationships with multiple city-wide departments that are involved in the development process.,Plan review intake,Reception Services; Customer Communication and Assistance,,"Christopher Hubbard, Customer Service Supervisor, 512-974-4816",Median Wait Time in Minutes for Intake Customers,"Taking data from QLESS, this compares the start and completion times for each Service Wait ID, and gives a monthly median output of how many minutes customers have to wait for service during the Intake process. This includes all Intake queues handled by the Intake work group in the Customer Experience Unit.",No,No,Operational,Output,0,New Meas.,New Meas.,New Meas.,New Meas.,New Meas.,Monthly,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,MCRT,Court Judiciary,Municipal Court Services,The purpose of the Court Judiciary program is to administer effective and impartial justice of all persons with business before the court.,"The purpose of Municipal Court Services is to ensure that defendants receive a fair, timely, and impartial resolution to matters pending before the court.","This activity is core under Texas Code of Criminal Procedure, Chapter 45 and under City Charter, Article VI, Section 1. The activity is comprised of Judiciary and support staff involved mainly with judicial processes related to Class C misdemeanors, including traffic and non-traffic offenses and civil matters pertaining to non compliant parking defendants.","Review probable cause affidavits for arrests, warrants and emergency protective orders; Issue orders and sign judgments; Research case law; Interpret law; Hold trials and hearings for adults and juveniles; Hear appeals of parking, camera at red light, and dangerous dog cases; Complete State-mandated training; Review and issue warrants; Issue commitments to hold defendants; Conduct training and education for criminal justice partners and citizens; Rule on requests for emergency protection order modifications.",,,"Judge Sherry Statman, Presiding Judge, 512-974-4830",Percent of cases set on trial docket,This is a measure of the amount of cases that end up getting set for a trial. Staffing these dockets makes up a large portion of the judges' workload.,No,No,Operational,Result,No Goal,0,8.5,New Meas.,New Meas.,New Meas.,Monthly,11.8,0,0,0,0,0,0,0,0,0,0,0,,,,
2020,PR,Community Services,Park Ranger Programs,"The purpose of the Community Services program is to provide safe, life-enhancing experiences to the Austin community in order to increase educational and leisure opportunities.","The purpose of the Park Ranger activity is to provide educational, safety, and security services to residents and visitors in Austin's parks and recreational facilities.",,Education; Community outreach; Environmental awareness programs; Safety inspections; Park security.,,,"Amanda Ross, Division Manager, (512) 978-2601",Park ranger educational contacts with park patrons,This measure represents the total number of educational contacts with park patrons by park rangers. Tracking educational contacts helps the department quantify its efforts to monitor parks and trails while positively interacting with and informing the community.,No,No,Operational,Output,No Goal,No Goal,No Data,40400,30874,9375,Monthly,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2020,HHS,Community Services,Family Health,The purpose of Community Services is to build strong communities by enriching quality of life for individuals and families.,"The purpose of the Family Health activity is to enable clients to make more informed decisions regarding sexual behaviors, early childhood education, family and individual health, and provide opportunities for youth in the community.",,Family planning education and counseling; Sexuality education and skills development; early childhood and school readiness planning; Job readiness and job skills training; Supportive employment training; Graffiti removal and prevention; Austin Urban Youth Corps; Lawn maintenance.,,,"Alan Washington, Family Health Unit Manager, 512-972-5028",Number of youth with disabilities placed in Summer Youth Employment jobs,Unduplicated count of youth with disabilities placed in SYEP jobs,No,No,Operational,Output,No Goal,No Goal,98,120,64,119,Annually,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2020,HHS,Epidemiology and Public Health Preparedness,Public Health Preparedness,"The purpose of Epidemiology and Public Health Preparedness is to minimize the public's exposure to infectious and foodborne illnesses, and provide emergency response actions to prevent, respond to, and rapidly recover from public health threats, both natural and manmade.","The purpose of Public Health Preparedness is to provide public health emergency response and planning capabilities so that the city can prepare for, prevent, respond to, and rapidly recover from public health threats (both natural and manmade).",,Public health emergency response and planning; Data management; Monitoring infectious disease; Implementing control measures.,,,"Chris Crookham, Public Health Preparedness Program Manager, 512-972-5446",Number of emergency preparedness events and incidents conducted or participated in.,"Number of real incidents or events (drills, workshops, seminars, tabletop exercises, functional exercises, full scale exercises and special events) conducted or participated in",No,No,Operational,Output,No Goal,No Goal,15,10,18,26,Annually,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2020,FIRE,Fire / Emergency Response,Emergency Operations,"Fire/Emergency Response aims to control and extinguish fires in the shortest amount of time with minimal loss of life or property, as well as provide first-in medical response, rescue services and hazardous materials response.","The purpose of Emergency Operations is to quickly control and extinguish fires with little or no loss of life or property, and to provide medical first response, rescue services, and hazardous materials response.","Combat Operations is a core service of the Austin Fire Department. The service is mandated by the City Charter, 1916, the Texas Department of Health Code for emergency medical responses, and 49 CFR 1910.120.  A paid fire department was established by election in April, 1916.  Since then, Fire Department personnel have responded to emergency calls for fire suppression, hazardous materials mitigation, rescue and emergency medical first response and mutual aid. Combat Operations also includes the Special Operations function which formulates and plans responses to Weapons of Mass Destruction (WMD) threats. It also includes specialized rescue operations such as water, high-angle, hazardous materials incidents and other specialized responses.  Aircraft firefighting and rescue services for regular flight operations began with the opening of the Austin/Bergstrom International Airport (ABIA) in May 1999 and is mandated by CFR 49.139 and Texas Govt. Code Title 4, subtitle B, Chapter 419.",Fire response; Medical first response; Search and rescue; Hazardous materials mitigation,Smoke alarm installations.,,"Richard Davis, Assistant Chief, 512-974-0130",Number of fire incidents dispatched,Measures the number of fire incidents dispatched by AFD's Communications center to field units. Provides the fire parallel to the number of medical incidents dispatched.,No,No,Operational,Output,No Goal,No Goal,4686,4628,4218,3916,Quarterly,0,0,0,0,0,0,0,0,0,0,0,0,,,,
