Year,Month,Average EMS Turnout Time,Average EMS Travel Time,Average Non-EMS Turnout Time,Average Non-EMS Travel Time,Average Call Processing Time,Average Non-EMS Operational Response Time,Average EMS Operational Response Time,Average Structure Fire Operational Response Time,Average Critical ALS Operational Response Time
2016,January,0:01:07,0:04:10,0:01:07,0:04:02,0:01:00,0:06:09,0:06:25,0:05:02,0:05:35
2016,February,0:01:07,0:04:12,0:01:06,0:04:04,0:01:01,0:06:11,0:06:26,0:05:02,0:05:34
2016,March,0:01:05,0:04:12,0:01:03,0:04:06,0:01:00,0:06:12,0:06:24,0:05:02,0:05:33
2016,April,0:01:05,0:04:12,0:01:04,0:04:07,0:00:59,0:06:10,0:06:24,0:05:02,0:05:30
2016,May,0:01:03,0:04:12,0:01:02,0:04:09,0:01:01,0:06:13,0:06:26,0:05:02,0:05:29
2016,June,0:01:01,0:04:14,0:01:02,0:04:16,0:01:02,0:06:18,0:06:26,0:05:08,0:05:29
2016,July,0:01:02,0:04:18,0:01:03,0:04:15,0:01:01,0:06:20,0:06:31,0:05:08,0:05:37
2016,August,0:01:02,0:04:18,0:01:02,0:04:13,0:01:02,0:06:20,0:06:32,0:05:08,0:05:35
2016,September,0:01:02,0:04:23,0:01:03,0:04:15,0:01:02,0:06:21,0:06:36,0:05:12,0:05:38
2016,October,0:01:01,0:04:24,0:01:01,0:04:16,0:01:02,0:06:20,0:06:36,0:05:12,0:05:40
2016,November,0:01:00,0:04:23,0:01:00,0:04:12,0:01:03,0:06:18,0:06:37,0:05:12,0:05:41
2016,December,0:01:00,0:04:25,0:01:01,0:04:18,0:01:04,0:06:23,0:06:39,0:05:04,0:05:44
2017,January,0:01:00,0:04:24,0:00:59,0:04:15,0:01:04,0:06:18,0:06:38,0:05:04,0:05:39
2017,February,0:01:00,0:04:28,0:00:59,0:04:31,0:01:01,0:06:32,0:06:37,0:05:04,0:05:39
2017,March,0:00:58,0:04:26,0:00:56,0:04:21,0:01:01,0:06:19,0:06:33,0:05:05,0:05:39
2017,April,0:00:55,0:04:30,0:00:54,0:04:30,0:01:01,0:06:24,0:06:36,0:05:05,0:05:38
2017,May,0:00:54,0:04:29,0:00:52,0:04:26,0:01:03,0:06:20,0:06:35,0:05:05,0:05:41
