HouseOfWorship,StreetAddress,City,State,Postcode,EntryDate,PermitNumber,DateIssue,DateExpiry,PermitStatus,PermitType,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location
/NYC_OD/OPEN_DATA/scripts/file_geocoder.sh: line 104: cd: /home/fmeserver: No such file or directory,,2020-05-03T07:00:03,,,,,,,,,,,,,,,,,,
Bronx Baptist Church,331 East 187TH Street,Bronx,NY,10458,05/02/2008,2019-5933,12/04/2019,12/31/2020,Active,Renew,2,40.859737,-73.895704,5,15,39902,2010996,2030220048,Bedford Park-Fordham North,POINT (-73.895704 40.859737)
Church of Saint Peter,3245 Kingsbridge Avenue,Bronx,NY,10463,05/23/2008,2019-5937,12/04/2019,12/31/2020,Active,Renew,2,40.882125,-73.904337,8,11,287,2083579,2057560235,Spuyten Duyvil-Kingsbridge,POINT (-73.904337 40.882125)
Congregation Yetev Lev D'Satmar,152-158 Rodney Street,Brooklyn,NY,11211,05/06/2008,2019-5944,12/04/2019,12/31/2020,Active,Renew,3,40.704722,-73.960431,1,33,535,3060123,3021930018,Williamsburg,POINT (-73.960431 40.704722)
Memorial Baptist Church,141 Bishop Preston R. Washington Sr. Pla,New York,NY,10026,07/18/2017,2019-5751,08/28/2019,08/31/2020,Active,Renew,,,,,,,,,,
St. Margaret Mary RC Church,9 -18  27th Avenue,Astoria,NY,11102,05/28/2008,2020-6064,02/03/2020,12/31/2020,Active,Renew,,,,,,,,,,
Church of St. Ann,101 Cromwell Avenue,Staten Island,NY,10304,02/17/2011,2020-6066,02/03/2020,02/28/2021,Active,Renew,5,40.591228,-74.098083,2,50,9602,5048632,5033010055,Old Town-Dongan Hills-South Beach,POINT (-74.098083 40.591228)
Iglesia Mision Cristiana Discipulos de Cristo de C,102-19 37th Avenue,Corona,NY,11368,01/05/2016,2020-6095,02/10/2020,01/31/2021,Active,Renew,4,40.753089,-73.865137,3,21,379,4000000,4017430027,North Corona,POINT (-73.865137 40.753089)
St. Ann's and St. Lucy Church,312 East 110th Street,New York,NY,10029,01/24/2013,2020-6104,02/20/2020,02/28/2021,Active,Renew,1,40.792946,-73.94001,11,8,180,1052848,1016810045,East Harlem North,POINT (-73.94001 40.792946)
New Tabernacle Baptist Church,992 East 181st Street,Bronx,NY,10460,09/05/2012,2019-5979,12/18/2019,11/30/2020,Active,Renew,2,40.844461,-73.879373,6,15,361,2013269,2031330022,East Tremont,POINT (-73.879373 40.844461)
John Hus Moravian Church,153 Ocean Avenue,Brooklyn,NY,11225,05/14/2008,2019-5951,12/04/2019,12/31/2020,Active,Renew,3,40.659277,-73.962606,9,40,79802,3114587,3050260020,Prospect Lefferts Gardens-Wingate,POINT (-73.962606 40.659277)
Saint Spyridon Greek Orthodox Church,124 Wadsworth Avenue,New York,NY,10033,10/26/2017,2019-5973,12/12/2019,01/31/2021,Active,Renew,1,40.848741,-73.935777,12,10,263,1081877,1021630041,Washington Heights South,POINT (-73.935777 40.848741)
Morning Star Full Gospel Assembly,464 East Tremont Avenue,Bronx,NY,10457,04/23/2010,2019-5980,12/18/2019,12/31/2020,Active,Renew,2,40.847084,-73.898377,6,15,395,2009536,2029090024,Claremont-Bathgate,POINT (-73.898377 40.847084)
St. Barnabas Episcopal Church,417 Elton Street,Brooklyn,NY,11208,05/23/2008,2019-5958,12/04/2019,12/31/2020,Active,Renew,3,40.672937,-73.88318,5,37,1166,3089241,3040180033,East New York,POINT (-73.88318 40.672937)
Kehal Bnei Torah,1454 Ocean Parkway,BROOKLYN,NY,11230,11/12/2019,2019-5982,12/18/2019,12/31/2020,Active,Renew,3,40.613257,-73.968416,12,44,440,3173774,3065870033,Ocean Parkway South,POINT (-73.968416 40.613257)
Corpus Christi Church,529 West 121st Street,New York,NY,10027,05/06/2008,2019-5946,12/04/2019,12/31/2020,Active,Renew,1,40.810419,-73.959678,9,7,203,1059650,1019760009,Morningside Heights,POINT (-73.959678 40.810419)
