Permit Number,Processed Date,Issued Date,Finaled Date,Building Area,Declared Valuation,Description,Work Type,Use Code,Street Number,Pre-direction,Street name of work location,Street Suffix,Post-direction,City,State,ZIP code
705275,03/09/2015,03/09/2015,04/01/2015,200,35000.00,INTERIOR ALTERATIONS,ALTER,MERCANTILE BUILDING,7101,,DEMOCRACY,BLVD,,BETHESDA,MD,20817
387654,06/16/2005,06/16/2005,08/29/2005,1500,23647.00,Knights Bridge Apartments - Fire Damage - Unit 202 - Restore and repair fire damaged,ALTER,MULTI-FAMILY DWELLING,3346,,TEAGARDEN,CIR,,SILVER SPRING,MD,20904
221944,06/21/2000,06/21/2000,,4500,48250.00,,ALTER,BUSINESS BUILDING,8120,,WOODMONT,AVE,,BETHESDA,MD,20814
367272,12/07/2004,12/13/2004,,4032,50000.00,BUSINESS OFFICE - Suite 701,ALTER,BUSINESS BUILDING,7200,,WISCONSIN,AVE,,BETHESDA,MD,20814
226890,08/18/2000,08/29/2000,,3300,2000.00,,ALTER,BUSINESS BUILDING,5515,,SECURITY,LN,,ROCKVILLE,MD,20852
223529,07/10/2000,07/20/2000,08/25/2000,2416,18500.00,,ALTER,BUSINESS BUILDING,11820,,PARKLAWN,DR,,ROCKVILLE,MD,20852
346387,05/28/2004,06/11/2004,,1565,135464.00,,ALTER,BUSINESS BUILDING,8601,,GEORGIA,AVE,,SILVER SPRING,MD,20910
828122,02/16/2018,02/20/2018,,646,38000.00,Restore/repair fire damage (okay per Nahid) - 646 sf,ALTER,BUSINESS BUILDING,537,,THAYER,AVE,,SILVER SPRING,MD,20910
529486,01/19/2010,01/19/2010,03/16/2010,1026,38500.00,,ALTER,BUSINESS BUILDING,19857,,CENTURY,BLVD,,GERMANTOWN,MD,20874
738689,12/10/2015,,,2996,235000.00,COMFAST,ALTER,MERCANTILE BUILDING,1776,E,JEFFERSON,ST,,ROCKVILLE,MD,20852
502736,12/24/2008,12/24/2008,,2500,5000.00,INTERIOR ALTERATION (assisting furniture),ALTER,BUSINESS BUILDING,12510,,PROSPERITY,DR,,SILVER SPRING,MD,20904
744856,02/17/2016,02/18/2016,06/13/2016,980,30225.00,interior alterations,ALTER,BUSINESS BUILDING,6550,,ROCK SPRING,DR,,BETHESDA,MD,20817
607085,08/01/2012,08/01/2012,10/27/2012,1263,24000.00,,ALTER,BUSINESS BUILDING,11300,,ROCKVILLE,PIKE,,ROCKVILLE,MD,20852
224456,07/20/2000,07/20/2000,,,20000.00,,ALTER,BUSINESS BUILDING,7200,,WISCONSIN,AVE,,BETHESDA,MD,20814
624769,01/30/2013,,,985,25000.00,INTERIOR ALTERATIONS TO COMMERCIAL BUILDING,ALTER,BUSINESS BUILDING,15200,,SHADY GROVE,RD,,ROCKVILLE,MD,20850
425317,06/23/2006,07/19/2006,,769,52500.00,Revision 12/17/07 Lobby Ceiling Light and Defuser Locations,ALTER,BUSINESS BUILDING,7979,,OLD GEORGETOWN,RD,,BETHESDA,MD,20814
213761,03/15/2000,04/12/2000,07/07/2000,2090,55000.00,,ALTER,BUSINESS BUILDING,5530,,WISCONSIN,AVE,,CHEVY CHASE,MD,20815
833052,04/06/2018,04/06/2018,,2224,3730.00,"Alter - 2,224 sf",ALTER,BUSINESS BUILDING,11900,,PARKLAWN,DR,,ROCKVILLE,MD,20852
217323,04/25/2000,05/15/2000,08/24/2000,13120,157440.00,Standard Office,ALTER,BUSINESS BUILDING,7315,,WISCONSIN,AVE,,CHEVY CHASE,MD,20815
237312,12/21/2000,12/21/2000,,4016,500.00,REVISION TO A/P# 232059,ALTER,RESTAURANT,11305,,LOCKWOOD,DR,,SILVER SPRING,MD,20904
567259,05/03/2011,05/24/2011,09/14/2011,5652,29000.00,interior alteration,ALTER,BUSINESS BUILDING,11501,,HUFF,CT,,KENSINGTON,MD,20895
796716,04/21/2017,04/21/2017,04/24/2018,1527,33512.00,"Interior alterations - 1,527 sf",ALTER,BUSINESS BUILDING,9211,,CORPORATE,BLVD,,GAITHERSBURG,MD,20878
472301,11/28/2007,,,3077,92310.00,,ALTER,BUSINESS BUILDING,7634,,STANDISH,PL,,ROCKVILLE,MD,20855
289046,10/01/2002,10/01/2002,05/06/2003,2258,36000.00,,ALTER,BUSINESS BUILDING,5515,,SECURITY,LN,,ROCKVILLE,MD,20852
740474,12/29/2015,12/29/2015,01/20/2016,272,1860.00,SYSTEM FURNITURE,ALTER,BUSINESS BUILDING,5600,,FISHERS,LN,,ROCKVILLE,MD,20852
472374,11/28/2007,,,26775,53000.00,Interior Demolition in Business office - 5th Floor,ALTER,BUSINESS BUILDING,6710,,ROCKLEDGE,DR,,BETHESDA,MD,20817
704719,03/02/2015,03/03/2015,05/03/2016,26576,36561.00,interior alteration,ALTER,BUSINESS BUILDING,6600,,ROCKLEDGE,DR,,BETHESDA,MD,20817
496754,09/30/2008,11/06/2008,04/08/2009,3088,200000.00,Interior *****REVISION 03/31/2009 Architectual,ALTER,BANK,13408,,KINGSVIEW VILLAGE,AVE,,GERMANTOWN,MD,20874
254136,07/24/2001,07/24/2001,,145,2793.00,,ALTER,MULTI-FAMILY DWELLING,12004,,AMBER RIDGE,CIR,,GERMANTOWN,MD,20876
241045,02/21/2001,03/29/2001,05/30/2001,13636,260000.00,Suite 650,ALTER,BUSINESS BUILDING,4550,,MONTGOMERY,AVE,,BETHESDA,MD,20814
630505,04/04/2013,04/08/2013,,3900,55000.00,INTERIOR ALTERATIONS,ALTER,BUSINESS BUILDING,8403,,COLESVILLE,RD,,SILVER SPRING,MD,20910
243036,03/16/2001,03/16/2001,05/14/2001,2584,40000.00,,ALTER,BUSINESS BUILDING,5454,,WISCONSIN,AVE,,CHEVY CHASE,MD,20815
236958,12/15/2000,12/21/2000,,18764,360000.00,Suite 1000,ALTER,BUSINESS BUILDING,7600,,WISCONSIN,AVE,,BETHESDA,MD,20814
781050,11/18/2016,,,1400,75000.00,tenant fit out for new bar,ALTER,BUSINESS BUILDING,6917,,LAUREL,AVE,,TAKOMA PARK,MD,20912
237024,12/15/2000,12/28/2000,01/31/2001,1400,33400.00,Suite 101,ALTER,BUSINESS BUILDING,10301,,GEORGIA,AVE,,SILVER SPRING,MD,20902
258066,09/10/2001,10/19/2001,,7400,74000.00,,ALTER,BUSINESS BUILDING,3,,BETHESDA METRO,CIR,,BETHESDA,MD,20814
531971,03/03/2010,03/03/2010,,4207,8200.00,interior demo,ALTER,RESTAURANT,7262,,WOODMONT,AVE,,BETHESDA,MD,20814
494874,09/05/2008,09/05/2008,04/02/2009,2000,80000.00,alteration,ALTER,BUSINESS BUILDING,7315,,WISCONSIN,AVE,,CHEVY CHASE,MD,20815
532246,03/08/2010,,,3343,27000.00,interior alteration- 10th floor,ALTER,BUSINESS BUILDING,5454,,WISCONSIN,AVE,,CHEVY CHASE,MD,20815
446871,03/07/2007,03/07/2007,,18000,5000.00,business offices,ALTER,BUSINESS BUILDING,6701,,ROCKLEDGE,DR,,BETHESDA,MD,20817
219731,05/24/2000,05/24/2000,,1950,60000.00,,ALTER,BUSINESS BUILDING,12251,,GEORGIA,AVE,,SILVER SPRING,MD,20902
279064,06/03/2002,06/03/2002,08/28/2002,,8500.00,,ALTER,BUSINESS,5455,,WISCONSIN,AVE,,CHEVY CHASE,MD,20815
514802,06/25/2009,06/29/2009,,13230,46525.00,INTERIOR COMMERCIAL DEMO,ALTER,MERCANTILE BUILDING,11215,,NEW HAMPSHIRE,AVE,,SILVER SPRING,MD,20904
224402,07/19/2000,08/22/2000,05/01/2001,,60000.00,,ALTER,BUSINESS BUILDING,6410,,ROCKLEDGE,DR,,BETHESDA,MD,20817
654291,11/07/2013,11/08/2013,,20,10000.00,INTERIOR ALTERATIONS,ALTER,BUSINESS BUILDING,3,,BETHESDA METRO,CIR,,BETHESDA,MD,20814
333303,02/23/2004,02/25/2004,06/25/2004,2200,10000.00,,ALTER,BUSINESS BUILDING,7735,,OLD GEORGETOWN,RD,,BETHESDA,MD,20814
540590,06/15/2010,06/15/2010,10/06/2010,961,172000.00,"interior alteration--ste #1264
REVISION submitted on 08/11/10",ALTER,MERCANTILE BUILDING,7101,,DEMOCRACY,BLVD,,BETHESDA,MD,20817
691931,10/20/2014,11/06/2014,02/21/2015,6000,40000.00,Interior work,ALTER,BUSINESS BUILDING,11794,,PARKLAWN,DR,,ROCKVILLE,MD,20852
436186,10/17/2006,11/01/2006,,1045,3500.00,Removing dropped ceiling and adding soffit,ALTER,MULTI-FAMILY DWELLING,5600,,WISCONSIN,AVE,,CHEVY CHASE,MD,20815
825472,01/19/2018,01/19/2018,04/07/2018,2561,40000.00,COMMERCIAL INTERIOR ALTERATION SUITE 1000.,ALTER,BUSINESS BUILDING,8737,,COLESVILLE,RD,,SILVER SPRING,MD,20910
330213,01/20/2004,01/22/2004,05/03/2004,3800,80000.00,space 2044  Apple Computer INC,ALTER,MERCANTILE BUILDING,7101,,DEMOCRACY,BLVD,,BETHESDA,MD,20817
512156,05/21/2009,05/22/2009,,200,8000.00,Interior Alterations,ALTER,BUSINESS BUILDING,10301,,GEORGIA,AVE,,SILVER SPRING,MD,20902
226107,08/10/2000,09/08/2000,01/25/2001,774,26000.00,,ALTER,RESTAURANT,26429,,RIDGE,RD,,DAMASCUS,MD,20872
255851,08/10/2001,08/28/2001,10/19/2001,1320,80000.00,,ALTER,BUSINESS BUILDING,9711,,MEDICAL CENTER,DR,,ROCKVILLE,MD,20850
459827,07/13/2007,07/13/2007,09/28/2007,4930,150000.00,,ALTER,BUSINESS,7475,,WISCONSIN,AVE,,BETHESDA,MD,20814
278944,05/31/2002,05/31/2002,07/29/2002,2528,28000.00,,ALTER,BUSINESS BUILDING,3,,BETHESDA METRO,CIR,,BETHESDA,MD,20814
287417,09/12/2002,10/18/2002,12/19/2002,,65000.00,,ALTER,MULTI-FAMILY DWELLING,3112,,GRACEFIELD,RD,,SILVER SPRING,MD,20904
331896,02/09/2004,02/10/2004,04/12/2004,9008,20000.00,,ALTER,BUSINESS BUILDING,11961,,TECH,RD,,SILVER SPRING,MD,20904
742390,01/20/2016,01/20/2016,02/27/2017,3724,14823.00,"INTERIOR DEMO WORK

BLDG 1B-2nd FLOOR",ALTER,BUSINESS BUILDING,14200,,SHADY GROVE,RD,,ROCKVILLE,MD,20850
601047,06/05/2012,,,821,10000.00,,ALTER,BUSINESS BUILDING,19732,,GERMANTOWN,RD,,GERMANTOWN,MD,20874
328733,12/31/2003,01/08/2004,04/08/2004,1957,20000.00,2nd flr unit 2-3.3,ALTER,MERCANTILE BUILDING,11301,,ROCKVILLE,PIKE,,KENSINGTON,MD,20895
587236,12/20/2011,12/21/2011,,2000,20000.00,Interior Alterations,ALTER,BUSINESS BUILDING,4016,,BLACKBURN,LN,,BURTONSVILLE,MD,20866
338322,03/24/2004,04/12/2004,02/08/2005,5550,25000.00,Multi-Family 1 Unit,ALTER,MULTI-FAMILY DWELLING,5610,,WISCONSIN,AVE,,CHEVY CHASE,MD,20815
