Permit Number,Status,Processed Date,Issued Date,Finaled Date,Description,Application Type,Work Type,Use code ,Number of Dwelling units,High Rise,Tax Description,Tax Amount,Tax Status,Tax Paid Date,Street Number,Pre-direction,Street name of work location,Street Suffix,Post-direction,City,State,ZIP code
287143,Issued,09/09/2002,09/17/2002,,,ROCKVILLE COM. BUILDING,CONSTRUCT,BUSINESS BUILDING,0,N,"IMPACT TAX, COUNTY DISTRICT",1093.50,UNPAID,,14949,,SHADY GROVE,RD,,ROCKVILLE,MD,20850
289814,Finaled,10/10/2002,10/10/2002,02/17/2018,,ROCKVILLE COM. BUILDING,CONSTRUCT,MULTI-FAMILY DWELLING,0,N,"IMPACT TAX, METRO STATION POLICY AREA",2437.50,PAID,10/10/2002,1799,E,JEFFERSON,ST,,ROCKVILLE,MD,20852
295138,Issued,12/26/2002,12/26/2002,,,ROCKVILLE COM. BUILDING,CONSTRUCT,BUSINESS BUILDING,0,N,"IMPACT TAX, METRO STATION POLICY AREA",18356.25,PAID,12/26/2002,1300,,ROCKVILLE,PIKE,,ROCKVILLE,MD,20852
295139,Finaled,12/26/2002,12/26/2002,02/11/2003,paid under 295138,ROCKVILLE COM. BUILDING,CONSTRUCT,BUSINESS BUILDING,0,N,"IMPACT TAX, METRO STATION POLICY AREA",0.00,UNPAID,,1300,,ROCKVILLE,PIKE,,ROCKVILLE,MD,20852
302575,Issued,04/11/2003,04/18/2003,,,ROCKVILLE COM. BUILDING,CONSTRUCT,BUSINESS BUILDING,0,N,"IMPACT TAX, COUNTY DISTRICT",5202.00,PAID,04/18/2003,3203,,TOWER OAKS,BLVD,,ROCKVILLE,MD,20852
315281,Issued,08/11/2003,08/11/2003,,,ROCKVILLE COM. BUILDING,CONSTRUCT,BUSINESS BUILDING,0,N,"IMPACT TAX, COUNTY DISTRICT",144099.75,UNPAID,,1,,CHOKE CHERRY,RD,,ROCKVILLE,MD,20850
317317,Finaled,09/02/2003,09/02/2003,10/24/2003,,ROCKVILLE COM. BUILDING,CONSTRUCT,BUSINESS BUILDING,0,N,"IMPACT TAX, METRO STATION POLICY AREA",1692.56,PAID,09/02/2003,387,,HUNGERFORD,DR,,ROCKVILLE,MD,20850
323369,Finaled,11/03/2003,11/03/2003,11/03/2003,,ROCKVILLE COM. BUILDING,CONSTRUCT,MULTI-FAMILY DWELLING,0,N,"IMPACT TAX, COUNTY DISTRICT",9528.75,PAID,11/03/2003,413,,KING FARM,BLVD,,ROCKVILLE,MD,20850
329748,Issued,01/14/2004,01/14/2004,,CONDO BLDG-11 UNITS,ROCKVILLE COM. BUILDING,CONSTRUCT,MULTI-FAMILY DWELLING,0,N,"IMPACT TAX, COUNTY DISTRICT",9528.75,PAID,01/14/2004,401,,KING FARM,BLVD,,ROCKVILLE,MD,20850
329749,Issued,01/14/2004,01/14/2004,,CONDO BLDG-11 UNITS,ROCKVILLE COM. BUILDING,CONSTRUCT,MULTI-FAMILY DWELLING,0,N,"IMPACT TAX, COUNTY DISTRICT",9528.75,PAID,01/14/2004,403,,KING FARM,BLVD,,ROCKVILLE,MD,20850
329750,Issued,01/14/2004,01/14/2004,,CONDO BLDG-11 UNITS,ROCKVILLE COM. BUILDING,CONSTRUCT,MULTI-FAMILY DWELLING,0,N,"IMPACT TAX, COUNTY DISTRICT",9528.75,PAID,01/14/2004,411,,KING FARM,BLVD,,ROCKVILLE,MD,20850
360390,Issued,10/04/2004,10/04/2004,,,ROCKVILLE COM. BUILDING,CONSTRUCT,MERCANTILE BUILDING,0,N,"IMPACT TAX, METRO STATION POLICY AREA",26704.00,PAID,10/04/2004,1125,,ROCKVILLE,PIKE,,ROCKVILLE,MD,20852
362500,Issued,10/20/2004,02/08/2007,,,ROCKVILLE COM. BUILDING,CONSTRUCT,,0,N,IMPACT TAX >MAR04-GENERAL,5220.00,PAID,10/20/2004,1201,,ROCKVILLE,PIKE,,ROCKVILLE,MD,20852
362504,Issued,10/20/2004,02/08/2007,,,ROCKVILLE COM. BUILDING,CONSTRUCT,,0,N,IMPACT TAX >MAR04-GENERAL,12815.25,PAID,10/20/2004,1201,,ROCKVILLE,PIKE,,ROCKVILLE,MD,20852
373233,Finaled,02/08/2005,02/08/2005,02/08/2005,Parking Garage,ROCKVILLE COM. BUILDING,CONSTRUCT,GARAGE,0,N,"IMPACT TAX, METRO STATION POLICY AREA",69410.00,UNPAID,,130,,ROLLINS,AVE,,ROCKVILLE,MD,20852
376999,Issued,03/17/2005,02/08/2007,,Bld2005-10878,ROCKVILLE COM. BUILDING,CONSTRUCT,HOTEL,0,N,IMPACT TAX >MAR04-ROCKVILLE TOWN CENTER,176567.50,PAID,03/17/2005,920,,KING FARM,BLVD,,ROCKVILLE,MD,20850
378079,Finaled,03/29/2005,03/29/2005,03/29/2005,,ROCKVILLE COM. BUILDING,ALTER,,0,N,IMPACT TAX >MAR04-GENERAL,285.75,PAID,03/29/2005,611,,ROCKVILLE,PIKE,,ROCKVILLE,MD,20852
390887,Issued,07/15/2005,07/15/2005,,,ROCKVILLE COM. BUILDING,CONSTRUCT,PLACE OF WORSHIP,0,N,IMPACT TAX >JUL05-GENERAL,22218.90,PAID,07/15/2005,608,N,HORNERS,LN,,ROCKVILLE,MD,20850
397710,Finaled,09/15/2005,09/15/2005,09/15/2005,BLD2005-11441,ROCKVILLE COM. BUILDING,CONSTRUCT,MERCANTILE BUILDING,0,N,IMPACT TAX >JUL05-GENERAL,61380.00,PAID,09/15/2005,799,,ROCKVILLE,PIKE,,ROCKVILLE,MD,20852
399865,Finaled,10/05/2005,10/05/2005,10/05/2005,Rockville City permit # Bld2006-11604,ROCKVILLE COM. BUILDING,CONSTRUCT,BUSINESS BUILDING,0,N,IMPACT TAX >JUL05-GENERAL,1253452.55,PAID,10/05/2005,805,,KING FARM,BLVD,,ROCKVILLE,MD,20850
402106,Issued,10/26/2005,10/26/2005,,,ROCKVILLE COM. BUILDING,CONSTRUCT,BUSINESS BUILDING,0,N,IMPACT TAX >JUL05-GENERAL,247642.50,UNPAID,,21,,CHURCH,ST,,ROCKVILLE,MD,20850
413228,Finaled,02/28/2006,02/28/2006,02/28/2006,,ROCKVILLE COM. BUILDING,CONSTRUCT,BUSINESS BUILDING,0,N,IMPACT TAX >JUL05-GENERAL,148387.50,PAID,02/28/2006,1125,,ROCKVILLE,PIKE,,ROCKVILLE,MD,20852
430582,Finaled,08/17/2006,08/17/2006,08/17/2006,new office building,ROCKVILLE COM. BUILDING,CONSTRUCT,BUSINESS BUILDING,0,N,IMPACT TAX >JUL05-GENERAL,571477.80,PAID,08/17/2006,2200,,RESEARCH,BLVD,,ROCKVILLE,MD,20850
431340,Finaled,08/24/2006,08/24/2006,08/24/2006,,ROCKVILLE COM. BUILDING,CONSTRUCT,BUSINESS BUILDING,0,N,IMPACT TAX >JUL05-GENERAL,11400.00,PAID,08/24/2006,1298,E,GUDE,DR,,ROCKVILLE,MD,20850
433586,Issued,09/21/2006,02/08/2007,,SFD2006-02705-Demolition/rebuild,ROCKVILLE COM. BUILDING,CONSTRUCT,MULTI-FAMILY DWELLING,0,N,SCHOOLS IMPACT TAX,0.00,UNPAID,,132,,MOORE,DR,,ROCKVILLE,MD,20850
433587,Finaled,09/21/2006,09/21/2006,09/21/2006,SFD2006-02706-Demolition/rebuild,ROCKVILLE COM. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,IMPACT TAX >JUL05-GENERAL,0.00,UNPAID,,134,,MOORE,DR,,ROCKVILLE,MD,20850
433589,Issued,09/21/2006,09/21/2006,,SFD2006-02708/Demolition-rebuild,ROCKVILLE COM. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,IMPACT TAX >JUL05-GENERAL,0.00,UNPAID,,161,,MOORE,DR,,ROCKVILLE,MD,20850
433590,Finaled,09/21/2006,09/21/2006,09/21/2006,SFD2006-02709,ROCKVILLE COM. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,IMPACT TAX >JUL05-GENERAL,0.00,UNPAID,,162,,MOORE,DR,,ROCKVILLE,MD,20850
433591,Issued,09/21/2006,09/21/2006,,SDD2006-02710/Demolition-rebuild,ROCKVILLE COM. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,IMPACT TAX >JUL05-GENERAL,0.00,UNPAID,,819,,WESTMORE,AVE,,ROCKVILLE,MD,20850
433594,Issued,09/26/2006,09/26/2006,,SFD2006-02713/DEMOLITION/REBUILD,ROCKVILLE COM. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,IMPACT TAX >JUL05-GENERAL,0.00,UNPAID,,163,,MOORE,DR,,ROCKVILLE,MD,20850
433595,Finaled,09/26/2006,09/26/2006,09/26/2006,SFD2006-02714/DEMOLITION-REBUILD,ROCKVILLE COM. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,IMPACT TAX >JUL05-GENERAL,0.00,UNPAID,,821,,WESTMORE,AVE,,ROCKVILLE,MD,20850
