NCESSCH,School Name,School Year,Number of Applications,lastUpdated,recordId
293180002224,MIDWAY HIGH,2016,19,06/04/2015 03:51:00 PM,2931800022242016
292376001431,NORTH PEMISCOT SR. HIGH,2017,7,06/30/2017 02:28:00 AM,2923760014312017
00754353,MCAULEY CATHOLIC HIGH SCHOOL,2019,14,02/15/2019 02:16:00 AM,007543532019
292871001774,SOUTHWEST HIGH,2019,33,02/15/2019 02:16:00 AM,2928710017742019
291201000471,MCCLUER NORTH HIGH,2017,204,06/30/2017 02:28:00 AM,2912010004712017
290498000063,BEVIER HIGH,2017,10,06/30/2017 02:28:00 AM,2904980000632017
00751862,ROSATI-KAIN HIGH SCHOOL,2017,59,06/30/2017 02:28:00 AM,007518622017
290617000156,BUNKER HIGH,2017,7,06/30/2017 02:28:00 AM,2906170001562017
290000401488,CENTRAL HIGH,2017,37,06/30/2017 02:28:00 AM,2900004014882017
291645000894,KEARNEY HIGH,2017,153,06/30/2017 02:28:00 AM,2916450008942017
292895002481,FRANCIS HOWELL NORTH HIGH,2017,234,06/30/2017 02:28:00 AM,2928950024812017
02040664,EAGLE HEIGHTS CHRISTIAN SCHOOL,2017,*,06/30/2017 02:28:00 AM,020406642017
292343001351,OZARK HIGH,2017,190,06/30/2017 02:28:00 AM,2923430013512017
292895001860,FRANCIS HOWELL HIGH,2019,243,02/15/2019 02:16:00 AM,2928950018602019
02041103,COLLEGE HEIGHTS CHRISTIAN SCHOOL,2017,29,06/30/2017 02:28:00 AM,020411032017
292616001536,REEDS SPRING HIGH,2017,65,06/30/2017 02:28:00 AM,2926160015362017
292783001709,SMITH-COTTON HIGH SCHOOL,2017,166,06/30/2017 02:28:00 AM,2927830017092017
292327001340,OSCEOLA JR.-SR. HIGH,2017,21,06/30/2017 02:28:00 AM,2923270013402017
00753848,BISHOP LEBLOND HIGH SCHOOL,2017,32,06/30/2017 02:28:00 AM,007538482017
291984001055,MADISON HIGH,2017,9,06/30/2017 02:28:00 AM,2919840010552017
290417000042,BALLARD HIGH,2017,8,06/30/2017 02:28:00 AM,2904170000422017
292949002042,STEWARTSVILLE HIGH,2019,8,02/15/2019 02:16:00 AM,2929490020422019
290513000068,BISMARCK R-V HIGH,2019,12,02/15/2019 02:16:00 AM,2905130000682019
292517001448,PILOT GROVE HIGH,2017,16,06/30/2017 02:28:00 AM,2925170014482017
291230001981,SECKMAN SR. HIGH,2017,268,06/30/2017 02:28:00 AM,2912300019812017
291640000840,CENTRAL ACADEMY OF EXCELLENCE,2019,39,02/15/2019 02:16:00 AM,2916400008402019
AA890526,SOUTHSIDE CHRISTIAN ACADEMY,2019,*,02/15/2019 02:16:00 AM,AA8905262019
290531000170,BLUE SPRINGS SOUTH HIGH,2017,274,06/30/2017 02:28:00 AM,2905310001702017
291201000472,MCCLUER HIGH,2017,98,06/30/2017 02:28:00 AM,2912010004722017
00751771,DE SMET JESUIT HIGH SCHOOL,2017,90,06/30/2017 02:28:00 AM,007517712017
291432002372,SKYLINE HIGH,2017,26,06/30/2017 02:28:00 AM,2914320023722017
290702000176,CAMERON HIGH,2019,60,02/15/2019 02:16:00 AM,2907020001762019
292187501219,NEW BLOOMFIELD HIGH,2017,24,06/30/2017 02:28:00 AM,2921875012192017
290981000284,CLIMAX SPRINGS HIGH,2017,8,06/30/2017 02:28:00 AM,2909810002842017
291059000355,DEKALB JR.-SR. HIGH,2017,10,06/30/2017 02:28:00 AM,2910590003552017
