the_geom,OBJECTID,Zoning Classification,Zoning Description,Last Update Date,Last Editor,SHAPE_Length,SHAPE_Area,Zoning Number,Zoning Year,Rec Number,Ordinance Number,Zoning Number 1,Zoning Number 2,Ordinance Number 2,Zoning Number 3,Zoning Number 4,Zoning Year 4,Rec Number 4,Ordinance Number 4,HYPERLINK,ZONENUM1,ZONEYEAR1,ORDNUM1,ZONENUM2,ZONEYEAR2,ZONENUM3,ZONEYEAR3,ORDNUM3
"MULTIPOLYGON (((-89.985011300512 30.032583869607, -89.985386159396 30.032435854498, -89.985633193404 30.032338311018, -89.985701944167 30.032460912293, -89.985824712426 30.03267971122, -89.98521713329 30.032929168378, -89.985011300512 30.032583869607)))",758,CU,,12/20/2013 12:00:00 AM +0000,BRN,249.71015254686401,3725.0006697834824,63,1989,,14041,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.061512299029 30.023691845489, -90.061953680853 30.023667977032, -90.061967211278 30.023846266203, -90.061983856162 30.0240620936, -90.061543891879 30.024087225067, -90.061525892335 30.023865135067, -90.061512299029 30.023691845489)))",744,CU,,12/20/2013 12:00:00 AM +0000,BRN,200.05277884354012,2500.9411743828587,62,1998,,18945,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.072714732593 29.955953529916, -90.072877610628 29.956060847761, -90.072658366902 29.956306364742, -90.072671296354 29.956314823373, -90.072719719141 29.956345918253, -90.072761004813 29.956373819735, -90.072817251926 29.956410615684, -90.072353712256 29.956961909621, -90.072034193188 29.95673942891, -90.072714732593 29.955953529916)))",864,CU,,12/20/2013 12:00:00 AM +0000,BRN,344.35251058609458,4809.6609666720078,108,2009,,23838,,,,,,,,,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.049095946868 29.969260733172, -90.049188264035 29.969284139233, -90.049268642592 29.969007993748, -90.049860702432 29.969144852975, -90.049977330706 29.969171812348, -90.049920417043 29.969356927789, -90.0498707977 29.969518315487, -90.049784751672 29.969798184021, -90.049698779306 29.969778211503, -90.04942690688 29.96971504727, -90.049343793852 29.969695738541, -90.049429946779 29.969417148306, -90.049339008526 29.969398132124, -90.049253087364 29.969379790641, -90.049160721688 29.969360134767, -90.049071935799 29.969341140364, -90.049095946868 29.969260733172)))",484,CU,,12/20/2013 12:00:00 AM +0000,BRN,351.83892766848254,5761.9671556056837,86,1989,,13882,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.108266018102 30.005224668461, -90.108271995492 30.00517351146, -90.108273507357 30.005160689728, -90.108280013855 30.005105448594, -90.108281178969 30.00509555807, -90.108281180766 30.005095543289, -90.108288032217 30.005037386459, -90.108289695897 30.005023151998, -90.108298467047 30.004948090815, -90.108704546878 30.004983749337, -90.108696381192 30.00505880816, -90.1086948307 30.005073051951, -90.108687980148 30.005131209538, -90.108686812338 30.005141114061, -90.10868030584 30.005196355953, -90.108678794874 30.005209178459, -90.108672818382 30.005260333886, -90.108266018102 30.005224668461)))",909,CU,,12/20/2013 12:00:00 AM +0000,BRN,162.41845401718311,1625.9566711513776,97,2012,534788,25141,,,,,,,,,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.083627642734 29.959693731251, -90.083675699907 29.959639801128, -90.084001706608 29.959862940775, -90.083955076858 29.959917508187, -90.083955068773 29.959918133144, -90.083907730253 29.959972069343, -90.083856723013 29.960032221611, -90.083592508725 29.959862179618, -90.083649337048 29.95979583137, -90.083579584663 29.959747659789, -90.083627642734 29.959693731251)))",524,CU,,12/20/2013 12:00:00 AM +0000,BRN,148.04366449988166,1183.2927568501814,17,2003,,"21,131",,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.057888873363 29.992465165902, -90.057989497251 29.992458639068, -90.058140607357 29.992449568875, -90.058152772342 29.992602019261, -90.058162064516 29.992718467278, -90.058172663738 29.992851310373, -90.058019543203 29.992860884686, -90.057854237919 29.992871159993, -90.057844395078 29.992742289498, -90.057833987198 29.992601536109, -90.057824192866 29.992468915972, -90.057888873363 29.992465165902)))",639,CU,,12/20/2013 12:00:00 AM +0000,BRN,174.41808688091578,1835.1882443399345,42,2010,,24108,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.083209166152 29.925711100026, -90.083089195248 29.925778098521, -90.083008990066 29.925821719612, -90.082928758833 29.925867216197, -90.082707752612 29.925578182744, -90.082650560471 29.925503249161, -90.082719224098 29.925464518766, -90.082735118888 29.925455918151, -90.082806668802 29.925415964639, -90.082814616198 29.925411665498, -90.082886173298 29.925371086793, -90.082934595187 29.925344041581, -90.083209166152 29.925711100026)))",141,CU,,12/20/2013 12:00:00 AM +0000,BRN,187.02151962484095,2097.4236676219507,10,2000,,19654,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.063308635848 29.984292214584, -90.063316625464 29.984397936316, -90.062896941546 29.984423267685, -90.062888920489 29.984320045195, -90.063308635848 29.984292214584)))",636,CU,,12/20/2013 12:00:00 AM +0000,BRN,120.60419769148723,630.35451262228321,82,1991,,14852,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.022549731296 29.947215827492, -90.02254975555 29.947213952381, -90.022570493159 29.946759547111, -90.022572938373 29.946705953237, -90.022666894965 29.946711891508, -90.022773753161 29.946719207513, -90.022765688985 29.946851601505, -90.022738062197 29.947305220973, -90.02273801279 29.947308971191, -90.022726602389 29.947303231442, -90.022643880128 29.947261774316, -90.022634605921 29.947257306432, -90.022549731296 29.947215827492)))",875,TR,,12/20/2013 12:00:00 AM +0000,BRN,187.98335877187762,1551.2216028107268,84,1988,,13043,,,,,,,,,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.118736000418 29.973606000227, -90.118945000656 29.9734109998, -90.119643000614 29.973970999738, -90.119000000907 29.974567000578, -90.1185360013 29.974193999041, -90.11862300044 29.974112999701, -90.118710001377 29.974031999517, -90.118797001416 29.97395199999, -90.118882000906 29.973870999675, -90.118967000397 29.973792999135, -90.118736000418 29.973606000227)))",374,RPC,,12/20/2013 12:00:00 AM +0000,BRN,421.00477193843278,8602.4529362559933,103,1982,,9858,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
