Business Name,Industry,Complaint Type,Mediation Start Date,Mediation Close Date,Complaint Result,Satisfaction,Restitution,Business Building,Business Street,Building Address Unit,Business City,Business State,Business Zip,Complainant Zip ,Longitude,Latitude
DYNAMIC RECOVERY SOLUTIONS LLC,Debt Collection Agency - 122,Billing Dispute - B02,02/07/2019,02/14/2019,Bill Reduced - BLR,Yes,1469.00,135,INTERSTATE BLVD,6,GREENVILLE,SC,29615,11225,,
FREEDOM DEBT RELIEF,Debt Settlement - 248,,03/22/2019,05/03/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,PO BOX,P O BOX 2330,,PHOENIX,AZ,85002,11372,,
BEN & NINO AUTO REPAIR INC.,Tow Truck Company - 124,Misrepresentation - M01,10/22/2019,10/30/2019,Consumer Withdrew Complaint - CWC,NA,0.00,2449,CONEY ISLAND AVE,,BROOKLYN,NY,11223,11234,-73.98290981403754,40.58436828762132
"MRS BPO, L.L.C.",Debt Collection Agency - 122,Misrepresentation - M01,06/27/2019,07/17/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,1930,OLNEY AVE,,CHERRY HILL,NJ,08003,10304,,
NY NATIONAL WIRELESS LLC,Electronic Store - 001,Misrepresentation - M01,01/28/2020,02/11/2020,Advised to Sue - ATS,No,0.00,53,E GUN HILL RD,,BRONX,NY,10467,11203,-73.88012600611422,40.88201673328502
JFK AIRLOT DISCOUNT AIRPORT PARKING,Parking Lot - 050,Damage / Estimate,11/12/2019,12/09/2019,No Business Response - NVR,No,0.00,13398,,,JAMAICA,NY,11436,,-73.79732692320542,40.66833530531546
DUANE READE INC,Drug Store Retail - 810,Refund Policy - R01,01/25/2019,01/25/2019,Cash Amount - AMT,Yes,11.00,3506,BROADWAY,,NEW YORK,NY,10031,11106,,
CLEAN RITE CENTER,Laundries,Misrepresentation - M01,02/12/2019,03/18/2019,Cash Amount - AMT,Yes,75.00,5014,ROOSEVELT AVE,,WOODSIDE,NY,11377,11368,,
SPARTAN AUTO GROUP LLC,Secondhand Dealer Auto - 005,Misrepresentation - M01,01/14/2020,02/06/2020,Referred to Outside - RTO,NA,0.00,4101,BOSTON RD,,BRONX,NY,10466,10473,,
THE HAIR SHOP,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,03/19/2019,04/05/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,451,FULTON ST,,BROOKLYN,NY,11201,11210,-73.98709778557726,40.69136609110239
"KINUM, INC",Debt Collection Agency - 122,Misrepresentation - M01,02/05/2020,02/26/2020,Resolved and Consumer Satisfied - SPF,Yes,0.00,770,LYNNHAVEN PKWY,160,VIRGINIA BEACH,VA,23452,10472,-73.94589030679174,40.71146225184993
B & D CONSTRUCTION SA INC,Home Improvement Contractor - 100,Outstanding Judgment - J01,01/28/2019,02/21/2019,Agency Collected Judgement - ACJ,Yes,5020.00,1234,36TH ST,2R,BROOKLYN,NY,11218,11201,-73.98575227724628,40.64296727256563
SPRINT SPECTRUM L.P.,Electronic Store - 001,Misrepresentation - M01,10/15/2019,11/22/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,6500,SPRINT PARKWAY,,OVERLAND PARK,NY,66251,11413,,
ROYAL DELI INC.,Grocery-Retail - 808,Misrepresentation - M01,02/05/2019,02/07/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,420B,MOTHER GASTON BLVD,,BROOKLYN,NY,11212,11212,-73.90660431038114,40.66866805611713
HEALTHWAY MEDICAL PC,Mailorder Misc - 319,Non-Delivery of Goods - N01,11/12/2019,11/22/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,65,BROADWAY,1102,NEW YORK,NY,10006,10471,,
"GREEN & COHEN, P.C.",Debt Collection Agency - 122,Billing Dispute - B02,01/16/2019,02/07/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,319,E 91ST ST,,NEW YORK,NY,10128,11225,,
DELPHINI CONTRACTING INC.,Home Improvement Contractor - 100,Quality of Work - Q01,06/19/2019,07/11/2019,No Satisfactory Agreement - NSA,No,0.00,2101,147TH ST,,WHITESTONE,NY,11357,11357,-73.81918231657377,40.780102798532
MANHATTAN SWEDISH CARS LLC,Auto Leasing - 211,,07/16/2019,07/18/2019,Referred to Outside - RTO,NA,0.00,565,11TH AVE,,NEW YORK,NY,10036,,-73.99797852822137,40.761297705202004
"CREDENCE RESOURCE MANAGEMENT, LLC",Debt Collection Agency - 122,Billing Dispute - B02,09/24/2019,10/21/2019,Bill Reduced - BLR,Yes,285.00,12645,SEATON CIR,,FRISCO,TX,75033,11210,,
BAY RIDGE CHEVROLET INC,Secondhand Dealer Auto - 005,Breach of Contract - B03,09/04/2019,10/10/2019,Bill Reduced - BLR,Yes,2400.00,1575,86TH ST,,BROOKLYN,NY,11228,11364,-74.00773985729148,40.61034881169659
71-70 LAUNDRY & CLEANERS INC.,Dry Cleaners - 230,Damaged Goods - D01,10/07/2019,11/08/2019,Advised to Sue - ATS,No,0.00,7170,YELLOWSTONE BLVD,,FOREST HILLS,NY,11375,11375,-73.85524190464837,40.720971414725774
JG CONCRETE CORP.,Home Improvement Contractor - 100,Misrepresentation - M01,03/05/2019,03/26/2019,Advised to Sue - ATS,No,0.00,9218,245TH ST,,FLORAL PARK,NY,11001,,-73.71233774776029,40.73768220365374
"BAY RIDGE NISSAN, INC.",Secondhand Dealer Auto - 005,,01/22/2020,03/05/2020,Cash Amount - AMT,Yes,7186.00,6501,5TH AVE,,BROOKLYN,NY,11220,,-74.01925453927343,40.636497082407786
SP PLUS CORPORATION,Garage - 049,Surcharge/Overcharge - S02,06/10/2019,06/26/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,,,,,,,10314,-73.96316023019945,40.76501370372331
HOME DESIGN FURNITURE OF NY INC,Furniture Sales - 242,Non-Delivery of Goods - N01,07/02/2019,07/09/2019,Referred to Outside - RTO,NA,0.00,8803,ROOSEVELT AVE,,JACKSON HEIGHTS,NY,11372,11368,-73.87819044417368,40.7482479211439
GREATER MANSION & COMPANY LLC,Home Improvement Contractor - 100,Damaged Goods - D01,02/07/2019,03/11/2019,Unable to Locate Business - ULV,NA,0.00,936,E 96TH ST,,BROOKLYN,NY,11236,11236,-73.90601811774572,40.64721985246089
CREAM RIDGEWOOD,Restaurant - 818,Surcharge/Overcharge - S02,03/10/2020,04/23/2020,Cash Amount - AMT,Yes,20.00,5909,71ST AVE,,RIDGEWOOD,NY,11385,11386,-73.89944036287264,40.70060569011293
ASTORIA COMPU.SOLUTIONS INC,Electronic & Home Appliance Service Dealer - 115,,12/28/2018,01/16/2019,Advised to Sue - ATS,No,0.00,3062,STEINWAY ST,,ASTORIA,NY,11103,,-73.91622665030329,40.76239535395239
"SEARS, ROEBUCK AND CO.",Retail Store - 820,Non-Delivery of Service - N02,01/10/2020,02/13/2020,No Satisfactory Agreement - NSA,No,0.00,3333,BEVERLY RD,,HOFFMAN ESTATES,IL,60179,,,
EXPRESSION INTERIOR DESIGN INC.,Home Improvement Contractor - 100,Non-Delivery of Service - N02,06/13/2019,07/05/2019,Advised to Sue - ATS,No,0.00,794,E 91ST ST,,BROOKLYN,NY,11236,11367,-73.91360954683941,40.64826882385614
"DIPLOMAT HOME IMPROVEMENT, LLC",Home Improvement Contractor - 100,Quality of Work - Q01,02/01/2019,02/22/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,22110,JAMAICA AVE,109,QUEENS VILLAGE,NY,11428,10473,,
"BOB'S DISCOUNT FURNITURE, LLC",Furniture Sales - 242,Defective Goods - D02,01/02/2020,01/23/2020,Goods Repaired - GRS,Yes,0.00,428,TOLLAND TPKE,,MANCHESTER,CT,06042,11229,,
"MAJOR WORLD CHEVROLET, L.L.C.",Secondhand Dealer Auto - 005,Misrepresentation - M01,01/17/2019,02/13/2019,Goods Repaired - GRS,Yes,0.00,4340,NORTHERN BLVD,,LONG ISLAND CITY,NY,11101,10701,,
THE INTELLGENT COMPANY,Furniture Sales - 242,Non-Delivery of Goods - N01,01/28/2020,03/04/2020,Unable to Locate Business - ULV,NA,0.00,238,E 59TH ST,,NEW YORK,NY,10022,10019,-73.96563144822888,40.76114438025452
BEN & NINO AUTO REPAIR INC.,Tow Truck Company - 124,Misrepresentation - M01,03/12/2019,03/22/2019,Advised to Sue - ATS,No,0.00,2449,CONEY ISLAND AVE,,BROOKLYN,NY,11223,11220,-73.97508101973075,40.57992576653164
D&M TOWING CORP.,Tow Truck Company - 124,Surcharge/Overcharge - S02,12/14/2018,01/10/2019,Cash Amount - AMT,Yes,114.00,205,E 138TH ST,,BRONX,NY,10451,26508,-73.9289774326431,40.81237178789104
REGAL RENOVATIONS CORPORATION,Home Improvement Contractor - 100,Non-Delivery of Service - N02,01/11/2019,01/28/2019,Advised to Sue - ATS,No,0.00,651,E 57TH ST,,BROOKLYN,NY,11234,10010,-73.76375874931607,40.68075455195289
