Lobbyist Firm/Sole Proprietor,Activity Date,Client,Person Lobbied,Person Lobbied Title,Lobbyist,Contact Nature,Subject Matter
"ABBVIE, INC.",03/31/2016,"ABBVIE, INC."," JERRY ""ICEMAN"" BUTLER"," COOK COUNTY COMMISSIONER, 3RD DISTRICT",MATTHEW WILLIAMS ,Phone Call,ORDINANCE (16-1983) ON “SAFE DISPOSAL OF PHARMACEUTICALS”
"ABBVIE, INC.",03/31/2016,"ABBVIE, INC.", RICHARD R. BOYKIN," COOK COUNTY COMMISSIONER, DISTRICT 1",MATTHEW WILLIAMS ,Phone Call,ORDINANCE (16-1983) ON “SAFE DISPOSAL OF PHARMACEUTICALS”
"ABBVIE, INC.",03/31/2016,"ABBVIE, INC.", ROBERT STEELE," COOK COUNTY COMMISSIONER, 2ND DISTRICT",MATTHEW WILLIAMS ,Phone Call,ORDINANCE (16-1983) ON “SAFE DISPOSAL OF PHARMACEUTICALS”
"ABBVIE, INC.",03/31/2016,"ABBVIE, INC.", STANLEY  MOORE, COMMISSIONER,MATTHEW WILLIAMS ,Phone Call,ORDINANCE (16-1983) ON “SAFE DISPOSAL OF PHARMACEUTICALS”
"ABBVIE, INC.",04/01/2016,"ABBVIE, INC.", DEBORAH SIMS," COOK COUNTY COMMISSIONER, 5TH DISTRICT",MATTHEW WILLIAMS ,Phone Call,ORDINANCE (16-1983) ON “SAFE DISPOSAL OF PHARMACEUTICALS”
"ABBVIE, INC.",04/01/2016,"ABBVIE, INC.", JESUS GARCIA," COOK COUNTY COMMISSIONER, 7TH DISTRICT",MATTHEW WILLIAMS ,Phone Call,ORDINANCE (16-1983) ON “SAFE DISPOSAL OF PHARMACEUTICALS”
"ABBVIE, INC.",04/01/2016,"ABBVIE, INC.", JOAN PATRICIA MURPHY," COOK COUNTY COMMISSIONER, 6TH DISTRICT",MATTHEW WILLIAMS ,Phone Call,ORDINANCE (16-1983) ON “SAFE DISPOSAL OF PHARMACEUTICALS”
"ABBVIE, INC.",04/01/2016,"ABBVIE, INC."," LUIS  ARROYO, JR.", COMMISSIONER,MATTHEW WILLIAMS ,Phone Call,ORDINANCE (16-1983) ON “SAFE DISPOSAL OF PHARMACEUTICALS”
"ABBVIE, INC.",04/01/2016,"ABBVIE, INC.", PETER  SILVESTRI, COOK COUNTY COMMISSIONER,MATTHEW WILLIAMS ,Phone Call,ORDINANCE (16-1983) ON “SAFE DISPOSAL OF PHARMACEUTICALS”
"ABBVIE, INC.",04/04/2016,"ABBVIE, INC.", BRIDGET GAINER," COOK COUNTY COMMISSIONER, 10TH DISTRICT",MATTHEW WILLIAMS ,Phone Call,ORDINANCE (16-1983) ON “SAFE DISPOSAL OF PHARMACEUTICALS”
