the_geom,Object ID,GIS_ID,CORRIDOR_TYPE,STREET_NAME,Shape__Length
"MULTILINESTRING ((-97.770764799924 30.248217055257, -97.772023929432 30.247857576141))",462,530,Core Transit Corridor,S LAMAR BLVD,418.520767008067
"MULTILINESTRING ((-97.756854998637 30.424155451327, -97.758021249386 30.425969338866))",47,118,Future Core Transit Corridor,JOLLYVILLE RD,755.181265271427
"MULTILINESTRING ((-97.752899625453 30.284772436503, -97.752955211353 30.284790194893, -97.752982095084 30.284836061659, -97.753020549981 30.284899544085, -97.753066552362 30.284980642358, -97.75312612878 30.285153792765, -97.753205582806 30.285447643372, -97.753247725489 30.285737140619, -97.753242946796 30.286227759749, -97.753240368642 30.286532857762, -97.753219923653 30.286721532524, -97.753164933615 30.286983742849, -97.753090451628 30.287055154219))",600,456,Core Transit Corridor,N LAMAR BLVD,868.273664185241
"MULTILINESTRING ((-97.735804007346 30.306395249674, -97.735107999486 30.307522539816))",352,352,Core Transit Corridor,GUADALUPE ST,465.107465975544
"MULTILINESTRING ((-97.665017795195 30.31308242101, -97.665005247749 30.313209448376, -97.664277975681 30.314331348827, -97.664075257335 30.314553320457))",133,204,Future Core Transit Corridor,MANOR RD,617.495411112884
"MULTILINESTRING ((-97.768061019146 30.249048656186, -97.769954983509 30.248418156614))",460,528,Core Transit Corridor,S LAMAR BLVD,640.479877840007
"MULTILINESTRING ((-97.746267542145 30.269028912767, -97.747371741818 30.26932623568))",430,498,Core Transit Corridor,W 6TH ST,364.967022924692
"MULTILINESTRING ((-97.757685541393 30.244470200304, -97.758445249879 30.24330283146))",644,644,Core Transit Corridor,S 1ST ST,487.647460954279
"MULTILINESTRING ((-97.809336475641 30.173996699698, -97.809436124957 30.173939615619, -97.810840536959 30.173929179411, -97.810918351568 30.173996746471))",304,25,Future Core Transit Corridor,W SLAUGHTER LN,516.286829664259
"MULTILINESTRING ((-97.685915931968 30.300157111524, -97.685142378749 30.301029504701))",126,197,Future Core Transit Corridor,MANOR RD,400.326351906114
"MULTILINESTRING ((-97.751173199509 30.307473119759, -97.751608849414 30.307806434745))",274,345,Core Transit Corridor,W 35TH ST,183.286715691559
"MULTILINESTRING ((-97.76743300609 30.249465129717, -97.768061019146 30.249048656186))",459,527,Core Transit Corridor,S LAMAR BLVD,249.526639043515
"MULTILINESTRING ((-97.731743739922 30.317368457744, -97.731448690159 30.317787124754, -97.731140203968 30.318268969605))",252,323,Core Transit Corridor,N LAMAR BLVD,378.928455318059
"MULTILINESTRING ((-97.734343885176 30.350577639545, -97.733252946543 30.352221143308))",207,278,Core Transit Corridor,BURNET RD,689.693831305349
"MULTILINESTRING ((-97.682216503567 30.390953509299, -97.68197172772 30.391548036608, -97.681777080617 30.392050086343, -97.681044536268 30.393883209758, -97.680776641832 30.394510262796, -97.68067953859 30.394751912825, -97.680521199741 30.395145823103, -97.67959521127 30.397665289445))",82,153,Future Core Transit Corridor,N LAMAR BLVD,2577.4075362547
"MULTILINESTRING ((-97.713064050877 30.285257932944, -97.712491538698 30.285334237387))",156,227,Future Core Transit Corridor,MANOR RD,182.822275499335
"MULTILINESTRING ((-97.698070554504 30.318703084738, -97.697368974886 30.319318497017))",53,124,Core Transit Corridor,CAMERON RD,314.79659402267
"MULTILINESTRING ((-97.753090451628 30.287055154219, -97.752832990999 30.2883341871, -97.752776335272 30.288538881972))",417,417,Core Transit Corridor,N LAMAR BLVD,548.777803120127
"MULTILINESTRING ((-97.78929033312 30.238675296812, -97.789746770819 30.238400062046, -97.791707015225 30.237020005345, -97.792536471106 30.236446161975, -97.792598100372 30.236264736591))",695,695,Core Transit Corridor,S LAMAR BLVD,1376.12777107437
"MULTILINESTRING ((-97.755831992747 30.247452780853, -97.756346586967 30.246569276213))",466,534,Core Transit Corridor,S 1ST ST,360.069451103264
"MULTILINESTRING ((-97.699686381177 30.358259226488, -97.698092160303 30.36112263163))",22,93,Future Core Transit Corridor,N LAMAR BLVD,1156.41403847555
"MULTILINESTRING ((-97.707276564711 30.352116507256, -97.705646027601 30.35335653158))",29,100,Future Core Transit Corridor,N LAMAR BLVD,684.018257960949
"MULTILINESTRING ((-97.757113139792 30.264530607604, -97.757226447138 30.264441327305, -97.757551225905 30.263678258725, -97.75780297028 30.263050495107, -97.757749949034 30.262935868205))",538,606,Core Transit Corridor,S LAMAR BLVD,630.839047980154
"MULTILINESTRING ((-97.74953184919 30.269950134255, -97.750593429181 30.270301576246))",479,547,Core Transit Corridor,W 6TH ST,358.669665560254
"MULTILINESTRING ((-97.732551575594 30.265090534027, -97.731556322738 30.264751287557))",183,254,Core Transit Corridor,E 6TH ST,337.557456352814
