Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Type,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,Pedestrian Obeyed Traffic Signal,Pedestrian Visibility,At Fault,Injury Severity,Safety Equipment,Latitude,Longitude,Location
MCP23480052,190024574,Montgomery County Police,Injury Crash,05/23/2019 05:30:00 PM,Maryland (State),GEORGIA AVE,Maryland (State),UNIVERSITY BLVD W,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,BA019151-C3B9-4D35-91CE-A52BF1E90460,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED SERIOUS INJURY,N/A,39.04165333,-77.05187667,"(39.04165333, -77.05187667)"
MCP20160048,190026280,Montgomery County Police,Injury Crash,06/02/2019 12:19:00 PM,Maryland (State),ROCKVILLE PIKE,Municipality,ROLLINS AVE,,ROCKVILLE,PEDESTRIAN,SINGLE VEHICLE,CLOUDY,DRY,DAYLIGHT,N/A,NONE DETECTED,N/A,48E25DB8-96FA-4A4B-B209-E1BF0FCAB8F9,PEDESTRIAN,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,SIDEWALK,N/A,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,NONE,38.953,-77.338,"(38.953, -77.338)"
MCP3171000V,190026764,Montgomery County Police,Injury Crash,06/04/2019 09:02:00 PM,,,,,"HOME DEPOT PARKING LOT
 21010 FREDERICK RD GERMANTOWN MD",,PEDESTRIAN,SINGLE VEHICLE,CLEAR,,DARK LIGHTS ON,N/A,NONE DETECTED,NONE DETECTED,DDAA6793-157D-4CB0-BF55-1789966836AC,PEDESTRIAN,Unknown,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,N/A,No,POSSIBLE INJURY,N/A,39.201165,-77.24834333,"(39.201165, -77.24834333)"
MCP3000002N,190026219,Montgomery County Police,Injury Crash,06/01/2019 10:27:00 PM,County,MIDDLEBROOK RD,County,WARING STATION RD,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,12862211-19AD-42F6-B77A-10BA5F788CB0,PEDESTRIAN,Cross/Enter at Intersection,OTHER,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.17525182,-77.25361113,"(39.17525182, -77.25361113)"
EJ7876000N,190026354,Gaithersburg Police Depar,Injury Crash,06/02/2019 10:10:00 PM,Maryland (State),MONTGOMERY VILLAGE AVE,Unknown,SPUR TO LOST KNIFE RD,,N/A,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLOUDY,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,ALCOHOL PRESENT,4B746786-935A-4761-9328-C30FCC58F9FA,BICYCLIST,Cross/Enter at Intersection,OTHER,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,DARK CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,39.157775,-77.20400167,"(39.157775, -77.20400167)"
MCP20080062,190023569,Montgomery County Police,Injury Crash,05/18/2019 06:11:00 PM,County,FALLS RD,County,BURBANK DR,,N/A,BICYCLIST,OPPOSITE DIRECTION SIDESWIPE,N/A,DRY,DAYLIGHT,N/A,NONE DETECTED,NONE DETECTED,ACED7CBE-9E16-4A7C-97B2-426DD996DF14,BICYCLIST,Walking/Riding against Traffic,WRONG WAY RIDING OR WALKING,ON ROADWAY NOT AT CROSSWALK,N/A,LIGHT CLOTHING,Yes,SUSPECTED MINOR INJURY,MC/BIKE HELMET,39.01409667,-77.21513667,"(39.01409667, -77.21513667)"
MCP28710065,190025208,Montgomery County Police,Injury Crash,05/27/2019 04:13:00 PM,County,ROSELAND DR,Maryland (State),OLD GEORGETOWN RD,,N/A,OTHER,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,B1EA0966-7837-4E60-B29A-FD34850A9A55,OTHER,Playing,IN ROADWAY IMPROPERLY,N/A,N/A,LIGHT CLOTHING,Yes,SUSPECTED MINOR INJURY,MC/BIKE HELMET,39.04198667,-77.12334833,"(39.04198667, -77.12334833)"
MCP2351003L,190052610,Montgomery County Police,Injury Crash,11/01/2019 11:57:00 AM,,,,,SIDEWALK ADJACENT 5451 RANDOLPH RD,,BICYCLIST,OTHER,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,748E462C-28C6-454A-961B-48B1F1AC16DA,BICYCLIST,Walking/Cycling on Sidewalk,UNKNOWN,SIDEWALK,N/A,MIXED CLOTHING,Unknown,SUSPECTED MINOR INJURY,NONE,39.05356833,-77.10807833,"(39.05356833, -77.10807833)"
DD55950081,190052823,Rockville Police Departme,Injury Crash,11/02/2019 05:45:00 PM,Maryland (State),ROCKVILLE PIKE,Municipality,TWINBROOK PKWY,,ROCKVILLE,BICYCLIST,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,UNKNOWN,NONE DETECTED,0B8BDC18-685A-4B63-87BC-838AE5E1E3D1,BICYCLIST,Other,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.05887808,-77.12129145,"(39.05887808, -77.12129145)"
MCP003600C3,190052659,Montgomery County Police,Injury Crash,11/01/2019 04:14:00 PM,,EBENEZER CHAPEL DR,,GENERAL STORE DR,,N/A,BICYCLIST,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,E75A87F9-30B1-4702-BA67-2BA8BF184B04,BICYCLIST,Cross/Enter at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes,SUSPECTED SERIOUS INJURY,NONE,39.24310333,-77.27793833,"(39.24310333, -77.27793833)"
