  Site,Date,Giardia / 50L,Cryptosporidium / 50L,Qualifiers
DEL18DT,07/15/2019,0,0,
DEL18DT,07/22/2019,1,0,
DEL18,06/25/2012,0,0,
DEL18,06/27/2011,0,0,
DEL18DT,07/29/2019,2,1,
DEL18DT,08/05/2019,0,0,
CRO1B,10/03/2011,1,0,
CRO1B,08/12/2019,0,0,
DEL18,11/07/2011,1,0,
DEL18DT,08/12/2019,1,0,
DEL18DT,05/20/2013,1,0,
DEL18DT,08/19/2019,0,0,
DEL18,03/01/2010,1,0,
DEL18DT,03/25/2019,1,0,
DEL18DT,08/26/2019,0,0,
DEL18,12/06/2010,3,0,
DEL18DT,07/24/2017,0,0,
DEL18DT,07/14/2014,2,0,
DEL18DT,11/26/2018,0,0,
DEL18DT,08/27/2018,0,0,
DEL18,11/28/2011,1,0,
DEL18DT,09/03/2019,1,0,
DEL18DT,09/09/2019,2,0,
DEL18DT,05/20/2019,2,0,
CATLEFF,07/19/2010,1,0,
DEL18,01/30/2012,3,0,
CRO1B,03/02/2015,0,0,
DEL18DT,09/16/2019,0,0,
DEL18DT,09/23/2019,0,0,
DEL18DT,04/08/2019,1,0,
DEL18DT,09/30/2019,0,0,
DEL18DT,03/20/2014,Cancel,Cancel,
DEL18DT,10/07/2019,0,0,
DEL18DT,10/15/2019,2,0,
DEL18DT,12/17/2018,3,0,
DEL18DT,10/21/2019,2,0,
DEL18DT,01/08/2018,2,0,
DEL18DT,12/22/2014,1,0,
DEL18,11/21/2011,3,0,
CROGH,07/06/2010,0,0,
DEL18DT,10/28/2019,1,0,
CATLEFF,05/17/2010,2,0,
DEL18DT,11/04/2019,1,0,
DEL18DT,11/12/2019,1,0,
DEL18DT,05/29/2018,0,0,
DEL18DT,09/28/2015,0,0,Temperature Data failed QC check against NIST thermometer during the annual NIST temperature check testing outside the 0.5° limit.
CROGH,11/12/2019,0,0,
DEL18DT,11/18/2019,0,0,
CROGH,03/14/2016,0,0,
CATLEFF,06/06/2011,1,0,
DEL18DT,11/25/2019,5,0,
DEL18DT,12/02/2019,12,0,
DEL18DT,09/19/2016,0,0,The spike analysis was not within the control limits.
DEL18DT,12/09/2019,2,0,
DEL18DT,12/16/2019,7,0,
DEL18DT,12/23/2019,3,1,
DEL18DT,04/08/2013,0,0,
DEL18DT,12/30/2019,0,0,
DEL18DT,06/24/2013,2,0,
CRO1B,04/16/2018,0,0,
CROGH,02/03/2015,2,1,
DEL18DT,01/06/2020,8,0,
DEL18DT,01/13/2020,4,0,
DEL18DT,01/21/2020,2,0,
DEL18,06/06/2011,2,0,
DEL18,05/24/2010,1,0,
CRO1B,03/29/2010,3,0,
DEL18DT,01/27/2020,3,0,
CATLEFF,08/20/2012,0,0,
DEL18DT,11/21/2016,0,0,Heat Dissociation
DEL18DT,02/29/2016,0,0,
CROGH,02/11/2019,10,0,
DEL18DT,04/04/2016,3,1,
DEL18DT,09/09/2013,0,0,
CRO1B,09/12/2011,0,0,
DEL18,12/27/2010,3,0,
DEL18DT,03/04/2013,1,0,
CRO1T,02/03/2020,7,0,
DEL18DT,02/03/2020,4,0,
DEL18DT,02/10/2020,1,1,
DEL18DT,02/18/2020,8,1,
DEL18DT,02/24/2020,9,0,
DEL18DT,03/02/2020,2,0,
DEL18DT,03/09/2020,1,0,
DEL18DT,03/16/2020,1,0,
DEL18DT,03/24/2020,9,0,
DEL18DT,03/23/2020,Cancel,Cancel,
DEL18DT,12/02/2013,0,0,
CRO1B,02/04/2013,3,0,
DEL18DT,03/21/2014,Cancel,Cancel,
CROGH,05/24/2010,2,0,
DEL18DT,09/11/2017,0,0,
DEL18DT,09/19/2016,1,1,Heat Dissociation
CATLEFF,07/16/2012,1,0,
CROGH,01/09/2012,2,0,
CRO1B,04/05/2010,4,0,
DEL18,04/04/2011,1,0,
CATLEFF,09/28/2011,0,0,
CROGH,06/01/2010,1,0,
CRO1B,12/02/2013,0,0,
CROGH,01/05/2015,0,0,
1CR21,06/01/2015,0,0,
CRO1B,11/14/2011,0,0,Bottle not packed.  Turbidity sample taken by aquemon when pathogen sample was taken.
DEL18DT,07/29/2013,2,0,
DEL18DT,02/20/2018,0,0,
DEL18DT,09/04/2018,1,0,
DEL18,01/04/2012,0,0,
1CR21,06/15/2015,0,0,The duplicate analysis was not within the control limits.
CATLEFF,09/27/2010,0,0,
1CR21,11/23/2015,0,0,
1CR21,01/09/2017,1,0,
1CR21,11/09/2015,0,0,
DEL18,01/23/2012,3,0,
DEL18DT,11/25/2013,0,0,
1CR21,01/03/2017,0,0,
CRO1B,03/12/2012,2,0,
1CR21,08/29/2016,1,0,
DEL18DT,10/15/2012,1,0,
DEL18DT,03/09/2015,3,0,
DEL18DT,02/27/2017,1,0,
CATLEFF,07/26/2010,3,0,
DEL18DT,07/22/2013,0,0,
CATLEFF,09/13/2010,0,0,
CROGH,07/11/2016,0,0,
DEL18DT,03/03/2014,0,0,
DEL18,10/12/2010,0,0,
DEL18,08/15/2011,0,0,
CRO1B,05/03/2010,0,0,
DEL18DT,11/19/2012,1,0,
DEL18,10/24/2011,2,0,
DEL18DT,02/04/2013,2,0,
DEL18DT,06/26/2017,0,0,
DEL18DT,09/30/2013,0,0,
CRO1B,08/06/2012,0,0,
1CR21,04/11/2016,1,0,
DEL18DT,12/27/2016,0,0,
DEL18DT,10/01/2018,2,0,
CROGH,12/12/2011,1,1,
DEL18DT,03/30/2020,3,0,
DEL18DT,04/13/2020,5,0,
CATLEFF,04/18/2011,2,0,The thermometer used for this reading was outside of its annual check. 05082009B expired on 3/31/2011.
DEL18DT,04/29/2013,1,0,
CRO1B,03/19/2012,1,0,
DEL18,06/20/2011,0,0,
DEL18DT,04/06/2020,2,0,
1CR21,06/27/2016,1,0,
DEL18DT,04/20/2020,1,0,
CATLEFF,03/12/2012,1,0,
DEL18DT,01/07/2013,2,0,
1CR21,02/16/2016,1,0,
DEL18DT,02/11/2013,0,0,
DEL18DT,04/27/2020,1,0,
1CR21,10/09/2018,0,0,
DEL18DT,05/04/2020,2,0,
CRO1B,11/21/2011,0,0,
CRO1B,10/07/2013,1,0,
DEL18DT,10/13/2015,0,0,Temperature Data failed QC check against NIST thermometer during the annual NIST temperature check testing outside the 0.5° limit.
CATLEFF,08/08/2011,2,0,
DEL18DT,12/29/2014,1,1,
DEL18DT,09/04/2012,0,0,
DEL18DT,07/03/2017,1,0,
CRO1B,11/04/2013,0,0,
DEL18DT,07/21/2014,0,0,
1CR21,01/04/2016,1,0,
1CR21,03/06/2017,0,0,Croton was off line since 2/28/17 so this data was not reported in the LT2
CATLEFF,01/31/2011,0,0,
1CR21,06/06/2016,1,0,
CROGH,04/11/2016,0,0,
CROGH,05/04/2015,0,0,
1CR21,12/19/2016,0,241,
DEL18DT,03/11/2013,1,0,
DEL18DT,03/18/2013,0,0,
DEL18DT,07/20/2015,0,0,
CRO1B,05/14/2018,0,0,
DEL18DT,09/16/2013,1,0,
DEL18DT,07/08/2019,2,0,
CRO1T,04/06/2015,0,0,
DEL18,01/09/2012,3,0,Equipment forgotten.  Crew did not use correct thermometer for this test.
DEL18DT,05/27/2014,2,0,
DEL18DT,02/26/2018,6,0,
DEL18DT,04/29/2019,4,0,
1CR21,05/26/2015,0,0,
DEL18DT,02/23/2015,0,2,
DEL18DT,05/06/2019,0,0,
DEL18DT,02/05/2018,2,0,
DEL18DT,06/05/2017,1,0,
DEL18DT,01/06/2014,4,0,
CRO1T,11/22/2010,1,0,
DEL18,09/26/2011,1,0,
DEL18,03/15/2010,1,0,
CATLEFF,06/13/2011,1,0,
CRO1T,02/14/2011,3,0,
CROGH,02/16/2016,0,0,Heat dissociation used
DEL18DT,05/13/2019,6,0,
CRO1T,11/15/2010,1,0,
DEL18DT,10/16/2017,0,0,
1CR21,02/22/2016,0,0,
DEL18,03/29/2010,1,0,
DEL18DT,10/03/2016,0,0,The spike analysis was not within the control limits.
DEL18DT,10/28/2013,2,0,
CROGH,10/13/2015,0,0,
DEL18DT,04/16/2018,2,0,
DEL18DT,12/03/2018,1,0,
DEL18DT,04/03/2017,2,0,
CRO1B,04/23/2012,0,0,
DEL18DT,07/18/2016,0,0,
DEL18DT,11/30/2015,0,0,
DEL18DT,04/22/2019,2,0,
1CR21,12/07/2015,0,0,
1CR21,10/03/2016,Cancel,Cancel,
CRO1B,07/30/2012,0,0,
DEL18DT,01/25/2016,2,0,
DEL18DT,05/02/2016,Cancel,Cancel,Test cancelled due to lab accident.  Resample collected.
CATLEFF,04/26/2010,3,0,
CRO1B,08/01/2011,2,0,
1CR21,11/21/2016,0,0,
CATLEFF,08/16/2010,0,0,"The IR gun was out of calibration when the temps were taken. However, the IR gun is checked daily against a NIST calibrated thermometer and was in range."
CRO1B,09/04/2018,0,0,
DEL18DT,06/02/2014,3,0,
DEL18DT,06/18/2018,0,0,
DEL18,09/13/2010,1,0,
CATLEFF,07/11/2011,0,0,
CRO1B,07/09/2012,0,0,
DEL18,09/19/2011,1,0,
CATLEFF,08/31/2011,0,0,
CATLEFF,07/18/2011,2,0,
CATLEFF,09/06/2011,3,0,
CATLEFF,12/05/2011,0,1,
DEL18DT,10/15/2013,0,0,
1CR21,05/04/2015,0,0,
CATLEFF,09/16/2011,1,0,
DEL18DT,05/01/2017,4,0,
1CR21,09/12/2016,1,0,
DEL18DT,05/05/2014,4,0,
CRO1B,07/01/2013,0,0,
CRO1T,10/12/2010,0,0,
CATLEFF,12/19/2011,0,0,
CRO1B,08/05/2013,0,0,
CROGH,08/02/2010,0,0,
CATLEFF,08/09/2010,0,0,"The IR gun was out of calibration when the temps were taken. However, the IR gun is checked daily against a NIST calibrated thermometer and was in range."
CRO1B,09/04/2012,0,0,
CRO1T,09/02/2014,0,0,
CATLEFF,03/14/2011,1,0,
DEL18DT,08/17/2015,0,0,
1CR21,07/27/2015,0,0,
