Case Number,Open Date,Close Date,Description,Year,Type,Sub-Type
18680,02/26/2007,02/26/2007,"On 01/09/2007 at 1:22PM WSSC dispatch call with notification: = WORK ORDER(S): 6725204 6724801, SOURCE: OVERFLOWING MH MH10081056, WATER AFFECTED: NORTHWEST BRANCH, CAUSE: ROOTS, EST OVERFLOW VOLUME: 288 GALS., MH 056M OVERFLOWED 2 GPM INTO STORM DRAIN. THE CREW JETTED FROM MH55U TO 56M AND FOUND AND CLEARED ROOTS @ 325', LYMED, AND SIGNS POSTED: 2 POST DATE: 01/09/2007",2007,Water Quality,Overflows
18681,02/26/2007,02/26/2007,"On 01/18/20067 at 9:58AM WSSC dispatch provided notification: = WORK ORDER(S): 6739023 6719272 SOURCE: REPAIR SEWER MAIN SS05086012, WATER AFFECTED: ROCK CREEK, OVERFLOW VOLUME: 100 GALS., CREW ON-SITE TV'G DOWNSTREAM STRETCH FOLLOWING PREVIOUS SSO,
PLUGGING MAIN CAUSED EXFILTRATION AT EXPOSED JOINT IN 
CREEK. SIGNS POSTED FROM PREVIOUS SSO.",2007,Water Quality,Overflows
18682,02/26/2007,02/26/2007,"On 01/18/2007 at 2:00PM WSSC dispatch provided notification: = WORK ORDER(S): 6739445 6739197, SOURCE: OVERFLOWING MH MH10050074, WATER AFFECTED: NORTHWEST BRANCH, CAUSE: ROOTS, OVERFLOW VOLUME: 320 GALS., FOUND MANHOLE 074N OVERFLOWING 2 GPM. JETTED 8  FROM MANHOLE 073M TO 
074N 236 FT, HIT AND RELIEVED HARD ROOTS AT 236 FT.  FLUSHED BACK INTO MANHOLE, RAKED AREA. SIGNS POSTED: 2 POST DATE: 01/18/2007",2007,Water Quality,Overflows
18685,02/26/2007,02/26/2007,"On 02/15/2007 at 7:11PM WSSC provided notification: = WORK ORDER(S): 6807226 6806897, CAUSE: GREASE, SOURCE: CLEAN OUT 00372984500, WATER AFFECTED: SLIGO CREEK, OVERFLOW VOLUME: 300 GALS., FOUND MANHOLE AT PROPERTY LINe OVERFLOWING APPROXIMATELY 2 GPM. JETTED SERVICE FROM THE MANHOLE TOTAL 80FT AND RELIEVED A GREASE BLOCKAGE AT 15FT. A WORK ORDER WAS GENERATED TO SPREAD LIME. LIME RAKED AREA VISIBLE SOLIDS REMOVED, SIGNS POSTED: 2",2007,Water Quality,Overflows
18700,03/02/2007,03/05/2007,"SSO reported by WSSC that occurred on 3/1/07 beginning at 1339 and ending at 1615 hours.  It was estimated that 78 gallons entered Sligo Creek.  The affected area was flushed back into the manhole and three signs were posted.  The closest street address is 19 Sunnyside Rd., Silver Spring, ADC Map 37 D 10.",2007,Water Quality,Overflows
18702,03/05/2007,03/21/2007,"From hotline: On March 2, at 2:45PM, there was a manhole overflow event at 1803 ashley drive in rockville. The manhole was overflowing approximately 25 gallons per minute from the time frame of 10:37AM to 12PM, totaling approximately 2,070 gallons. It flowed into Rock Creek which is actually on the back end of the park where the manhole is located.  The WSSC crew is currently putting lime down and cleaning up the area.  WSSC Official Report: - WORK ORDER(S): 6846182 6846133, SOURCE: OVERFLOWING MH MH05091008, WATER AFFECTED: ROCK CREEK, OVERFLOW VOLUME: 2,070 GALS., CAUSE: GREASE, FOUND MANHOLE 008M OVERFLOWING INTO ROCK CREEK. JETTED 8  MAIN FROM 
MANHOLE 013U 235FT TO 007M THEN 125FT TO 008M, HIT AND RELIEVED SOFTGREASE AND RAG STOPPAGE AT MOUTH OF MANHOLE 008M. SPREAD LIME., SIGNS POSTED: 3 POST DATE: 03/03/2007",2007,Water Quality,Overflows
18708,03/05/2007,03/16/2007,"Reporrt of manhole overflow located at 1323 fenwick lane in silver spring which began at approximately 3:45PM, ending at 9PM on March 4 (03/04/07). It overflowed for approximately 5.28 hours at 15 gallons per minute, totaling 4,752 gallons.  A small amount of liquid sewage entered the nearby storm drain.  WSSC Official Report: - WORK ORDER(S): 6847172 6846885, SOURCE: REPAIR SEWER MAIN SS05992086, WATER AFFECTED: ROCK CREEK, FOUND SEWAGE COMING UP THROUGH STREET AND SEEPING OUT OF MANHOLE 086M, ENTERING A STORM DRAIN. ATTEMPTED TO JET FROM 085M TO 086M AND COULD 
NOT GET THROUGH. USED HAND RODS AND WAS ONLY ABLE TO PUNCH A HOLE 
THROUGH AT 2'. FOUND ROOTS AND BROKEN SEWER PIPE.  FLUSHED BACK INTO MANHOLE. SIGNS POSTED: 12 POST DATE: 03/06/2007",2007,Water Quality,Overflows
18926,04/24/2007,04/27/2007,"Referred by WSSC on 04/24/2007: - report of overflowing manhole cover at 13602 Georgia avenue in silver spring which was reported to WSSC at 1:08PM, response began at 1:45PM and ended at 2:40Pm.  The estimated overflow was three (3) gallons per minute into a nearby storm drain, with a total of 275 gallons.  The roadway was washed down.  No signs were posted.",2007,Water Quality,Overflows
18966,05/04/2007,05/08/2007,"Referred by Mark Alexander from WSSC: Sanitary Sewer Overflow behind 23824 Burdette Forest Road, Clarksburg, MD. The overflow occurred between 11:44 AM to 2:30 PM on 05/01/07.  Total of 332 gallons of liquid sewage has been cleaned up. None of the sewage entered any waterways.",2007,Water Quality,Overflows
18740,03/13/2007,04/10/2007,From WSSC dispatch reportting on 03/12/2007 at 10:45Pm report of a manhole overflow at the address of 19268 circle gate road in germantown.  Approximately 30 gallons per minute.  none of the overflow had any effect on any water sources.  The cause was a rag stoppage.,2007,Water Quality,Overflows
18765,03/19/2007,03/23/2007,"Received on 03/19/2007 at 8:43AM: - WSSC reports overflowing manhole cover of  0  gallons overflowing.  The dispatcher stated that by the time the WSSC crew arrived at the site there was nothing visible.  However, upon removing the manhole cover they discovered the manhole full of soap bubbles.  The location is 400 domer avenue in takoma park",2007,Water Quality,Overflows
18868,04/10/2007,05/07/2007,WSSC reported SSO on 4/7/07 at 1:40 pm involving a 8  sewer line leaking 1 gal/minute at 4700 Boiling Brook Parkway that entered Rock Creek.  WSSC Five Day Report indicates 4 SSO Signs were posted.,2007,Water Quality,Overflows
18872,04/10/2007,05/07/2007,Overflowing manhole at 209 Hermleigh Road in Silver Spring on April 9 from 7:36pm to 12:15am into the NW Branch Creek. Approximate flow 1 gallon per minute with total gallons of 279.,2007,Water Quality,Overflows
18879,04/11/2007,05/08/2007,"WSSC called on 4/11/07 at 8:21 am to report a sewer overflow happening at 12308 Selfridge Rd in Silver Spring. Map 30B11. Overflowing at a rate of 1/3 gallon per minute. Not affecting any waterways, according to WSSC.",2007,Water Quality,Overflows
18883,04/16/2007,05/04/2007,"WSSC SSO reported at 3500 - 3593 Hamlet Place, Chevy Chase, ADC Map 36E09.  Reported as 2 gallons/minute with a total spill of about 200 gallons.  The problem was found to be tree roots blocking the line at 83 feet.  The line has been cleared.  Initial report was called into DEP on 4/14/07 at 1517 hours.",2007,Water Quality,Overflows
18888,04/17/2007,01/08/2013,"Ronnie with WSSC called on 4/16/07 at 2:30 pm to report a SSO at 11313 Greenbriar Preserve Lane, Potomac, Map 27K11.  The SSO started at 10:13 am and was repaired by 12:00 pm.  WSSC reports a total of 214 gallons spilled.",2007,Water Quality,Overflows
18908,04/23/2007,06/18/2007,"As reported by WSSC on 04/21/2007 at 10:52PM: - report of overflowing manhole cover at 5313 flanders avenue.  Overflow began at 6:33PM and ended at 9:45PM for an estimated of 2 gallons per minute, a total of 384 gallons. no other info was provided.",2007,Water Quality,Overflows
19112,05/30/2007,08/07/2008,"From DEP hot line reported on 05/29/07 at 7:45 PM: WSSC reporting a manhole overflow at 25904 Largo Court in Damascus.  An estimated 220 gallons has drained directly onto the right-of-way, but is not affecting any water resources.  WSSC will make repairs in the morning.",2007,Water Quality,Overflows
19118,05/30/2007,06/20/2007,"Report by WSSC of manhole overflow at 1001 sligo creek parkway in takoma park, approximately 231 gallons have drained directly into nearby storm drain.  WSSC is on the scene making repairs",2007,Water Quality,Overflows
19125,05/31/2007,06/25/2007,"As reportted by WSSC: report of a manjhole overflow at 900 jessup blair drive in silver spring.  A total of 88 gallons overflowed, and did not effect any water sources.",2007,Water Quality,Overflows
19126,06/01/2007,06/05/2007,As reportted by WSSC on 05/31/2007 at 4:02PM: - report of a overflowing manhole cover at 812 rosemere avenue in silver spring.  On 05/30/2007 they performed the clearing of a backup where the mainline was jetted.  Total overflow amount was estimated at 5 gallons.,2007,Water Quality,Overflows
19178,06/12/2007,06/14/2007,"As reported by WSSC on 06/11/2007 at:3:45PM: - Report of overflowing manhole at 16109 grist mill road in rockville, approximately 1/2 gallons per minute overflowed: began at 2:15PM was repaired and stopped by 4:30PM with a total of 53 gallons overflow.  No water sources were affected.",2007,Water Quality,Overflows
19203,06/19/2007,08/10/2007,"From hotline recorded on 06/19/2007 at 12:46AM: - As reported by WSSC, report of overflowing manhole cover within right-away at 100 finale terrace in silver spring overflowing approximately 1/2 gallon per minute of liquids into body of water  Northwest Branch .  First reported at 7:36PM and as of 12:46AM was still overflowing into stream.",2007,Water Quality,Overflows
19250,07/02/2007,07/03/2007,Reported by WSSC: - On 07/02/2007 at 2:50PM report of a overflowing manhole cover within right-away draining approximately 3 gallons per minute of luquids into nearby creek which has not been identified as of yet.  Location is at 5298 manchester road in rockville.  A WSSC cew is on the scene making repairs.,2007,Water Quality,Overflows
19275,07/10/2007,08/10/2007,"As reported by WSSC: - WORK ORDER(S): 7117799 7117682, DATE AND TIME SSO BEGAN: 07/08/2007 11:04AM, SOURCE: OVERFLOWING MH 2601, WATER BODY AFFECTED: PAINT BRANCH, at 11801-997 O COLUMBIA PK., OVERFLOW VOLUME: 606 GAL 
CREW FOUND AN UNKNOWN MANHOLE OVERFLOWING UPON ARRIVAL, 5 GALLONS PERMINUTE INTO AN UNKNOWN CREEK. CREW JETTED FROM MH 041M TO 040M, 53FEET, AND HIT AND
RELIEVED A CONCRETE AND GREASE BLOCKAGE. Lymed, & SIGNS POSTED: 6 POST DATE: 07/08/2007",2007,Water Quality,Overflows
19388,08/10/2007,09/07/2007,"Referred by melissa from call tracking: - Report by WSSC of manhole overflow from clean-out, approximately 10-gallons of liquid sewage on property of clog at 8813 twin creek court in potomac.  According to WSSC no water sources were effected.  Repairs have been made.",2007,Water Quality,Overflows
19397,08/14/2007,08/27/2007,Reported by WSSC on 08/14/07 at 1:15 PM: Report of overflowing manhole at 19004 Staleybridge Road in Germantown.  An estimated 2 gallons per minute of liquid substance is overflowing into nearby storm drain.  WSSC is on the scene making repairs.,2007,Water Quality,Overflows
