County,System Name:Population Served,Location or Nearest Town,PWS ID#,Months of Major Monitoring Violations (January 2019 to December 2019),Recent Results
Pettis,Crestview MHP: 72,Crestview Circle; Sedalia,MO3048254,"January 2019, February 2019, March 2019, April 2019, May 2019, June 2019, July 2019, August 2019, September 2019, October 2019, November 2019, December 2019",Samples collected in January 2020 tested absent for total coliform bacteria
St. Charles,Wildschuetz Brothers Farm: 100,Hwy D; Foristell,MO6213205,"February 2019, April 2019, May 2019, September 2019",Samples collected in December 2019 tested absent for total coliform bacteria
Jefferson,A&H Country Estates: 80,Front Street; Barnhart,MO6048200,"January 2019, February 2019, March 2019, April 2019, May 2019, June 2019",Samples collected in January 2020 tested absent for total coliform bacteria
McDonald,Elk O Vue River Park MHP,Hwy H; Noel,MO5041094,"February 2019, March 2019, May 2019, June 2019, September 2019, October 2019",Samples collected in January 2020 tested absent for total coliform bacteria
Benton,Reel & Trigger Resort: 35,Hwy UU; Warsaw,MO3190260,"February 2019, May 2019, August 2019, September 2019, October 2019, November 2019, December 2019",Samples collected in July 2019 tested absent for total coliform bacteria
Stone,Kingdon Heights: 29,Rainbow Hills Ln; Reed Springs,MO5031103,"February 2019, March 2019, April 2019, May 2019, June 2019, September 2019, October 2019",Samples collected in February 2020 tested absent for total coliform bacteria
Jefferson,Pro Stop: 50,Hwy 21; Desoto,MO6292691,"February 2019, April 2019, May 2019, June 2019, October 2019, November 2019",Samples collected in January 2020 tested absent for total coliform bacteria
Morgan,The Villas of Harbour Hills: 50,Hwy P; Gravois Mills,MO5031482,"April 2019, June 2019, July 2019, November 2019",Samples collected in February 2020 tested absent for total coliform bacteria
Newton,Boondocks Enterprises LLC: 35,Iris Road; Neosho,MO5041190,"June 2019, July 2019, September 2019, November 2019",Samples collected in January 2020 tested absent for total coliform bacteria
Camden,Little Niangua Campground: 25,Taylor Rd; Roach,MO5242623,"May 2019, June 2019, July 2019, September 2019",Samples collected in October 2019 tested absent for total coliform bacteria
Benton,Jester's House: 50,HWY 65; Warsaw,MO1212836,"February 2019, June 2019, October 2019, November 2019",Samples collected in December 2019 tested absent for total coliform bacteria
St. Francois,Farmington Amvets Post 113: 50,Rimville Rd; Park Hills,MO4250576,"April 2019, June 2019, July 2019, September 2019, November 2019, December 2019",Samples collected in January 2020 tested absent for total coliform bacteria
Jefferson,Parsons Oil Company LLC: 25,"Papin Rd, Desoto",MO6292713,"June 2019, August 2019, September 2019, November 2019",Samples collected in February 2020 tested absent for total coliform bacteria
Stone,White Oak Station #6: 47,"Hwy 13 S, Reeds Springs",MO5258122,"April 2019, June 2019, July 2019, December 2019",Samples collected in January 2020 tested absent for total coliform bacteria
Camden,Red Fox Bar & Grill: 100,"HWY Z to Lake Rd Z2H, Climax Springs",MO3212446,"February 2019, March 2019, November 2019, January 2020",Samples collected in February 2020 tested absent for total coliform bacteria
Camden,Around the Bend BARBQ: 30,"N HWY 7, Climax Springs",MO3212580,"June 2019, October 2019, November 2019, January 2020, February 2020",Samples collected in December 2020 tested absent for total coliform bacteria
Barry,Mitchells Plaza: 25,"STATE HWY 86, Eagle Rock",MO5210653,"June 2019, July 2019, October 2019, November 2019, January 2020",Samples collected in March 2020 tested absent for total coliform bacteria
