Permit Number,Status,Street Number,Pre-direction,Street Name,Street Suffix,Post-direction,City,State,Zip code,Work Type,Use Code,Added Date,Issue Date,Final Date,Description,Application Type,Location
878007,Completed,5410,,GOLDSBORO,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,06/05/2019,08/05/2019,11/26/2019,,DEMOLITION OR MOVE PERMIT,"5410 GOLDSBORO RD
BETHESDA, MD 20817
(38.975556, -77.110518)"
879179,Issued,7115,,GREENTREE,RD,,BETHESDA,MD,20817,DEMOLISH,COMMERCIAL MISCELLANEOUS STRUC,06/13/2019,12/04/2019,,DEMOLITION OF RADIO TRANSMISSION TOWERS,DEMOLITION OR MOVE PERMIT,"7115 GREENTREE RD
BETHESDA, MD 20817
(39.014654, -77.145803)"
877846,Completed,6415,,LONE OAK,DR,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,06/04/2019,08/07/2019,09/12/2019,demo to rebuild,DEMOLITION OR MOVE PERMIT,"6415 LONE OAK DR
BETHESDA, MD 20817
(39.020626, -77.130654)"
879313,Finaled,4917,,ESSEX,AVE,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,06/14/2019,08/29/2019,12/26/2019,,DEMOLITION OR MOVE PERMIT,"4917 ESSEX AVE
CHEVY CHASE, MD 20815
(38.967361, -77.099933)"
879589,Completed,5812,,MELVERN,DR,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,06/18/2019,09/16/2019,01/08/2020,,DEMOLITION OR MOVE PERMIT,"5812 MELVERN DR
BETHESDA, MD 20817
(39.010513, -77.118256)"
829980,Finaled,7701,,GLENNON,DR,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,03/08/2018,06/05/2018,06/05/2019,demolition of a detached single family home,DEMOLITION OR MOVE PERMIT,"7701 GLENNON DR
BETHESDA, MD 20817
(39.008361, -77.157194)"
897385,Issued,5801,,ABERDEEN,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,11/20/2019,02/26/2020,,,DEMOLITION OR MOVE PERMIT,"5801 ABERDEEN RD
BETHESDA, MD 20817
(38.991232, -77.118021)"
209191,Finaled,5116,,NICHOLSON,LN,,ROCKVILLE,MD,,DEMOLISH,MERCANTILE BUILDING,01/10/2000,02/18/2000,01/25/2001,,DEMOLITION OR MOVE PERMIT,"5116 NICHOLSON LN
ROCKVILLE, MD
(39.045131, -77.105468)"
860461,Completed,15021,,DUFIEF MILL,RD,,GAITHERSBURG,MD,20878,DEMOLISH,STORAGE BUILDING,12/07/2018,02/07/2019,05/24/2019,DEMOLISH STORAGE STRUCTURE ON PROPERTY,DEMOLITION OR MOVE PERMIT,"15021 DUFIEF MILL RD
GAITHERSBURG, MD 20878
(39.102664, -77.224046)"
269669,Open,7626,,FENTON,ST,,TAKOMA PARK,MD,20910,DEMOLISH,BUSINESS BUILDING,02/19/2002,,,Green Tape,DEMOLITION OR MOVE PERMIT,"7626 FENTON ST
TAKOMA PARK, MD 20910
(38.983293, -77.021866)"
879350,Open,900,,SPRING,ST,,SILVER SPRING,MD,20910,DEMOLISH,COMMERCIAL MISCELLANEOUS STRUC,06/17/2019,,,,DEMOLITION OR MOVE PERMIT,"900 SPRING ST
SILVER SPRING, MD 20910
(38.99896, -77.024672)"
877654,Issued,7009,,GARRETT,RD,,ROCKVILLE,MD,20855,DEMOLISH,SINGLE FAMILY DWELLING,06/03/2019,07/12/2019,,demolition of single family dwelling,DEMOLITION OR MOVE PERMIT,"7009 GARRETT RD
ROCKVILLE, MD 20855
(39.138656, -77.14321)"
879825,Issued,9715,,CANEY,PL,,SILVER SPRING,MD,20910,DEMOLISH,SINGLE FAMILY DWELLING,06/19/2019,07/18/2019,,,DEMOLITION OR MOVE PERMIT,"9715 CANEY PL
SILVER SPRING, MD 20910
(39.016332, -77.048995)"
880043,Finaled,5123,,EDGEMOOR,LN,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,06/21/2019,07/08/2019,07/31/2019,DEMO TO REBUILD,DEMOLITION OR MOVE PERMIT,"5123 EDGEMOOR LN
BETHESDA, MD 20814
(38.984594, -77.102251)"
880251,Issued,20025,,CENTURY,BLVD,,GERMANTOWN,MD,20874,DEMOLISH,HOTEL,06/24/2019,08/09/2019,,DEMO 18  of Existing SPA WALL - at a HOTEL- (Fairfield INN Germantown) &nbsp;Backfill w/Standing 57 Stone/Gravel,DEMOLITION OR MOVE PERMIT,"20025 CENTURY BLVD
GERMANTOWN, MD 20874
(39.184287, -77.260176)"
878416,Completed,5110,,BATTERY,LN,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,06/07/2019,07/18/2019,08/15/2019,,DEMOLITION OR MOVE PERMIT,"5110 BATTERY LN
BETHESDA, MD 20814
(38.989319, -77.104116)"
880210,Finaled,10409,,BUCKBOARD,PL,,POTOMAC,MD,20854,DEMOLISH,SWIMMING POOL,06/24/2019,07/15/2019,08/26/2019,DEMO OF POOL ONLY,DEMOLITION OR MOVE PERMIT,"10409 BUCKBOARD PL
POTOMAC, MD 20854
(38.986468, -77.214928)"
880445,Finaled,7404,,HADDINGTON,PL,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,06/25/2019,08/01/2019,08/26/2019,,DEMOLITION OR MOVE PERMIT,"7404 HADDINGTON PL
BETHESDA, MD 20817
(38.984633, -77.148803)"
879500,Issued,6009,,JOHNSON,AVE,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,06/17/2019,09/12/2019,,,DEMOLITION OR MOVE PERMIT,"6009 JOHNSON AVE
BETHESDA, MD 20817
(39.004775, -77.122423)"
858747,Completed,7023,,LONGWOOD,DR,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,11/19/2018,03/05/2019,06/05/2019,Demo existing home in order to construct a new single family home,DEMOLITION OR MOVE PERMIT,"7023 LONGWOOD DR
BETHESDA, MD 20817
(39.00977, -77.143457)"
877859,Finaled,8506,,GARFIELD,ST,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,06/04/2019,08/09/2019,10/11/2019,,DEMOLITION OR MOVE PERMIT,"8506 GARFIELD ST
BETHESDA, MD 20817
(38.995319, -77.115977)"
877610,Completed,5100,,FAIRGLEN,LN,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,06/03/2019,07/30/2019,10/10/2019,,DEMOLITION OR MOVE PERMIT,"5100 FAIRGLEN LN
CHEVY CHASE, MD 20815
(38.976865, -77.101463)"
880586,Completed,2722,,JENNINGS,RD,,KENSINGTON,MD,20895,DEMOLISH,DUPLEX,06/26/2019,08/08/2019,08/30/2019,,DEMOLITION OR MOVE PERMIT,"2722 JENNINGS RD
KENSINGTON, MD 20895
(39.030887, -77.057066)"
866197,Finaled,1518,,FOSTER,RD,,SILVER SPRING,MD,20905,DEMOLISH,SINGLE FAMILY DWELLING,02/14/2019,06/24/2019,11/01/2019,DEMOLILTION/REBUILD,DEMOLITION OR MOVE PERMIT,"1518 FOSTER RD
SILVER SPRING, MD 20905
(39.112962, -76.980422)"
880582,Completed,8006,,MAPLE RIDGE,RD,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,06/26/2019,08/21/2019,09/25/2019,DEMO/REBUILD,DEMOLITION OR MOVE PERMIT,"8006 MAPLE RIDGE RD
BETHESDA, MD 20814
(38.99013, -77.106621)"
863050,Issued,11736,,LAKE POTOMAC,DR,,POTOMAC,MD,20854,DEMOLISH,SINGLE FAMILY DWELLING,01/09/2019,06/27/2019,,"The house, retaining walls, basement, and deck will be demolished. Month and day from  Date When Built  is not accurate, but the house was built in 1994 and will be 24-25 years old at demolition.",DEMOLITION OR MOVE PERMIT,"11736 LAKE POTOMAC DR
POTOMAC, MD 20854
(39.054024, -77.246833)"
891575,Issued,10229,,PARKWOOD,CT,,KENSINGTON,MD,20895,DEMOLISH,SINGLE FAMILY DWELLING,10/02/2019,11/27/2019,,DEMO/REBUILD,DEMOLITION OR MOVE PERMIT,"10229 PARKWOOD CT
KENSINGTON, MD 20895
(39.025088, -77.091454)"
880787,Finaled,6507,,CALLANDER,DR,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,06/27/2019,10/15/2019,12/15/2019,,DEMOLITION OR MOVE PERMIT,"6507 CALLANDER DR
BETHESDA, MD 20817
(38.974123, -77.135689)"
880756,Issued,9540,,RIVER,RD,,POTOMAC,MD,20854,DEMOLISH,SINGLE FAMILY DWELLING,06/27/2019,08/28/2019,,,DEMOLITION OR MOVE PERMIT,"9540 RIVER RD
POTOMAC, MD 20854
(39.010996, -77.198348)"
878123,Completed,5600,,MCLEAN,DR,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,06/05/2019,06/27/2019,08/16/2019,DEMO TO REBUILD,DEMOLITION OR MOVE PERMIT,"5600 MCLEAN DR
BETHESDA, MD 20814
(38.985852, -77.111966)"
897432,Finaled,6900,,MILLWOOD,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,11/21/2019,02/13/2020,03/20/2020,,DEMOLITION OR MOVE PERMIT,"6900 MILLWOOD RD
BETHESDA, MD 20817
(38.978419, -77.120847)"
209192,Completed,5120,,NICHOLSON,LN,,ROCKVILLE,MD,,DEMOLISH,MERCANTILE BUILDING,01/10/2000,02/18/2000,01/25/2001,,DEMOLITION OR MOVE PERMIT,"5120 NICHOLSON LN
ROCKVILLE, MD
(39.045127, -77.105479)"
215137,Finaled,22341,,GOSHEN SCHOOL,RD,,GAITHERSBURG,MD,20882,MOVE,SINGLE FAMILY DWELLING,03/30/2000,05/11/2000,01/04/2001,bond tracking number 4319,DEMOLITION OR MOVE PERMIT,"22341 GOSHEN SCHOOL RD
GAITHERSBURG, MD 20882
(39.223095, -77.184765)"
245267,Finaled,8217,,WARFIELD,RD,,GAITHERSBURG,MD,20882,DEMOLISH,SINGLE FAMILY DWELLING,04/11/2001,05/13/2002,06/05/2002,PS1-A7218,DEMOLITION OR MOVE PERMIT,"8217 WARFIELD RD
GAITHERSBURG, MD 20882
(39.190233, -77.170336)"
288652,Finaled,13764,,TRAVILAH,RD,,ROCKVILLE,MD,20850,DEMOLISH,SINGLE FAMILY DWELLING,09/26/2002,12/02/2002,02/11/2003,CASH BOND TRACKING NO. PS3A10447,DEMOLITION OR MOVE PERMIT,"13764 TRAVILAH RD
ROCKVILLE, MD 20850
(39.081371, -77.236601)"
880918,Completed,7513,,NEVIS,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,06/28/2019,11/01/2019,11/21/2019,DEMO TO REBUILD,DEMOLITION OR MOVE PERMIT,"7513 NEVIS RD
BETHESDA, MD 20817
(38.985504, -77.143758)"
898031,Finaled,9408,,ROSEHILL,DR,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,11/27/2019,03/03/2020,04/08/2020,,DEMOLITION OR MOVE PERMIT,"9408 ROSEHILL DR
BETHESDA, MD 20817
(39.0092, -77.158025)"
325097,Completed,5600,,LITTLE FALLS,PKWY,,BETHESDA,MD,20816,DEMOLISH,STORAGE BUILDING,11/18/2003,12/01/2003,07/05/2019,,DEMOLITION OR MOVE PERMIT,"5600 LITTLE FALLS PKWY
BETHESDA, MD 20816
(38.967026, -77.100961)"
331495,Completed,9308,,INGLEWOOD,CT,,POTOMAC,MD,20854,DEMOLISH,SINGLE FAMILY DWELLING,02/04/2004,06/17/2004,07/05/2019,CASH BOND TRACKING #PS4A15607,DEMOLITION OR MOVE PERMIT,"9308 INGLEWOOD CT
POTOMAC, MD 20854
(39.010406, -77.183735)"
209193,Finaled,5260,,NICHOLSON,LN,,KENSINGTON,MD,20895,DEMOLISH,MERCANTILE BUILDING,01/10/2000,06/27/2000,01/25/2001,,DEMOLITION OR MOVE PERMIT,"5260 NICHOLSON LN
KENSINGTON, MD 20895
(39.044972, -77.106237)"
382965,Completed,16600,,EMORY,LN,,OLNEY,MD,20832,DEMOLISH,SINGLE FAMILY DWELLING,05/11/2005,04/12/2006,07/05/2019,Demo and rebuild in one year,DEMOLITION OR MOVE PERMIT,"16600 EMORY LN
OLNEY, MD 20832
(39.126805, -77.079158)"
384638,Completed,5900,,LANDON,LN,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,05/24/2005,08/31/2005,10/25/2005,,DEMOLITION OR MOVE PERMIT,"5900 LANDON LN
BETHESDA, MD 20817
(38.98787, -77.119974)"
