Supplier,Item Code,Item Description,Type,Tag,Order Number,Order Status,PO Status,Ordered Qty,Fulfilled Qty,Ordered Date,Received Date,Fulfillment Date,Days to Fill
BUCK DISTRIBUTING COMPANY INC,63785,FAMOSA 24OZ CANS,BEER,SB,177#####,CLOSED,CLOSED,5,5,04/20/2020,04/22/2020,04/28/2020,8
"THE COUNTRY VINTNER, LLC DBA WINEBOW",396486,ANGELINE S/BLC - 750ML,WINE,S,178#####,BOOKED,,1,,04/27/2020,,,
REPUBLIC NATIONAL DISTRIBUTING CO,190721,TOAD HOLLOW CHARD 750ML,WINE,S,178#####,BOOKED,OPEN,1,1,04/26/2020,04/28/2020,04/29/2020,3
LEGENDS LTD,69029,LAGUNITAS HAZY MEMORY 6/4 16OZ CANS,BEER,SB,177#####,BOOKED,OPEN,1,1,04/21/2020,04/28/2020,04/30/2020,9
REPUBLIC NATIONAL DISTRIBUTING CO,348244,MER SOLIEL UNOAKED SLVR CHARD - 750ML,WINE,SC,177#####,CLOSED,OPEN,1,1,04/13/2020,04/17/2020,04/22/2020,9
BACKUP BEVERAGE,69533,FUNK BIKES! 6/4 16OZ CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/07/2020,04/09/2020,04/13/2020,6
"THE COUNTRY VINTNER, LLC DBA WINEBOW",310545,CH DE FONTENILLE BLC - 750ML,WINE,LS,178#####,BOOKED,,1,,04/30/2020,,,
LEGENDS LTD,28837,ANDECHS WEISSBIER DUNKEL 20/16.9 OZ NR,BEER,SB,177#####,CLOSED,OPEN,1,1,04/13/2020,04/21/2020,04/22/2020,9
GEORGIAN HOUSE OF GREATER WASHINGTON,312215,ORGO RKATSITELI 14 - 750ML,WINE,S,177#####,BOOKED,,12,,04/17/2020,,,
DIONYSOS IMPORTS INC,352720,LA JARA ORGANIC PINOT GRIGIO ROSE - 750ML,WINE,LS,178#####,BOOKED,,1,,04/30/2020,,,
ANHEUSER BUSCH INC,68281,BON & VIV SPIKED SELTZER GRAPEFRUIT 4/6 CANS,BEER,SB,177#####,BOOKED,,2,,04/05/2020,,,
DIONYSOS IMPORTS INC,357650,JEAN VESSELLE BRUT ROSE - 375ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/10/2020,04/13/2020,04/15/2020,5
"THE COUNTRY VINTNER, LLC DBA WINEBOW",395838,BORGO SCOPETO BORGONERO - 750ML,WINE,S,177#####,BOOKED,OPEN,1,1,04/07/2020,04/13/2020,04/14/2020,7
"THE COUNTRY VINTNER, LLC DBA WINEBOW",336700,FITZ RITTER SEKT RIES SEKT NV - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/08/2020,04/13/2020,04/16/2020,8
NICHE IMPORTERS,333996,LENZ MOSER BLAUFRANKISCH - 1L,WINE,LS,177#####,BOOKED,OPEN,1,,04/16/2020,,,
LEGENDS LTD,60071,CRISPIN ROSE 4/6 NR,BEER,SB,178#####,CLOSED,OPEN,1,1,04/23/2020,04/28/2020,04/29/2020,6
INTERBALT PRODUCTS CORP,348037,A LE COQ PORTER 500 ML,BEER,SB,178#####,CLOSED,OPEN,1,1,04/27/2020,04/28/2020,05/01/2020,4
BACKUP BEVERAGE,239638,SUPREME CORE GINGER BEARD MAN 6/4 CANS,BEER,SB,177#####,CLOSED,OPEN,1,1,04/21/2020,04/23/2020,04/24/2020,3
REPUBLIC NATIONAL DISTRIBUTING CO,341257,DREAMING TREE S/BLC - 750ML,WINE,LS,178#####,BOOKED,OPEN,1,,04/29/2020,04/30/2020,,
PUNTO VINO LLC,349380,SIEMA VYDS P/GRIGIO - 1.5L,WINE,S,178#####,BOOKED,OPEN,2,2,04/27/2020,04/28/2020,04/29/2020,2
INTERNATIONAL CELLARS LLC,329470,TOSCHI CHARD - 750ML,WINE,LS,177#####,BOOKED,OPEN,1,1,04/08/2020,04/14/2020,04/15/2020,7
LEGENDS LTD,69263,CIGAR CITY FLORIDA MAN 4/6 CANS,BEER,SB,178#####,BOOKED,,1,,04/30/2020,,,
PWSWN INC,352074,USOA DE BAGORDI RIOJA - 750ML,WINE,LS,177#####,CLOSED,CLOSED,2,2,04/05/2020,04/13/2020,04/17/2020,12
WI INC,62417,CHAKRAS MALBEC 750ML,WINE,LS,177#####,BOOKED,,1,,04/22/2020,,,
QUINTESSENTIAL LLC,438863,GUSTAVE LORENTZ RES RIES - 750ML,WINE,SC,178#####,BOOKED,,1,,04/28/2020,,,
DIONYSOS IMPORTS INC,350260,MORAITIS ASSYRTIKO - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/22/2020,04/27/2020,04/30/2020,8
BACKUP BEVERAGE,12893,REKORDERLIG PASSIONFRUIT CN - 11.2OZ,BEER,SB,177#####,CLOSED,CLOSED,2,2,04/13/2020,04/16/2020,04/22/2020,9
OPICI FAMILY DISTRIBUTING OF MD,349530,BREAD AND BUTTER CABERNET - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/06/2020,04/07/2020,04/08/2020,2
DOPS INC,26448,UINTA BABA BLACK 4/6 CANS - 12OZ,BEER,SB,177#####,CLOSED,OPEN,1,1,04/22/2020,04/27/2020,04/30/2020,8
WINE BRIDGE IMPORTS INC,348708,ANNA'S WAY PINOT GRIS - 750ML,WINE,S,178#####,BOOKED,,1,,04/30/2020,,,
LEGENDS LTD,29010,FIRESTONE UNION JACK IPA 4/6 12.OZ CAN,BEER,SB,177#####,CLOSED,CLOSED,3,3,04/09/2020,04/14/2020,04/15/2020,6
DOPS INC,98728,WEIHENSTPHANER HEFE-WEISS 4/6NR - 12OZ,BEER,SB,177#####,CLOSED,OPEN,2,2,04/20/2020,04/27/2020,04/29/2020,9
KYSELA PERE ET FILS LTD,232776,HUGL ZWEIGELT ROSE - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/02/2020,04/07/2020,04/13/2020,11
"THE COUNTRY VINTNER, LLC DBA WINEBOW",306472,SANTA JULIA VIOG SUSTAINABLE - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/06/2020,04/13/2020,04/16/2020,10
LANTERNA DISTRIBUTORS INC,433038,99 VINES P/NOIR - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/09/2020,04/14/2020,04/15/2020,6
"THE COUNTRY VINTNER, LLC DBA WINEBOW",115290,INDABA S/BLC WESTERN CAPE - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/09/2020,04/13/2020,04/15/2020,6
BACKUP BEVERAGE,347275,REKORDERLIG STRAWBERRY LIME CIDER - 11.2OZ CAN,BEER,SB,177#####,CLOSED,CLOSED,2,2,04/13/2020,04/16/2020,04/22/2020,9
SOUTHERN GLAZERS WINE AND SPIRITS,238620,BOLLICINI PROSECCO - 750ML,WINE,LS,178#####,CLOSED,OPEN,1,1,04/24/2020,04/28/2020,04/30/2020,6
LEGENDS LTD,63601,SIXPOINT JAMMER SESSION VARIETY 1/15PK CAN,BEER,SB,177#####,CLOSED,OPEN,5,5,04/15/2020,04/21/2020,04/24/2020,9
REPUBLIC NATIONAL DISTRIBUTING CO,166333,ROSCATO SMOOTH - 750ML,WINE,S,177#####,BOOKED,OPEN,1,1,04/15/2020,04/17/2020,04/24/2020,9
