developmentProjectName,developmentProjectAddressText,statusDsc,officeSquareFeetQty,retailSquareFeetQty,otherSquareFeetQty,residentialUnitCnt,hotelRoomCnt,sitePlanDate,underConstructionDate,generalLandUsePlanDsc,zoningTypeDsc,developerName,siteSquareFeetQty,houseTypeDsc,heightFeetQty,storiesCnt,parkingSpaceCnt,latitudeCrd,longitudeCrd
Rosslyn Plaza PDSP,1001 WILSON BVLD,Approved (Not Under Construction),1810173,45000,0,550,200,2016-03-12T00:00:00,,High Office-Apartment-Hotel,C-O-ROSSLYN,,333219,Highrise (4+ stories),390,,2168,38.89473481,-77.06875981
1015 21st St S,1015 21ST ST S,Under Construction,0,0,0,1,0,,2019-03-11T00:00:00,Low Residential (1-10 units/acre),"One-Family, Restricted Two Family Dwelling Distr",,,Single-family detached house,,,,38.85495148,-77.06391011
11th and Vermont Residences,1031 N VERMONT ST,Approved (Not Under Construction),0,0,0,84,0,2018-02-24T00:00:00,,Low-Medium Residential,Apartment Dwelling and Commercial District,,,Garden (Less than 4 stories),,,126,38.88337913,-77.11467319
1060 S Edison St,1060 S EDISON ST,Under Construction,0,0,0,1,0,,2019-07-16T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.85270344,-77.11326305
1102 S Queen St,1102 S QUEEN ST,Under Construction,0,0,0,1,0,,2010-03-10T00:00:00,Low Residential (1-10 units/acre),"One-Family, Restricted Two Family Dwelling Distr",,2790,Single-family detached house,,,,38.86433415,-77.07329384
1106 18th St S,1106 18TH ST S,Under Construction,0,0,0,1,0,,2019-03-15T00:00:00,Low Residential (1-10 units/acre),"One-Family, Restricted Two Family Dwelling Distr",,,Single-family detached house,,,,38.85665531,-77.06556711
1106 S Highland St,1106 S HIGHLAND ST,Under Construction,0,0,0,1,0,,2015-07-15T00:00:00,Low Residential (1-10 units/acre),"One-Family, Restricted Two Family Dwelling Distr",,7073,Single-family detached house,,,,38.86078528,-77.08883619
1122 N Kirkwood Road - Washington Blvd at Kirkwood,1122 N KIRKWOOD RD,Approved (Not Under Construction),0,0,0,255,0,2019-06-15T00:00:00,,High Office-Apartment-Hotel,Service Commercial -  Community Business Distric,,,Highrise (4+ stories),,,,38.8865873,-77.1005571
118 N  Jackson St,118 N  JACKSON ST,Under Construction,0,0,0,1,0,,2017-12-12T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.87430899,-77.09655769
PenPlace (Pentagon City PDSP Parcel 1D - Remaining Allocation),1197 S FERN ST,Approved (Not Under Construction),1809000,50000,0,0,300,2013-09-21T00:00:00,,,,,,Highrise (4+ stories),,,,38.86277083,-77.05624974
