Application Type,Application Number,Process Date,Issued Date,Final Date,Expire Date,Street number,Street Pre direction,Street name,Street Post direction,Street suffix,City,State   ,Zip Code,Proposed Construction,Section 59,Existing Structure,New SFD,Non Complying,Non Conforming,Proposed Structure,Room Add,Accessory structure,Fence - Retaining wall,Porch,Swim Pool,Garage - Carport,Shed,Deck,Other,Zoning Type,Location,Comments,Location1
DEVELOPMENT STANDARDS VARIANCE,369387,06/05/2019,,,,7105,,FULTON,,ST,CHEVY CHASE,MD,20815,is a one story addition,4.4.9-B-2,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,,"7105 FULTON ST
CHEVY CHASE, MD 20815
(38.981514, -77.073484)"
DEVELOPMENT STANDARDS VARIANCE,369536,06/12/2019,,,,3311,,GLENMOOR,,DR,CHEVY CHASE,MD,20815,Attached Garage,4.4.8,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-90,,,"3311 GLENMOOR DR
CHEVY CHASE, MD 20815
(39.005663, -77.067146)"
DEVELOPMENT STANDARDS VARIANCE,370458,07/26/2019,,,,9436,,HOLBROOK,,LN,POTOMAC,MD,20854,"a new garage/carport w/in 6"" of left lot line.",4.4.7.B.2,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,R-200,,Removing an existing garage and building a new garage and carport.,"9436 HOLBROOK LN
POTOMAC, MD 20854
(39.01045, -77.212503)"
DEVELOPMENT STANDARDS VARIANCE,370727,08/14/2019,,,,706,,NOTLEY,,RD,SILVER SPRING,MD,20904,Detached Garage,,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,RE-1,,,"706 NOTLEY RD
SILVER SPRING, MD 20904
(39.080566, -76.995429)"
DEVELOPMENT STANDARDS VARIANCE,370728,08/14/2019,,,,301,E,FRANKLIN,,AVE,SILVER SPRING,MD,20901,creates a non-conforming stbk encroachment in the rear,4.4.9.B.2,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,R-60,,Due to a corner lot situation the applicant is creating a 2 story addition in the existing rear setback.&nbsp; The new addition changes the rear setback to a side setback.&nbsp; Now existing footprint,"E 301 FRANKLIN AVE
SILVER SPRING, MD 20901"
DEVELOPMENT STANDARDS VARIANCE,371019,08/30/2019,,,,2100,,SEMINARY,,RD,SILVER SPRING,MD,20910,remove existing non-conforming shed w/ new larger shed.,4.4.9.B.2,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,R-60,,Replace existing non-conforming shed with a&nbsp; larger 7' x 16' shed.,"2100 SEMINARY RD
SILVER SPRING, MD 20910
(39.009796, -77.044776)"
DEVELOPMENT STANDARDS VARIANCE,371154,09/05/2019,,,,6415,,5TH,,AVE,TAKOMA PARK,MD,20912,of a 12' x 14' addition with steps and landing.,4.4.9.B.2,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,R-60,,Proposed construction of a 12' x 14' addition with landing and steps.,"6415 5TH AVE
TAKOMA PARK, MD 20912
(38.968144, -77.003267)"
DEVELOPMENT STANDARDS VARIANCE,371108,09/04/2019,,,,500,,ROCKFORD,,RD,SILVER SPRING,MD,20902,"Restore existing, non-conforming screened porch.",4.4.6.B,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,RE-1,,"Repair existing attached, non-conforming structure.&nbsp; The structure is currently encroaching into the required 17' setback by 5.79' leaving 11.2' between the structure and the property line.","500 ROCKFORD RD
SILVER SPRING, MD 20902
(39.053824, -77.018664)"
DEVELOPMENT STANDARDS VARIANCE,371363,09/18/2019,,,,9,E,IRVING,,ST,CHEVY CHASE,MD,20815,,4.4.9.B.2,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,R-60,,Variance to allow mechanical unit to encroach into side yard setback.&nbsp;,"E 9 IRVING ST
CHEVY CHASE, MD 20815"
DEVELOPMENT STANDARDS VARIANCE,371529,09/26/2019,,,,312,,STONINGTON,,RD,SILVER SPRING,MD,20902,is a front addition,4.4.6 -B-2,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,RE-1,,,"312 STONINGTON RD
SILVER SPRING, MD 20902
(39.053795, -77.015214)"
DEVELOPMENT STANDARDS VARIANCE,371527,09/26/2019,,,,4902,,CRESCENT,,ST,BETHESDA,MD,20816,,4.4.9.B.2,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,R-60,,Enclose existing Roofed open front porch.,"4902 CRESCENT ST
BETHESDA, MD 20816
(38.953941, -77.09602)"
DEVELOPMENT STANDARDS VARIANCE,371522,09/26/2019,,,,4902,,CRESCENT,,ST,BETHESDA,MD,20816,is adding steps to the front of an enclosure.,4.4.9 B.2,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,R-60,,Enclose existing front porch to create an energy efficient vestibule.,"4902 CRESCENT ST
BETHESDA, MD 20816
(38.953941, -77.09602)"
DEVELOPMENT STANDARDS VARIANCE,369516,06/11/2019,,,,6802,,DELAWARE,,ST,CHEVY CHASE,MD,20815,is a 2 story side addition,4.4.9-B-2,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,,"6802 DELAWARE ST
CHEVY CHASE, MD 20815
(38.978093, -77.075551)"
