the_geom,OBJECTID,Owner Name,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,LocationX,LocationY
POINT (-90.099694945886 29.974526388029),85337,"WALGREEN LOUISIANA CO., INC.",WALGREENS #10316,4001 CANAL ST,,NEW ORLEANS,LA,70119,,1120 - PHARMACIES & DRUG STORES,3671413.22164,538329.149385
POINT (-89.912105005676 30.03707965749),85308,KEN'S PHARMACY INC,KEN'S PHARMACY,4626 ALCEE FORTIER BLVD,C,NEW ORLEANS,LA,70129,504-254-4553,1120 - PHARMACIES & DRUG STORES,3730520.44608,561763.642143
POINT (-90.063357744973 29.956589643411),85334,"WALGREENS LOUISIANA CO., INC.",WALGREENS #05551,619 DECATUR ST,,NEW ORLEANS,LA,70130,,1120 - PHARMACIES & DRUG STORES,3682989.6445,531932.363395
POINT (-90.076989294557 29.951922709288),85342,"WALGREENS LOUISIANA CO., INC",WALGREENS #16309,300 WILMOT ST,MS3301,NEW ORLEANS,LA,70115,,1120 - PHARMACIES & DRUG STORES,3678691.8167,530187.70942
POINT (-90.076989294557 29.951922709288),85344,"WALGREEN LOUISIANA AO., INC,",WALGREENS #17246,7133 ST. CHARLES AVE,,NEW ORLEANS,LA,70118,,1120 - PHARMACIES & DRUG STORES,3678691.8167,530187.70942
POINT (-90.095647194463 29.958035033793),85312,"MEDI-PHYSICS, INC",MEDI-PHYSICS,3920 HOWARD AVE,,NEW ORLEANS,LA,70125,813-222-7036,1120 - PHARMACIES & DRUG STORES,3672759.4923,532346.081027
POINT (-90.013693837612 29.921562533756),85329,"WALGREENS LOUISIANA CO., INC.",WALGREENS #03889,4110 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131,847-527-4678,1120 - PHARMACIES & DRUG STORES,3698862.38052,519373.020087
POINT (-90.131358742047 29.948478385077),85283,TERSCO LLC,CASTELLON PHARMACY,8232 OAK ST,,NEW ORLEANS,LA,70118,504-866-3784,1120 - PHARMACIES & DRUG STORES,3661487.98963,528750.531264
POINT (-90.102481595504 29.937331616729),85309,"LA PETITE PHARMACY, LLC",LA PETITE PHARMACY,4321 MAGNOLIA ST,,NEW ORLEANS,LA,70115,,1120 - PHARMACIES & DRUG STORES,3670676.27303,524794.229308
POINT (-89.992922342352 30.027851855279),85321,"WALGREEN  LOUISIANA CO., INC.",WALGREEN #16312,5702 CROWDER BLVD,,NEW ORLEANS,LA,70127,,1120 - PHARMACIES & DRUG STORES,3704989.80811,558099.921883
POINT (-90.038614625615 29.966621764693),85310,"CBJ VENTURES, LLC",MED PRO PHARMACY,3601 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,504-234-1056,1120 - PHARMACIES & DRUG STORES,3690783.32688,535668.087494
POINT (-89.929041995812 30.031986057266),85313,"VOTRAN RX,LLC",MICHOUD PHARMACY,4646 MICHOUD BLVD,STE #D5,NEW ORLEANS,LA,70129,,1120 - PHARMACIES & DRUG STORES,3725184.4503,559845.355485
POINT (-90.076022653667 29.955466371932),85340,WALGREEN LOUISIANA CO. INC,WALGREENS #13777,1415 TULANE AVE,STE 2CW07,NEW ORLEANS,LA,70112,,1120 - PHARMACIES & DRUG STORES,3678983.77896,531479.673603
POINT (-89.956020818564 30.038782006326),85333,"WALGREENS LOUISIANA CO., INC.",WALGREENS #05358,11297 LAKE FOREST BLVD,,NEW ORLEANS,LA,70128,,1120 - PHARMACIES & DRUG STORES,3716618.45644,562213.001247
POINT (-89.911525866818 30.03716321789),85318,"AN CUONG,LLC",TIEN'S PHARMACY,4623 ALCEE FORTIER BLVD,,NEW ORLEANS,LA,70129,504-254-4606,1120 - PHARMACIES & DRUG STORES,3730703.30266,561796.300959
POINT (-90.134634567094 29.944673945707),85305,"HEALTH & LIFE, INC",H & L PHARMACY,8200 HAMPSON ST,,NEW ORLEANS,LA,70118,504-309-4950,0125 - DRUGS & DRUGGISTS' SUNDRIES WHLSRS,3660465.08077,527356.223039
POINT (-90.089454324348 29.923135633249),85292,LOUISIANA CVS PHARMACY LLC,CVS/ PHARMACY #10058,1116 LOUISIANA AVE,,NEW ORLEANS,LA,70115,,1120 - PHARMACIES & DRUG STORES,3674858.20776,519676.609144
POINT (-90.066808496323 29.929229796583),85307,"H&W DRUG STORE 3,LLC",H&W DRUG STORE 3,1667 TCHOUPITOULAS ST,B,NEW ORLEANS,LA,70115,,1120 - PHARMACIES & DRUG STORES,3682006.93237,521971.240378
POINT (-90.073004188613 29.953819786659),85322,WALGREENS LOUISIANA CO INC,WALGREENS,925 COMMON ST,SUITE A,NEW ORLEANS,LA,70112,847-527-4678,1120 - PHARMACIES & DRUG STORES,3679946.17397,530891.414786
POINT (-90.076989294557 29.951922709288),85300,DELF USA,DELF USA,3021 RUE PARC FONTAINE NA,210,NEW ORLEANS,LA,70131,504-394-9755,0125 - DRUGS & DRUGGISTS' SUNDRIES WHLSRS,3678691.8167,530187.70942
POINT (-90.058699984597 29.999720045488),85338,"WALGREENS LOUISIANA CO., INC.",WALGREENS #11414,3216 GENTILLY BLVD,,NEW ORLEANS,LA,70122,,1120 - PHARMACIES & DRUG STORES,3684290.0573,547632.577234
POINT (-90.090161398353 29.961909988957),85280,"BEST LIFE PHARMACY & RESTAURANT, INC.",BEST LIFE PHARMACY,2657 TULANE AVE,,NEW ORLEANS,LA,70119,,1120 - PHARMACIES & DRUG STORES,3674481.26254,533773.965701
POINT (-90.085254168802 29.964538646765),85278,ALPESH PATEL,BENZER LA1 LLC,2525 CANAL ST,,NEW ORLEANS,LA,70119,,1120 - PHARMACIES & DRUG STORES,3676024.64654,534746.73607
POINT (-90.103638649845 29.938662570172),85314,"OCHSNER PHARMACY & WELLNESS, LLC",OCHSNER PHARMACY-BAPTIST,2820 NAPOLEON AVE,#220,NEW ORLEANS,LA,70115,,1120 - PHARMACIES & DRUG STORES,3670304.62554,525274.278781
POINT (-90.116599045878 29.921036328678),85323,"WALGREENS LOUISIANA CO, INC",WALGREENS  #15199,5518 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1120 - PHARMACIES & DRUG STORES,3666268.01991,518820.903415
POINT (-90.115357813189 30.020384046247),85284,CHARBONNET FAMILY PHARMACY,CHARBONNET FAMILY PHARMACY,7211 REGENT ST,,NEW ORLEANS,LA,70124,504-309-2449,1120 - PHARMACIES & DRUG STORES,3666277.18855,554951.808856
