ATD Location ID,DMS ID,DMS Direction,Turn On Date,DMS Status,Comment,Modified Date,Created Date,DMS Message,Message Time,Latitude,Longitude,Location Name,ID
LOC16-001860,20,EASTBOUND,,DESIRED,,05/30/2018,02/16/2018,,02/16/2018 06:00:00 AM +0000,30.2498417,-97.7387695, RIVERSIDE DR / TRAVIS HEIGHTS BLVD,5a873a54c426d6632cb8e95f
LOC16-007200,19,EASTBOUND,,DESIRED,,05/30/2018,02/16/2018,,02/16/2018 06:00:00 AM +0000,30.278539,-97.773179, LAKE AUSTIN BLVD / HEARN ST,5a87399b8eb7ff7fd33928b1
LOC16-006210,13,NORTHBOUND,,TURNED_ON,,05/11/2020,08/29/2017,[jp3]THANK YOU ESSENTIAL WORKERS,05/11/2020 07:20:00 AM +0000,30.2453482,-97.7799133, LAMAR BLVD / DICKSON DR,59a59280e0694041381e069b
LOC16-007260,3,EASTBOUND,,TURNED_ON,,05/11/2020,08/29/2017,[fo1][jp3]THANK YOU ESSENTIAL WORKERS,05/11/2020 07:20:00 AM +0000,30.268652,-97.759929,1000 BLK W CESAR CHAVEZ ST (H&B Trail Underpass),59a58995feeaec2db5558075
LOC17-010420,5,NORTHBOUND,,TURNED_ON,,05/11/2020,08/29/2017,[fo1][jp3]THANK YOU ESSENTIAL WORKERS,05/11/2020 07:20:00 AM +0000,30.279604,-97.750472, LAMAR BLVD / N LAMAR SB TO W 15TH RAMP,59a58c1d2fab923f6b205f4e
LOC17-010555,14,NORTHBOUND,,TURNED_ON,This sign must be programmed at the site. There is no remote communications link currently available,05/30/2018,08/29/2017,,,30.213795,-97.777494,4900 BLK S 1ST ST,59a5a6002fab923f6b207a20
LOC18-012440,15,SOUTHBOUND,,REMOVED,,05/30/2018,02/16/2018,,02/16/2018 06:00:00 AM +0000,30.30625,-97.715819,4600 BLK AIRPORT BLVD,5a8714622017630a23f82c00
LOC18-012445,16,EASTBOUND,,DESIRED,,05/30/2018,02/16/2018,,02/16/2018 06:00:00 AM +0000,30.239689,-97.82774,4001 BLK SOUTHWEST PKWY,5a8733058dd5140cc925deaa
LOC18-012450,17,EASTBOUND,,DESIRED,,05/30/2018,02/16/2018,,02/16/2018 06:00:00 AM +0000,30.270541,-97.792571,2900 BLK BEE CAVES RD,5a87375f836aae72e4ba2049
LOC18-012455,18,NORTHBOUND,,DESIRED,need to relocate utilities,05/30/2018,02/16/2018,,02/16/2018 06:00:00 AM +0000,30.230606,-97.759429,3200 BLK S CONGRESS AVE,5a87385ae0a07c0e2b1353b0
LOC18-012460,21,EASTBOUND,,DESIRED,,05/30/2018,02/16/2018,,02/16/2018 06:00:00 AM +0000,30.363537,-97.796068,6200 BLK FM 2222 RD,5a873b0c96ec317fce6d4e9b
LOC17-010425,10,WESTBOUND,,TURNED_ON,,05/11/2020,08/29/2017,[fo1][jp3]THANK YOU ESSENTIAL WORKERS,05/11/2020 07:20:00 AM +0000,30.261476,-97.737262,700 BLK E CESAR CHAVEZ ST,59a59020e0694041381e03cc
LOC17-010515,2,EASTBOUND,,TURNED_ON,,05/11/2020,08/29/2017,[fo1][jp3]THANK YOU ESSENTIAL WORKERS,05/11/2020 07:20:00 AM +0000,30.268416,-97.776778,500 BLK S MOPAC EXPY SVRD NB,59a5746408237c4016742734
LOC17-010520,4,EASTBOUND,,TURNED_ON,,05/11/2020,08/29/2017,[fo1][jp3]THANK YOU ESSENTIAL WORKERS,05/11/2020 07:20:00 AM +0000,30.274172,-97.763824,1600 BLK W 5TH ST,59a58ba75db9dc2db4557f1c
LOC17-010525,6,SOUTHBOUND,,TURNED_ON,,05/11/2020,08/29/2017,[fo1][jp3]THANK YOU ESSENTIAL WORKERS,05/11/2020 07:20:00 AM +0000,30.286562,-97.753302,2000 BLK N LAMAR BLVD,59a58ca6a95f082db6b9a058
LOC17-010530,7,SOUTHBOUND,,TURNED_ON,,05/11/2020,08/29/2017,[fo1][jp3]THANK YOU ESSENTIAL WORKERS,05/11/2020 07:20:00 AM +0000,30.31727,-97.731816,4814 BLK N LAMAR BLVD,59a58e0c2ec2693eedbf5598
LOC17-010535,8,SOUTHBOUND,,TURNED_ON,,05/11/2020,08/29/2017,[fo1][jp3]THANK YOU ESSENTIAL WORKERS,05/11/2020 07:20:00 AM +0000,30.276358,-97.743496,1300 BLK GUADALUPE ST,59a58edffe77b42ddf7fd779
LOC17-010540,9,SOUTHBOUND,,TURNED_ON,,05/11/2020,08/29/2017,[fo1][jp3]THANK YOU ESSENTIAL WORKERS,05/11/2020 07:20:00 AM +0000,30.343334,-97.715549,7500 BLK N LAMAR BLVD,59a58f602ec2693eedbf56fb
LOC17-010545,11,WESTBOUND,,TURNED_ON,,05/11/2020,08/29/2017,[jp3]THANK YOU ESSENTIAL WORKERS,05/11/2020 07:20:00 AM +0000,30.24597,-97.731303,1600 BLK E RIVERSIDE DR,59a59091e26cf62db77a358c
LOC17-010550,12,NORTHBOUND,,TURNED_ON,,05/11/2020,08/29/2017,[fo1][jp3]THANK YOU ESSENTIAL WORKERS,05/11/2020 07:20:00 AM +0000,30.253027,-97.753329,1100 BLK S 1ST ST,59a5912bc9bf232e6523dffd
