tcb_designating_authority,address,country,contact,phone_number,fax_number,email
"Bundesministerium fuer Verkehr, Innovation und Technologies Section III-Bereich Telekom-Post","Ghegastrasse I   Vienna,  1030",Austria,Tina Vounasi,32-2-2992166,N/A,GROW-NANDO-ADMINISTRATOR@ec.europa.eu
"Department of Innovation, Science and Economic Development (ISED) Canada","235 Queen Street   Ottawa, Ontario,  K1A OH5",Canada,Yan Losier,3432911267,866-694-8389,yan.losier@canada.ca
"Czech Office for Standards, Metrology and Testing","Biskupský dvur 1148/5   110 00 Praha 1,",Czech Republic,Tina Vounasi,32-2-2992166,32-2-299-80-31,GROW-NANDO-ADMINISTRATOR@ec.europa.eu
"Bundesnetzagentur fur Elektrizitat, Gas, Telekommunikation Post und Eisenbahnen","Canisiusstrasse 21   Mainz,  D-55122",Germany,Tina Vounasi,32-2-2992166,N/A,GROW-NANDO-ADMINISTRATOR@ec.europa.eu
Danish Business Authority,"Dahlerups Pakhus, Langelinie Alle 17 DK-2100 Copenhagen,",Denmark,Tina Vounasi,32-2-2992166,N/A,GROW-NANDO-ADMINISTRATOR@ec.europa.eu
Secretaría de Estado la Sociedad de la Información y la Agenda Digital (SESIAD),"C/ Poeta Joan Maragall 41   E-28071 MADRID,",Spain,Tina Vounasi,32-2-2992166,N/A,GROW-NANDO-ADMINISTRATOR@ec.europa.eu
"Ministere de l'Economie, de l'Industrie et du Numerique (DGE)","67, rue Barbes BP 80001 94201 Ivry-sur-Seine Cedex,",France,Tina Vounasi,32-2-2992166,N/A,GROW-NANDO-ADMINISTRATOR@ec.europa.eu
Office of the Communications Authority,"29/F Wu Chung House 213 Queen's Road East, Wanchai Hong Kong,",Hong Kong,Jack Yip,852-2961-6718,852-2838-5004,jackyip@ofca.gov.hk
Commission for Communication Regulation,"Abbey Court, Irish Life Centre   Dublin,  1",Ireland,Tina Vounasi,32-2-2992166,N/A,GROW-NANDO-ADMINISTRATOR@ec.europa.eu
Ministero delle Sviluppo Economico-Direzione Generale Pianificazione e Gestione dello Spettro Radioelettrico,"Viale America, 201   I-00144 Roma,",Italy,Tina Vounasi,32-2-2992166,N/A,GROW-NANDO-ADMINISTRATOR@ec.europa.eu
Ministry of Internal Affairs and Communications (MIC),"1-2 Kasumigaseki 2-chome, Chiyoda-ku   Tokyo,  100-8926",Japan,Naoki Yanagisawa,81-3-5253-5908,N/A,n.yanagisawa@soumu.go.jp
"Ministry of Economic Affairs, Agentschap Telecom","Emmasingel 1 9726 AH   Groningen,",Netherlands,Tina Vounasi,32-2-2992166,N/A,GROW-NANDO-ADMINISTRATOR@ec.europa.eu
Swedish Board for Accreditation and Conformity Assessment (Swedac),"Gustavlundsvägen 151 E flr. 8   SE-167 51 Bromma,",Sweden,Tina Vounasi,32-2-2992166,N/A,GROW-NANDO-ADMINISTRATOR@ec.europa.eu
Infocomm Media Development Authority of Singapore,"10 Pasir Panjang Road #03-01 Mapletree Business City Singapore,  117438",Singapore,Steven Tan,06562111770,06565773888,Steven_ST_Tan@imda.gov.sg
"Department for Business, Energy and Industrial Strategy","1 Victoria Street   London,  SW1H 0ET",United Kingdom,Kevin Lane,447741682805,N/A,Kevin.Lane@beis.gov.uk
"Department for Business, Innovation and Skills (BIS)","1, Victoria Street   London,  SW1H OET",United Kingdom,Tina Vounasi,32-2-2992166,N/A,GROW-NANDO-ADMINISTRATOR@ec.europa.eu
National Institute of Standards and Technology,"100 Bureau Drive   Gaithersburg, MD 20899-2150",United States,Ramona Saar,301-975-5521,301-975-4715,mra@nist.gov
