ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Fuel Type,Furnace is ENERGY STAR Certified in,Efficiency (AFUE),Capable of Two Way Communication?,Date Available On Market,Date Qualified,Markets,CB Model Identifier,Can Integrate Hot Water Heating,Meets ENERGY STAR Most Efficient 2019 Criteria
2343031,Allied Air Enterprises,AC PRO,A97US2V060B12X-**,A97US2V060B12X-**,,"Natural Gas,Propane Gas",All,97.5,Other/Proprietary,04/10/2017,03/19/2020,"United States, Canada",ES_1102531_A97US2V060B12X-**_08052019151935_4142450,No,No
2343139,Allied Air Enterprises,AC PRO,A97US2V080C16X-*-*,A97US2V080C16X-*-*,,"Natural Gas,Propane Gas",All,97.5,Other/Proprietary,04/10/2018,02/09/2020,"United States, Canada",ES_1102531_A97US2V080C16X-*-*_08062019185732_4571228,No,No
2343204,Allied Air Enterprises,AC PRO,95G1UH080CE16X-*,95G1UH080CE16X-*,,Natural Gas,All,95,Other/Proprietary,04/10/2018,03/19/2020,"United States, Canada",ES_1102531_95G1UH080CE16X-*_08062019190158_2667585,No,No
2343369,Allied Air Enterprises,AC PRO,95G1UH100CE20X-*,95G1UH100CE20X-*,,Natural Gas,All,95,Other/Proprietary,04/10/2018,03/19/2020,"United States, Canada",ES_1102531_95G1UH100CE20X-*_08062019193155_7723154,No,No
2343545,Allied Air Enterprises,AC PRO,95G1UH040BE12X-*,95G1UH040BE12X-*,,Natural Gas,All,95,Other/Proprietary,04/10/2018,03/19/2020,"United States, Canada",ES_1102531_95G1UH040BE12X-*_08062019205442_1650470,No,No
2343560,Allied Air Enterprises,AC PRO,95G1UH060BE12X-*,95G1UH060BE12X-*,,Natural Gas,All,95,Other/Proprietary,04/10/2018,03/19/2020,"United States, Canada",ES_1102531_95G1UH060BE12X-*_08062019210530_8591486,No,No
2343666,Allied Air Enterprises,AC PRO,A97US2V080C20X-*-*,A97US2V080C20X-*-*,,"Natural Gas,Propane Gas",All,97.5,Other/Proprietary,04/10/2018,03/19/2020,"United States, Canada",ES_1102531_A97US2V080C20X-*-*_08062019220945_4628201,No,No
2344067,Allied Air Enterprises,AC PRO,A97US2V040B12X-*-*,A97US2V040B12X-*-*,,"Natural Gas,Propane Gas",All,97.5,Other/Proprietary,04/10/2017,03/19/2020,"United States, Canada",ES_1102531_A97US2V040B12X-*-*_08062019234255_0912090,No,No
2311374,Allied Air Enterprises,AIREASE,A962E SERIES,A96UH2E030B08*-*,,"Natural Gas,Propane Gas",All,96,Not Applicable,10/28/2015,03/18/2020,"United States, Canada",ES_1102531_A96UH2E030B08*-*_03052018223238_6446686,No,No
2311376,Allied Air Enterprises,AIREASE,A952E SERIES,A95DF2E110C20*-*,,"Natural Gas,Propane Gas",All,95,Not Applicable,09/09/2013,02/09/2020,"United States, Canada",ES_1102531_A95DF2E110C20*-*_03052018223431_7063151,No,No
2311380,Allied Air Enterprises,AIREASE,A952E SERIES,A95DF2E090C16*-*,,"Natural Gas,Propane Gas",All,95,Not Applicable,09/09/2013,03/18/2020,"United States, Canada",ES_1102531_A95DF2E090C16*-*_03052018223530_5047984,No,No
2311384,Allied Air Enterprises,AIREASE,A952E SERIES,A95DF2E070B16*-*,,"Natural Gas,Propane Gas",All,95,Not Applicable,09/09/2013,03/18/2020,"United States, Canada",ES_1102531_A95DF2E070B16*-*_03052018223643_5997086,No,No
2311388,Allied Air Enterprises,AIREASE,A952E SERIES,A95DF2E045B12*-*,,"Natural Gas,Propane Gas",All,95,Not Applicable,09/09/2013,03/18/2020,"United States, Canada",ES_1102531_A95DF2E045B12*-*_03052018223746_5748635,No,No
2311392,Allied Air Enterprises,AIREASE,A952E SERIES,A95UH2E135D20*-*,,"Natural Gas,Propane Gas",All,95,Not Applicable,09/09/2013,03/18/2020,"United States, Canada",ES_1102531_A95UH2E135D20*-*_03052018223858_7014164,No,No
2311396,Allied Air Enterprises,AIREASE,A97USMV Series,A97USMV090C12S-*,,"Natural Gas,Propane Gas",All,97,Other/Proprietary,04/27/2012,02/09/2020,"United States, Canada",ES_1102531_A97USMV090C12S-*_03052018224015_9380534,No,No
2311398,Allied Air Enterprises,AIREASE,A97DSMV Series,A97DSMV110C20S-*,,"Natural Gas,Propane Gas",All,97,Other/Proprietary,04/11/2012,03/18/2020,"United States, Canada",ES_1102531_A97DSMV110C20S-*_03052018224120_2718569,No,No
2311399,Allied Air Enterprises,AIREASE,A95 Series,A95UH1E045B12-*,,"Natural Gas,Propane Gas",All,95,Not Applicable,05/01/2015,03/18/2020,"United States, Canada",ES_1102531_A95UH1E045B12-*_03052018224222_7595311,No,No
2311403,Allied Air Enterprises,AIREASE,A95 Series,A95UH1E070B12-*,,"Natural Gas,Propane Gas",All,95,Not Applicable,01/02/2014,03/18/2020,United States,ES_1102531_A95UH1E070B12-*_03052018224337_7704598,No,No
2311407,Allied Air Enterprises,AIREASE,A95 Series,A95UH1E090C16-*,,"Natural Gas,Propane Gas",All,95,Not Applicable,01/02/2014,02/08/2020,United States,ES_1102531_A95UH1E090C16-*_03052018224454_6275958,No,No
2311411,Allied Air Enterprises,AIREASE,A95 Series,A95UH1E110C20-*,,"Natural Gas,Propane Gas",All,95,Not Applicable,05/01/2015,02/04/2020,"United States, Canada",ES_1102531_A95UH1E110C20-*_03052018224553_7150730,No,No
2311415,Allied Air Enterprises,AIREASE,A95 Series,A95UH1E135D20-*,,"Natural Gas,Propane Gas",All,95,Not Applicable,08/15/2015,03/18/2020,United States,ES_1102531_A95UH1E135D20-*_03052018224715_3027921,No,No
2311417,Allied Air Enterprises,AIREASE,A962V SERIES,A96DS2V045B12S-*,,"Natural Gas,Propane Gas",All,96,Other/Proprietary,11/15/2014,03/18/2020,"United States, Canada",ES_1102531_A96DS2V045B12S-*_03052018224839_6320409,No,No
2311419,Allied Air Enterprises,AIREASE,A962V SERIES,A96DS2V070B16S-*,,"Natural Gas,Propane Gas",All,96,Other/Proprietary,11/15/2014,03/18/2020,"United States, Canada",ES_1102531_A96DS2V070B16S-*_03052018224943_2690869,No,No
2311421,Allied Air Enterprises,AIREASE,A962V SERIES,A96DS2V090C20S-*,,"Natural Gas,Propane Gas",All,96,Other/Proprietary,11/15/2014,03/18/2020,"United States, Canada",ES_1102531_A96DS2V090C20S-*_03052018225144_8965771,No,No
2311423,Allied Air Enterprises,AIREASE,A962V SERIES,A96DS2V110C20S-*,,"Natural Gas,Propane Gas",All,96,Other/Proprietary,11/15/2014,02/09/2020,"United States, Canada",ES_1102531_A96DS2V110C20S-*_03052018225241_5423869,No,No
2311425,Allied Air Enterprises,AIREASE,A962V SERIES,A96US2V045B12S-*,,"Natural Gas,Propane Gas",All,96,Other/Proprietary,11/15/2014,03/18/2020,"United States, Canada",ES_1102531_A96US2V045B12S-*_03052018225331_2069446,No,No
2311427,Allied Air Enterprises,AIREASE,A962V SERIES,A96US2V070B12S-*,,"Natural Gas,Propane Gas",All,96,Other/Proprietary,11/15/2014,03/18/2020,"United States, Canada",ES_1102531_A96US2V070B12S-*_03052018225458_0966306,No,No
2311429,Allied Air Enterprises,AIREASE,A962V SERIES,A96US2V090C12S-*,,"Natural Gas,Propane Gas",All,96,Other/Proprietary,11/15/2014,03/18/2020,"United States, Canada",ES_1102531_A96US2V090C12S-*_03052018225717_8176399,No,No
2311431,Allied Air Enterprises,AIREASE,A96US2V SERIES,A96US2V090C16*-*,,"Natural Gas,Propane Gas",All,96,Other/Proprietary,11/15/2015,03/18/2020,"United States, Canada",ES_1102531_A96US2V090C16*-*_03052018230054_6847792,No,No
2311433,Allied Air Enterprises,AIREASE,A962V SERIES,A96US2V090C20S-*,,"Natural Gas,Propane Gas",All,96,Other/Proprietary,11/15/2014,02/09/2020,"United States, Canada",ES_1102531_A96US2V090C20S-*_03052018230302_8334192,No,No
2311435,Allied Air Enterprises,AIREASE,A962V SERIES,A96US2V110C16S-*,,"Natural Gas,Propane Gas",All,96,Other/Proprietary,11/15/2014,03/18/2020,"United States, Canada",ES_1102531_A96US2V110C16S-*_03052018230420_1430911,No,No
2311437,Allied Air Enterprises,AIREASE,A962V SERIES,A96US2V110C20S-*,,"Natural Gas,Propane Gas",All,96,Other/Proprietary,11/15/2014,02/08/2020,"United States, Canada",ES_1102531_A96US2V110C20S-*_03052018230619_7608320,No,No
2311440,Allied Air Enterprises,AIREASE,A962V SERIES,A96US2V135D20S-*,,"Natural Gas,Propane Gas",All,96,Other/Proprietary,11/15/2014,03/18/2020,"United States, Canada",ES_1102531_A96US2V135D20S-*_03052018230719_0293236,No,No
2311473,Allied Air Enterprises,AIREASE,A97USMV Series,A97USMV070B12S-*,,"Natural Gas,Propane Gas",All,97,Other/Proprietary,04/27/2012,03/18/2020,"United States, Canada",ES_1102531_A97USMV070B12S-*_03052018234246_2955362,No,No
2311475,Allied Air Enterprises,AIREASE,A97USMV Series,A97USMV090C16S-*,,"Natural Gas,Propane Gas",All,97,Other/Proprietary,04/27/2012,02/09/2020,"United States, Canada",ES_1102531_A97USMV090C16S-*_03052018234351_8452985,No,No
2311477,Allied Air Enterprises,AIREASE,A97USMV Series,A97USMV090C20S-*,,"Natural Gas,Propane Gas",All,97,Other/Proprietary,04/27/2012,03/18/2020,"United States, Canada",ES_1102531_A97USMV090C20S-*_03052018234515_3173934,No,No
2311479,Allied Air Enterprises,AIREASE,A97USMV Series,A97USMV110C20S-*,,"Natural Gas,Propane Gas",All,97,Other/Proprietary,04/27/2012,03/18/2020,"United States, Canada",ES_1102531_A97USMV110C20S-*_03052018234636_4907450,No,No
2311481,Allied Air Enterprises,AIREASE,A97USMV Series,A97USMV135D20S-*,,"Natural Gas,Propane Gas",All,97,Other/Proprietary,04/27/2012,03/18/2020,"United States, Canada",ES_1102531_A97USMV135D20S-*_03052018234736_7592365,No,No
2311483,Allied Air Enterprises,AIREASE,A97DSMV Series,A97DSMV070B12S-*,,"Natural Gas,Propane Gas",All,97,Other/Proprietary,04/11/2012,03/18/2020,"United States, Canada",ES_1102531_A97DSMV070B12S-*_03052018234836_5435495,No,No
2311485,Allied Air Enterprises,AIREASE,A97DSMV Series,A97DSMV090C16S-*,,"Natural Gas,Propane Gas",All,97,Other/Proprietary,04/11/2012,02/09/2020,"United States, Canada",ES_1102531_A97DSMV090C16S-*_03052018234923_0346593,No,No
2311487,Allied Air Enterprises,AIREASE,A97DSMV Series,A97DSMV090C20S-*,,"Natural Gas,Propane Gas",All,97,Other/Proprietary,04/11/2012,03/18/2020,"United States, Canada",ES_1102531_A97DSMV090C20S-*_03052018235132_3294472,No,No
2320215,Allied Air Enterprises,AIREASE,A97US2V040B12X-*-*,A97US2V040B12X-*-*,,"Natural Gas,Propane Gas",All,97.5,Other/Proprietary,04/10/2017,03/19/2020,"United States, Canada",ES_1102531_A97US2V040B12X-*-*_05212018235844_2033448,No,No
2320217,Allied Air Enterprises,AIREASE,A97US2V060B12X-**,A97US2V060B12X-**,,"Natural Gas,Propane Gas",All,97.5,Other/Proprietary,04/10/2017,03/19/2020,"United States, Canada",ES_1102531_A97US2V060B12X-**_05212018235955_1498267,No,No
2320219,Allied Air Enterprises,AIREASE,A97US2V080C16X-*-*,A97US2V080C16X-*-*,,"Natural Gas,Propane Gas",All,97.5,Other/Proprietary,04/10/2018,02/09/2020,"United States, Canada",ES_1102531_A97US2V080C16X-*-*_05222018000121_2110256,No,No
2320221,Allied Air Enterprises,AIREASE,A97US2V080C20X-*-*,A97US2V080C20X-*-*,,"Natural Gas,Propane Gas",All,97.5,Other/Proprietary,04/10/2018,03/19/2020,"United States, Canada",ES_1102531_A97US2V080C20X-*-*_05222018000215_0667103,No,No
2341690,Allied Air Enterprises,AIREASE,95G1UH-E Series,A95UH1E070B12*-**,,"Natural Gas,Propane Gas",All,95,Not Applicable,01/02/2014,03/19/2020,"United States, Canada",ES_1102531_A95UH1E070B12*-**_07292019014723_7305609,No,No
