ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Product Type,Power Conversion Mechanism,Minimum Configuration Tested Model Number,Active Output Power Rating Minimum Configuration (W),Apparent Output Power Rating Minimum Configuration (VA),Maximum Configuration Tested Model Number,Active Output Power Rating Maximum Configuration (W),Apparent Output Power Rating Maximum Configuration (VA),Topology (ac),Topology and Product Type Combined,Application,Rated Input Voltage (V rms),Rated Input Frequency (Hz),Rated Output Voltage (V),Rated Output Frequency (Hz),Rack Mountable,Rack Mount Height (U),Height (mm),Width (mm),Depth (mm),Total Number of Outlets,Number of Battery Backup and Surge Protected Outlets,Number of Surge Protected Only Outlets,Normal Mode(s) Input Dependency Characteristic (ac),Modular UPS,Number of Normal Modes,Default Normal Mode (ac),Test Input Voltage (V rms),Test Input Frequency (Hz),Test Output Voltage (V),Test Output Frequency (Hz),Total Input Power in W at 0% Load Min Config Lowest Dependency (ac),Total Input Power in W at 0% Load Min Config Highest Dependency (ac),Efficiency at 25% Load Min Config Lowest Dependency (ac),Efficiency at 25% Load Min Config Highest Dependency (ac),Efficiency at 50% Load Min Config Lowest Dependency (ac),Efficiency at 50% Load Min Config Highest Dependency (ac),Efficiency at 75% Load Min Config Lowest Dependency (ac),Efficiency at 75% Load Min Config Highest Dependency (ac),Efficiency at 100% Load Min Config Lowest Dependency (ac),Efficiency at 100% Load Min Config Highest Dependency (ac),Weighted Efficiency Calc Min Config Lowest Dependency,Weighted Efficiency Calc Min Config Highest Dependency,Total Input Power in W at 0% Load Minimum Configuration (dc),Efficiency at 30% Load Minimum Configuration (dc),Efficiency at 40% Load Minimum Configuration (dc),Efficiency at 50% Load Minimum Configuration (dc),Efficiency at 60% Load Minimum Configuration (dc),Efficiency at 70% Load Minimum Configuration (dc),Efficiency at 80% Load Minimum Configuration (dc),Minimum Configuration Input Power Factor Lowest-Input Dependency,Minimum Configuration Input Power Factor Highest-Input Dependency,Total Input Power in W at 0% Load Max Config Lowest Dependency (ac),Total Input Power in W at 0% Load Max Config Highest Dependency (ac),Efficiency at 25% Load Max Config Lowest Dependency (ac),Efficiency at 25% Load Max Config Highest Dependency (ac),Efficiency at 50% Load Max Config Lowest Dependency (ac),Efficiency at 50% Load Max Config Highest Dependency (ac),Efficiency at 75% Load Max Config Lowest Dependency (ac),Efficiency at 75% Load Max Config Highest Dependency (ac),Efficiency at 100% Load Max Config Lowest Dependency (ac),Efficiency at 100% Load Max Config Highest Dependency (ac),Weighted Efficiency Calc Max Config Lowest Dependency,Weighted Efficiency Calc Max Config Highest Dependency,Total Input Power in W at 0% Load Maximum Configuration  (dc),Efficiency at 30% Load Maximum Configuration (dc),Efficiency at 40% Load Maximum Configuration (dc),Efficiency at 50% Load Maximum Configuration (dc),Efficiency at 60% Load Maximum Configuration (dc),Efficiency at 70% Load Maximum Configuration (dc),Efficiency at 80% Load Maximum Configuration (dc),Maximum Configuration Input Power Factor Lowest-Input Dependency,Maximum Configuration Input Power Factor Highest-Input Dependency,Efficiency (%),Modular UPS Module Tested Model Number,Energy Storage Mechanism,Energy Storage System Technology,Energy Storage System Configuration,Energy Storage System Removable to Another Room,Energy Storage System Runtime at 100% Load (min.),Energy Storage System Runtime at 50% Load (min.),Energy Storage System Warranty (yrs),Energy Storage System Information URL,Battery Recycling URL,Network Connections Available,Communication Protocols,Communication Protocol Other,Manufacturer Take Back Program,Manufacturer Take Back Program URL,Model Web Page URL,Test Method Guidelines,Date Available on Market,Date Certified,Markets,CB Model Identifier
2332516,Chicago Digital Power Inc,CDP,UPO33-20 HFD AX,UPO33-20 HFD AX,",UPO33-20 HF AX,; ,UPO33-20 HFL AX,; ,UPO33-20 HFLD AX,",Ac-output UPS,Static,YDC3320S,20000,20000,,,,Multi-Mode Line Interactive,ac - Other,"Consumer,Commercial",208-220,50-60,208-220,50-60,No,,868,250,900,,,,"Voltage and Frequency Independent,Voltage and Frequency Dependent",No,Multiple-normal-mode,Voltage and Frequency Dependent,120,60,120,60,150,121,93.7,95.9,93.7,97.3,92.9,97.7,91.8,97.8,93.5,97.1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,94.4,N/A,Battery,Vented Lead-acid Battery,Integral,N/A,N/A,N/A,5,N/A,,None,None,,No,,www.kstar.com.cn,N/A,11/14/2018,01/07/2019,"United States, Canada",ES_1142615_UPO33-20 HFD AX_12202018101027_3836938
2332518,Chicago Digital Power Inc,CDP,UPO33-15 HFD AX,UPO33-15 HFD AX,",UPO33-15 HF AX,; ,UPO33-15 HFL AX,; ,UPO33-15 HFLD AX,",Ac-output UPS,Static,YDC3315S,15000,15000,,,,Multi-Mode Line Interactive,ac - Other,"Consumer,Commercial",208-220,50-60,208-220,50-60,No,,868,250,900,,,,"Voltage and Frequency Independent,Voltage and Frequency Dependent",No,Multiple-normal-mode,Voltage and Frequency Dependent,120,60,120,60,129.96,121,93.5,95.9,93.6,97.3,92.9,97.7,91.8,97.8,93.4,97.1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,94.3,N/A,Battery,Vented Lead-acid Battery,Integral,N/A,N/A,N/A,5,N/A,,None,None,,No,,www.kstar.com.cn,N/A,11/14/2018,01/07/2019,"United States, Canada",ES_1142615_UPO33-15 HFD AX_12202018100530_914575
2337270,Chicago Digital Power Inc,CDP,BKU-1210AX,BKU-1210AX,,Ac-output UPS,Static,BKU-1210AX,720,1200,,,,Line Interactive,ac Line Interactive (VI),"Data Center,Consumer,Commercial",120-120,50-60,120-120,50-60,No,,280,99,412,10,5,5,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,,,97.7,,98.4,,98.5,,98.4,,98.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,N/A,3,11,1,https://www.cdpups.com/products.asp#,,USB Port,None,,No,,https://www.cdpups.com/products.asp#,N/A,06/01/2019,04/24/2019,"United States, Canada",ES_1142615_BKU-1210AX_04222019233004_9156851
2337271,Chicago Digital Power Inc,CDP,BKU-1510AX,BKU-1510AX,,Ac-output UPS,Static,BKU-1510AX,900,1500,,,,Line Interactive,ac Line Interactive (VI),"Data Center,Consumer,Commercial",120-120,50-60,120-120,50-60,No,,280,99,412,10,5,5,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,,,98.4,,98.9,,98.8,,98.6,,98.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,N/A,3,11,1,https://www.cdpups.com/products.asp#,,USB Port,None,,No,,https://www.cdpups.com/products.asp#,N/A,06/01/2019,04/24/2019,"United States, Canada",ES_1142615_BKU-1510AX_04222019231352_6037140
2330843,"CyberPower Systems, Inc.",amazonbasics,ABST800,ABST800,,Ac-output UPS,Static,ABST800,450,800,,,,Line Interactive,ac Line Interactive (VI),"Commercial,Consumer",120-120,50-60,120-120,50-60,No,,80,178,310,,,,Voltage and Frequency Dependent,No,Single-normal-mode,Voltage and Frequency Dependent,120,60,120,60,2.796,,97.9,,98.9,,99.1,,99.1,,98.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,2,14,1,N/A,,USB Port,None,,Yes,,https://www.amazon.com/AmazonBasics-Standby-UPS-800VA-Outlets/dp/B073Q3BSPG,N/A,12/01/2018,09/16/2019,"United States, Canada",ES_1095904_ABST800_10032017025709_9429383
2333805,"CyberPower Systems, Inc.",amazonbasics,ABST400,ABST400,,Ac-output UPS,Static,ABST400,255,400,,,,Line Interactive,ac Line Interactive (VI),"Commercial,Consumer",120-120,50-60,120-120,50-60,No,,82,110,184,,,,Voltage and Frequency Dependent,No,Single-normal-mode,Voltage and Frequency Dependent,120,60,120,60,2.62,,96.4,,98.3,,98.8,,99.1,,98.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,2,7,1,N/A,,None,None,,Yes,,https://www.amazon.com/AmazonBasics-Standby-UPS-800VA-Outlets/dp/B073Q48Z95?th=1,N/A,11/30/2017,09/16/2019,"United States, Canada",ES_1095904_ABST400_02212019053256_7176515
2333806,"CyberPower Systems, Inc.",amazonbasics,ABST600,ABST600,,Ac-output UPS,Static,ABST600,360,600,,,,Line Interactive,ac Line Interactive (VI),"Commercial,Consumer",120-120,50-60,120-120,50-60,No,,80,155,272,,,,Voltage and Frequency Dependent,No,Single-normal-mode,Voltage and Frequency Dependent,120,60,120,60,2.54,,97.7,,98.9,,99.2,,99.3,,98.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,2,9,1,N/A,,USB Port,None,,Yes,,https://www.amazon.com/AmazonBasics-Standby-UPS-800VA-Outlets/dp/B073Q48YGF?th=1,N/A,11/30/2017,09/16/2019,"United States, Canada",ES_1095904_ABST600_02212019053317_7197462
2341493,"CyberPower Systems, Inc.",amazonbasics,ABMT1000,ABMT1000,,Ac-output UPS,Static,CP1000AVRLCDa,600,1000,,,,Line Interactive,ac Line Interactive (VI),"Commercial,Consumer",120-120,60-60,120-120,60-60,No,,229,99,259,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,3.9,,97.3,,98.3,,98.7,,98.7,,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.6,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,2,9,3,N/A,,USB Port,Other,HID,Yes,,https://www.cyberpowersystems.com/product/ups/cp1000avrlcd/,N/A,12/31/2018,07/21/2019,"United States, Canada",ES_1095904_ABMT1000_07222019051841_2721384
2341495,"CyberPower Systems, Inc.",amazonbasics,ABMT1500,ABMT1500,,Ac-output UPS,Static,LX1500GU,900,1500,,,,Line Interactive,ac Line Interactive (VI),"Commercial,Consumer",120-120,60-60,120-120,60-60,No,,249,99,348,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,4.9,,97.6,,98.5,,98.7,,98.6,,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.6,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,2,12,3,N/A,,USB Port,Other,HID,Yes,,https://www.cyberpowersystems.com/product/ups/lx1500gu/,N/A,06/27/2014,07/21/2019,"United States, Canada",ES_1095904_ABMT1500_07232019010832_4112389
2349383,"CyberPower Systems, Inc.",amazonbasics,ABST800,ABST800,,Ac-output UPS,Static,ABST800,450,800,,,,Line Interactive,ac Line Interactive (VI),"Commercial,Consumer",120-120,50-60,120-120,50-60,No,,80,178,310,,,,Voltage and Frequency Dependent,No,Single-normal-mode,Voltage and Frequency Dependent,120,60,120,60,2.796,,97.9,,98.9,,99.1,,99.1,,98.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,2,14,1,N/A,,USB Port,None,,Yes,,https://www.amazon.com/AmazonBasics-Standby-UPS-800VA-Outlets/dp/B073Q3BSPG,N/A,12/01/2018,09/16/2019,"United States, Canada",ES_1095904_ABST800_09162019061634_4594458
