Shelter Name,Address,Status,Pet Friendly,Location
Gwendolyn Coffield Community Center,"2450 Lyttonsville Road, Silver Spring, MD 20910",CLOSED,Yes,"2450 Lyttonsville Road
Silver Spring, MD 20910
(38.998722, -77.050924)"
Bauer Drive Community Center,"14625 Bauer Drive, Rockville, MD 20853",CLOSED,Yes,"14625 Bauer Drive
Rockville, MD 20853
(39.095357, -77.109505)"
Richard Montgomery High School,"250 Richard Montgomery Drive, Rockville, MD 20852",CLOSED,No,"250 Richard Montgomery Drive
Rockville, MD 20852
(39.078636, -77.145631)"
Walter Johnson High School,"6400 Rock Spring Dr, Bethesda, MD 20814",CLOSED,No,"6400 Rock Spring Dr
Bethesda, MD 20814
(39.026567, -77.130017)"
John F. Kennedy High School,"1901 Randolph Road, Silver Spring, MD 20902",CLOSED,No,"1901 Randolph Road
Silver Spring, MD 20902
(39.065246, -77.037248)"
Marilyn J. Praisner Community Rec Center,"14910 Old Columbia Pike, Burtonsville, MD 20866",CLOSED,Yes,"14910 Old Columbia Pike
Burtonsville, MD 20866
(39.100886, -76.941241)"
Paint Branch High School,"14121 Old Columbia Pike, Burtonsville, MD 20866",CLOSED,No,"14121 Old Columbia Pike
Burtonsville, MD 20866
(39.087895, -76.94922)"
Montgomery Blair High School,"51 University Boulevard East, Silver Spring, MD 20901",CLOSED,No,"51 University Boulevard East
Silver Spring, MD 20901
(39.019138, -77.011776)"
Seneca Valley High School,"19401 Crystal Rock Drive, Germantown, MD 20874",CLOSED,No,"19401 Crystal Rock Drive
Germantown, MD 20874
(39.175462, -77.265757)"
Damascus High School,"25921 Ridge Road Damascus, MD 20872",CLOSED,No,"25921 Ridge Road
Damascus, MD 20872
(39.2817, -77.211481)"
Springbrook High School,"201 Valleybrook Drive, Silver Spring, MD 20904",CLOSED,No,"201 Valleybrook Drive
Silver Spring, MD 20904"
Bohrer Park Recreation Center,"506 South Frederick Road, Gaithersburg, MD",CLOSED,No,"506 South Frederick Road
Gaithersburg, MD
(39.133661, -77.190349)"
Watkins Mill High School,"10301 Apple Ridge Road, Gaithersburg, MD 20879",CLOSED,No,"10301 Apple Ridge Road
Gaithersburg, MD 20879
(39.182931, -77.215007)"
Rockville High School,"2100 Baltimore Road, Rockville, MD 20851",CLOSED,No,"2100 Baltimore Road
Rockville, MD 20851
(39.086293, -77.116852)"
Sherwood High School,"300 Olney-Sandy Spring Rd, Sandy Spring, MD 20860",CLOSED,No,"300 Olney-Sandy Spring Rd
Sandy Spring, MD 20860
(39.149009, -77.019875)"
Plum Gar Neighborhood Recreation Center,"19561 Scenery Drive, Germantown, MD 20874",CLOSED,Yes,"19561 Scenery Drive
Germantown, MD 20874
(39.177047, -77.233861)"
Germantown Community Center,"18905 Kingsview Rd, Germantown, MD 20874",CLOSED,No,"18905 Kingsview Rd
Germantown, MD 20874
(39.165622, -77.28666)"
Gaithersburg High School,"314 S. Frederick Avenue, Gaithersburg, MD 20877",CLOSED,No,"314 S Frederick Avenue
Gaithersburg, MD 20877
(39.137541, -77.193851)"
Bethesda-Chevy Chase High School,"4301 East-West Highway, Bethesda, MD 20817",CLOSED,No,"4301 East West Highway
Bethesda, MD 20817
(38.985358, -77.089046)"
Maryland Soccerplex,"18031 Central Park Circle, Boyds, MD 20841",CLOSED,Yes,"18031 Central Park Circle
Boyds, MD 20841
(39.152835, -77.30725)"
Poolesville High School,"17501 West Willard Road, Poolesville, MD 20837",CLOSED,No,"17501 West Willard Road
Poolesville, MD 20837
(39.143321, -77.420073)"
Mid County Community Recreation Center,"2004 Queensguard Road, Silver Spring, MD 20906",CLOSED,Yes,"2004 Queensguard Road
Silver Spring, MD 20906
(39.087347, -77.042882)"
Long Branch Recreation Center,"8700 Piney Branch Road, Silver Spring, MD 20901",CLOSED,Yes,"8700 Piney Branch Road
Silver Spring, MD 20901
(38.998965, -76.997846)"
North Potomac Recreation Center,"13850 Travilah Rd, Rockville, MD 20850",CLOSED,Yes,"13850 Travilah Rd
Rockville, MD 20850
(39.082916, -77.232348)"
Potomac Community Center,"11315 Falls Rd, Potomac, MD 20854",CLOSED,No,"11315 Falls Rd
Potomac, MD 20854
(39.041226, -77.19248)"
Walt Whitman High School,"7100 Whitter Boulevard, Bethesda, MD 20817",CLOSED,No,"7100 Whitter Boulevard
Bethesda, MD 20817
(38.980629, -77.125411)"
White Oak Community Recreation Center,"1700 April Lane, White Oak, MD 20904",CLOSED,Yes,"1700 April Lane
White Oak, MD 20904
(39.046674, -76.977052)"
Wheaton Community Recreation Center,"11701 Georgia Ave, Silver Spring, MD 20902",CLOSED,Yes,"11701 Georgia Ave
Silver Spring, MD 20902
(39.047816, -77.051924)"
