Date,Department or Agency Name,ARMS Department ID,Total # of Employees,# of Employees with Debt,% Employees with Debt,Total Amount Due
10/14/2011,Administrative Hearings,,39,2,5.1,368.00
10/14/2011,Animal Care & Control,,68,3,4.4,2564.00
10/14/2011,Aviation,,1265,54,4.3,19092.00
10/14/2011,Board of Elections,,112,5,4.5,1068.00
10/14/2011,Board of Ethics,,6,0,0.0,0.00
10/14/2011,Budget & Management,,50,1,2.0,400.00
10/14/2011,Buildings,,283,4,1.4,861.00
10/14/2011,Business Affairs & Consumer Protection,,183,7,3.8,3208.00
10/14/2011,Chicago Board of Education,,48796,2832,5.8,962067.00
10/14/2011,Chicago Housing Authority,,467,25,5.4,6137.00
10/14/2011,Chicago Park District,,6420,422,6.6,229971.00
10/14/2011,Chicago Public Library,,1031,30,2.9,8147.00
10/14/2011,Chicago Transit Authority,,10279,1948,19.0,642713.00
10/14/2011,City Clerk,,98,3,3.1,613.00
10/14/2011,City Colleges of Chicago,,1867,50,2.7,16822.00
10/14/2011,City Council,,425,33,7.8,11377.00
10/14/2011,City Treasurer,,22,0,0.0,0.00
10/14/2011,Compliance,,23,0,0.0,0.00
10/14/2011,Cultural Affairs & Special Events,,48,0,0.0,0.00
10/14/2011,Emergency Management & Communications,,1317,90,6.8,30416.00
10/14/2011,Environment,,57,2,3.5,269.00
10/14/2011,Family & Support Services,,866,38,4.4,13589.00
10/14/2011,Finance,,175,4,2.3,7042.00
10/14/2011,Fire,,4952,206,4.2,107117.00
10/14/2011,Fleet Management,,593,21,3.5,8391.00
10/14/2011,General Services,,490,32,6.5,9990.00
10/14/2011,Housing & Economic Development,,295,7,2.4,1593.00
10/14/2011,Human Relations,,28,0,0.0,0.00
10/14/2011,Human Resources,,63,1,1.6,200.00
10/14/2011,Innovation & Technology,,90,1,1.1,221.00
10/14/2011,Independent Police Review Authority,,83,7,8.4,3957.00
10/14/2011,Law,,426,2,0.5,2689.00
10/14/2011,Mayor's Office for People with Disabilities,,32,0,0.0,0.00
