Program Administrator,Program Name,Fuel Type,Sector,Net Fuel Savings Acquired,Fuel Savings Unit,Cumulative Net Energy Savings Acquired as of Date
"Consolidated Edison Company of New York, Inc.",C&I Custom Efficiency Program,Electric,Commercial,94630.25,MWh,09/30/2014
"Consolidated Edison Company of New York, Inc.",C&I Equipment Rebate Program,Electric,Commercial,151220.35,MWh,09/30/2014
"Consolidated Edison Company of New York, Inc.",Small Business Direct Install Program,Electric,Commercial,370283.04,MWh,09/30/2014
"Consolidated Edison Company of New York, Inc.",Multifamily Energy Efficiency Program,Electric,Multifamily,46345.60,MWh,09/30/2014
"Consolidated Edison Company of New York, Inc.",* Residential HVAC Program,Electric,Residential,390.32,MWh,09/30/2014
"Consolidated Edison Company of New York, Inc.",Appliance Bounty Program,Electric,Residential,17402.20,MWh,09/30/2014
"Consolidated Edison Company of New York, Inc.",Residential Direct Installation Program,Electric,Residential,2663.10,MWh,09/30/2014
"Consolidated Edison Company of New York, Inc.",Residential Electric Program,Electric,Residential,22690.17,MWh,09/30/2014
"Consolidated Edison Company of New York, Inc.",Residential HVAC Program,Electric,Residential,6443.58,MWh,09/30/2014
"Consolidated Edison Company of New York, Inc.",Residential Room Air Conditioning Program,Electric,Residential,3213.46,MWh,09/30/2014
Central Hudson Gas & Electric Corporation,* Small and Mid-Size Commercial Buildings,Electric,Commercial,16.28,MWh,09/30/2014
Central Hudson Gas & Electric Corporation,Mid-Size Commercial Business Program,Electric,Commercial,25299.31,MWh,09/30/2014
Central Hudson Gas & Electric Corporation,Small Business Direct Install Program,Electric,Commercial,68526.44,MWh,09/30/2014
Central Hudson Gas & Electric Corporation,* Residential HVAC Program,Electric,Residential,125.68,MWh,09/30/2014
Central Hudson Gas & Electric Corporation,Expanded Residential HVAC Program,Electric,Residential,0.00,MWh,09/30/2014
Central Hudson Gas & Electric Corporation,Home Energy Reporting,Electric,Residential,54397.28,MWh,09/30/2014
Central Hudson Gas & Electric Corporation,Residential Appliance Recycling Program,Electric,Residential,16735.15,MWh,09/30/2014
Central Hudson Gas & Electric Corporation,Residential HVAC Program,Electric,Residential,6308.64,MWh,09/30/2014
New York State Energy Research and Development Authority,* Existing Facilities Program,Electric,Commercial,9.85,MWh,09/30/2014
New York State Energy Research and Development Authority,* Flex Tech Program,Electric,Commercial,1265.61,MWh,09/30/2014
New York State Energy Research and Development Authority,Agricultural Disaster Program,Electric,Commercial,1531.57,MWh,09/30/2014
New York State Energy Research and Development Authority,Agricultural Energy Efficiency,Electric,Commercial,14816.72,MWh,09/30/2014
New York State Energy Research and Development Authority,Benchmarking and Operations Efficiency Program,Electric,Commercial,0.00,MWh,09/30/2014
New York State Energy Research and Development Authority,Existing Facilities Program,Electric,Commercial,347348.95,MWh,09/30/2014
New York State Energy Research and Development Authority,FlexTech Expansion Program,Electric,Commercial,330517.07,MWh,09/30/2014
New York State Energy Research and Development Authority,Industrial & Process Efficiency Program,Electric,Commercial,525516.62,MWh,09/30/2014
New York State Energy Research and Development Authority,New Construction Program,Electric,Commercial,117629.85,MWh,09/30/2014
New York State Energy Research and Development Authority,* Low-Income Multifamily Performance Program,Electric,Multifamily,571.43,MWh,09/30/2014
New York State Energy Research and Development Authority,* Multifamily Performance Program,Electric,Multifamily,-12.73,MWh,09/30/2014
New York State Energy Research and Development Authority,Elec. Reduction in Master-Metered Multifamily Bldgs,Electric,Multifamily,1219.71,MWh,09/30/2014
New York State Energy Research and Development Authority,Geothermal Heat Pump Systems Program,Electric,Multifamily,0.00,MWh,09/30/2014
New York State Energy Research and Development Authority,Low-Income Multifamily Performance Program,Electric,Multifamily,10851.12,MWh,09/30/2014
New York State Energy Research and Development Authority,Multifamily Performance Program,Electric,Multifamily,6408.64,MWh,09/30/2014
New York State Energy Research and Development Authority,* Assisted Home Performance with Energy Star,Electric,Residential,423.35,MWh,09/30/2014
New York State Energy Research and Development Authority,* EmPower New York,Electric,Residential,27.62,MWh,09/30/2014
New York State Energy Research and Development Authority,* Home Performance with Energy Star,Electric,Residential,606.93,MWh,09/30/2014
New York State Energy Research and Development Authority,Assisted Home Performance with Energy Star,Electric,Residential,1218.70,MWh,09/30/2014
New York State Energy Research and Development Authority,Assisted NY Energy Star Homes,Electric,Residential,2826.65,MWh,09/30/2014
New York State Energy Research and Development Authority,CFL Expansion Program,Electric,Residential,980698.98,MWh,09/30/2014
New York State Energy Research and Development Authority,EmPower New York Program,Electric,Residential,46967.14,MWh,09/30/2014
New York State Energy Research and Development Authority,Home Performance with Energy Star,Electric,Residential,2377.02,MWh,09/30/2014
New York State Energy Research and Development Authority,NY Energy Star Homes,Electric,Residential,8242.77,MWh,09/30/2014
National Fuel Gas Distribution Corporation,* Residential Rebate Program,Electric,Residential,4479.60,MWh,09/30/2014
Niagara Mohawk Power Corporation,Energy Initiative - Commercial & Industrial Electric Program,Electric,Commercial,191255.71,MWh,09/30/2014
Niagara Mohawk Power Corporation,Energy Initiative Program - Large Industrial,Electric,Commercial,43778.41,MWh,09/30/2014
Niagara Mohawk Power Corporation,Energy Initiative Program - Mid-Size C&I,Electric,Commercial,108660.32,MWh,09/30/2014
Niagara Mohawk Power Corporation,Small Business Direct Install Program,Electric,Commercial,505166.45,MWh,09/30/2014
Niagara Mohawk Power Corporation,Energy Wise Program,Electric,Multifamily,24473.84,MWh,09/30/2014
Niagara Mohawk Power Corporation,Enhanced Home Sealing Incentives Program,Electric,Residential,108.33,MWh,09/30/2014
Niagara Mohawk Power Corporation,Residential Building Practices and Demonstration,Electric,Residential,66021.33,MWh,09/30/2014
Niagara Mohawk Power Corporation,Residential Energy Star Products and Recycling,Electric,Residential,42859.94,MWh,09/30/2014
Niagara Mohawk Power Corporation,Residential HVAC Program,Electric,Residential,1345.25,MWh,09/30/2014
New York State Electric & Gas Corporation,Block Bidding Program,Electric,Commercial,6958.39,MWh,09/30/2014
New York State Electric & Gas Corporation,C&I Custom Rebate Program,Electric,Commercial,8003.14,MWh,09/30/2014
New York State Electric & Gas Corporation,C&I Electric Program,Electric,Commercial,35181.88,MWh,09/30/2014
New York State Electric & Gas Corporation,C&I Prescriptive Rebate Program,Electric,Commercial,2953.32,MWh,09/30/2014
New York State Electric & Gas Corporation,Small Business Direct Install Program,Electric,Commercial,109677.86,MWh,09/30/2014
New York State Electric & Gas Corporation,Multifamily Program,Electric,Multifamily,10429.82,MWh,09/30/2014
New York State Electric & Gas Corporation,* Residential HVAC Program,Electric,Residential,4422.48,MWh,09/30/2014
New York State Electric & Gas Corporation,Energy Saver Program,Electric,Residential,731.70,MWh,09/30/2014
New York State Electric & Gas Corporation,Refrigerator and Freezer Recycling Program,Electric,Residential,41226.70,MWh,09/30/2014
"Orange and Rockland Utilities, Inc.",Commercial Existing Buildings Program,Electric,Commercial,15500.52,MWh,09/30/2014
"Orange and Rockland Utilities, Inc.",Small Business Direct Install Program,Electric,Commercial,28727.25,MWh,09/30/2014
"Orange and Rockland Utilities, Inc.",* Residential HVAC Program,Electric,Residential,171.77,MWh,09/30/2014
"Orange and Rockland Utilities, Inc.",Residential Efficient Products Program,Electric,Residential,7135.42,MWh,09/30/2014
"Orange and Rockland Utilities, Inc.",Residential HVAC,Electric,Residential,51.19,MWh,09/30/2014
Rochester Gas and Electric Corporation,Block Bidding Program,Electric,Commercial,11595.37,MWh,09/30/2014
Rochester Gas and Electric Corporation,C&I Custom Rebate Program,Electric,Commercial,2459.03,MWh,09/30/2014
