Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2009,03/04/2009,EQUINE DEATH,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred, ,Private Details,JOHN P. TERRANOVA II, ,Private Details-Tr. John Terranova-fell on track-fx LF cannon bone-euthanized,Euthanasia
2009,03/04/2009,ON-TRACK ACCIDENT,Aqueduct Racetrack (NYRA), ,Racing,Thoroughbred, ,Private Details,JOHN P. TERRANOVA II, ,Private Details-Tr. John Terranova-fell  fx LF cannon bone  euthanized, 
2009,03/04/2009,ON-TRACK ACCIDENT,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred, ,All Bets Off,B E. LEVINE, ,All Bets Off-Tr. Bruce Levine-fell over downed horse-minor cuts & scrapes-horse ok, 
2009,03/04/2009,ON-TRACK ACCIDENT,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred, ,Hot Chile Soup,ENRIQUE ARROYO, ,Hot Chile Soup-Tr. Enrique Arroyo-fell over downed horse-minor cuts & scrapes-horse ok, 
2009,03/04/2009,ON-TRACK ACCIDENT,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred, ,One Dream Union,BRUCE R. BROWN, ,One Dream Union-Tr. Bruce Brown-fell over downed horse-minor cuts & scrapes-horse ok, 
2009,03/04/2009,ON-TRACK ACCIDENT,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred, ,Truly Devine,GARY C. CONTESSA, ,Truly Devine-Tr. Gary Contessa-fell over downed horse  minor cuts & scrapes  horse ok, 
2009,03/05/2009,EQUINE DEATH,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred,Clear & Cold,Sigh You, , ,Sigh You-Tr. Patrick Kelly-Euthanasia-Left Front Sesamoid FX, 
2009,03/06/2009,STEWARDS/VETS LIST,Saratoga Gaming & Raceway, ,Racing,Harness, ,Raid the Bank N,ELAINE M. ELMORE, ,Raid the Bank N-Tr. Elaine Elmore-performed poorly-will no longer run, 
2009,03/24/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,MR,Racing,Harness,Cloudy/cold,Grouse A,TODD J. MARCIANO, ,Grouse A-Tr. Todd Marciano- reinjured lower LF bow tendon-given rest time, 
2009,03/28/2009,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred,Cloudy,Dr. Silver Packet,JOHN P. CAMPO JR, ,Dr. Silver Packet-Tr. John Campo-horse hurt stifle-walked off track, 
2009,03/29/2009,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred,Rain,Yankee Threads,RICHARD L. STOKLOSA, ,Yankee Threads-Tr. Richard Stoklosa-tore left suspensory-retired, 
2009,04/01/2009,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred,Cloudy,One Funny Honey,ANTHONY W. DUTROW, ,One Funny Honey-Tr. Anthony Dutrow-RF lameness, 
2009,04/01/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,Monticello Raceway,Racing,Harness,Clear/sunny,Play for Silver,ANTHONY P. CUCCIO, ,Play for Silver-Tr. Anthony Cuccio-scored down lame-scratched-shipped to Maine by Owner, 
