Week Ending Date,State,Observed Number,Threshold,Exceeds Threshold,Excess,Year,Total Excess in 2020,Percent Excess,Type,Outcome,Suppress
01/04/2020,Alabama,1083,1184,false,0,2020,79,0.0,Predicted (weighted),All causes,
01/05/2019,Alabama,1076,1253,false,0,2019,79,0.0,Predicted (weighted),All causes,
01/06/2018,Alabama,1248,1280,false,0,2018,79,0.0,Predicted (weighted),All causes,
01/11/2020,Alabama,1129,1179,false,0,2020,79,0.0,Predicted (weighted),All causes,
01/12/2019,Alabama,1090,1275,false,0,2019,79,0.0,Predicted (weighted),All causes,
01/13/2018,Alabama,1301,1284,true,17,2018,79,0.0,Predicted (weighted),All causes,
01/14/2017,Alabama,1130,1216,false,0,2017,79,0.0,Predicted (weighted),All causes,
01/18/2020,Alabama,1041,1179,false,0,2020,79,0.0,Predicted (weighted),All causes,
01/19/2019,Alabama,1114,1300,false,0,2019,79,0.0,Predicted (weighted),All causes,
01/20/2018,Alabama,1275,1294,false,0,2018,79,0.0,Predicted (weighted),All causes,
01/21/2017,Alabama,1048,1230,false,0,2017,79,0.0,Predicted (weighted),All causes,
01/25/2020,Alabama,1052,1187,false,0,2020,79,0.0,Predicted (weighted),All causes,
01/26/2019,Alabama,1063,1301,false,0,2019,79,0.0,Predicted (weighted),All causes,
01/27/2018,Alabama,1286,1299,false,0,2018,79,0.0,Predicted (weighted),All causes,
01/28/2017,Alabama,1026,1249,false,0,2017,79,0.0,Predicted (weighted),All causes,
02/01/2020,Alabama,1030,1184,false,0,2020,79,0.0,Predicted (weighted),All causes,
02/02/2019,Alabama,1095,1283,false,0,2019,79,0.0,Predicted (weighted),All causes,
02/03/2018,Alabama,1147,1297,false,0,2018,79,0.0,Predicted (weighted),All causes,
02/04/2017,Alabama,1036,1245,false,0,2017,79,0.0,Predicted (weighted),All causes,
02/08/2020,Alabama,1117,1186,false,0,2020,79,0.0,Predicted (weighted),All causes,
02/09/2019,Alabama,1092,1277,false,0,2019,79,0.0,Predicted (weighted),All causes,
02/10/2018,Alabama,1181,1288,false,0,2018,79,0.0,Predicted (weighted),All causes,
02/11/2017,Alabama,1058,1240,false,0,2017,79,0.0,Predicted (weighted),All causes,
02/15/2020,Alabama,1094,1186,false,0,2020,79,0.0,Predicted (weighted),All causes,
02/16/2019,Alabama,1103,1264,false,0,2019,79,0.0,Predicted (weighted),All causes,
02/17/2018,Alabama,1096,1293,false,0,2018,79,0.0,Predicted (weighted),All causes,
02/18/2017,Alabama,1060,1246,false,0,2017,79,0.0,Predicted (weighted),All causes,
02/22/2020,Alabama,1086,1178,false,0,2020,79,0.0,Predicted (weighted),All causes,
02/23/2019,Alabama,1064,1263,false,0,2019,79,0.0,Predicted (weighted),All causes,
02/24/2018,Alabama,1099,1283,false,0,2018,79,0.0,Predicted (weighted),All causes,
02/25/2017,Alabama,1099,1241,false,0,2017,79,0.0,Predicted (weighted),All causes,
