County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference
Chemung,Grove Park Farm Stand,4th St. & Walnut Ave. Elmira,Walnut Ave and West 4th St,Elmira,NY,14901,Matthew Glenn,6075464535,https://www.facebook.com/GroveParkFarmersMarket,Monday  3pm-6pm,June 1-October 26,M,N,N,N,Y,42.09212,-76.82014,"(42.09212, -76.82014)"
Schenectady,Veggie Mobile-Hometown Health Ctr,1044 State Street Schenectady,1044 State Street,Schenectady,NY,12307,Audrey Bridge,5182748685,http://www.capitalroots.org,Mon 2pm-2:45pm,Year-round,YR,N,Y,Y,Y,42.8014,-73.9278,"(42.8014, -73.9278)"
Essex,Ticonderoga Farmers' Market,1114 Wicker Street near Walmart entrance,1114 Wicker Street,Ticonderoga,NY,12883,Mathew Courtright,5185856619,http://www.ticonderogany.com;,Saturday  10am-1pm,July 11-September 26,M,N,N,N,Y,43.85688,-73.43642,"(43.85688, -73.43642)"
Dutchess,Share the Bounty Farm Stand,"Hudson River Healthcare , 3360 Route 343 Amenia",3360 Route 343,Amenia,NY,12501,Edward Frederick,8452067526,,Tuesday  9am-1pm,June 30-October 30,M,Y,N,N,Y,41.85035,-73.55065,"(41.85035, -73.55065)"
Rensselaer,Veggie Mobile Sprout-Mayor John Warden Apts,85 Aiken Ave Rensselaer,85 Aiken Ave,Rensselaer,NY,12144,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 2:15pm-3pm,Year-round,YR,N,Y,Y,Y,42.63326,-73.73991,"(42.63326, -73.73991)"
Rensselaer,Veggie Mobile Sprout-Burns Apts,720 Federal St. Troy,720 Federal Street,Troy,NY,12180,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu  12:30pm-1:15pm,Year-round,YR,N,Y,Y,Y,42.733148,-73.684555,"(42.733148, -73.684555)"
New York,79th Street Greenmarket,366 Columbus Ave. btwn W 77th & W 81st Sts.,West 79th St and Columbus Ave,New York,NY,10024,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/79th-street,Sunday  9am-4pm,Year-Round,YR,N,Y,N,Y,40.78195,-73.97548,"(40.78195, -73.97548)"
Nassau,Crossroads Farm Farm Stand,480 Hempstead Ave. Malverne,480 Hempstead Ave,Malverne,NY,11565,TBA TBA,5184576880,http://www.xroadsfarmliny.com,Fri/Sat/Sun 10am-2pm,June 5-October 18,M,N,N,N,Y,40.68066,-73.66376,"(40.68066, -73.66376)"
Albany,Veggie Mobile-Cohoes Senior Ctr,100 Cayuga Plaza Cohoes,100 Cayuga Plaza,Cohoes,NY,12047,Audrey Bridge,5182748685,http://www.capitalroots.org,Wednesday 3pm-4pm,Year-round,YR,N,Y,Y,Y,42.77712,-73.70101,"(42.77712, -73.70101)"
Columbia,City of Hudson Farmers' Market,DMV parking lot Sixth & Columbia Sts.,Columbia St and North 6th St,Hudson,NY,12534,Virginia Ambrose,5188212453,http://www.hudsonfarmersmarketny.com,Saturday  9am-1pm,April 26-November 21,P/M,N,Y,N,Y,42.24866,-73.78369,"(42.24866, -73.78369)"
Saratoga,Veggie Mobile Sprout - Mechanicville Sr Center,178 North Main Street,178 North Main Street,Mechanicville,NY,12118,Audrey Bridge,5182748685,http://www.capitalroots.org,Fri 2pm-2:45pm,Year-round,YR,N,Y,Y,Y,42.90829,-73.68374,"(42.90829, -73.68374)"
Sullivan,Sullivan Fresh Monticello Farmers' Market,"10 Jefferson St Monticello, (location changed for July 2019)",512 Broadway,Monticello,NY,12701,Michelle Proscia,8452926180,http://www.sullivancce.org,Monday 11am-2pm,July 6-September 28,M,N,Y,N,Y,41.65611,-74.69106,"(41.65611, -74.69106)"
