Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Carino's Italian,78753,10/23/2019,94,"12901 N IH
AUSTIN, TX 78753",11814853,Routine Inspection
Circle K #2742103,78753,06/21/2018,94,"11139 N IH
AUSTIN, TX 78753",2803560,Routine Inspection
Angel's Ice House,78669,08/15/2017,100,"21815 W SH
SPICEWOOD, TX 78669",2802178,Routine Inspection
Teapioca Lounge,78748,11/18/2019,93,"9600 S IH
AUSTIN, TX 78748",10693969,Routine Inspection
Subway,78748,08/01/2018,95,"9300 S IH
AUSTIN, TX 78748",2802744,Routine Inspection
183 Grill Austin Gyros,78729,12/03/2019,92,"13729 N US 183 HWY
AUSTIN, TX 78729",11368998,Routine Inspection
Howdy Donut,78730,09/12/2019,100,"10815 FM 2222 RD
AUSTIN, TX 78730",12096125,Routine Inspection
Marias Mexican Restaurant,78753,08/22/2017,79,"13000 N IH
AUSTIN, TX 78753",11230438,Routine Inspection
Cyclo Restaurant,78753,07/24/2017,96,"13000 N IH
AUSTIN, TX 78753",11648991,Routine Inspection
Double Dave's Pizzaworks,78748,04/17/2018,97,"9500 S IH
AUSTIN, TX 78748",10328502,Routine Inspection
BC - Serasana Bee Cave,78738,11/25/2019,96,"15500 W SH
BEE CAVE, TX 78738",11930325,Routine Inspection
Wing's N More,78660,04/25/2018,79,"1200 W HOWARD LN
AUSTIN, TX 78660",2802223,Routine Inspection
P. Terry's,78723,07/03/2019,98,"5701 N IH
AUSTIN, TX 78723",11579122,Routine Inspection
Buffalo Wild Wings #620,78752,07/16/2019,89,"7604 N IH
AUSTIN, TX 78752",11398783,Routine Inspection
Wendy's W123,78702,08/31/2017,94,"619 N IH
AUSTIN, TX 78702",11119164,Routine Inspection
Mariana's Kitchen,78745,12/10/2019,88,"5510 S IH
AUSTIN, TX 78745",11514048,Routine Inspection
Walgreens,78730,06/28/2017,96,"6911 N FM 620 RD
AUSTIN, TX 78730",2803852,Routine Inspection
Sterling Events Center,78752,05/23/2017,80,"6134 E US 290 HWY
AUSTIN, TX 78752",11526833,Routine Inspection
