Borough,CouncilDist,Food_Scrap_Drop_Off_Site_Name,Hours_from,Hours_to,Latitude,Location,Longitude,NTAName,Notes,ObjectId,Operation_Day,Open_Months,Serviced_by,Website,boroCD,ct2010,point,zip_code,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
Bronx,16,OPENING JULY 10: 170 Farmstand,05:30 PM,02:30 PM,40.83998,"Townsend Ave & 170 St, Bronx",-73.91682,West Concourse,,179,Wednesdays,"Seasonal Market, July-November",GrowNYC,https://www.grownyc.org/compost/locations; https://newsettlement.org/food/170farmstand/,204,223,POINT (-73.91682 40.83998499999999),10452,10930,50,5,42,27
Manhattan,3,Hudson Blvd Park,06:00 PM,10:00 AM,40.75555,5 Hudson Blvd East,-74.00035,Hudson Yards-Chelsea-Flatiron-Union Square,,110,Thursdays,Year Round,Hudson Yards/ Hell's Kitchen Alliance,hyhalliance.org,104,99,POINT (-74.000348 40.755554),10001,11722,12,4,10,6
Staten Island,49,Olivet Heavenly Harvest,01:00 PM,10:00 AM,40.6302,"97 Myrtle Avenue, Staten Island, NY",-74.11597,New Brighton-Silver Lake,,147,Saturdays,"Seasonal, March-November",Olivet Presbyterian Church,www.olivetcares.org,501,4006,POINT (-74.115963 40.630199),10310,10697,4,1,13,74
Brooklyn,43,4th Avenue Presbyterian Church,12:00 PM,Dawn,40.63547,6753 4th Avenue,-74.0228,Bay Ridge,,14,Saturdays,Year Round,4th Avenue Presbyterian Church,http://www.fourthavenuepresbyterian.org/,310,1004,POINT (-74.0228 40.63547299999999),11220,18180,10,2,44,41
Brooklyn,45,Wyckoff Farmhouse Museum,04:00 PM,11:00 AM,40.6444,5816 Clarendon Rd,-73.92074,Rugby-Remsen Village,,248,Fridays,Year Round,Wyckoff Farmhouse Museum,myckoffmuseum.org,317,3000,POINT (-73.920739 40.64439899999999),11203,13827,61,2,26,40
Manhattan,10,OPEN FOR SEASON: Fort Washington Greenmarket,3pm,8am,40.84216,"168th Street at Fort Washington,New York,NY 10032",-73.94228,Washington Heights South,,160,Tuesday,"Seasonal Market, June-November",GrowNYC,http://www.grownyc.org/compost/locations,112,251,POINT (-73.94227827 40.84215385),10032,13090,47,4,39,21
Manhattan,2,DeColores Community Yard,dusk,dawn,40.72544,313 E 8th St,-73.97971,Lower East Side,,78,Everyday,Year Round,Loisaida United Neighborhood Gardens (LUNGS),http://www.lungsnyc.org/,103,2000,POINT (-73.97971 40.725436),10009,11729,70,4,50,5
Bronx,17,Mary Mitchell Center,06:00 PM,10:00 AM,40.84494,"2007 Mapes Ave, Bronx 10460 at E 178th St",-73.88741,East Tremont,,133,Monday,Year Round- following the DOE calendar. Please look at https://www.schools.nyc.gov/calendar for closures.,Mary Mitchell Center,http://themarymitchellfyc.org/,206,2001,POINT (-73.887411 40.844941),10460,11269,35,5,43,31
Manhattan,6,B'nai Jeshurun Community House,9pm,7am,40.79037,270 West 89th Street,-73.976,Upper West Side,,31,Monday,Year Round,B'nai Jeshrun,www.bj.org,107,4001,POINT (-73.975999 40.79037300000001),10024,12421,20,4,19,15
Manhattan,2,Union Square Greenmarket,5pm,8am,40.73682,"E 17th St & Union Square E, New York, NY",-73.99004,Hudson Yards-Chelsea-Flatiron-Union Square,,243,Saturday,Year Round,NYC Compost Project,http://www.grownyc.org/compost/locations,105,50,POINT (-73.990043 40.73682199999999),10003,11724,11,4,50,7
Bronx,11,Lehman College,10:00 AM,08:00 AM,40.87559,Lehman Quad near Shuster Hall,-73.89407,Van Cortlandt Village,,128,Mondays,Year Round,Serviced/Managed by Volunteers from Lehman College,,207,409,POINT (-73.89407358 40.87558854),10468,11606,48,5,40,33
