the_geom,OBJECTID,Zone_Code,Auth,Source,Food_Truck_Zone,Shape_Length,Shape_Area
"MULTIPOLYGON (((-90.074868336156 29.967241846639, -90.074905214628 29.967200889972, -90.074981966009 29.967254461847, -90.075060964929 29.967309602484, -90.074906567913 29.967483160716, -90.074846308075 29.967550898318, -90.074687884432 29.967442248407, -90.074868336156 29.967241846639)))",18823,B-1A,Permit,Zoning,Food Truck Permitted Zone,349.58704497200432,7068.1833306338913
"MULTIPOLYGON (((-90.066296307512 30.016399278377, -90.066304362871 30.016474018221, -90.066371656689 30.017328680239, -90.065958961661 30.017359506198, -90.065476277473 30.017396181801, -90.065410165787 30.016518209154, -90.065393681448 30.016446405104, -90.065489797645 30.016443627046, -90.066296307512 30.016399278377)))",17800,RM-2,Franchise,Zoning,Food Truck Franchise Zone,1256.0519283615274,97153.598252279728
"MULTIPOLYGON (((-90.01468828597 29.935536204607, -90.01469439964 29.935413051222, -90.014774647485 29.935417488844, -90.015289429894 29.935442344022, -90.016090424695 29.935485383192, -90.016549026875 29.93550554589, -90.016537564233 29.935657028311, -90.016476062569 29.936469770401, -90.016357502816 29.936464642647, -90.015567717707 29.936430479077, -90.014778643713 29.936396942234, -90.014645839004 29.936391297542, -90.01468828597 29.935536204607)))",17986,RD-1,Franchise,Zoning,Food Truck Franchise Zone,1876.2806627062373,206491.82775955787
"MULTIPOLYGON (((-90.069540488663 29.965260023139, -90.069706015388 29.965378111783, -90.069547666962 29.965558311393, -90.069487923569 29.965627126998, -90.069316715844 29.965514876864, -90.069540488663 29.965260023139)))",18329,HMC-1,Permit,Zoning,Food Truck Permitted Zone,366.16671838994421,7806.7536224849919
"MULTIPOLYGON (((-90.048424333344 29.971273439292, -90.048598488232 29.970707111282, -90.049527058658 29.970930397707, -90.049637245214 29.97095856011, -90.049495382766 29.971444435213, -90.048905859291 29.971305274194, -90.048881912455 29.97138068055, -90.048424333344 29.971273439292)))",18349,LI,Permit,Zoning,Food Truck Permitted Zone,1108.7764980475126,67191.811000317583
"MULTIPOLYGON (((-90.040342355477 29.967311400077, -90.040450501448 29.966951669293, -90.040484086871 29.966839913517, -90.04021744374 29.966777716827, -90.040264501977 29.966621607275, -90.040371782248 29.966265714222, -90.040463401562 29.966287243819, -90.040556448818 29.966309412625, -90.040634313805 29.96632796406, -90.040610381009 29.966409892269, -90.040681079377 29.966425825382, -90.040721398756 29.966434911689, -90.040844060663 29.966462555378, -90.040790795072 29.966640929824, -90.040762431254 29.966735912195, -90.040715520571 29.966893005892, -90.040649688248 29.966878008394, -90.040602321752 29.967035633497, -90.0406005901 29.967035243866, -90.040496845343 29.967363873958, -90.040403776514 29.967342495264, -90.040337578784 29.967327289217, -90.040342355477 29.967311400077)))",18457,C-1A,Permit,Zoning,Food Truck Permitted Zone,1075.6478930881312,38765.755097748515
"MULTIPOLYGON (((-89.943700918233 30.05928767717, -89.944880380606 30.058636580665, -89.948477681765 30.062970299002, -89.948405452198 30.063023846302, -89.94784547551 30.063438979722, -89.947284503135 30.063879950828, -89.946743916492 30.064264209225, -89.944648939539 30.065727957689, -89.944348926416 30.06591707575, -89.942803733022 30.064050393426, -89.944340786081 30.059731386163, -89.943700918233 30.05928767717)))",17997,RM-2E,Franchise,Zoning,Food Truck Franchise Zone,6815.3993181966634,2451261.4286815594
"MULTIPOLYGON (((-90.04748298407 29.968438074373, -90.047731965672 29.967626205219, -90.047878318632 29.967144472604, -90.047884082552 29.967145802851, -90.048024514595 29.966652617074, -90.048038051308 29.966605190115, -90.048161916625 29.966171239677, -90.048071520404 29.966149887996, -90.048212258852 29.965677380434, -90.048361073321 29.965183376568, -90.048367911914 29.965184929313, -90.048490861365 29.96478242216, -90.048508886948 29.964720709775, -90.048658515461 29.964227235873, -90.04908179767 29.964318871818, -90.0491832745 29.963977143309, -90.049214799359 29.963870553974, -90.049222332141 29.963843122134, -90.04924934893 29.963752117205, -90.049277825763 29.963659251686, -90.049310882911 29.963545176147, -90.049378877748 29.963561467983, -90.049759640906 29.963653768693, -90.049666683633 29.9639330166, -90.049519638981 29.964413657359, -90.050478309707 29.964625130779, -90.05061542215 29.96413064223, -90.05065886559 29.963995779215, -90.050816631772 29.964029328845, -90.050918201197 29.963694501095, -90.050906248898 29.963691675225, -90.051002853518 29.963393516112, -90.051093746483 29.963415655585, -90.051179646773 29.963435246275, -90.051306404423 29.963466226806, -90.051323499508 29.963470404656, -90.05143874365 29.963497157828, -90.051525337977 29.963518629882, -90.051430878074 29.963815705924, -90.051466081154 29.963824028149, -90.051451887732 29.963871109825, -90.051367898927 29.964149722655, -90.051622384385 29.964206494013, -90.051544341274 29.964431565264, -90.051782167505 29.96443115681, -90.05175030877 29.964077842457, -90.052035380194 29.964053703105, -90.052027439527 29.963871629169, -90.051733114202 29.963887157731, -90.051818235262 29.96358838367, -90.051848609368 29.963481772596, -90.051987555039 29.963473121673, -90.052091731113 29.963467259208, -90.052184421528 29.963461284842, -90.05228859653 29.963455423113, -90.05235756658 29.96345171869, -90.05246678349 29.963444655411, -90.05246059171 29.963367704526, -90.052453739165 29.9632863714, -90.052430848511 29.962881569471, -90.052793900644 29.962860185058, -90.053938043675 29.962793764416, -90.053967549079 29.963140957191, -90.054340428246 29.963121560528, -90.054339715125 29.963177189508, -90.054423726298 29.963176131168, -90.054427949927 29.963238684008, -90.054432803393 29.963308120655, -90.054360938588 29.963313673762, -90.054391790113 29.963747798352, -90.054488747695 29.963741414524, -90.054451491843 29.963306426543, -90.054498924339 29.96330251169, -90.054537736149 29.963299138291, -90.054641952977 29.963290148888, -90.054755500435 29.963281250058, -90.055099499679 29.963253437955, -90.055098291644 29.963236522975, -90.05516894055 29.963232130552, -90.055586391953 29.963206179125, -90.055670477863 29.963201712096, -90.055673481809 29.963245157386, -90.055674272902 29.963256608929, -90.055675298542 29.963271429866, -90.055675914628 29.9632794747, -90.055676461512 29.963286612124, -90.055705394603 29.963664092082, -90.055628762015 29.963668765936, -90.055640413741 29.963921221454, -90.055643680043 29.964002518659, -90.05564757627 29.964090699664, -90.055737395103 29.964084694913, -90.055745615354 29.964171667405, -90.055751283824 29.96423360987, -90.055837513874 29.964227570208, -90.05585673469 29.964487457731, -90.055868139583 29.964641657263, -90.055704418319 29.964652173951, -90.055741532681 29.965051177407, -90.055913962157 29.965041599608, -90.055919429669 29.965119168499, -90.055924260274 29.965190478767, -90.055936919259 29.965379389233, -90.055941589815 29.965463201921, -90.055952461251 29.965628169747, -90.055864788021 29.965632720343, -90.055874562222 29.965707599992, -90.055893778309 29.966057231107, -90.055901358617 29.966194206937, -90.056029282212 29.966184196042, -90.056039398753 29.966291191085, -90.056047587446 29.966380663294, -90.056055871138 29.966462635301, -90.05606789644 29.966606538251, -90.055937498455 29.966614558314, -90.055970252714 29.967037543776, -90.055943668618 29.967039160567, -90.055943636601 29.967041661231, -90.055948579355 29.967104220958, -90.055954805038 29.967178670964, -90.055989295267 29.967176506567, -90.056074809838 29.967170459783, -90.056152412361 29.967165586645, -90.056157378214 29.967226271756, -90.056162887086 29.967300714792, -90.056169855986 29.967373297168, -90.05617468688 29.967444607404, -90.056186623682 29.967595041589, -90.055446954904 29.967634944015, -90.054596062446 29.967683260257, -90.054616580407 29.968014594342, -90.054511665691 29.968021702157, -90.054341365412 29.968032582729, -90.054387389161 29.968688074375, -90.054406592878 29.968791522757, -90.053287261995 29.968863553165, -90.053278078126 29.968766939004, -90.053227563641 29.968185562743, -90.053133885617 29.968189592094, -90.052841470735 29.968206271421, -90.052831495507 29.968033780272, -90.05281546609 29.967794569102, -90.052065070897 29.967845160476, -90.052105323519 29.968476674324, -90.051934626276 29.968488607143, -90.051826855893 29.96849443453, -90.05182131808 29.968422491085, -90.051762404924 29.968426388831, -90.051714249729 29.968429574802, -90.051619416679 29.968434277522, -90.051539659929 29.968439127016, -90.051511630272 29.968441354982, -90.051439770687 29.968446280433, -90.051343485504 29.968452219297, -90.051239296159 29.968458705429, -90.05124725582 29.96856567894, -90.050977703197 29.968580722785, -90.05097597145 29.968556553269, -90.05079634447 29.968567536874, -90.050690711929 29.968574633753, -90.050592265519 29.968581176249, -90.050483760873 29.968588244967, -90.050489490625 29.968645187197, -90.05049391294 29.968692114583, -90.050501587806 29.968765328507, -90.05028888516 29.968779508597, -90.050207331912 29.968784466084, -90.050331776531 29.968369405791, -90.049849177151 29.968259537196, -90.049842260845 29.968280680223, -90.049825776035 29.968334279611, -90.0498025647 29.968408443741, -90.049779353342 29.968482606963, -90.049759317306 29.968477410494, -90.049740620522 29.968473146455, -90.049661958899 29.968455207092, -90.049645438445 29.968451488463, -90.049557437492 29.968431682353, -90.049468669192 29.968411437434, -90.049318627122 29.968377218198, -90.049313924591 29.968392444332, -90.049147751303 29.968354545212, -90.04905827421 29.968333668756, -90.048969521159 29.968312173158, -90.04888361814 29.968292581049, -90.048837810144 29.968281507506, -90.048791285189 29.968270426047, -90.048719671622 29.968253587061, -90.048702525238 29.968249555445, -90.048651757616 29.96823761781, -90.048591575351 29.968223467108, -90.04837567644 29.968173792879, -90.048273688158 29.968508342923, -90.048242259561 29.968606623405, -90.04748298407 29.968438074373), (-90.050916364609 29.965825648743, -90.050840480791 29.966083720647, -90.051015893162 29.96612433589, -90.050996978262 29.966184556664, -90.051167670608 29.966210684644, -90.051269199243 29.965894674995, -90.05144663152 29.96588541071, -90.051431273258 29.965686186242, -90.051428337833 29.965648110681, -90.051343549281 29.965653536266, -90.051156257669 29.965663224935, -90.051213215071 29.965470475642, -90.051035503831 29.96543361678, -90.051010705441 29.965519642607, -90.050940575491 29.965759303832, -90.050936151703 29.965758354886, -90.050916364609 29.965825648743), (-90.050522587841 29.96773993451, -90.050929182235 29.967903671908, -90.050805748048 29.966793395183, -90.050522587841 29.96773993451), (-90.051171707995 29.965058618121, -90.051325195493 29.965091522743, -90.051307248375 29.965152259144, -90.051525885437 29.965208348495, -90.051502456075 29.96489775463, -90.051380858778 29.964903151004, -90.051517863794 29.964507921895, -90.051325804937 29.964464375276, -90.051225685593 29.964787038246, -90.051255258068 29.96479344527, -90.051171707995 29.965058618121), (-90.051822960564 29.964883531689, -90.051846077212 29.965207335576, -90.05203071615 29.965199511177, -90.052002483295 29.964873926136, -90.051822960564 29.964883531689), (-90.049147317225 29.965692467612, -90.049290737298 29.965724165715, -90.049384961753 29.965415828198, -90.049245639259 29.965384208069, -90.049147317225 29.965692467612), (-90.05407251764 29.966728010639, -90.05407661893 29.966786603294, -90.054089361747 29.966968637962, -90.054191396364 29.966962128645, -90.054262035959 29.96695762111, -90.054260833179 29.96694167788, -90.054243982863 29.966718233452, -90.05407251764 29.966728010639)))",18869,HMR-3,Franchise,Zoning,Food Truck Franchise Zone,16284.42699141967,4119555.4496903615
"MULTIPOLYGON (((-90.077341480368 29.993031787853, -90.077730483455 29.993721151831, -90.077644747022 29.993743296473, -90.077458061104 29.993791564509, -90.076947802218 29.993819970266, -90.076865169217 29.992891435254, -90.077240686935 29.993015371931, -90.077341480368 29.993031787853)))",18315,C-1,Permit,Zoning,Food Truck Permitted Zone,1029.3885689556807,59315.91277478118
"MULTIPOLYGON (((-90.133364183913 29.942309386862, -90.133660083357 29.942040646628, -90.133733630261 29.942098409978, -90.133952629477 29.942270409064, -90.133694629795 29.942512408948, -90.133661235326 29.942543731921, -90.133364183913 29.942309386862)))",18026,RM-2A,Franchise,Zoning,Food Truck Franchise Zone,522.7418413522355,17050.846239237864
