the_geom,OBJECTID,OwnerName,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType
POINT (-90.052079865595 30.021643536452),432002,MALAK INC,FRANKLIN DISCOUNT,6100 FRANKLIN AVE,,NEW ORLEANS,LA,70122,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.13128437985 29.956317025152),431984,"DON'S FOOD MART, LLC",DON'S FOOD  MART,1730 EAGLE ST,,NEW ORLEANS,LA,70118,,1101 - CONVENIENCE STORES
POINT (-90.056054896082 29.968358854848),432136,ST. CLAUDE FRESH MARKET LLC,ROBERT FRESH MARKET,2222 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.046917508466 29.981273777034),432066,VIEN MAN INC,MAMA'S COOKING,2722 N TONTI ST,,NEW ORLEANS,LA,70117,,1101 - CONVENIENCE STORES
POINT (-90.041061519593 29.945391083733),432098,"XUAN HUY,LLC",NOLA FOOD MART,943 WHITNEY AVE,,NEW ORLEANS,LA,70114,985-856-6088,1101 - CONVENIENCE STORES
POINT (-90.087753150927 29.924002275098),431915,BREAUX MART SUPERMARKETS INC,BREAUX MART SUPERMARKETS,3233 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.034917792075 30.001839081852),431978,BINH VAN CORPORATION,DAY & NIGHT DISCOUNT,4039 LOUISA ST,B,NEW ORLEANS,LA,70126,,1101 - CONVENIENCE STORES
POINT (-90.088427606981 29.984382736029),432195,"THE BAYOU GROCERY, LLC",THE BAYOU GROCERY,3443 ESPLANADE AVE,134,NEW ORLEANS,LA,70119,,1101 - CONVENIENCE STORES
POINT (-90.076989294557 29.951922709288),432155,"MORAN FOODS, LLC",SAVE -A- LOT #466-6435,3033 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,504-866-6637,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.094224292105 29.933558016896),432054,LOUISIANA MEAT LLC,LOUISIANA MEAT MARKET,2136 LOUISIANA AVE,,NEW ORLEANS,LA,70115,504-259-3651,1101 - CONVENIENCE STORES
POINT (-90.076989294557 29.951922709288),432197,MAGNOLIA ENTERPRISES INC,THE EVERYTHING SHOPPE,444 CANAL ST,,NEW ORLEANS,LA,70130,504-586-0703,"1110 - BEER, WINE & LIQUOR STORES"
POINT (-90.038777234312 29.97198951086),432223,"WE GOT IT, LLC",WE GOT IT,3401 N CLAIBORNE AVE,,NEW ORLEANS,LA,70117,,1101 - CONVENIENCE STORES
POINT (-90.0598851894 30.012307809027),431940,"CANSECO'S ELYSIAN FIELDS, LLC",CANSECO'S ELYSIAN FIELDS,5217 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,504-304-9805,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.061956772381 29.967917482703),431887,A & M FOOD STORE LLC,A & M FOOD STORE,1741 MCSHANE PL,,NEW ORLEANS,LA,70116,,1106 - GROCERY (EXC CONVENIENCE) STORES
