DataDate,EndDate,Reporting Month,Information and Referral Inquiries,Applications Received,Applications Ineligible,Applications Pending,Applications Withdrawn by Referral Source,Application Eligible,Reopened Cases,Cases Assigned to Field Office,Cases Closed,Cases Served,Clients Served,ACM Served,Single Cases,Family Cases,Intake Cases,Male Adults,Female Adults,Male Children,Female Children,African American,Latino,White,Asian Pacific/Native American,Unknown Ethnicity,Bronx,Brooklyn,Manhattan,Queens,Staten Island,Unknown Residency,Hospital Referrals,Corrections Referrals,CBO Referrals,Self Referrals,Other Referrals,Commercial MOU/SRO Hotels - Bronx,Commercial MOU/SRO Hotels - Brooklyn,Commercial MOU/SRO Hotels - Manhattan,Commercial MOU/SRO Hotels - Queens,Commercial MOU/SRO Hotels - Staten Island,Transitional Congregate Facility - Bronx,Transitional Congregate Facility - Brooklyn,Transitional Congregate Facility - Manhattan,Transitional Congregate Facility - Queens,Transitional Congregate Facility - Staten Island,Scatter Site - Bronx,Scatter Site - Brooklyn,Scatter Site - Manhattan,Scatter Site - Queens,Scatter Site - Staten Island,Rental Assist - Bronx,Rental Assist - Brooklyn,Rental Assist - Manhattan,Rental Assist - Queens,Rental Assist - Staten Island,Permanent Congregate - Bronx,Permanent Congregate - Brooklyn,Permanent Congregate - Manhattan,Permanent Congregate - Queens,Permanent Congregate - Staten Island,NYCHA - Bronx,NYCHA - Brooklyn,NYCHA - Manhattan,NYCHA - Queens,NYCHA - Staten Island,Homemaking,Private Market Rental Assistance - Standard,Private Market Rental Assistance - Enhanced,Private Market Rental Assistance - Above Enhanced,TANF Cases,Safety Net Cases,SSI Cases,SSD Cases,Receiving both SSI & SSD,Veterans Administration Cases,Clients with Earned Income,Rental Assist Enhanced- Bronx,Rental Assist Enhanced - Brooklyn,Rental Assist Enhanced - Manhattan,Rental Assist Enhanced - Queens,Rental Assist Enhanced - Staten Island,Rental Assist Above Enhanced- Bronx,Rental Assist Above Enhanced - Brooklyn,Rental Assist Above Enhanced - Manhattan,Rental Assist Above Enhanced - Queens,Rental Assist Above Enhanced - Staten Island,Cases - Last 12 Months,Clients Served - Last 12 Months,ACMs Served - Last 12 Months
01/01/2018,01/31/2018,18-Jan,1454,525,15,33,23,490,255,477,490,33772,34354,10289,30352,3384,36,22648,11638,33,35,18523,10968,3010,292,1561,13979,9989,6570,2948,832,36,112,23,47,276,67,1649,784,514,17,55,222,141,328,47,0,1037,908,211,228,45,179,140,104,19,4,760,379,1103,0,0,310,369,494,47,12,63,446,628,16792,1581,26452,9972,3810,2097,175,2017,235,186,127,65,15,7268,5043,2002,1945,534,37200,37856,12033
02/01/2018,02/28/2018,18-Feb,1127,419,20,19,11,369,219,409,401,33716,34301,10271,30319,3368,29,22628,11607,31,35,18525,10935,3019,292,1530,13972,10001,6534,2931,834,29,92,12,24,220,71,1626,799,519,20,55,223,136,329,48,0,1042,905,208,228,46,178,136,99,16,4,763,376,1102,0,0,310,362,495,49,12,63,433,635,16797,1572,26458,9942,3803,2093,178,2065,241,188,132,62,12,7262,5035,2026,1944,530,36948,37604,11993
03/01/2018,03/31/2018,18-Mar,1225,491,9,28,16,438,237,457,530,33794,34374,10247,30395,3369,30,22710,11601,31,32,18561,10949,3042,294,1528,13990,10004,6567,2945,831,37,105,21,41,254,70,1628,778,502,24,55,225,141,326,102,0,1034,911,210,231,50,179,137,102,17,5,770,381,1110,0,0,310,365,496,48,11,63,441,626,16901,1544,26549,9885,3800,2088,175,2060,227,189,136,61,11,7303,5066,2032,1959,537,37264,37917,11966
04/01/2018,04/30/2018,18-Apr,1385,496,11,33,25,427,245,457,392,33751,34328,10213,30379,3343,29,22678,11586,32,32,18564,10910,3047,297,1510,14016,9927,6584,2930,838,33,101,24,70,251,50,1679,741,509,25,52,227,140,318,102,0,1040,901,207,230,48,175,133,99,16,5,764,383,1121,0,0,311,361,497,49,44,62,428,621,16908,1541,26602,9815,3777,2076,174,2046,227,185,138,60,11,7311,5080,2041,1950,526,37315,37966,11980
05/01/2018,05/31/2018,18-May,1224,487,24,11,13,439,256,480,418,33837,34408,10246,30461,3346,30,22743,11602,31,32,18599,10623,3070,300,1516,14054,9899,6651,2947,832,25,108,45,45,241,48,1642,742,506,21,51,225,143,315,98,0,1039,903,207,232,46,179,134,101,16,5,766,384,1131,0,0,307,361,502,50,13,59,435,611,16859,1520,26661,9723,3746,2060,172,2029,225,181,135,60,10,7292,5062,2044,1939,522,37655,38315,12130
06/01/2018,06/30/2018,18-Jun,1338,479,10,34,24,411,222,445,491,33900,34476,10232,30520,3353,27,22789,11621,31,35,18637,10933,3092,298,1516,14074,9913,6693,2951,822,23,148,12,73,207,39,1631,747,516,24,51,225,142,319,100,0,1041,910,206,231,49,185,135,110,17,5,764,380,1129,0,0,303,363,502,51,11,53,452,630,16943,1538,26652,9883,3818,2069,175,2073,228,186,145,61,10,7343,5086,2035,1956,523,37466,38116,11934
07/01/2018,07/31/2018,18-Jul,1442,528,7,47,34,440,267,471,470,33925,34496,10213,30566,3325,34,22836,11593,32,35,18662,10953,3091,294,1496,14063,9877,6715,2997,818,26,159,23,62,251,33,1679,762,540,23,52,221,144,309,100,0,1037,907,205,233,50,181,129,105,18,3,764,378,1127,0,0,296,363,509,51,11,56,436,622,16915,1554,26689,9837,3787,2087,172,2042,228,182,143,59,10,7340,5040,2052,1952,531,37804,38459,12052
08/01/2018,08/31/2018,18-Aug,1625,532,20,19,36,457,261,508,531,33997,34575,10209,30648,3312,37,22923,11585,33,34,18730,10963,3098,295,1489,14086,9883,6754,2992,833,27,133,22,77,247,50,1667,761,549,25,52,224,145,317,101,0,1032,901,205,233,50,182,130,104,19,3,762,377,1125,0,0,297,360,510,49,11,55,438,606,16980,1551,26683,9760,3805,2100,169,2035,227,177,136,56,10,7361,5062,2060,1965,532,37951,38610,12081
01/01/2019,01/31/2019,19-Jan,1525,479,9,28,23,419,257,442,529,33725,34293,9997,30479,3215,31,22733,11504,26,30,18626,10816,3086,300,1465,14126,9744,6563,2962,864,34,137,8,56,231,44,1689,803,533,19,59,224,141,306,95,0,1047,895,207,230,48,0,0,0,0,0,816,371,1109,1,0,285,340,488,52,12,53,0,0,0,1518,26895,9673,3793,2103,168,1948,0,0,0,0,0,0,0,0,0,0,38122,38784,11967
03/01/2019,03/31/2019,19-Mar,1293,470,10,25,33,402,270,448,499,33632,34192,9937,30417,3189,26,22683,11451,27,30,18629,10768,3063,300,1432,14048,9729,6596,2943,853,23,120,16,59,231,39,1642,815,540,18,54,227,138,307,95,0,1043,887,208,228,47,168,117,114,20,3,863,372,1107,1,0,281,334,488,49,13,53,422,563,17214,1585,26787,9557,3801,2079,165,1967,212,177,116,47,11,7456,5084,2123,2010,541,38158,38813,11908
