Week,ManhattanCount,CitywideCount
"Canvassing observations for week of Sunday, February 18th, 2018",13,13
"Canvassing observations for week of Sunday, February 25th, 2018",21,21
"Canvassing observations for week of Sunday, March 4th, 2018",21,21
"Canvassing observations for week of Sunday, March 11th, 2018",2,2
"Canvassing observations for week of Sunday, March 18th, 2018",57,57
"Canvassing observations for week of Sunday, April 1st, 2018",8,8
"Canvassing observations for week of Sunday, April 15th, 2018",31,31
"Canvassing observations for week of Sunday, April 8th, 2018",89,89
"Canvassing observations for week of Sunday, March 25th, 2018",27,27
"Canvassing observations for week of Sunday, April 22nd, 2018",22,22
"Canvassing observations for week of Sunday, April 29th, 2018",87,87
"Canvassing observations for week of Sunday, May 6th, 2018",62,62
"Canvassing observations for week of Sunday, May 20th, 2018",29,29
"Canvassing observations for week of Sunday, May 13th, 2018",41,41
"Canvassing observations for week of Sunday, May 27th, 2018",92,92
"Canvassing observations for week of Sunday, June 3rd, 2018",58,58
"Canvassing observations for week of Sunday, June 10th, 2018",25,25
"Canvassing observations for week of Sunday, June 17th, 2018",38,38
"Canvassing observations for week of Sunday, June 24th, 2018",78,78
"Canvassing observations for week of Sunday, July 1st, 2018",16,16
"Canvassing observations for week of Sunday, July 8th, 2018",25,25
"Canvassing observations for week of Sunday, July 15th, 2018",120,120
"Canvassing observations for week of Sunday, July 22nd, 2018",22,22
"Canvassing observations for week of Sunday, July 29th, 2018",54,54
"Canvassing observations for week of Sunday, August 5th, 2018",47,47
"Canvassing observations for week of Sunday, August 12th, 2018",54,54
"Canvassing observations for week of Sunday, August 19th, 2018",70,70
"Canvassing observations for week of Sunday, August 26th, 2018",69,69
"Canvassing observations for week of Sunday, September 2nd, 2018",67,67
"Canvassing observations for week of Sunday, September 9th, 2018",42,42
"Canvassing observations for week of Sunday, September 16th, 2018",49,49
"Canvassing observations for week of Sunday, September 23rd, 2018",46,46
"Canvassing observations for week of Sunday, September 30th, 2018",100,100
"Canvassing observations for week of Sunday, October 7th, 2018",106,106
"Canvassing observations for week of Sunday, October 14th, 2018",44,44
"Canvassing observations for week of Sunday, October 21st, 2018",26,26
"Canvassing observations for week of Sunday, October 28th, 2018",71,71
"Canvassing observations for week of Sunday, November 4th, 2018",36,36
"Canvassing observations for week of Sunday, November 11th, 2018",20,20
"Canvassing observations for week of Sunday, November 18th, 2018",30,30
"Canvassing observations for week of Sunday, November 25th, 2018",58,58
"Canvassing observations for week of Sunday, December 2nd, 2018",89,89
"Canvassing observations for week of Sunday, December 9th, 2018",90,90
"Canvassing observations for week of Sunday, December 16th, 2018",64,64
"Canvassing observations for week of Sunday, December 23rd, 2018",36,36
"Canvassing observations for week of Sunday, December 30th, 2018",38,38
"Canvassing observations for week of Sunday, January 6th, 2019",88,88
"Canvassing observations for week of Sunday, January 13th, 2019",62,62
"Canvassing observations for week of Sunday, January 20th, 2019",35,35
"Canvassing observations for week of Sunday, January 27th, 2019",53,53
"Canvassing observations for week of Sunday, February 3rd, 2019",101,101
"Canvassing observations for week of Sunday, February 10th, 2019",63,63
"Canvassing observations for week of Sunday, February 17th, 2019",54,54
"Canvassing observations for week of Sunday, February 24th, 2019",30,30
"Canvassing observations for week of Sunday, March 3rd, 2019",78,78
"Canvassing observations for week of Sunday, March 10th, 2019",61,61
"Canvassing observations for week of Sunday, March 17th, 2019",111,111
"Canvassing observations for week of Sunday, March 24th, 2019",43,43
"Canvassing observations for week of Sunday, March 31st, 2019",98,98
"Canvassing observations for week of Sunday, April 7th, 2019",29,29
"Canvassing observations for week of Sunday, April 14th, 2019",123,123
"Canvassing observations for week of Sunday, April 21st, 2019",155,155
