Date,Program,Item,Value
01/01/2016,Assessment cases,Assessment cases,"3,847"
02/01/2016,Assessment cases,Assessment cases,"3,722"
03/01/2016,Assessment cases,Assessment cases,"3,924"
04/01/2016,Assessment cases,Assessment cases,"4,076"
05/01/2016,Assessment cases,Assessment cases,"4,088"
06/01/2016,Assessment cases,Assessment cases,"4,145"
07/01/2016,Assessment cases,Assessment cases,"4,326"
08/01/2016,Assessment cases,Assessment cases,"4,096"
09/01/2016,Assessment cases,Assessment cases,"4,312"
10/01/2016,Assessment cases,Assessment cases,"4,111"
11/01/2016,Assessment cases,Assessment cases,"4,130"
12/01/2016,Assessment cases,Assessment cases,"4,056"
01/01/2017,Assessment cases,Assessment cases,"4,138"
02/01/2017,Assessment cases,Assessment cases,"4,080"
03/01/2017,Assessment cases,Assessment cases,"4,144"
04/01/2017,Assessment cases,Assessment cases,"4,595"
05/01/2017,Assessment cases,Assessment cases,"4,110"
06/01/2017,Assessment cases,Assessment cases,"4,482"
07/01/2017,Assessment cases,Assessment cases,"4,062"
08/01/2017,Assessment cases,Assessment cases,"4,712"
09/01/2017,Assessment cases,Assessment cases,"4,872"
10/01/2017,Assessment cases,Assessment cases,"4,777"
11/01/2017,Assessment cases,Assessment cases,"4,875"
12/01/2017,Assessment cases,Assessment cases,"4,652"
01/01/2018,Assessment cases,Assessment cases,"4,667"
02/01/2018,Assessment cases,Assessment cases,"4,815"
03/01/2018,Assessment cases,Assessment cases,"4,742"
04/01/2018,Assessment cases,Assessment cases,"5,014"
05/01/2018,Assessment cases,Assessment cases,"5,014"
06/01/2018,Assessment cases,Assessment cases,"5,211"
07/01/2018,Assessment cases,Assessment cases,"5,004"
08/01/2018,Assessment cases,Assessment cases,"5,014"
09/01/2018,Assessment cases,Assessment cases,"5,477"
10/01/2018,Assessment cases,Assessment cases,"5,110"
11/01/2018,Assessment cases,Assessment cases,"5,462"
12/01/2018,Assessment cases,Assessment cases,"5,012"
01/01/2019,Assessment cases,Assessment cases,"4,726"
02/01/2019,Assessment cases,Assessment cases,"5,127"
03/01/2019,Assessment cases,Assessment cases,"5,114"
04/01/2019,Assessment cases,Assessment cases,"5,604"
05/01/2019,Assessment cases,Assessment cases,"5,477"
06/01/2019,Assessment cases,Assessment cases,"5,509"
07/01/2019,Assessment cases,Assessment cases,"5,257"
08/01/2019,Assessment cases,Assessment cases,"5,307"
09/01/2019,Assessment cases,Assessment cases,"5,259"
10/01/2019,Assessment cases,Assessment cases,"5,030"
