Date,Program,Item,Value
01/01/2016,Homeless Households Serviced,Diverted: by HRA at PATH,11%
02/01/2016,Homeless Households Serviced,Diverted: by HRA at PATH,12%
03/01/2016,Homeless Households Serviced,Diverted: by HRA at PATH,11%
04/01/2016,Homeless Households Serviced,Diverted: by HRA at PATH,11%
05/01/2016,Homeless Households Serviced,Diverted: by HRA at PATH,11%
06/01/2016,Homeless Households Serviced,Diverted: by HRA at PATH,11%
07/01/2016,Homeless Households Serviced,Diverted: by HRA at PATH,9%
08/01/2016,Homeless Households Serviced,Diverted: by HRA at PATH,10%
09/01/2016,Homeless Households Serviced,Diverted: by HRA at PATH,7%
10/01/2016,Homeless Households Serviced,Diverted: by HRA at PATH,7%
11/01/2016,Homeless Households Serviced,Diverted: by HRA at PATH,N/A
12/01/2016,Homeless Households Serviced,Diverted: by HRA at PATH,N/A
01/01/2017,Homeless Households Serviced,Diverted: by HRA at PATH,N/A
02/01/2017,Homeless Households Serviced,Diverted: by HRA at PATH,N/A
03/01/2017,Homeless Households Serviced,Diverted: by HRA at PATH,N/A
04/01/2017,Homeless Households Serviced,Diverted: by HRA at PATH,13%
05/01/2017,Homeless Households Serviced,Diverted: by HRA at PATH,13%
06/01/2017,Homeless Households Serviced,Diverted: by HRA at PATH,12%
07/01/2017,Homeless Households Serviced,Diverted: by HRA at PATH,13%
08/01/2017,Homeless Households Serviced,Diverted: by HRA at PATH,13%
09/01/2017,Homeless Households Serviced,Diverted: by HRA at PATH,12%
10/01/2017,Homeless Households Serviced,Diverted: by HRA at PATH,12%
11/01/2017,Homeless Households Serviced,Diverted: by HRA at PATH,12%
12/01/2017,Homeless Households Serviced,Diverted: by HRA at PATH,12%
01/01/2018,Homeless Households Serviced,Diverted: by HRA at PATH,10%
02/01/2018,Homeless Households Serviced,Diverted: by HRA at PATH,11%
03/01/2018,Homeless Households Serviced,Diverted: by HRA at PATH,14%
04/01/2018,Homeless Households Serviced,Diverted: by HRA at PATH,14%
05/01/2018,Homeless Households Serviced,Diverted: by HRA at PATH,13%
06/01/2018,Homeless Households Serviced,Diverted: by HRA at PATH,14%
07/01/2018,Homeless Households Serviced,Diverted: by HRA at PATH,14%
08/01/2018,Homeless Households Serviced,Diverted: by HRA at PATH,12%
09/01/2018,Homeless Households Serviced,Diverted: by HRA at PATH,14%
10/01/2018,Homeless Households Serviced,Diverted: by HRA at PATH,15%
11/01/2018,Homeless Households Serviced,Diverted: by HRA at PATH,15%
12/01/2018,Homeless Households Serviced,Diverted: by HRA at PATH,15%
01/01/2019,Homeless Households Serviced,Diverted: by HRA at PATH,14%
02/01/2019,Homeless Households Serviced,Diverted: by HRA at PATH,13%
03/01/2019,Homeless Households Serviced,Diverted: by HRA at PATH,14%
04/01/2019,Homeless Households Serviced,Diverted: by HRA at PATH,12%
05/01/2019,Homeless Households Serviced,Diverted: by HRA at PATH,14%
06/01/2019,Homeless Households Serviced,Diverted: by HRA at PATH,12%
07/01/2019,Homeless Households Serviced,Diverted: by HRA at PATH,11%
08/01/2019,Homeless Households Serviced,Diverted: by HRA at PATH,12%
09/01/2019,Homeless Households Serviced,Diverted: by HRA at PATH,10%
10/01/2019,Homeless Households Serviced,Diverted: by HRA at PATH,11%
11/01/2019,Homeless Households Serviced,Diverted: by HRA at PATH,13%
12/01/2019,Homeless Households Serviced,Diverted: by HRA at PATH,14%
01/01/2016,Job Placements,Retention - 3 Months,84%
02/01/2016,Job Placements,Retention - 3 Months,84%
03/01/2016,Job Placements,Retention - 3 Months,84%
04/01/2016,Job Placements,Retention - 3 Months,82%
05/01/2016,Job Placements,Retention - 3 Months,82%
06/01/2016,Job Placements,Retention - 3 Months,83%
07/01/2016,Job Placements,Retention - 3 Months,84%
08/01/2016,Job Placements,Retention - 3 Months,81%
09/01/2016,Job Placements,Retention - 3 Months,82%
10/01/2016,Job Placements,Retention - 3 Months,83%
11/01/2016,Job Placements,Retention - 3 Months,81%
12/01/2016,Job Placements,Retention - 3 Months,84%
01/01/2017,Job Placements,Retention - 3 Months,84%
02/01/2017,Job Placements,Retention - 3 Months,82%
03/01/2017,Job Placements,Retention - 3 Months,79%
04/01/2017,Job Placements,Retention - 3 Months,82%
05/01/2017,Job Placements,Retention - 3 Months,83%
06/01/2017,Job Placements,Retention - 3 Months,83%
07/01/2017,Job Placements,Retention - 3 Months,84%
08/01/2017,Job Placements,Retention - 3 Months,84%
09/01/2017,Job Placements,Retention - 3 Months,83%
10/01/2017,Job Placements,Retention - 3 Months,81%
11/01/2017,Job Placements,Retention - 3 Months,81%
12/01/2017,Job Placements,Retention - 3 Months,83%
01/01/2018,Job Placements,Retention - 3 Months,85%
02/01/2018,Job Placements,Retention - 3 Months,84%
03/01/2018,Job Placements,Retention - 3 Months,83%
04/01/2018,Job Placements,Retention - 3 Months,84%
05/01/2018,Job Placements,Retention - 3 Months,83%
06/01/2018,Job Placements,Retention - 3 Months,85%
07/01/2018,Job Placements,Retention - 3 Months,85%
08/01/2018,Job Placements,Retention - 3 Months,84%
09/01/2018,Job Placements,Retention - 3 Months,83%
10/01/2018,Job Placements,Retention - 3 Months,82%
11/01/2018,Job Placements,Retention - 3 Months,81%
12/01/2018,Job Placements,Retention - 3 Months,82%
01/01/2019,Job Placements,Retention - 3 Months,83%
02/01/2019,Job Placements,Retention - 3 Months,83%
03/01/2019,Job Placements,Retention - 3 Months,80%
04/01/2019,Job Placements,Retention - 3 Months,83%
05/01/2019,Job Placements,Retention - 3 Months,81%
06/01/2019,Job Placements,Retention - 3 Months,83%
07/01/2019,Job Placements,Retention - 3 Months,82%
08/01/2019,Job Placements,Retention - 3 Months,80%
09/01/2019,Job Placements,Retention - 3 Months,81%
10/01/2019,Job Placements,Retention - 3 Months,80%
11/01/2019,Job Placements,Retention - 3 Months,81%
12/01/2019,Job Placements,Retention - 3 Months,82%
01/01/2016,Job Placements,Retention - 6 Months,73%
02/01/2016,Job Placements,Retention - 6 Months,73%
03/01/2016,Job Placements,Retention - 6 Months,73%
04/01/2016,Job Placements,Retention - 6 Months,76%
05/01/2016,Job Placements,Retention - 6 Months,76%
06/01/2016,Job Placements,Retention - 6 Months,73%
07/01/2016,Job Placements,Retention - 6 Months,73%
08/01/2016,Job Placements,Retention - 6 Months,72%
09/01/2016,Job Placements,Retention - 6 Months,73%
10/01/2016,Job Placements,Retention - 6 Months,74%
11/01/2016,Job Placements,Retention - 6 Months,73%
12/01/2016,Job Placements,Retention - 6 Months,73%
01/01/2017,Job Placements,Retention - 6 Months,73%
02/01/2017,Job Placements,Retention - 6 Months,72%
03/01/2017,Job Placements,Retention - 6 Months,75%
04/01/2017,Job Placements,Retention - 6 Months,74%
05/01/2017,Job Placements,Retention - 6 Months,74%
06/01/2017,Job Placements,Retention - 6 Months,70%
07/01/2017,Job Placements,Retention - 6 Months,73%
08/01/2017,Job Placements,Retention - 6 Months,73%
09/01/2017,Job Placements,Retention - 6 Months,74%
10/01/2017,Job Placements,Retention - 6 Months,75%
11/01/2017,Job Placements,Retention - 6 Months,75%
12/01/2017,Job Placements,Retention - 6 Months,74%
01/01/2018,Job Placements,Retention - 6 Months,72%
02/01/2018,Job Placements,Retention - 6 Months,72%
03/01/2018,Job Placements,Retention - 6 Months,74%
04/01/2018,Job Placements,Retention - 6 Months,76%
05/01/2018,Job Placements,Retention - 6 Months,75%
06/01/2018,Job Placements,Retention - 6 Months,73%
07/01/2018,Job Placements,Retention - 6 Months,73%
08/01/2018,Job Placements,Retention - 6 Months,74%
09/01/2018,Job Placements,Retention - 6 Months,77%
10/01/2018,Job Placements,Retention - 6 Months,76%
11/01/2018,Job Placements,Retention - 6 Months,75%
12/01/2018,Job Placements,Retention - 6 Months,74%
01/01/2019,Job Placements,Retention - 6 Months,73%
02/01/2019,Job Placements,Retention - 6 Months,72%
03/01/2019,Job Placements,Retention - 6 Months,73%
04/01/2019,Job Placements,Retention - 6 Months,74%
05/01/2019,Job Placements,Retention - 6 Months,73%
06/01/2019,Job Placements,Retention - 6 Months,71%
07/01/2019,Job Placements,Retention - 6 Months,72%
08/01/2019,Job Placements,Retention - 6 Months,72%
09/01/2019,Job Placements,Retention - 6 Months,73%
10/01/2019,Job Placements,Retention - 6 Months,71%
11/01/2019,Job Placements,Retention - 6 Months,70%
12/01/2019,Job Placements,Retention - 6 Months,70%
01/01/2020,Homeless Households Serviced,Diverted: by HRA at PATH,14%
01/01/2020,Job Placements,Retention - 3 Months,82%
01/01/2020,Job Placements,Retention - 6 Months,70%
02/01/2020,Homeless Households Serviced,Diverted: by HRA at PATH,14%
02/01/2020,Job Placements,Retention - 3 Months,82%
02/01/2020,Job Placements,Retention - 6 Months,71%
