Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Survey Date,Survey Type,Deficiency Prefix,Deficiency Category,Deficiency Description,Deficiency Tag Number,Scope Severity Code,Deficiency Corrected,Correction Date,Inspection Cycle,Standard Deficiency,Complaint Deficiency,Location,Processing Date
015045,EAMC LANIER NURSING HOME,4800 48TH STREET,VALLEY,AL,36854,02/02/2017,Health,F,Environmental Deficiencies,Keep all essential equipment working safely.,0456,F,"Deficient, Provider has date of correction",02/27/2017,3,Y,false,"4800 48TH STREET VALLEY, AL 36854 (32.82397, -85.1702)",04/01/2020
015111,DIVERSICARE OF BIG SPRINGS,500 ST. CLAIR AVENUE SOUTHWEST,HUNTSVILLE,AL,35801,07/13/2017,Health,F,Quality of Life and Care Deficiencies,Provide care by qualified persons according to each resident's written plan of care.,0282,D,"Deficient, Provider has date of correction",08/17/2017,3,Y,true,"500 ST CLAIR AVENUE SOUTHWEST HUNTSVILLE, AL 35801 (34.721746, -86.586137)",04/01/2020
015141,ARBOR WOODS HEALTH AND REHAB,515 2ND AVENUE NORTHWEST,REFORM,AL,35481,05/04/2017,Health,F,Resident Rights Deficiencies,Keep  residents' personal and medical records private and confidential.,0164,D,"Deficient, Provider has date of correction",06/07/2017,3,Y,false,"515 2ND AVENUE NORTHWEST REFORM, AL 35481 (33.381773, -88.019974)",04/01/2020
015143,FOREST MANOR HEALTH AND REHAB,2215 32ND STREET,NORTHPORT,AL,35476,08/17/2017,Health,F,Resident Rights Deficiencies,Allow residents to self-administer drugs if determined safe.,0176,D,"Deficient, Provider has date of correction",09/20/2017,3,Y,false,"2215 32ND STREET NORTHPORT, AL 35476 (33.239022, -87.580309)",04/01/2020
015163,ALBERTVILLE NURSING HOME,750 ALABAMA HIGHWAY 75 NORTH,ALBERTVILLE,AL,35950,09/21/2017,Health,F,Quality of Life and Care Deficiencies,Ensure services provided by the nursing facility meet professional standards of quality.,0281,D,"Deficient, Provider has date of correction",10/26/2017,3,Y,false,,04/01/2020
015176,"CROSSVILLE HEALTH AND REHABILITATION, LLC",8922 HIGHWAY 227,CROSSVILLE,AL,35962,09/21/2017,Health,F,Nutrition and Dietary Deficiencies,"Store, cook, and serve food in a safe and clean way.",0371,F,"Deficient, Provider has date of correction",10/26/2017,3,Y,false,,04/01/2020
015189,DIVERSICARE OF PELL CITY,"510 WOLF CREEK ROAD, NORTH",PELL CITY,AL,35125,04/13/2017,Health,F,Nursing and Physician Services Deficiencies,Post nurse staffing information/data on a daily basis.,0356,C,"Deficient, Provider has date of correction",05/18/2017,3,Y,false,"510 WOLF CREEK ROAD PELL CITY, AL 35125 (33.505033, -86.437141)",04/01/2020
015203,ATTALLA HEALTH AND REHAB,915 STEWART AVENUE SOUTHEAST,ATTALLA,AL,35954,06/15/2017,Health,F,Nutrition and Dietary Deficiencies,"Store, cook, and serve food in a safe and clean way.",0371,F,"Deficient, Provider has date of correction",07/20/2017,3,Y,false,"915 STEWART AVENUE SOUTHEAST ATTALLA, AL 35954 (33.984972, -86.107809)",04/01/2020
015208,"OZARK HEALTH AND REHABILITATION, LLC",312 BRYAN DRIVE,OZARK,AL,36360,08/29/2019,Health,F,Quality of Life and Care Deficiencies,Provide safe and appropriate respiratory care for a resident when needed.,0695,D,"Deficient, Provider has date of correction",10/01/2019,1,N,true,"312 BRYAN DRIVE OZARK, AL 36360 (31.472283, -85.633872)",04/01/2020
015211,TWIN OAKS REHABILITATION AND HEALTHCARE CENTER,857 CRAWFORD LANE,MOBILE,AL,36617,11/02/2019,Health,F,Environmental Deficiencies,Provide and implement an infection prevention and control program.,0880,J,"Deficient, Provider has date of correction",11/25/2019,1,Y,false,"857 CRAWFORD LANE MOBILE, AL 36617 (30.716861, -88.073534)",04/01/2020
015330,MARENGO NURSING HOME,608 NORTH MAIN STREET,LINDEN,AL,36748,02/15/2017,Health,F,Nutrition and Dietary Deficiencies,"Store, cook, and serve food in a safe and clean way.",0371,D,"Deficient, Provider has date of correction",03/22/2017,3,Y,false,"608 NORTH MAIN STREET LINDEN, AL 36748 (32.314081, -87.798181)",04/01/2020
015382,CANTERBURY HEALTH CARE FACILITY,1720 KNOWLES ROAD,PHENIX CITY,AL,36869,04/13/2017,Health,F,Administration Deficiencies,"Keep accurate, complete and organized clinical records on each resident that meet professional standards.",0514,D,"Deficient, Provider has date of correction",05/18/2017,3,N,true,"1720 KNOWLES ROAD PHENIX CITY, AL 36869 (32.447315, -85.019552)",04/01/2020
015392,CYPRESS COVE CARE CENTER,200 ALABAMA AVENUE,MUSCLE SHOALS,AL,35661,03/22/2018,Health,F,Environmental Deficiencies,Provide and implement an infection prevention and control program.,0880,D,"Deficient, Provider has date of correction",04/26/2018,3,Y,false,,04/01/2020
015420,CUMBERLAND HEALTH AND REHAB,47065 AL HIGHWAY 277,BRIDGEPORT,AL,35740,05/25/2017,Health,F,Resident Rights Deficiencies,Provide care for residents in a way that maintains or improves their dignity and respect in full recognition of their individuality.,0241,D,"Deficient, Provider has date of correction",06/28/2017,3,Y,false,,04/01/2020
015436,HILLVIEW TERRACE,100 PERRY HILL RD,MONTGOMERY,AL,36109,11/17/2016,Health,F,Environmental Deficiencies,Put firmly secured handrails on each side of hallways.,0468,D,"Deficient, Provider has date of correction",12/22/2016,3,Y,false,"100 PERRY HILL RD MONTGOMERY, AL 36109 (32.381057, -86.246592)",04/01/2020
015443,ROBERTSDALE REHABILITATION & HEALTHCARE CTR,18700 U S HIGHWAY 90,ROBERTSDALE,AL,36567,06/15/2017,Health,F,Nutrition and Dietary Deficiencies,Hire sufficient dietary support personnel.,0362,F,"Deficient, Provider has date of correction",07/20/2017,3,Y,false,,04/01/2020
015450,WILLOWBROOKE CT SKILLED CARE CTR AT MAGNOLIA TRACE,ONE CROWN CIRCLE,HUNTSVILLE,AL,35802,10/17/2019,Health,F,Environmental Deficiencies,Provide and implement an infection prevention and control program.,0880,E,"Deficient, Provider has date of correction",11/20/2019,1,Y,false,,04/01/2020
015457,KIRKWOOD BY THE RIVER,3605 RATLIFF ROAD,BIRMINGHAM,AL,35210,03/22/2018,Health,F,Quality of Life and Care Deficiencies,Provide appropriate pressure ulcer care and prevent new ulcers from developing.,0686,D,"Deficient, Provider has date of correction",04/24/2018,2,Y,false,"3605 RATLIFF ROAD BIRMINGHAM, AL 35210 (33.542569, -86.634703)",04/01/2020
025010,KETCHIKAN MED CTR NEW HORIZONS TRANSITIONAL CARE,3100 TONGASS AVENUE,KETCHIKAN,AK,99901,05/19/2017,Health,F,Resident Rights Deficiencies,Try to resolve each resident's complaints quickly.,0166,D,"Deficient, Provider has date of correction",07/06/2017,3,Y,false,"3100 TONGASS AVENUE KETCHIKAN, AK 99901 (55.352717, -131.686049)",04/01/2020
025015,WRANGELL MEDICAL CENTER LTC,P.O. BOX 1081,WRANGELL,AK,99929,04/30/2018,Health,F,Resident Assessment and Care Planning Deficiencies,Safeguard resident-identifiable information and/or maintain medical records on each resident that are in accordance with accepted professional standards.,0842,D,"Deficient, Provider has date of correction",06/22/2018,2,Y,false,,04/01/2020
025027,WILDFLOWER COURT,2000 SALMON CREEK LANE,JUNEAU,AK,99801,05/29/2019,Health,F,Pharmacy Service Deficiencies,Ensure that residents are free from significant medication errors.,0760,D,Past Non-Compliance,06/21/2019,1,Y,false,"2000 SALMON CREEK LANE JUNEAU, AK 99801 (58.32931, -134.464075)",04/01/2020
035003,THE TERRACES OF PHOENIX,7550 NORTH 16TH STREET,PHOENIX,AZ,85020,08/24/2018,Health,F,Nutrition and Dietary Deficiencies,Dispose of garbage and refuse properly.,0814,E,"Deficient, Provider has date of correction",10/10/2018,2,Y,false,"7550 NORTH 16TH STREET PHOENIX, AZ 85020 (33.546512, -112.047586)",04/01/2020
035016,HANDMAKER HOME FOR THE AGING,2221 NORTH ROSEMONT BOULEVARD,TUCSON,AZ,85712,10/19/2017,Health,F,Resident Assessment and Care Planning Deficiencies,Ensure each resident receives an accurate assessment by a qualified health professional.,0278,D,"Deficient, Provider has date of correction",12/01/2017,2,Y,false,"2221 NORTH ROSEMONT BOULEVARD TUCSON, AZ 85712 (32.248704, -110.884074)",04/01/2020
035016,HANDMAKER HOME FOR THE AGING,2221 NORTH ROSEMONT BOULEVARD,TUCSON,AZ,85712,10/06/2016,Health,F,Environmental Deficiencies,"Have a program that investigates, controls and keeps infection from spreading.",0441,D,"Deficient, Provider has date of correction",11/22/2016,3,Y,false,"2221 NORTH ROSEMONT BOULEVARD TUCSON, AZ 85712 (32.248704, -110.884074)",04/01/2020
035062,DESERT HAVEN CARE CENTER,2645 EAST THOMAS ROAD,PHOENIX,AZ,85016,02/03/2017,Health,F,Quality of Life and Care Deficiencies,Provide activities to meet the interests and needs of each resident.,0248,E,"Deficient, Provider has date of correction",03/27/2017,3,Y,false,"2645 EAST THOMAS ROAD PHOENIX, AZ 85016 (33.480363, -112.024164)",04/01/2020
035095,DESERT COVE NURSING CENTER,1750 WEST FRYE ROAD,CHANDLER,AZ,85224,04/04/2019,Health,F,Quality of Life and Care Deficiencies,Provide appropriate pressure ulcer care and prevent new ulcers from developing.,0686,E,"Deficient, Provider has date of correction",05/25/2019,1,Y,true,"1750 WEST FRYE ROAD CHANDLER, AZ 85224 (33.298693, -111.872797)",04/01/2020
366391,ASTORIA SKILLED NURSING AND REHABILITATION,"3537 12TH STREET, NW",CANTON,OH,44708,05/23/2018,Health,F,Pharmacy Service Deficiencies,Ensure that residents are free from significant medication errors.,0760,D,"Deficient, Provider has date of correction",07/11/2018,2,N,true,"3537 12TH STREET CANTON, OH 44708 (40.810422, -81.413657)",04/01/2020
035106,WESTCHESTER CARE CENTER,6100 SOUTH RURAL ROAD,TEMPE,AZ,85283,05/16/2018,Health,F,Quality of Life and Care Deficiencies,"Provide safe, appropriate pain management for a resident who requires such services.",0697,D,"Deficient, Provider has date of correction",07/10/2018,2,Y,true,"6100 SOUTH RURAL ROAD TEMPE, AZ 85283 (33.366873, -111.92861)",04/01/2020
035126,LIFE CARE CENTER OF NORTH GLENDALE,13620 NORTH 55TH AVENUE,GLENDALE,AZ,85304,05/04/2016,Health,F,Pharmacy Service Deficiencies,Maintain drug records and properly mark/label drugs and other similar products according to accepted professional standards.,0431,E,"Deficient, Provider has date of correction",06/17/2016,3,Y,false,"13620 NORTH 55TH AVENUE GLENDALE, AZ 85304 (33.607899, -112.177174)",04/01/2020
035152,YUMA NURSING CENTER,1850 WEST 25TH STREET,YUMA,AZ,85364,07/26/2018,Health,F,Quality of Life and Care Deficiencies,Provide or obtain dental services for each resident.,0791,D,"Deficient, Provider has date of correction",09/06/2018,2,Y,false,"1850 WEST 25TH STREET YUMA, AZ 85364 (32.682043, -114.642351)",04/01/2020
366410,ST CLARE COMMONS,12469 FIVE POINT ROAD,PERRYSBURG,OH,43551,03/12/2019,Health,F,Nursing and Physician Services Deficiencies,Post nurse staffing information every day.,0732,C,"Deficient, Provider has plan of correction",04/11/2019,2,N,true,"12469 FIVE POINT ROAD PERRYSBURG, OH 43551 (41.507241, -83.635825)",04/01/2020
035207,SPRINGDALE VILLAGE HEALTHCARE,7255 EAST BROADWAY ROAD,MESA,AZ,85208,04/06/2018,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies","Ensure that each resident is free from the use of physical restraints, unless needed for medical treatment.",0604,D,"Deficient, Provider has date of correction",04/18/2018,2,Y,true,"7255 EAST BROADWAY ROAD MESA, AZ 85208 (33.407917, -111.674006)",04/01/2020
035242,CHINLE NURSING HOME,PO BOX 910,CHINLE,AZ,86503,09/29/2017,Health,F,Resident Assessment and Care Planning Deficiencies,Ensure each resident receives an accurate assessment by a qualified health professional.,0278,D,"Deficient, Provider has date of correction",12/14/2017,2,Y,false,,04/01/2020
035254,WINSLOW CAMPUS OF CARE,826 WEST DESMOND STREET,WINSLOW,AZ,86047,06/30/2018,Health,F,Pharmacy Service Deficiencies,Ensure medication error rates are not 5 percent or greater.,0759,D,"Deficient, Provider has date of correction",08/13/2018,2,Y,false,"826 WEST DESMOND STREET WINSLOW, AZ 86047 (35.03728, -110.70384)",04/01/2020
035260,FOUNTAIN VIEW VILLAGE,16455 EAST AVENUE OF THE FOUNTAINS,FOUNTAIN HILLS,AZ,85268,04/06/2017,Health,F,Nutrition and Dietary Deficiencies,"Store, cook, and serve food in a safe and clean way.",0371,E,"Deficient, Provider has date of correction",05/30/2017,3,Y,false,,04/01/2020
035270,LA ESTANCIA NURSING AND REHABILITATION CENTER,15810 SOUTH 42ND STREET,PHOENIX,AZ,85048,12/20/2018,Health,F,Quality of Life and Care Deficiencies,Provide enough food/fluids to maintain a resident's health.,0692,E,"Deficient, Provider has date of correction",02/07/2019,1,Y,false,"15810 SOUTH 42ND STREET PHOENIX, AZ 85048 (33.303312, -111.993017)",04/01/2020
035274,NEURORESTORATIVE,5301 EAST THOMAS ROAD,PHOENIX,AZ,85018,06/20/2019,Health,F,Resident Assessment and Care Planning Deficiencies,Ensure each resident receives an accurate assessment.,0641,B,"Deficient, Provider has date of correction",08/15/2019,1,Y,false,"5301 EAST THOMAS ROAD PHOENIX, AZ 85018 (33.480036, -111.966609)",04/01/2020
035296,WELBROOK SENIOR LIVING FLAGSTAFF LLC,1521 NORTH PINE CLIFF DRIVE,EAST FLAGSTAFF,AZ,86001,11/22/2019,Health,F,Quality of Life and Care Deficiencies,Provide activities to meet all resident's needs.,0679,D,"Deficient, Provider has date of correction",01/23/2020,1,Y,false,,04/01/2020
045070,ROGERS HEALTH AND REHABILITATION CENTER,1149 W NEW HOPE RD,ROGERS,AR,72758,12/06/2019,Health,F,Environmental Deficiencies,Provide and implement an infection prevention and control program.,0880,E,"Deficient, Provider has date of correction",12/20/2019,1,Y,false,"1149 W NEW HOPE RD ROGERS, AR 72758 (36.311903, -94.133588)",04/01/2020
045070,ROGERS HEALTH AND REHABILITATION CENTER,1149 W NEW HOPE RD,ROGERS,AR,72758,05/05/2017,Health,F,Pharmacy Service Deficiencies,Ensure that residents are safe from serious medication errors.,0333,J,Past Non-Compliance,03/26/2017,3,N,true,"1149 W NEW HOPE RD ROGERS, AR 72758 (36.311903, -94.133588)",04/01/2020
045151,WALNUT RIDGE NURSING AND REHABILITATION CENTER,1500 WEST MAIN STREET,WALNUT RIDGE,AR,72476,01/10/2020,Health,F,Resident Assessment and Care Planning Deficiencies,Ensure each resident receives an accurate assessment.,0641,E,"Deficient, Provider has date of correction",02/03/2020,1,Y,false,"1500 WEST MAIN STREET WALNUT RIDGE, AR 72476 (36.074893, -90.971918)",04/01/2020
