Measure Name,Measure Date Range
Average Medicare spending associated with an agency's home health episodes compared with all home health episodes nationally - agency score,"January 1, 2018 - December 31, 2018"
Average Medicare spending associated with an agency's home health episodes compared with all home health episodes nationally - count,"January 1, 2018 - December 31, 2018"
"Did the home health team discuss medicines, pain, and home safety with patients","October 1, 2018 - September 30, 2019"
"For patients with diabetes, how often the home health team got doctor's orders, gave foot care, and taught patients about foot care","July 1, 2018 - June 30, 2019"
HHCAHPS Survey Summary Star Rating,"October 1, 2018 - September 30, 2019"
How do patients rate the overall care from the home health agency,"October 1, 2018 - September 30, 2019"
How often home health patients had new or worsened pressure ulcers,"July 1, 2018 - June 30, 2019"
How often home health patients had to be admitted to the hospital,"January 1, 2018 - December 31, 2018"
"How often home health patients, who have had a recent hospital stay, had a preventable hospital readmission within 30 days of discharge from home health","January 1, 2016 - December 31, 2018"
How often patients got better at bathing,"July 1, 2018 - June 30, 2019"
How often patients got better at getting in and out of bed,"July 1, 2018 - June 30, 2019"
How often patients got better at taking their drugs correctly by mouth,"July 1, 2018 - June 30, 2019"
How often patients got better at walking or moving around,"July 1, 2018 - June 30, 2019"
"How often patients receiving home health care needed any urgent, unplanned care in the hospital emergency room - without being admitted to the hospital","January 1, 2018 - December 31, 2018"
How often patients remained at home within 31 days of being discharged from home health,"January 1, 2017 - December 31, 2018"
How often patients' breathing improved,"July 1, 2018 - June 30, 2019"
How often patients' wounds improved or healed after an operation,"July 1, 2018 - June 30, 2019"
How often the home health team began their patients' care in a timely manner,"July 1, 2018 - June 30, 2019"
How often the home health team checked patients for depression,"July 1, 2018 - June 30, 2019"
How often the home health team checked patients' medications and got doctor's orders for medication issues in a timely manner,"July 1, 2018 - June 30, 2019"
How often the home health team checked patients' risk of falling,"July 1, 2018 - June 30, 2019"
How often the home health team gave care in a professional way,"October 1, 2018 - September 30, 2019"
How often the home health team made sure that their patients have received a flu shot for the current flu season,"July 1, 2018 - June 30, 2019"
How often the home health team made sure that their patients have received a pneumococcal vaccine (pneumonia shot),"July 1, 2018 - June 30, 2019"
How often the home health team taught patients (or their family caregivers) about their drugs,"July 1, 2018 - June 30, 2019"
How well did the home health team communicate with patients,"October 1, 2018 - September 30, 2019"
Star Rating for health team communicated well with them,"October 1, 2018 - September 30, 2019"
Star Rating for health team gave care in a professional way,"October 1, 2018 - September 30, 2019"
Star Rating for how patients rated overall care from agency,"October 1, 2018 - September 30, 2019"
"Star Rating team discussed medicines, pain, and home safety","October 1, 2018 - September 30, 2019"
Would patients recommend the home health agency to friends and family,"October 1, 2018 - September 30, 2019"
