Id,DateCreated,DateUpdated,RequestType,City,ZipCode,Location,StatusType,Description
921259,05/02/2020 11:54:34 PM,05/03/2020 12:00:03 AM,Homeless Concerns,,,"(21.3288249, -157.826384)",Received,This car has been parking at different lookouts in the past week.   Saw it again this morning
920179,05/01/2020 02:58:03 AM,05/01/2020 06:06:03 PM,Noise,,,"(21.409838, -157.9949389)",InProcess,Dirt Bikes in Crestview Park
920132,05/01/2020 12:42:57 AM,05/01/2020 12:52:02 AM,Illegal Dump Site,,,"(21.4248065, -157.9533999)",ReferredToDept,"This pile is on Auhuhu St. 
at the tennis courts right across Palisades Elementary."
920690,05/01/2020 07:50:08 PM,05/04/2020 06:45:05 PM,Parking Issues,,,"(21.2863293, -157.8020417)",Closed,silver infiniti g30
918143,04/29/2020 04:23:37 AM,05/05/2020 07:46:49 PM,Noise,,,"(21.4016279, -158.0374206)",Closed,Dogs barking all day
919793,04/30/2020 06:52:39 PM,04/30/2020 10:58:42 PM,Other,,,"(21.4719436, -157.9959726)",ReferredToDept,"A crosswalk must be installed on Makaikai in Mililani Mauka. The crosswalk would connect the Mililani Ravine Park trail. I've seen several near-accidents involving pedestrians and cars (speeding down Makaikai). A crosswalk here is essential; speed tables or humps on either side of the crosswalk would only add value. There are LOTS of kids and families who walk/run/bike on this path in Mililani Mauka. I'd hate to see an accident happen that could've been easily avoided by putting in traffic calming devices to slow speeding drivers. Also, visibility is hampered by the fact that pedestrians crossing the street have a lower visibility on speeding cars since parked cars block the visual corridor along the street."
927033,05/09/2020 11:47:16 PM,05/09/2020 11:55:02 PM,Homeless Concerns,,,"(21.2930811, -157.8202861)",Received,"Recently there has been a large amount of homeless people gathering along Varsity Place. Last night while I was walking home from work near Varsity Pl and Kalo Pl, a homeless man followed me briefly and when I turned around he had just dropped a rusty steak knife and was picking it up. When I saw the knife I walked faster and he stopped following me. There are also many people living in their vehicles now that the students are not parking there. Also, a ton of litter lining the street. I do not feel safe in my neighborhood any longer, and I do not see the people gathering practicing any sort of social distancing. I often have to walk in the street to stay 6 feet away from them because they do not move out of the sidewalk. They are constantly looking through the 2615 Varsity Pl dumpster, which is located on private property. There is a man that rides his bicycle up and down the street all night and into the closed dog park next to the Humane Society - this man has circled me on his bicycle and yelled at me when I asked him to give me space."
918878,04/29/2020 08:25:28 PM,04/29/2020 10:02:46 PM,Submit A Crime Tip,,,"(21.3091141, -157.7894248)",Closed,car was parked on Gardenia Street with expired safety check and sat in the car for 10 minutes and looks familiar to vehicle that stole avocados from next house on 3178 Carlos long st.Silver sentra  PNU 833 expired safety jan 2019
926770,05/09/2020 04:19:53 AM,05/09/2020 04:25:00 AM,Other,,,"(21.3837716, -158.1481517)",Received,They just won’t leave. Police warnings don’t matter.
918159,04/29/2020 07:22:13 AM,04/29/2020 05:43:33 PM,Broken Street Light,,,"(21.4030392, -157.8045142)",ReferredToDept,Broken street light in front of our house facing Hinamoe Place.
